<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	1.05158	1.05275	1.04480	1.04539	77112	61544915000	0
2017.01.03	1.04535	1.04900	1.03399	1.04029	233410	124185466000	0
2017.01.04	1.04042	1.05013	1.03895	1.04892	231288	120315486000	0
2017.01.05	1.04873	1.06152	1.04804	1.06058	285404	139727540000	0
2017.01.06	1.06023	1.06207	1.05247	1.05307	244615	117842463000	0
2017.01.08	1.05309	1.05359	1.05259	1.05294	3047	0	0
2017.01.09	1.05299	1.05890	1.05104	1.05704	214533	100306577000	0
2017.01.10	1.05735	1.06269	1.05506	1.05538	248137	114267542000	0
2017.01.11	1.05535	1.06230	1.04534	1.05814	299714	146740178000	0
2017.01.12	1.05794	1.06847	1.05710	1.06120	308351	138406181000	0
2017.01.13	1.06119	1.06735	1.05959	1.06389	234532	103682096000	0
2017.01.15	1.06241	1.06357	1.06129	1.06274	4281	0	0
2017.01.16	1.06276	1.06355	1.05789	1.06019	199156	91837625000	0
2017.01.17	1.06004	1.07191	1.05966	1.07119	289651	135511152000	0
2017.01.18	1.07105	1.07150	1.06243	1.06289	247584	119433465000	0
2017.01.19	1.06284	1.06766	1.05888	1.06627	281388	134849320000	0
2017.01.20	1.06622	1.07094	1.06248	1.07038	269373	144074189000	0
2017.01.22	1.06895	1.07166	1.06895	1.07126	5170	0	0
2017.01.23	1.06930	1.07721	1.06930	1.07673	265318	132588009000	0
2017.01.24	1.07647	1.07749	1.07199	1.07313	243006	123781596000	0
2017.01.25	1.07283	1.07698	1.07109	1.07465	236721	120109747000	0
2017.01.26	1.07527	1.07656	1.06572	1.06714	247244	128780232000	0
2017.01.27	1.06792	1.07249	1.06579	1.06964	216786	113014766000	0
2017.01.29	1.07140	1.07201	1.07079	1.07170	4324	0	0
2017.01.30	1.07145	1.07402	1.06200	1.06936	225658	110209633000	0
2017.01.31	1.06935	1.08123	1.06843	1.07966	285079	151025663000	0
2017.02.01	1.07960	1.08073	1.07294	1.07681	250398	133899300000	0
2017.02.02	1.07677	1.08287	1.07556	1.07577	254844	131827220000	0
2017.02.03	1.07593	1.07976	1.07106	1.07849	231559	119017206000	0
2017.02.05	1.07897	1.07907	1.07780	1.07824	2051	0	0
2017.02.06	1.07896	1.07901	1.07053	1.07508	217405	115200340000	0
2017.02.07	1.07448	1.07490	1.06558	1.06780	224358	111916913000	0
2017.02.08	1.06763	1.07138	1.06402	1.06962	225654	108402024000	0
2017.02.09	1.06972	1.07094	1.06505	1.06555	213647	100528806000	0
2017.02.10	1.06547	1.06675	1.06072	1.06380	218716	113981955000	0
2017.02.12	1.06294	1.06367	1.06175	1.06188	3075	0	0
2017.02.13	1.06347	1.06584	1.05917	1.05965	190123	106469214000	0
2017.02.14	1.05976	1.06333	1.05607	1.05769	205139	103062585000	0
2017.02.15	1.05777	1.06093	1.05210	1.05984	214471	115723385000	0
2017.02.16	1.06007	1.06792	1.05906	1.06747	213913	116164179000	0
2017.02.17	1.06719	1.06765	1.06051	1.06105	192775	104344144000	0
2017.02.19	1.06064	1.06328	1.06038	1.06250	3757	0	0
2017.02.20	1.06073	1.06326	1.06029	1.06105	150228	84800490000	0
2017.02.21	1.06097	1.06149	1.05255	1.05351	189923	100365714000	0
2017.02.22	1.05395	1.05738	1.04933	1.05581	215028	109107415000	0
2017.02.23	1.05587	1.05950	1.05373	1.05786	188675	94379220000	0
2017.02.24	1.05786	1.06178	1.05562	1.05569	187500	99732937000	0
2017.02.26	1.05608	1.05645	1.05517	1.05520	3876	0	0
2017.02.27	1.05626	1.06306	1.05511	1.05855	185985	97200627000	0
2017.02.28	1.05877	1.06302	1.05667	1.05777	203764	105024057000	0
2017.03.01	1.05739	1.05891	1.05138	1.05446	243454	126521284000	0
2017.03.02	1.05459	1.05512	1.04946	1.05068	195975	104553958000	0
2017.03.03	1.05015	1.06238	1.05015	1.06187	213372	125206972000	0
2017.03.05	1.06074	1.06214	1.06004	1.06206	3725	0	0
2017.03.06	1.06070	1.06397	1.05745	1.05816	176522	103862244000	0
2017.03.07	1.05825	1.06026	1.05580	1.05664	161304	94493067000	0
2017.03.08	1.05657	1.05740	1.05345	1.05396	180827	106849709000	0
2017.03.09	1.05388	1.06151	1.05247	1.05758	222036	123925254000	0
2017.03.10	1.05756	1.06992	1.05721	1.06697	211556	118876939000	0
2017.03.12	1.06768	1.06883	1.06768	1.06790	1661	0	0
2017.03.13	1.06832	1.07143	1.06519	1.06533	198867	111246775000	0
2017.03.14	1.06540	1.06625	1.05995	1.06078	179250	105660599000	0
2017.03.15	1.06051	1.07400	1.06042	1.07344	206983	111805811000	0
2017.03.16	1.07340	1.07743	1.07053	1.07730	224483	120272366000	0
2017.03.17	1.07720	1.07823	1.07272	1.07362	180248	103958192000	0
2017.03.19	1.07371	1.07447	1.07341	1.07416	1387	0	0
2017.03.20	1.07373	1.07773	1.07249	1.07391	152601	84264123000	0
2017.03.21	1.07368	1.08191	1.07189	1.08066	209098	115847632000	0
2017.03.22	1.08074	1.08246	1.07755	1.07927	203333	110067913000	0
2017.03.23	1.07948	1.08048	1.07677	1.07817	189218	107641311000	0
2017.03.24	1.07816	1.08179	1.07600	1.07957	177493	100003827000	0
2017.03.26	1.08265	1.08484	1.08265	1.08481	3131	0	0
2017.03.27	1.08292	1.09058	1.08266	1.08658	180751	97530846000	0
2017.03.28	1.08633	1.08725	1.07985	1.08089	159333	95993578000	0
2017.03.29	1.08114	1.08264	1.07396	1.07642	179585	100244286000	0
2017.03.30	1.07656	1.07695	1.06718	1.06728	174215	106272715000	0
2017.03.31	1.06758	1.07019	1.06513	1.06576	178102	105480509000	0
2017.04.02	1.06607	1.06717	1.06594	1.06713	1769	0	0
2017.04.03	1.06617	1.06810	1.06421	1.06727	151132	94381877000	0
2017.04.04	1.06691	1.06853	1.06354	1.06750	144063	85888122000	0
