<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	00:00:00	1.05158	1.05275	1.04553	1.05189	6636	1729162000	0
2017.01.02	04:00:00	1.05189	1.05214	1.05091	1.05108	2283	1862600000	20
2017.01.02	08:00:00	1.05108	1.05234	1.04763	1.04862	16341	11882452000	7
2017.01.02	12:00:00	1.04864	1.04890	1.04608	1.04654	18271	12823430000	7
2017.01.02	16:00:00	1.04654	1.04774	1.04539	1.04653	15372	14892594000	7
2017.01.02	20:00:00	1.04651	1.04670	1.04480	1.04539	18209	18354677000	7
2017.01.03	00:00:00	1.04535	1.04900	1.03401	1.04755	112861	18111455000	0
2017.01.03	04:00:00	1.04755	1.04898	1.04704	1.04818	11354	10626147000	7
2017.01.03	08:00:00	1.04818	1.04888	1.03998	1.04014	27882	24681336000	7
2017.01.03	12:00:00	1.04014	1.04161	1.03747	1.03910	28070	23845412000	7
2017.01.03	16:00:00	1.03911	1.04336	1.03399	1.04266	38506	33217676000	7
2017.01.03	20:00:00	1.04266	1.04314	1.04012	1.04029	14737	13703440000	7
2017.01.04	00:00:00	1.04042	1.05013	1.03895	1.03930	112297	14033203000	0
2017.01.04	04:00:00	1.03930	1.04091	1.03928	1.04063	14767	14349374000	7
2017.01.04	08:00:00	1.04062	1.04451	1.03989	1.04375	25788	23461897000	7
2017.01.04	12:00:00	1.04374	1.04459	1.04230	1.04387	27678	22679688000	7
2017.01.04	16:00:00	1.04389	1.04911	1.04362	1.04714	29030	24128483000	7
2017.01.04	20:00:00	1.04714	1.04996	1.04514	1.04892	21728	21662841000	7
2017.01.05	00:00:00	1.04873	1.06152	1.04804	1.05191	136020	14106037000	0
2017.01.05	04:00:00	1.05190	1.05631	1.05109	1.05411	22020	19183485000	7
2017.01.05	08:00:00	1.05411	1.05744	1.05012	1.05044	36643	30593939000	7
2017.01.05	12:00:00	1.05043	1.05423	1.04820	1.05302	32760	28113721000	7
2017.01.05	16:00:00	1.05300	1.06149	1.05275	1.05978	41998	33065701000	7
2017.01.05	20:00:00	1.05979	1.06095	1.05866	1.06058	15963	14664657000	7
2017.01.06	00:00:00	1.06023	1.06196	1.05249	1.05832	118900	15427087000	0
2017.01.06	04:00:00	1.05831	1.05930	1.05762	1.05822	17510	17713888000	7
2017.01.06	08:00:00	1.05822	1.06085	1.05738	1.06003	23172	18968552000	7
2017.01.06	12:00:00	1.06004	1.06207	1.05390	1.05435	33029	23260217000	7
2017.01.06	16:00:00	1.05439	1.05826	1.05351	1.05494	37202	28487377000	7
2017.01.06	20:00:00	1.05494	1.05517	1.05247	1.05307	14802	13985342000	7
2017.01.08	00:00:00	1.05309	1.05359	1.05259	1.05294	3047	0	0
2017.01.09	00:00:00	1.05299	1.05890	1.05108	1.05416	101536	9754999000	0
2017.01.09	04:00:00	1.05416	1.05421	1.05161	1.05237	13479	12630357000	7
2017.01.09	08:00:00	1.05236	1.05557	1.05188	1.05238	26215	20828612000	7
2017.01.09	12:00:00	1.05237	1.05415	1.05104	1.05344	30155	21923708000	7
2017.01.09	16:00:00	1.05341	1.05826	1.05243	1.05702	30639	22798925000	7
2017.01.09	20:00:00	1.05702	1.05779	1.05574	1.05704	12509	12369976000	7
2017.01.10	00:00:00	1.05735	1.06269	1.05508	1.05784	117522	12325515000	0
2017.01.10	04:00:00	1.05784	1.06268	1.05756	1.06092	26928	20601181000	7
