<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.01	1.05158	1.06207	1.03399	1.05307	1071829	563615870000	0
2017.01.08	1.05309	1.06847	1.04534	1.06389	1308314	603402574000	0
2017.01.15	1.06241	1.07191	1.05789	1.07038	1291433	625705751000	0
2017.01.22	1.06895	1.07749	1.06572	1.06964	1214245	618274350000	0
2017.01.29	1.07140	1.08287	1.06200	1.07849	1251862	645979022000	0
2017.02.05	1.07897	1.07907	1.06072	1.06380	1101831	550030038000	0
2017.02.12	1.06294	1.06792	1.05210	1.06105	1019496	545763507000	0
2017.02.19	1.06064	1.06328	1.04933	1.05569	935111	488385776000	0
2017.02.26	1.05608	1.06306	1.04946	1.06187	1046426	558506898000	0
2017.03.05	1.06074	1.06992	1.05247	1.06697	955970	548007213000	0
2017.03.12	1.06768	1.07823	1.05995	1.07362	991492	552943743000	0
2017.03.19	1.07371	1.08246	1.07189	1.07957	933130	517824806000	0
2017.03.26	1.08265	1.09058	1.06513	1.06576	875117	505521934000	0
2017.04.02	1.06607	1.06890	1.05804	1.05912	817426	484239520000	0
2017.04.09	1.05884	1.06776	1.05695	1.06097	681972	393186449000	0
2017.04.16	1.06159	1.07773	1.06025	1.07258	710638	431706357000	0
2017.04.23	1.09021	1.09507	1.08205	1.08990	906874	493122889000	0
2017.04.30	1.08931	1.09989	1.08745	1.09983	769388	452265305000	0
2017.05.07	1.10165	1.10166	1.08387	1.09309	846181	522820950000	0
2017.05.14	1.09320	1.12118	1.09222	1.12059	1005988	611569697000	0
2017.05.21	1.12010	1.12682	1.11602	1.11772	931015	546801292000	0
2017.05.28	1.11724	1.12852	1.11092	1.12829	814866	464132841000	0
2017.06.04	1.12713	1.12839	1.11661	1.11953	802697	0	0
2017.06.11	1.12067	1.12957	1.11318	1.11931	808065	0	0
2017.06.18	1.12050	1.12127	1.11186	1.11942	720962	0	0
2017.06.25	1.11956	1.14452	1.11714	1.14191	938978	0	0
2017.07.02	1.14183	1.14397	1.13121	1.13999	818109	0	0
2017.07.09	1.13977	1.14893	1.13700	1.14708	871077	0	0
2017.07.16	1.14699	1.16827	1.14345	1.16631	996763	0	0
2017.07.23	1.16621	1.17765	1.16123	1.17561	1058251	0	0
2017.07.30	1.17533	1.19100	1.17229	1.17716	1002144	0	0
2017.08.06	1.17735	1.18474	1.16885	1.18227	913852	0	0
2017.08.13	1.18224	1.18384	1.16619	1.17631	957867	0	0
2017.08.20	1.17609	1.19414	1.17307	1.19204	811686	0	0
2017.08.27	1.19454	1.20701	1.18228	1.18627	1047907	0	0
2017.09.03	1.18808	1.20921	1.18679	1.20352	1075654	0	0
2017.09.10	1.20165	1.20294	1.18377	1.19459	982858	1038903000	0
2017.09.17	1.19264	1.20321	1.18611	1.19474	955244	0	0
2017.09.24	1.18989	1.19366	1.17171	1.18159	983363	0	0
2017.10.01	1.17956	1.18151	1.16692	1.17339	829461	0	0
2017.10.08	1.17369	1.18799	1.17194	1.18199	741827	0	0
2017.10.15	1.18127	1.18579	1.17300	1.17800	799400	0	0
2017.10.22	1.17664	1.18368	1.15742	1.16070	861008	0	0
2017.10.29	1.16099	1.16906	1.15933	1.16091	758916	0	0
2017.11.05	1.16134	1.16779	1.15540	1.16648	739274	0	0
2017.11.12	1.16579	1.18603	1.16373	1.17864	752774	0	0
2017.11.19	1.17878	1.19443	1.17129	1.19295	676468	0	0
2017.11.26	1.19294	1.19611	1.18088	1.18983	744678	0	0
2017.12.03	1.18639	1.18784	1.17304	1.17718	356570	0	0
2017.12.10	1.17661	1.18622	1.17175	1.17508	310643	0	0
2017.12.17	1.17444	1.19016	1.17374	1.18576	324747	0	0
2017.12.24	1.18707	1.20254	1.18464	1.19980	197274	0	0
2017.12.31	1.20117	1.20886	1.20013	1.20292	232259	0	0
2018.01.07	1.20289	1.22181	1.19157	1.21947	369567	0	0
2018.01.14	1.21973	1.23229	1.21650	1.22202	430648	0	0
2018.01.21	1.22652	1.25370	1.22139	1.24243	438409	0	0
2018.01.28	1.24233	1.25227	1.23349	1.24527	463874	0	0
2018.02.04	1.24320	1.24748	1.22055	1.22498	508735	0	0
2018.02.11	1.22443	1.25550	1.22349	1.24096	246271	0	0
2018.02.18	1.23997	1.24347	1.22597	1.22963	180504	0	0
2018.02.25	1.22932	1.23546	1.21549	1.23215	187346	0	0
2018.03.04	1.23333	1.24460	1.22688	1.23048	188039	0	0
2018.03.11	1.23102	1.24126	1.22600	1.22891	145611	0	0
2018.03.18	1.22874	1.23882	1.22398	1.23529	193727	0	0
2018.03.25	1.24435	1.24760	1.22838	1.23261	115538	0	0
2018.04.01	1.23170	1.23346	1.22157	1.22804	126344	0	0
2018.04.08	1.22815	1.23955	1.22606	1.23299	145134	0	0
2018.04.15	1.23258	1.24136	1.22658	1.22668	128691	0	0
2018.04.22	1.21710	1.22095	1.20553	1.21292	65131	0	2
2018.04.29	1.21241	1.21386	1.19113	1.19632	141935	0	2
2018.05.06	1.19550	1.19778	1.18225	1.19398	142184	0	2
2018.05.13	1.19402	1.19960	1.17499	1.17696	149535	0	2
2018.05.20	1.17710	1.18295	1.16458	1.16513	179747	0	0
2018.05.27	1.16818	1.17283	1.15099	1.16605	229798	0	0
2018.06.03	1.16590	1.18398	1.16524	1.17706	220330	0	0
2018.06.10	1.17733	1.18513	1.15432	1.16065	208074	0	0
2018.06.17	1.15869	1.16750	1.15086	1.16578	307806	0	0
2018.06.24	1.16639	1.17201	1.15270	1.16825	628831	0	0
2018.07.01	1.16832	1.17676	1.15911	1.17415	464835	0	0
2018.07.08	1.17383	1.17906	1.16128	1.16859	492765	0	0
2018.07.15	1.16801	1.17445	1.15749	1.17208	501578	0	0
2018.07.22	1.17272	1.17497	1.16204	1.16564	186480	0	0
2018.07.29	1.16533	1.17456	1.15602	1.15660	168130	0	0
2018.08.05	1.15666	1.16280	1.13880	1.14082	166332	0	0
2018.08.12	1.13775	1.14446	1.13009	1.14418	206635	0	0
2018.08.19	1.14372	1.16394	1.13944	1.16215	182880	0	0
2018.08.26	1.16198	1.17333	1.15845	1.16076	184790	0	0
2018.09.02	1.15951	1.16588	1.15300	1.15536	178389	0	0
2018.09.09	1.15507	1.17215	1.15260	1.16215	162803	0	0
2018.09.16	1.16229	1.18025	1.16178	1.17524	179693	0	0
2018.09.23	1.17452	1.18149	1.15697	1.16028	183131	0	0
2018.09.30	1.16163	1.16243	1.14632	1.15198	196926	0	0
2018.10.07	1.15198	1.16103	1.14321	1.15585	202080	0	0
2018.10.14	1.15418	1.16205	1.14330	1.15154	200919	0	0
2018.10.21	1.15160	1.15500	1.13357	1.14016	220621	0	0
2018.10.28	1.13944	1.14555	1.13019	1.13883	196275	0	0
2018.11.04	1.13890	1.14995	1.13167	1.13350	185912	0	0
2018.11.11	1.13239	1.14201	1.12155	1.14168	160048	0	0
2018.11.18	1.14134	1.14721	1.13274	1.13333	125022	0	0
2018.11.25	1.13398	1.14014	1.12672	1.13154	135884	0	0
2018.12.02	1.13388	1.14231	1.13111	1.14014	134690	0	0
2018.12.09	1.13917	1.14065	1.12699	1.13005	111228	0	0
2018.12.16	1.13038	1.14852	1.12968	1.13653	157340	0	0
2018.12.23	1.13703	1.14726	1.13429	1.14398	107952	0	0
2018.12.30	1.14357	1.14893	1.13079	1.13955	120694	0	0
2019.01.06	1.13960	1.15697	1.13954	1.14646	154855	0	0
2019.01.13	1.14598	1.14896	1.13531	1.13636	150335	0	0
2019.01.20	1.13605	1.14174	1.12893	1.14042	134899	0	0
2019.01.27	1.14008	1.15140	1.13900	1.14541	119959	105967339705	0
2019.02.03	1.14517	1.14602	1.13209	1.13235	102851	93471275700	0
