time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
2004-05-04,1.15345,1.15345,1.15345,1.15345,0,NaN,0,0,NaN
2004-05-05,1.15345,1.15345,1.152,1.152,0,NaN,0,0,NaN
2004-05-06,1.152,1.152,1.1443,1.1443,0,NaN,0,0,NaN
2004-05-07,1.1443,1.1443,1.13795,1.13795,0,NaN,0,0,NaN
2004-05-10,1.13795,1.1452,1.13795,1.1452,0,NaN,0,0,NaN
2004-05-11,1.1452,1.1506,1.1452,1.1506,0,NaN,0,0,NaN
2004-05-12,1.1506,1.1506,1.1399,1.1399,0,NaN,0,0,NaN
2004-05-13,1.1399,1.1475,1.1399,1.1475,0,NaN,0,0,NaN
2004-05-14,1.1475,1.1475,1.14425,1.14425,0,NaN,0,0,NaN
2004-05-17,1.14425,1.1472,1.14425,1.1472,0,NaN,0,0,NaN
2004-05-18,1.1472,1.1472,1.1465,1.1465,0,NaN,0,0,NaN
2004-05-19,1.1465,1.1465,1.1452,1.1452,0,NaN,0,0,NaN
2004-05-20,1.1452,1.1459,1.1452,1.1459,0,NaN,0,0,NaN
2004-05-21,1.1459,1.14745,1.1459,1.14745,0,NaN,0,0,NaN
2004-05-24,1.14745,1.14745,1.1466,1.1466,0,NaN,0,0,NaN
2004-05-25,1.1466,1.14675,1.1466,1.14675,0,NaN,0,0,NaN
2004-05-26,1.14675,1.14675,1.13835,1.13835,0,NaN,0,0,NaN
2004-05-27,1.13835,1.13835,1.1301,1.1301,0,NaN,0,0,NaN
2004-05-28,1.1301,1.1301,1.12995,1.12995,0,NaN,0,0,NaN
2004-05-31,1.12995,1.13145,1.12995,1.13145,0,NaN,0,0,NaN
2004-06-01,1.13145,1.13145,1.12555,1.12555,0,NaN,0,0,NaN
2004-06-02,1.12555,1.12555,1.11975,1.11975,0,NaN,0,0,NaN
2004-06-03,1.11975,1.11975,1.1148,1.1148,0,NaN,0,0,NaN
2004-06-04,1.1148,1.11805,1.1148,1.11805,0,NaN,0,0,NaN
2004-06-07,1.11805,1.11805,1.11585,1.11585,0,NaN,0,0,NaN
2004-06-08,1.11585,1.1167,1.11585,1.1167,0,NaN,0,0,NaN
2004-06-09,1.1167,1.1173,1.1167,1.1173,0,NaN,0,0,NaN
2004-06-10,1.1173,1.1173,1.1003,1.1003,0,NaN,0,0,NaN
2004-06-11,1.1003,1.10045,1.1003,1.10045,0,NaN,0,0,NaN
2004-06-14,1.10045,1.10115,1.10045,1.10115,0,NaN,0,0,NaN
2004-06-15,1.10115,1.10115,1.0932,1.0932,0,NaN,0,0,NaN
2004-06-16,1.0932,1.0956,1.0932,1.0956,0,NaN,0,0,NaN
2004-06-17,1.0956,1.0964,1.0956,1.0964,0,NaN,0,0,NaN
2004-06-18,1.0964,1.09885,1.0964,1.09885,0,NaN,0,0,NaN
2004-06-21,1.09885,1.09885,1.09805,1.09805,0,NaN,0,0,NaN
2004-06-22,1.09805,1.09805,1.095,1.095,0,NaN,0,0,NaN
2004-06-23,1.095,1.1016,1.095,1.1016,0,NaN,0,0,NaN
2004-06-24,1.1016,1.1023,1.1016,1.1023,0,NaN,0,0,NaN
2004-06-25,1.1023,1.1023,1.10195,1.10195,0,NaN,0,0,0.5694086962392656
2004-06-28,1.10195,1.10195,1.0912,1.0912,0,NaN,0,0,0.36469218763752653
2004-06-29,1.0912,1.0941,1.0912,1.0941,0,NaN,0,0,0.17231266650486377
2004-06-30,1.0941,1.0987,1.0941,1.0987,0,NaN,0,0,0.13420608830568975
2004-07-01,1.0987,1.1001,1.0987,1.1001,0,NaN,0,0,0.18016968299723954
2004-07-02,1.1001,1.10205,1.1001,1.10205,0,NaN,0,0,0.23385536177230662
2004-07-05,1.10205,1.10205,1.09965,1.09965,0,NaN,0,0,0.06891102300799053
2004-07-06,1.09965,1.09965,1.098,1.098,0,NaN,0,0,-0.045988732959892205
2004-07-07,1.098,1.101,1.098,1.101,0,NaN,0,0,0.14129424894307993
2004-07-08,1.101,1.101,1.09765,1.09765,0,NaN,0,0,0.10260051375340377
2004-07-09,1.09765,1.09915,1.09765,1.09915,0,NaN,0,0,0.11142373141215978
2004-07-12,1.09915,1.1005,1.09915,1.1005,0,NaN,0,0,0.15834217718275026
2004-07-13,1.1005,1.10345,1.1005,1.10345,0,NaN,0,0,0.4101349594200234
2004-07-14,1.10345,1.109,1.10345,1.109,0,NaN,0,0,0.5474023731036437
2004-07-15,1.109,1.1107,1.109,1.1107,0,NaN,0,0,0.5861023487645521
2004-07-16,1.1107,1.11095,1.1107,1.11095,0,NaN,0,0,0.6491693375979406
2004-07-19,1.11095,1.1163,1.11095,1.1163,0,NaN,0,0,0.6597868321456043
2004-07-20,1.1163,1.1163,1.1123,1.1123,0,NaN,0,0,0.6488034302676512
2004-07-21,1.1123,1.1168,1.1123,1.1168,0,NaN,0,0,0.5596665495818018
2004-07-22,1.1168,1.1168,1.1138,1.1138,0,NaN,0,0,0.4713004216352674
2004-07-23,1.1138,1.11645,1.1138,1.11645,0,NaN,0,0,0.32631926840666664
2004-07-26,1.11645,1.11645,1.1149,1.1149,0,NaN,0,0,0.27532816612031535
2004-07-27,1.1149,1.1149,1.1145,1.1145,0,NaN,0,0,-0.01466204746549383
2004-07-28,1.1145,1.1145,1.1121,1.1121,0,NaN,0,0,-0.19978712413544747
2004-07-29,1.1121,1.1121,1.104,1.104,0,NaN,0,0,-0.17318228930762566
2004-07-30,1.104,1.104,1.10355,1.10355,0,NaN,0,0,-0.14513400779215946
2004-08-02,1.10355,1.10355,1.0991,1.0991,0,NaN,0,0,-0.09980081307260982
2004-08-03,1.0991,1.0991,1.0929,1.0929,0,NaN,0,0,0.05171470192374725
2004-08-04,1.0929,1.0929,1.0905,1.0905,0,NaN,0,0,0.2473974062806958
2004-08-05,1.0905,1.0923,1.0905,1.0923,0,NaN,0,0,0.36533994905666184
2004-08-06,1.0923,1.09395,1.0923,1.09395,0,NaN,0,0,0.42433304638882824
2004-08-09,1.09395,1.0959,1.09395,1.0959,0,NaN,0,0,0.4789049492110735
2004-08-10,1.0959,1.0959,1.0927,1.0927,0,NaN,0,0,0.48873838482632087
2004-08-11,1.0927,1.0927,1.0915,1.0915,0,NaN,0,0,0.41581011891365405
2004-08-12,1.0915,1.0915,1.08495,1.08495,0,NaN,0,0,0.24952518836122395
2004-08-13,1.08495,1.08495,1.07605,1.07605,0,NaN,0,0,0.1827836620124599
2004-08-16,1.07605,1.0801,1.07605,1.0801,0,NaN,0,0,0.05927054878640212
2004-08-17,1.0801,1.0801,1.0778,1.0778,0,NaN,0,0,-0.040555239844969816
2004-08-18,1.0778,1.0778,1.07755,1.07755,0,NaN,0,0,-0.08804271768872861
2004-08-19,1.07755,1.07855,1.07755,1.07855,0,NaN,0,0,-0.1726615309474062
2004-08-20,1.07855,1.07855,1.07665,1.07665,0,NaN,0,0,-0.21159488826808046
2004-08-23,1.07665,1.0772,1.07665,1.0772,0,NaN,0,0,-0.33393434946394435
2004-08-24,1.0772,1.0881,1.0772,1.0881,0,NaN,0,0,-0.24278888023223377
2004-08-25,1.0881,1.0881,1.0868,1.0868,0,NaN,0,0,-0.1436788673122454
2004-08-26,1.0868,1.0868,1.08,1.08,0,NaN,0,0,0.04080955074763086
2004-08-27,1.08,1.08,1.07625,1.07625,0,NaN,0,0,0.11920197393749168
