time,open,high,low,close
1083531600,1.15345,1.15345,1.12995,1.13145
1086037200,1.13145,1.13145,1.0912,1.0987
1088629200,1.0987,1.1168,1.09765,1.10355
1091394000,1.10355,1.10355,1.0746,1.0746
1093986000,1.0746,1.0753,1.0548,1.0732
1096578000,1.0732,1.09435,1.0591,1.09435
1099260000,1.09435,1.1117,1.08,1.08
1101852000,1.08,1.09015,1.0597,1.09015
1104703200,1.09015,1.0955,1.0717,1.09115
1107208800,1.09115,1.10485,1.08,1.08945
1109628000,1.08945,1.09065,1.0645,1.0853
1112306400,1.0853,1.0892,1.0638,1.06815
1114981200,1.06815,1.07475,1.05605,1.0722
1117573200,1.0722,1.09685,1.06945,1.09345
1120165200,1.09345,1.11995,1.09305,1.11185
1122843600,1.11185,1.1196,1.07755,1.0841
1125522000,1.0841,1.11185,1.0785,1.10245
1128286800,1.10245,1.10415,1.06405,1.06855
1130796000,1.06855,1.08165,1.04685,1.04945
1133388000,1.04945,1.08965,1.0432,1.07305
1136152800,1.07305,1.11125,1.07205,1.10135
1138744800,1.10135,1.12405,1.08365,1.1215
1141164000,1.1215,1.1736,1.1163,1.16455
1144011600,1.16455,1.20215,1.1593,1.18995
1146430800,1.18995,1.2429,1.17845,1.1859
1149109200,1.1859,1.2291,1.1765,1.21965
1151874000,1.21965,1.24425,1.191,1.2387
1154379600,1.2387,1.24525,1.1606,1.16365
1157058000,1.16365,1.19615,1.12145,1.14315
1159736400,1.14315,1.16645,1.12095,1.1541
1162332000,1.1541,1.16505,1.14455,1.1528
1164924000,1.1528,1.15775,1.1146,1.11975
1167602400,1.11975,1.13945,1.10575,1.12375
1170280800,1.12375,1.14625,1.1151,1.12345
1172700000,1.12345,1.14755,1.11995,1.13217
1175461200,1.13217,1.13772,1.11194,1.12097
1177966800,1.12097,1.13835,1.11264,1.12355
1180645200,1.12355,1.12665,1.09716,1.09915
1183323600,1.09915,1.12179,1.0912,1.11718
1185915600,1.11718,1.17684,1.11429,1.16643
1188766800,1.16643,1.20345,1.15995,1.17153
1191186000,1.17153,1.21081,1.16085,1.20768
1193864400,1.20768,1.2094,1.14122,1.15829
1196632800,1.15829,1.15832,1.11578,1.143
1199138400,1.143,1.16026,1.13315,1.13701
1201816800,1.13701,1.16921,1.12801,1.16548
1204495200,1.16548,1.17496,1.13404,1.16195
1206997200,1.16195,1.20758,1.15107,1.20603
1209589200,1.20603,1.24154,1.19136,1.22052
1212354000,1.22052,1.26924,1.21295,1.25753
1214859600,1.25753,1.29695,1.25387,1.28313
1217538000,1.28313,1.291,1.21639,1.22467
1220216400,1.22467,1.23563,1.17775,1.18298
1222808400,1.18298,1.19158,1.06114,1.14686
1225663200,1.14686,1.19642,1.12629,1.19252
1228082400,1.19252,1.22912,1.16768,1.21242
1230760800,1.21242,1.28066,1.17485,1.24806
1233525600,1.24806,1.28273,1.24152,1.27582
1235944800,1.27582,1.29481,1.20557,1.23601
1238533200,1.23601,1.29411,1.20168,1.28393
1241125200,1.28393,1.29283,1.24794,1.25182
1243803600,1.25182,1.28416,1.23793,1.24919
1246395600,1.24919,1.27017,1.23433,1.26357
1249246800,1.26357,1.26742,1.21268,1.23154
1251752400,1.23154,1.24761,1.19923,1.22063
1254344400,1.22063,1.25565,1.19344,1.25363
1257112800,1.25363,1.28202,1.2408,1.2792
1259618400,1.2792,1.28435,1.23252,1.24206
1262296800,1.24206,1.27646,1.23878,1.26042
1264975200,1.26042,1.29314,1.24138,1.28242
1267394400,1.28242,1.31273,1.28083,1.2905
1270069200,1.2905,1.32342,1.26984,1.27162
1272834000,1.27162,1.27246,1.21303,1.24301
1275339600,1.24301,1.24511,1.2208,1.22748
1277931600,1.22748,1.25057,1.21,1.24549
1280696400,1.24549,1.2774,1.24008,1.27382
1283288400,1.27382,1.31798,1.26118,1.317
1285880400,1.317,1.32205,1.28013,1.28325
1288558800,1.28325,1.30764,1.2643,1.29094
1291154400,1.29094,1.35222,1.2821,1.31123
1294005600,1.31123,1.32136,1.27806,1.29022
1296511200,1.29022,1.35597,1.2888,1.3535
1298930400,1.3535,1.3796,1.34418,1.35634
1301605200,1.35634,1.36436,1.3197,1.35455
1304283600,1.35455,1.37054,1.2927,1.29518
1306875600,1.29518,1.31841,1.2804,1.29312
1309467600,1.29312,1.30296,1.24854,1.25007
1312146000,1.25007,1.27397,1.23194,1.2532
1314824400,1.2532,1.28339,1.23624,1.2691
1317589200,1.2691,1.3127,1.25244,1.30522
1320094800,1.30522,1.32714,1.29389,1.3173
1322690400,1.3173,1.32781,1.3056,1.31274
1325455200,1.31274,1.32153,1.28348,1.2849
1328047200,1.2849,1.29634,1.27669,1.28622
1330552800,1.28622,1.30628,1.26228,1.26511
1333314000,1.26511,1.2782,1.25208,1.27408
1335819600,1.27408,1.30487,1.26606,1.29162
1338498000,1.29162,1.29469,1.26747,1.27798
1341176400,1.27798,1.30798,1.2741,1.2987
1343768400,1.2987,1.30451,1.28062,1.28482
