time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
2004-05-04,1.15345,1.15345,1.152,1.152,0,NaN,0,0,NaN
2004-05-06,1.152,1.152,1.13795,1.13795,0,NaN,0,0,NaN
2004-05-10,1.13795,1.1506,1.13795,1.1506,0,NaN,0,0,NaN
2004-05-12,1.1506,1.1506,1.1399,1.1475,0,NaN,0,0,NaN
2004-05-14,1.1475,1.1475,1.14425,1.1472,0,NaN,0,0,NaN
2004-05-18,1.1472,1.1472,1.1452,1.1452,0,NaN,0,0,NaN
2004-05-20,1.1452,1.14745,1.1452,1.14745,0,NaN,0,0,NaN
2004-05-24,1.14745,1.14745,1.1466,1.14675,0,NaN,0,0,NaN
2004-05-26,1.14675,1.14675,1.1301,1.1301,0,NaN,0,0,NaN
2004-05-28,1.1301,1.13145,1.12995,1.13145,0,NaN,0,0,NaN
2004-06-01,1.13145,1.13145,1.11975,1.11975,0,NaN,0,0,NaN
2004-06-03,1.11975,1.11975,1.1148,1.11805,0,NaN,0,0,NaN
2004-06-07,1.11805,1.11805,1.11585,1.1167,0,NaN,0,0,NaN
2004-06-09,1.1167,1.1173,1.1003,1.1003,0,NaN,0,0,NaN
2004-06-11,1.1003,1.10115,1.1003,1.10115,0,NaN,0,0,NaN
2004-06-15,1.10115,1.10115,1.0932,1.0956,0,NaN,0,0,NaN
2004-06-17,1.0956,1.09885,1.0956,1.09885,0,NaN,0,0,NaN
2004-06-21,1.09885,1.09885,1.095,1.095,0,NaN,0,0,NaN
2004-06-23,1.095,1.1023,1.095,1.1023,0,NaN,0,0,NaN
2004-06-25,1.1023,1.1023,1.0912,1.0912,0,NaN,0,0,NaN
2004-06-29,1.0912,1.0987,1.0912,1.0987,0,NaN,0,0,NaN
2004-07-01,1.0987,1.10205,1.0987,1.10205,0,NaN,0,0,NaN
2004-07-05,1.10205,1.10205,1.098,1.098,0,NaN,0,0,NaN
2004-07-07,1.098,1.101,1.09765,1.09765,0,NaN,0,0,NaN
2004-07-09,1.09765,1.1005,1.09765,1.1005,0,NaN,0,0,NaN
2004-07-13,1.1005,1.109,1.1005,1.109,0,NaN,0,0,NaN
2004-07-15,1.109,1.11095,1.109,1.11095,0,NaN,0,0,NaN
2004-07-19,1.11095,1.1163,1.11095,1.1123,0,NaN,0,0,NaN
2004-07-21,1.1123,1.1168,1.1123,1.1138,0,NaN,0,0,0.5366067619687415
2004-07-23,1.1138,1.11645,1.1138,1.1149,0,NaN,0,0,0.2453244406078066
2004-07-27,1.1149,1.1149,1.1121,1.1121,0,NaN,0,0,0.12130867311913904
2004-07-29,1.1121,1.1121,1.10355,1.10355,0,NaN,0,0,0.1921959409360292
2004-08-02,1.10355,1.10355,1.0929,1.0929,0,NaN,0,0,0.28380936878604895
2004-08-04,1.0929,1.0929,1.0905,1.0923,0,NaN,0,0,0.3746886629631389
2004-08-06,1.0923,1.0959,1.0923,1.0959,0,NaN,0,0,0.3725135628432942
