time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
2004-05-03,1.15345,1.15345,1.152,1.152,0,NaN,0,0,NaN
2004-05-06,1.152,1.152,1.13795,1.1452,0,NaN,0,0,NaN
2004-05-11,1.1452,1.1506,1.1399,1.1475,0,NaN,0,0,NaN
2004-05-14,1.1475,1.1475,1.14425,1.1465,0,NaN,0,0,NaN
2004-05-19,1.1465,1.14745,1.1452,1.14745,0,NaN,0,0,NaN
2004-05-24,1.14745,1.14745,1.13835,1.13835,0,NaN,0,0,NaN
2004-05-27,1.13835,1.13835,1.12995,1.13145,0,NaN,0,0,NaN
2004-06-01,1.13145,1.13145,1.1148,1.1148,0,NaN,0,0,NaN
2004-06-04,1.1148,1.11805,1.1148,1.1167,0,NaN,0,0,NaN
2004-06-09,1.1167,1.1173,1.1003,1.10045,0,NaN,0,0,NaN
2004-06-14,1.10045,1.10115,1.0932,1.0956,0,NaN,0,0,NaN
2004-06-17,1.0956,1.09885,1.0956,1.09805,0,NaN,0,0,NaN
2004-06-22,1.09805,1.1023,1.095,1.1023,0,NaN,0,0,NaN
2004-06-25,1.1023,1.1023,1.0912,1.0941,0,NaN,0,0,NaN
2004-06-30,1.0941,1.10205,1.0941,1.10205,0,NaN,0,0,NaN
2004-07-05,1.10205,1.10205,1.098,1.101,0,NaN,0,0,NaN
2004-07-08,1.101,1.101,1.09765,1.1005,0,NaN,0,0,NaN
2004-07-13,1.1005,1.1107,1.1005,1.1107,0,NaN,0,0,NaN
2004-07-16,1.1107,1.1163,1.1107,1.1123,0,NaN,0,0,NaN
2004-07-21,1.1123,1.1168,1.1123,1.11645,0,NaN,0,0,NaN
2004-07-26,1.11645,1.11645,1.1121,1.1121,0,NaN,0,0,NaN
2004-07-29,1.1121,1.1121,1.0991,1.0991,0,NaN,0,0,NaN
2004-08-03,1.0991,1.0991,1.0905,1.0923,0,NaN,0,0,NaN
2004-08-06,1.0923,1.0959,1.0923,1.0927,0,NaN,0,0,NaN
2004-08-11,1.0927,1.0927,1.07605,1.07605,0,NaN,0,0,NaN
2004-08-16,1.07605,1.0801,1.07605,1.07755,0,NaN,0,0,0.5182135357714773
2004-08-19,1.07755,1.07855,1.07665,1.0772,0,NaN,0,0,0.3560800263728096
2004-08-24,1.0772,1.0881,1.0772,1.08,0,NaN,0,0,0.4853914442716938
2004-08-27,1.08,1.08,1.0746,1.0746,0,NaN,0,0,0.5450941204876346
2004-09-01,1.0746,1.0753,1.07025,1.07025,0,NaN,0,0,0.6390724711291944
2004-09-06,1.07025,1.0727,1.0661,1.0721,0,NaN,0,0,0.6910764989329031
2004-09-09,1.0721,1.0721,1.0548,1.06,0,NaN,0,0,0.7355763088473005
2004-09-14,1.06,1.06065,1.0582,1.0586,0,NaN,0,0,0.7709193273059817
2004-09-17,1.0586,1.06025,1.05695,1.06,0,NaN,0,0,0.7977721764728054
2004-09-22,1.06,1.07115,1.06,1.06845,0,NaN,0,0,0.800818829407288
2004-09-27,1.06845,1.0722,1.06845,1.0699,0,NaN,0,0,0.8014506141627391
2004-09-30,1.0699,1.07765,1.0699,1.07765,0,NaN,0,0,0.8021093347115528
