time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
2004-05-04,1.15345,1.15345,1.13795,1.13795,0,NaN,0,0,NaN
2004-05-10,1.13795,1.1506,1.13795,1.1475,0,NaN,0,0,NaN
2004-05-14,1.1475,1.1475,1.14425,1.1452,0,NaN,0,0,NaN
2004-05-20,1.1452,1.14745,1.1452,1.14675,0,NaN,0,0,NaN
2004-05-26,1.14675,1.14675,1.12995,1.13145,0,NaN,0,0,NaN
2004-06-01,1.13145,1.13145,1.1148,1.11805,0,NaN,0,0,NaN
2004-06-07,1.11805,1.11805,1.1003,1.1003,0,NaN,0,0,NaN
2004-06-11,1.1003,1.10115,1.0932,1.0956,0,NaN,0,0,NaN
2004-06-17,1.0956,1.09885,1.095,1.095,0,NaN,0,0,NaN
2004-06-23,1.095,1.1023,1.0912,1.0912,0,NaN,0,0,NaN
2004-06-29,1.0912,1.10205,1.0912,1.10205,0,NaN,0,0,NaN
2004-07-05,1.10205,1.10205,1.09765,1.09765,0,NaN,0,0,NaN
2004-07-09,1.09765,1.109,1.09765,1.109,0,NaN,0,0,NaN
2004-07-15,1.109,1.1163,1.109,1.1123,0,NaN,0,0,NaN
2004-07-21,1.1123,1.1168,1.1123,1.1149,0,NaN,0,0,NaN
2004-07-27,1.1149,1.1149,1.10355,1.10355,0,NaN,0,0,NaN
2004-08-02,1.10355,1.10355,1.0905,1.0923,0,NaN,0,0,NaN
2004-08-06,1.0923,1.0959,1.0915,1.0915,0,NaN,0,0,NaN
2004-08-12,1.0915,1.0915,1.07605,1.0778,0,NaN,0,0,NaN
2004-08-18,1.0778,1.07855,1.07665,1.0772,0,NaN,0,0,NaN
2004-08-24,1.0772,1.0881,1.07625,1.07625,0,NaN,0,0,NaN
2004-08-30,1.07625,1.07625,1.0725,1.0753,0,NaN,0,0,NaN
2004-09-03,1.0753,1.0753,1.0661,1.0721,0,NaN,0,0,NaN
2004-09-09,1.0721,1.0721,1.0548,1.06065,0,NaN,0,0,0.8336991398375494
2004-09-15,1.06065,1.06065,1.05695,1.06025,0,NaN,0,0,0.8160680569561479
2004-09-21,1.06025,1.07115,1.06,1.06845,0,NaN,0,0,0.8629789311061927
2004-09-27,1.06845,1.0732,1.06845,1.0732,0,NaN,0,0,0.8636625054624901
2004-10-01,1.0732,1.07765,1.0718,1.0718,0,NaN,0,0,0.8694759843877471
2004-10-07,1.0718,1.0764,1.0718,1.0764,0,NaN,0,0,0.8726430519519228
2004-10-13,1.0764,1.0764,1.0591,1.0591,0,NaN,0,0,0.8762480653637978
2004-10-19,1.0591,1.0637,1.0591,1.0637,0,NaN,0,0,0.8715274690085678
2004-10-25,1.0637,1.09265,1.0637,1.09265,0,NaN,0,0,0.8268378025739901
2004-10-29,1.09265,1.0952,1.08945,1.0952,0,NaN,0,0,0.7490700253527438
2004-11-04,1.0952,1.10365,1.0952,1.10365,0,NaN,0,0,0.5975476505063675
2004-11-10,1.10365,1.1117,1.10365,1.1041,0,NaN,0,0,0.506419324349753
2004-11-16,1.1041,1.10565,1.10175,1.10565,0,NaN,0,0,0.5067267028729396
2004-11-22,1.10565,1.10895,1.1029,1.1053,0,NaN,0,0,0.5314372753323153
2004-11-26,1.1053,1.1053,1.08,1.0826,0,NaN,0,0,0.5351638802955466
2004-12-02,1.0826,1.08415,1.0744,1.0796,0,NaN,0,0,0.5464888949841458
2004-12-08,1.0796,1.0796,1.0597,1.06865,0,NaN,0,0,0.5066000024868237
2004-12-14,1.06865,1.07005,1.0631,1.07005,0,NaN,0,0,0.4142153514242316
2004-12-20,1.07005,1.07695,1.06545,1.076,0,NaN,0,0,0.3390527001198873
2004-12-24,1.076,1.08385,1.07155,1.08385,0,NaN,0,0,0.32656756240766477
2004-12-30,1.08385,1.09015,1.08385,1.09015,0,NaN,0,0,0.2925579113942647
2005-01-03,1.09015,1.0955,1.08365,1.0902,0,NaN,0,0,0.23585412684447052
2005-01-07,1.0902,1.0955,1.0833,1.0849,0,NaN,0,0,0.1777925544158781
2005-01-13,1.0849,1.0904,1.0833,1.08435,0,NaN,0,0,0.15341085738506197
2005-01-19,1.08435,1.08645,1.0717,1.0777,0,NaN,0,0,0.0496686432483353
2005-01-25,1.0777,1.0892,1.0754,1.08735,0,NaN,0,0,0.03644197801258243
2005-01-31,1.08735,1.09225,1.0838,1.0862,0,NaN,0,0,-0.11952242695663992
2005-02-04,1.0862,1.09745,1.08,1.09495,0,NaN,0,0,-0.20796805346908703
2005-02-10,1.09495,1.10485,1.09375,1.09945,0,NaN,0,0,-0.05035469384443977
2005-02-16,1.09945,1.10105,1.0843,1.08845,0,NaN,0,0,0.0024408747350261003
2005-02-22,1.08845,1.0919,1.0848,1.08865,0,NaN,0,0,0.14097677641506692
