time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020632400,0.5397,0.5397,0.5397,0.5397,0,NaN,0,0,NaN
1020718800,0.5397,0.5397,0.5395,0.5395,0,NaN,0,0,NaN
1020805200,0.5395,0.5397,0.5395,0.5397,0,NaN,0,0,NaN
1020891600,0.5397,0.544,0.5397,0.544,0,NaN,0,0,NaN
1020978000,0.544,0.5448,0.544,0.5448,0,NaN,0,0,NaN
1021237200,0.5444,0.5475,0.5444,0.5475,0,NaN,0,0,NaN
1021323600,0.5475,0.5475,0.5475,0.5475,0,NaN,0,0,NaN
1021410000,0.5475,0.5492,0.5475,0.5492,0,NaN,0,0,NaN
1021496400,0.5492,0.5492,0.5488,0.5488,0,NaN,0,0,NaN
1021582800,0.5488,0.5528,0.5488,0.5528,0,NaN,0,0,NaN
1021842000,0.5526,0.5562,0.5526,0.5562,0,NaN,0,0,NaN
1021928400,0.5562,0.5567,0.5562,0.5567,0,NaN,0,0,NaN
1022014800,0.5567,0.55895,0.5567,0.55895,0,NaN,0,0,NaN
1022101200,0.55895,0.55895,0.55635,0.55635,0,NaN,0,0,NaN
1022187600,0.55635,0.5566,0.55635,0.5566,0,NaN,0,0,NaN
1022446800,0.5568,0.5574,0.5568,0.5574,0,NaN,0,0,NaN
1022533200,0.5574,0.5616,0.5574,0.5616,0,NaN,0,0,NaN
1022619600,0.5616,0.5629,0.5616,0.5629,0,NaN,0,0,NaN
1022706000,0.5629,0.5641,0.5629,0.5641,0,NaN,0,0,NaN
1022792400,0.5641,0.5674,0.5641,0.5674,0,NaN,0,0,NaN
1023051600,0.5674,0.57125,0.5674,0.57125,0,NaN,0,0,NaN
1023138000,0.57125,0.5724,0.57125,0.5724,0,NaN,0,0,NaN
1023224400,0.5724,0.57375,0.5724,0.57375,0,NaN,0,0,NaN
1023310800,0.57375,0.5759,0.57375,0.5759,0,NaN,0,0,NaN
1023656400,0.5713,0.5713,0.5707,0.5707,0,NaN,0,0,NaN
1023742800,0.5707,0.5707,0.5707,0.5707,0,NaN,0,0,NaN
1023829200,0.5707,0.5707,0.5702,0.5702,0,NaN,0,0,NaN
1023915600,0.5702,0.5702,0.567,0.567,0,NaN,0,0,NaN
1024002000,0.567,0.567,0.5604,0.5604,0,NaN,0,0,NaN
1024261200,0.5608,0.5608,0.5588,0.5588,0,NaN,0,0,NaN
1024347600,0.5588,0.566,0.5588,0.566,0,NaN,0,0,NaN
1024434000,0.566,0.566,0.5652,0.5652,0,NaN,0,0,NaN
1024520400,0.5652,0.5719,0.5652,0.5719,0,NaN,0,0,NaN
1024606800,0.5719,0.5748,0.5719,0.5748,0,NaN,0,0,NaN
1024866000,0.5744,0.5744,0.5703,0.5703,0,NaN,0,0,NaN
1024952400,0.5703,0.5728,0.5703,0.5728,0,NaN,0,0,NaN
1025038800,0.5728,0.5728,0.55965,0.55965,0,NaN,0,0,NaN
1025125200,0.55965,0.56425,0.55965,0.56425,0,NaN,0,0,NaN
1025211600,0.56425,0.56425,0.5638,0.5638,0,NaN,0,0,NaN
1025470800,0.5644,0.5644,0.5622,0.5622,0,NaN,0,0,NaN
1025557200,0.5622,0.564,0.5622,0.564,0,NaN,0,0,NaN
1025643600,0.564,0.564,0.5603,0.5603,0,NaN,0,0,NaN
1025730000,0.5603,0.5603,0.5562,0.5562,0,NaN,0,0,NaN
1025816400,0.5562,0.5573,0.5562,0.5573,0,NaN,0,0,NaN
1026075600,0.5577,0.5649,0.5577,0.5649,0,NaN,0,0,NaN
1026162000,0.5649,0.5674,0.5649,0.5674,0,NaN,0,0,NaN
1026248400,0.5674,0.5674,0.5653,0.5653,0,NaN,0,0,NaN
1026334800,0.5653,0.5653,0.5574,0.5574,0,NaN,0,0,NaN
1026421200,0.5574,0.5587,0.5574,0.5587,0,NaN,0,0,NaN
1026680400,0.5587,0.5601,0.5587,0.5601,0,NaN,0,0,NaN
1026766800,0.5601,0.5601,0.5572,0.5572,0,NaN,0,0,NaN
1026853200,0.5572,0.5572,0.5513,0.5513,0,NaN,0,0,NaN
1026939600,0.5513,0.554,0.5513,0.554,0,NaN,0,0,NaN
1027026000,0.554,0.5568,0.554,0.5568,0,NaN,0,0,NaN
1027285200,0.5565,0.5565,0.5478,0.5478,0,NaN,0,0,NaN
1027371600,0.5478,0.5478,0.5383,0.5383,0,NaN,0,0,NaN
1027458000,0.5383,0.5448,0.5383,0.5448,0,NaN,0,0,NaN
1027544400,0.5448,0.5448,0.54165,0.54165,0,NaN,0,0,NaN
1027630800,0.54165,0.54165,0.5362,0.5362,0,NaN,0,0,NaN
1027890000,0.5364,0.54125,0.5364,0.54125,0,NaN,0,0,NaN
1027976400,0.54125,0.54365,0.54125,0.54365,0,NaN,0,0,NaN
1028062800,0.54365,0.54365,0.54315,0.54315,0,NaN,0,0,NaN
1028149200,0.54315,0.54315,0.53955,0.53955,0,NaN,0,0,NaN
1028235600,0.53955,0.53955,0.5393,0.5393,0,NaN,0,0,NaN
1028494800,0.5391,0.5391,0.5279,0.5279,0,NaN,0,0,NaN
1028581200,0.5279,0.53025,0.5279,0.53025,0,NaN,0,0,NaN
1028667600,0.53025,0.53665,0.53025,0.53665,0,NaN,0,0,NaN
1028754000,0.53665,0.53665,0.53465,0.53465,0,NaN,0,0,NaN
1028840400,0.53465,0.5356,0.53465,0.5356,0,NaN,0,0,NaN
1029099600,0.5347,0.53945,0.5347,0.53945,0,NaN,0,0,NaN
1029186000,0.53945,0.53945,0.5374,0.5374,0,NaN,0,0,NaN
1029272400,0.5374,0.5379,0.5374,0.5379,0,NaN,0,0,NaN
1029358800,0.5379,0.5424,0.5379,0.5424,0,NaN,0,0,NaN
1029445200,0.5424,0.5459,0.5424,0.5459,0,NaN,0,0,NaN
1029704400,0.5459,0.5459,0.5411,0.5411,0,NaN,0,0,NaN
1029790800,0.5411,0.5465,0.5411,0.5465,0,NaN,0,0,NaN
1029877200,0.5465,0.5465,0.5448,0.5448,0,NaN,0,0,NaN
1029963600,0.5448,0.5448,0.5417,0.5417,0,NaN,0,0,NaN
1030050000,0.5417,0.5432,0.5417,0.5432,0,NaN,0,0,NaN
1030309200,0.5448,0.5448,0.5447,0.5447,0,NaN,0,0,NaN
1030395600,0.5447,0.5536,0.5447,0.5536,0,NaN,0,0,NaN
1030482000,0.5536,0.5536,0.5512,0.5512,0,NaN,0,0,NaN
1030568400,0.5512,0.5524,0.5512,0.5524,0,NaN,0,0,NaN
1030654800,0.5524,0.5524,0.5507,0.5507,0,NaN,0,0,NaN
1030914000,0.55,0.5515,0.55,0.5515,0,NaN,0,0,NaN
1031000400,0.5515,0.5515,0.5477,0.5477,0,NaN,0,0,NaN
1031086800,0.5477,0.5477,0.5454,0.5454,0,NaN,0,0,NaN
1031173200,0.5454,0.5454,0.5428,0.5428,0,NaN,0,0,NaN
1031518800,0.5473,0.5482,0.5473,0.5482,0,NaN,0,0,NaN
1031605200,0.5482,0.5486,0.5482,0.5486,0,NaN,0,0,NaN
1031778000,0.5486,0.5523,0.5486,0.5523,0,NaN,0,0,NaN
1031864400,0.5523,0.5523,0.5498,0.5498,0,NaN,0,0,NaN
1032123600,0.5504,0.5504,0.5481,0.5481,0,NaN,0,0,NaN
1032210000,0.5481,0.5481,0.5479,0.5479,0,NaN,0,0,NaN
1032296400,0.5479,0.54895,0.5479,0.54895,0,NaN,0,0,NaN
1032382800,0.54895,0.5496,0.54895,0.5496,0,NaN,0,0,NaN
1032469200,0.5496,0.5496,0.5459,0.5459,0,NaN,0,0,NaN
