time,open,high,low,close
1020200400,0.5397,0.5674,0.5395,0.5674
1023051600,0.5674,0.5759,0.5588,0.5638
1025470800,0.5644,0.5674,0.5362,0.54315
1028149200,0.54315,0.5536,0.5279,0.5507
1030914000,0.55,0.5523,0.5428,0.5429
1033419600,0.5429,0.559,0.5429,0.5547
1036101600,0.5547,0.5665,0.5547,0.5606
1038780000,0.5607,0.5669,0.559,0.5636
1041372000,0.5636,0.5926,0.5621,0.587
1044223200,0.5869,0.6083,0.5847,0.6083
1046642400,0.6078,0.6166,0.5897,0.6043
1049148000,0.6043,0.6266,0.5989,0.6266
1051736400,0.6266,0.6604,0.6266,0.6528
1054501200,0.6507,0.67385,0.6507,0.67385
1057006800,0.67385,0.68135,0.6468,0.64875
1059685200,0.64875,0.66065,0.63935,0.6472
1062363600,0.6481,0.67995,0.63665,0.67995
1064955600,0.67995,0.7079,0.6778,0.7079
1067810400,0.7075,0.7242,0.6985,0.7242
1070229600,0.7235,0.7502,0.7235,0.7502
1072908000,0.7502,0.779,0.7502,0.7641
1075672800,0.7647,0.7983,0.7582,0.774
1078092000,0.773,0.773,0.7321,0.7668
1080770400,0.7668,0.7681,0.7209,0.7209
1083531600,0.7218,0.7328,0.6858,0.71525
1086037200,0.71525,0.71525,0.68205,0.6993
1088629200,0.6993,0.7322,0.6993,0.7028
1091394000,0.7039,0.72475,0.6997,0.7042
1093986000,0.7042,0.7277,0.6884,0.7277
1096578000,0.7277,0.7467,0.7216,0.7467
1099260000,0.7486,0.79135,0.7468,0.7721
1101852000,0.7721,0.7825,0.7494,0.7825
1104703200,0.7806,0.7839,0.7505,0.7757
1107208800,0.7757,0.7959,0.7613,0.7919
1109628000,0.7919,0.7989,0.76695,0.7728
1112306400,0.7728,0.7841,0.7626,0.7813
1114981200,0.7804,0.7828,0.7531,0.7558
1117573200,0.7558,0.781,0.7476,0.7625
1120165200,0.7625,0.7689,0.7367,0.7566
1122843600,0.7561,0.7756,0.7458,0.7553
1125522000,0.7553,0.7761,0.7531,0.762
1128286800,0.7625,0.7645,0.7439,0.7482
1130796000,0.7482,0.7484,0.7262,0.7378
1133388000,0.7378,0.7579,0.72345,0.7329
1136152800,0.7329,0.7587,0.7315,0.7581
1138744800,0.7581,0.7589,0.7344,0.7423
1141164000,0.7423,0.7486,0.70145,0.7165
1144011600,0.7163,0.76065,0.7116,0.7596
1146430800,0.7591,0.7793,0.7466,0.7521
1149109200,0.7521,0.7547,0.727,0.7429
1151874000,0.7434,0.7676,0.74,0.7664
1154379600,0.7664,0.7716,0.7552,0.7636
1157058000,0.7636,0.7721,0.7434,0.7462
1159736400,0.7452,0.7754,0.7416,0.7736
1162332000,0.7736,0.7902,0.7616,0.7889
1164924000,0.7889,0.793,0.7781,0.7888
1167602400,0.7888,0.7979,0.7697,0.777
1170280800,0.777,0.7947,0.7708,0.7878
1172700000,0.7878,0.8127,0.7682,0.80854
1175461200,0.81,0.83925,0.80645,0.8301
1177966800,0.8301,0.83525,0.8163,0.82785
1180645200,0.82785,0.85218,0.82695,0.84928
1183323600,0.8491,0.88719,0.84598,0.8516
1185915600,0.8516,0.86625,0.76735,0.81853
1188766800,0.8161,0.88869,0.81595,0.88789
1191186000,0.88829,0.93482,0.87507,0.93412
1193864400,0.93412,0.94006,0.86534,0.8843
1196632800,0.88299,0.8908,0.85545,0.87509
1199138400,0.87509,0.90181,0.85145,0.89555
1201816800,0.89555,0.94978,0.88747,0.93088
1204495200,0.93316,0.94725,0.89538,0.91315
1206997200,0.91315,0.95423,0.903005,0.94355
1209589200,0.94355,0.96547,0.92755,0.95588
1212354000,0.95443,0.96677,0.93278,0.95854
1214859600,0.95854,0.98503,0.93975,0.94224
1217538000,0.94224,0.94224,0.84938,0.85794
1220216400,0.85653,0.858065,0.780135,0.792385
1222808400,0.792385,0.80216,0.60093,0.6677
1225663200,0.66771,0.70146,0.607455,0.65475
1228082400,0.6534,0.713825,0.629035,0.703
1230760800,0.703,0.72696,0.634605,0.63557
1233525600,0.63655,0.684945,0.624885,0.63893
1235944800,0.6393,0.7095,0.62857,0.69122
1238533200,0.69122,0.73847,0.68558,0.7256
1241125200,0.7256,0.80164,0.72422,0.80119
1243803600,0.80413,0.82648,0.778975,0.806445
1246395600,0.806445,0.83662,0.770315,0.83585
1249246800,0.8357,0.84784,0.81562,0.84397
1251752400,0.84397,0.88472,0.824065,0.88268
1254344400,0.88268,0.932815,0.856895,0.89956
1257112800,0.89671,0.94061,0.89068,0.915875
1259618400,0.915875,0.93221,0.87349,0.89775
1262296800,0.89775,0.932995,0.88339,0.88374
1264975200,0.87985,0.90713,0.85785,0.89541
1267394400,0.89609,0.92519,0.89354,0.917075
1270069200,0.917075,0.93887,0.91357,0.92431
1272834000,0.92373,0.927475,0.8067,0.84587
1275339600,0.84587,0.88594,0.808225,0.840725
1277931600,0.840725,0.90689,0.83163,0.90421
1280696400,0.90552,0.922185,0.87709,0.890625
1283288400,0.890625,0.97341,0.890095,0.967075
1285880400,0.967075,1.00026,0.95417,0.98357
1288558800,0.98541,1.01829,0.95444,0.958715
1291154400,0.958715,1.0257,0.95375,1.02324
1294005600,1.02031,1.022495,0.98044,0.9974
1296511200,0.9974,1.02002,0.99437,1.01855
1298930400,1.01855,1.037295,0.97065,1.03288
1301605200,1.03288,1.09777,1.028875,1.09705
1304283600,1.09631,1.10118,1.044125,1.067185
