time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020286800,0.5397,0.5397,0.5397,0.5397,0,NaN,0,0,NaN
1020718800,0.5397,0.544,0.5395,0.544,0,NaN,0,0,NaN
1020978000,0.544,0.5475,0.544,0.5475,0,NaN,0,0,NaN
1021410000,0.5475,0.5528,0.5475,0.5528,0,NaN,0,0,NaN
1021842000,0.5526,0.55895,0.5526,0.55895,0,NaN,0,0,NaN
1022101200,0.55895,0.55895,0.55635,0.5574,0,NaN,0,0,NaN
1022533200,0.5574,0.5641,0.5574,0.5641,0,NaN,0,0,NaN
1022792400,0.5641,0.5724,0.5641,0.5724,0,NaN,0,0,NaN
1023224400,0.5724,0.5759,0.5724,0.5759,0,NaN,0,0,NaN
1023656400,0.5713,0.5713,0.5702,0.5702,0,NaN,0,0,NaN
1023915600,0.5702,0.5702,0.5588,0.5588,0,NaN,0,0,NaN
1024347600,0.5588,0.5719,0.5588,0.5719,0,NaN,0,0,NaN
1024606800,0.5719,0.5748,0.5703,0.5728,0,NaN,0,0,NaN
1025038800,0.5728,0.5728,0.55965,0.5638,0,NaN,0,0,NaN
1025470800,0.5644,0.5644,0.5603,0.5603,0,NaN,0,0,NaN
1025730000,0.5603,0.5649,0.5562,0.5649,0,NaN,0,0,NaN
1026162000,0.5649,0.5674,0.5574,0.5574,0,NaN,0,0,NaN
1026421200,0.5574,0.5601,0.5572,0.5572,0,NaN,0,0,NaN
1026853200,0.5572,0.5572,0.5513,0.5568,0,NaN,0,0,NaN
1027285200,0.5565,0.5565,0.5383,0.5448,0,NaN,0,0,NaN
1027544400,0.5448,0.5448,0.5362,0.54125,0,NaN,0,0,NaN
1027976400,0.54125,0.54365,0.53955,0.53955,0,NaN,0,0,NaN
1028235600,0.53955,0.53955,0.5279,0.53025,0,NaN,0,0,NaN
1028667600,0.53025,0.53665,0.53025,0.5356,0,NaN,0,0,NaN
1029099600,0.5347,0.53945,0.5347,0.5379,0,NaN,0,0,NaN
1029358800,0.5379,0.5459,0.5379,0.5411,0,NaN,0,0,NaN
1029790800,0.5411,0.5465,0.5411,0.5417,0,NaN,0,0,NaN
1030050000,0.5417,0.5536,0.5417,0.5536,0,NaN,0,0,NaN
1030482000,0.5536,0.5536,0.5507,0.5507,0,NaN,0,0,NaN
1030914000,0.55,0.5515,0.5454,0.5454,0,NaN,0,0,NaN
1031173200,0.5454,0.5482,0.5428,0.5482,0,NaN,0,0,NaN
1031605200,0.5482,0.5523,0.5482,0.5523,0,NaN,0,0,NaN
1031864400,0.5523,0.5523,0.5479,0.5479,0,NaN,0,0,NaN
