time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020373200,0.5397,0.5397,0.5395,0.5397,0,NaN,0,0,NaN
1020891600,0.5397,0.5475,0.5397,0.5475,0,NaN,0,0,NaN
1021410000,0.5475,0.5562,0.5475,0.5562,0,NaN,0,0,NaN
1021928400,0.5562,0.55895,0.5562,0.5566,0,NaN,0,0,NaN
1022446800,0.5568,0.5641,0.5568,0.5641,0,NaN,0,0,NaN
1022792400,0.5641,0.57375,0.5641,0.57375,0,NaN,0,0,NaN
1023310800,0.57375,0.5759,0.5707,0.5707,0,NaN,0,0,NaN
1023829200,0.5707,0.5707,0.5588,0.5588,0,NaN,0,0,NaN
1024347600,0.5588,0.5748,0.5588,0.5748,0,NaN,0,0,NaN
1024866000,0.5744,0.5744,0.55965,0.56425,0,NaN,0,0,NaN
1025211600,0.56425,0.5644,0.5603,0.5603,0,NaN,0,0,NaN
1025730000,0.5603,0.5674,0.5562,0.5674,0,NaN,0,0,NaN
1026248400,0.5674,0.5674,0.5574,0.5601,0,NaN,0,0,NaN
1026766800,0.5601,0.5601,0.5513,0.5568,0,NaN,0,0,NaN
1027285200,0.5565,0.5565,0.5383,0.54165,0,NaN,0,0,NaN
1027630800,0.54165,0.54365,0.5362,0.54315,0,NaN,0,0,NaN
1028149200,0.54315,0.54315,0.5279,0.53025,0,NaN,0,0,NaN
1028667600,0.53025,0.53945,0.53025,0.53945,0,NaN,0,0,NaN
1029186000,0.53945,0.5459,0.5374,0.5459,0,NaN,0,0,NaN
1029704400,0.5459,0.5465,0.5411,0.5417,0,NaN,0,0,NaN
1030050000,0.5417,0.5536,0.5417,0.5512,0,NaN,0,0,NaN
1030568400,0.5512,0.5524,0.5477,0.5477,0,NaN,0,0,NaN
1031086800,0.5477,0.5482,0.5428,0.5482,0,NaN,0,0,NaN
1031605200,0.5482,0.5523,0.5482,0.5498,0,NaN,0,0,NaN
1032123600,0.5504,0.5504,0.5479,0.5496,0,NaN,0,0,NaN
1032469200,0.5496,0.5496,0.5439,0.546,0,NaN,0,0,NaN
1032987600,0.546,0.546,0.5429,0.5442,0,NaN,0,0,NaN
1033506000,0.5442,0.5499,0.5436,0.5499,0,NaN,0,0,NaN
1034024400,0.5499,0.5499,0.5463,0.5495,0,NaN,0,0,NaN
1034542800,0.5473,0.5509,0.5467,0.5509,0,NaN,0,0,NaN
1034888400,0.5509,0.5546,0.5501,0.553,0,NaN,0,0,NaN
1035406800,0.553,0.559,0.553,0.5573,0,NaN,0,0,NaN
1035928800,0.5573,0.5616,0.5533,0.5616,0,NaN,0,0,NaN
1036447200,0.5616,0.5665,0.5614,0.5646,0,NaN,0,0,NaN
1036965600,0.564,0.564,0.5599,0.5634,0,NaN,0,0,NaN
1037311200,0.5634,0.5636,0.5588,0.5603,0,NaN,0,0,NaN
1037829600,0.5603,0.5636,0.5596,0.5598,0,NaN,0,0,NaN
1038348000,0.5598,0.5607,0.5565,0.5599,0,NaN,0,0,NaN
1038866400,0.5599,0.5613,0.559,0.5607,0,NaN,0,0,NaN
