time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
2004-06-01,80.84,80.84,80.84,80.84,0,NaN,0,0,NaN
2004-06-02,80.84,80.84,80.72,80.72,0,NaN,0,0,NaN
2004-06-03,80.72,81.3,80.72,81.3,0,NaN,0,0,NaN
2004-06-04,81.3,82.25,81.3,82.25,0,NaN,0,0,NaN
2004-06-07,82.25,82.25,81.34,81.34,0,NaN,0,0,NaN
2004-06-08,81.34,81.34,81.25,81.25,0,NaN,0,0,NaN
2004-06-09,81.25,81.25,81.22,81.22,0,NaN,0,0,NaN
2004-06-10,81.22,81.22,80.37,80.37,0,NaN,0,0,NaN
2004-06-11,80.37,80.72,80.37,80.72,0,NaN,0,0,NaN
2004-06-14,80.72,80.75,80.72,80.75,0,NaN,0,0,NaN
2004-06-15,80.75,80.75,80.03,80.03,0,NaN,0,0,NaN
2004-06-16,80.03,80.18,80.03,80.18,0,NaN,0,0,NaN
2004-06-17,80.18,80.18,79.95,79.95,0,NaN,0,0,NaN
2004-06-18,79.95,79.95,79.89,79.89,0,NaN,0,0,NaN
2004-06-21,79.89,79.89,79.78,79.78,0,NaN,0,0,NaN
2004-06-22,79.78,80.48,79.78,80.48,0,NaN,0,0,NaN
2004-06-23,80.48,80.48,79.78,79.78,0,NaN,0,0,NaN
2004-06-24,79.78,79.78,79.66,79.66,0,NaN,0,0,NaN
2004-06-25,79.66,79.69,79.66,79.69,0,NaN,0,0,NaN
2004-06-28,79.69,80.04,79.69,80.04,0,NaN,0,0,0.11741197170992544
2004-06-29,80.04,80.49,80.04,80.49,0,NaN,0,0,0.04862113670328715
2004-06-30,80.49,81.61,80.49,81.61,0,NaN,0,0,-0.08204455511760866
2004-07-01,81.61,81.61,81.33,81.33,0,NaN,0,0,-0.07638139318616727
2004-07-02,81.33,81.81,81.33,81.81,0,NaN,0,0,-0.006526642198697249
2004-07-05,81.81,82.26,81.81,82.26,0,NaN,0,0,-0.05837293332167633
2004-07-06,82.26,82.44,82.26,82.44,0,NaN,0,0,0.021851678834157586
2004-07-07,82.44,82.44,82.28,82.28,0,NaN,0,0,0.20430289856636347
2004-07-08,82.28,82.68,82.28,82.68,0,NaN,0,0,0.29494826044190664
2004-07-09,82.68,82.68,82.06,82.06,0,NaN,0,0,0.3504331298149481
2004-07-12,82.06,82.18,82.06,82.18,0,NaN,0,0,0.42260614584196016
2004-07-13,82.18,82.42,82.18,82.42,0,NaN,0,0,0.5710952024803428
2004-07-14,82.42,82.55,82.42,82.55,0,NaN,0,0,0.63860191405104
2004-07-15,82.55,82.96,82.55,82.96,0,NaN,0,0,0.6539589388873578
2004-07-16,82.96,82.96,82.88,82.88,0,NaN,0,0,0.6754314526409606
2004-07-19,82.88,82.88,82.77,82.77,0,NaN,0,0,0.7054326057033293
2004-07-20,82.77,82.77,82.73,82.73,0,NaN,0,0,0.6980015737230753
2004-07-21,82.73,83.1,82.73,83.1,0,NaN,0,0,0.6140727370663287
2004-07-22,83.1,83.34,83.1,83.34,0,NaN,0,0,0.5188660326432848
2004-07-23,83.34,83.4,83.34,83.4,0,NaN,0,0,0.4482555473850427
2004-07-26,83.4,83.4,82.49,82.49,0,NaN,0,0,0.47266958090568484
2004-07-27,82.49,83.31,82.49,83.31,0,NaN,0,0,0.03854313910514012
2004-07-28,83.31,84.05,83.31,84.05,0,NaN,0,0,-0.36698807910812903
2004-07-29,84.05,84.56,84.05,84.56,0,NaN,0,0,-0.6917342991323839
2004-07-30,84.56,84.56,83.64,83.64,0,NaN,0,0,-0.7816773708361864
2004-08-02,83.64,83.64,83.11,83.11,0,NaN,0,0,-0.815755815243558
2004-08-03,83.11,83.92,83.11,83.92,0,NaN,0,0,-0.8449986442814204
2004-08-04,83.92,84.44,83.92,84.44,0,NaN,0,0,-0.8621879150218134
2004-08-05,84.44,84.8,84.44,84.8,0,NaN,0,0,-0.8675718546300395
