time,open,high,low,close
1085950800,80.84,82.25,80.72,82.25
1086555600,82.25,82.25,80.37,80.72
1087160400,80.72,80.75,79.89,79.89
1087765200,79.89,80.48,79.66,79.69
1088370000,79.69,81.81,79.69,81.81
1088974800,81.81,82.68,81.81,82.06
1089579600,82.06,82.96,82.06,82.88
1090184400,82.88,83.4,82.73,83.4
1090789200,83.4,84.56,82.49,83.64
1091394000,83.64,84.8,83.11,84.17
1091998800,84.17,84.56,83.3,84.56
1092603600,84.56,84.56,83.85,84.05
1093208400,84.05,84.44,83.53,83.53
1093813200,83.53,84.97,83.16,84.97
1094418000,84.97,85.11,84.76,84.92
1095022800,84.92,84.92,84.56,84.63
1095627600,84.63,86.83,84.63,86.83
1096232400,86.83,87.63,86.83,87.63
1096837200,87.63,88.45,87.27,87.5
1097442000,87.5,87.5,87.12,87.25
1098046800,87.25,87.25,86.11,86.93
1098651600,86.93,87.4,86.85,86.89
1099260000,86.89,88.16,86.73,88.16
1099864800,88.16,89.745,88.11,88.48
1100469600,88.48,88.48,86.41,86.41
1101074400,86.41,87.23,86.41,87.23
1101679200,87.23,87.23,85.64,85.64
1102284000,85.64,85.96,85.16,85.83
1102888800,85.83,85.83,84.95,84.96
1103493600,84.96,84.96,83.95,84.27
1104098400,84.27,85.845,84.27,85.37
1104703200,85.37,85.695,84.61,85.06
1105308000,85.06,85.72,83.55,83.81
1105912800,83.81,84.71,83.25,84.04
1106517600,84.04,84.77,82.72,83.36
1107122400,83.36,84.32,82.93,83.3
1107727200,83.3,85.55,83.1,85.51
1108332000,85.51,86.08,84.59,85.8
1108936800,85.8,85.98,83.92,84.96
1109541600,84.96,85.15,83.85,85.09
1110146400,85.09,86.8,84.85,86.2
1110751200,86.2,87.31,86.11,87.09
1111356000,87.09,87.755,86.6,87.32
1111960800,87.32,88.98,87.28,88.57
1112562000,88.57,89.14,88.06,88.09
1113166800,88.09,88.41,86.37,86.48
1113771600,86.48,86.785,85.55,85.84
1114376400,85.84,85.84,83.12,83.25
1114981200,83.25,84.65,83.175,84.56
1115586000,84.56,85.61,84.52,84.8
1116190800,84.8,85.77,83.95,85.43
1116795600,85.43,86.22,84.97,86.05
1117400400,86.05,87.24,85.61,86.37
1118005200,86.37,87.04,85.27,86.81
1118610000,86.81,88.45,86.51,88.32
1119214800,88.32,89.05,87.64,88.39
1119819600,88.39,90.64,88.26,89.99
1120424400,89.99,92.14,89.43,92.03
1121029200,92.03,93.22,91.5,91.88
1121634000,91.88,93.07,90.43,91.3
1122238800,91.3,91.99,90.55,91.95
1122843600,91.95,92.74,91.25,92.03
1123448400,92.03,92.48,90.99,91.37
1124053200,91.37,91.79,90.385,91.2
1124658000,91.2,92.92,90.515,91.82
1125262800,91.82,93.825,91.82,92.44
1125867600,92.44,93.87,91.605,93.12
1126472400,93.12,94.54,92.53,94.43
1127077200,94.43,96.22,94.2,96.13
1127682000,96.13,97.915,95.3,97.58
1128286800,97.58,98.225,95.705,96.94
1128891600,96.94,97.995,95.995,96.13
1129496400,96.13,98.645,96.13,97.57
1130101200,97.57,99.315,96.785,98.27
1130709600,98.27,100.605,98.1,99.97
1131314400,99.97,99.97,98.235,99.18
1131919200,99.18,100.425,98.89,100.2
1132524000,100.2,102.485,99.795,102.26
1133128800,102.26,104.235,101.495,103.8
1133733600,103.8,105.065,103.535,104.26
1134338400,104.26,104.71,99.71,99.79
1134943200,99.79,100.875,99.185,99.72
1135548000,99.72,101.6,99.33,101.32
1136152800,101.32,101.61,98,98.2
1136757600,98.2,98.91,97.135,98.39
1137362400,98.39,100.225,97.605,100.02
1137967200,100.02,102.265,98.885,102.04
1138572000,102.04,104.04,101.8,103.91
1139176800,103.91,104.12,101.665,102.25
1139781600,102.25,102.985,101.185,102.64
1140386400,102.64,103.835,101.035,101.79
1140991200,101.79,103.015,100.58,102.63
1141596000,102.63,103.435,101.15,102.56
1142200800,102.56,102.825,99.905,100.06
1142805600,100.06,101.525,99.025,100.64
1143410400,100.64,101.485,99.355,100.78
1144011600,100.78,103.245,100.025,102.92
1144616400,102.92,103.775,102.64,103.05
1145221200,103.05,103.665,102.365,102.47
1145826000,102.47,102.47,100.535,101.92
1146430800,101.92,102.93,100.83,101.85
1147035600,101.85,101.85,99.12,99.18
1147640400,99.18,100.065,98.315,99.9
1148245200,99.9,101.93,99.275,101.88
1148850000,101.88,102.575,101.28,101.49
1149454800,101.49,103.11,101.155,103.01
1150059600,103.01,104.315,102.215,102.59
1150664400,102.59,104.115,102.175,103.8
1151269200,103.8,104.485,102.395,102.51
1151874000,102.51,104.225,102.12,102.38
1152478800,102.38,103.295,100.635,102.89
1153083600,102.89,103.785,101.915,102.09
1153688400,102.09,102.925,101.27,101.31
1154293200,101.31,102.53,101.025,101.52
1154898000,101.52,103.85,101.32,103.4
1155502800,103.4,103.865,102.755,102.89
1156107600,102.89,106.1,102.79,105.76
1156712400,105.76,106.405,105.015,106.04
1157317200,106.04,106.04,103.965,104.35
1157922000,104.35,105.745,104.02,105.06
1158526800,105.06,105.835,103.695,104.28
1159131600,104.28,106.305,103.995,105.7
1159736400,105.7,105.93,104.165,105.73
1160341200,105.73,106.255,104.995,105.14
1160946000,105.14,105.705,103.775,105.51
1161550800,105.51,106.045,104.735,105.03
1162159200,105.03,105.045,102.945,104.44
1162764000,104.44,104.865,103.645,103.9
1163368800,103.9,104.065,102.53,102.67
1163973600,102.67,103.325,101.605,102.13
1164578400,102.13,103.025,100.585,100.84
1165183200,100.84,101.38,100.005,101.2
1165788000,101.2,102.435,101.07,102.07
1166392800,102.07,103.325,101.705,102.58
