time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
2004-06-01,80.84,80.84,80.72,80.72,0,NaN,0,0,NaN
2004-06-03,80.72,82.25,80.72,82.25,0,NaN,0,0,NaN
2004-06-07,82.25,82.25,81.25,81.25,0,NaN,0,0,NaN
2004-06-09,81.25,81.25,80.37,80.37,0,NaN,0,0,NaN
2004-06-11,80.37,80.75,80.37,80.75,0,NaN,0,0,NaN
2004-06-15,80.75,80.75,80.03,80.18,0,NaN,0,0,NaN
2004-06-17,80.18,80.18,79.89,79.89,0,NaN,0,0,NaN
2004-06-21,79.89,80.48,79.78,80.48,0,NaN,0,0,NaN
2004-06-23,80.48,80.48,79.66,79.66,0,NaN,0,0,NaN
2004-06-25,79.66,80.04,79.66,80.04,0,NaN,0,0,NaN
2004-06-29,80.04,81.61,80.04,81.61,0,NaN,0,0,NaN
2004-07-01,81.61,81.81,81.33,81.81,0,NaN,0,0,NaN
2004-07-05,81.81,82.44,81.81,82.44,0,NaN,0,0,NaN
2004-07-07,82.44,82.68,82.28,82.68,0,NaN,0,0,NaN
2004-07-09,82.68,82.68,82.06,82.18,0,NaN,0,0,NaN
2004-07-13,82.18,82.55,82.18,82.55,0,NaN,0,0,NaN
2004-07-15,82.55,82.96,82.55,82.88,0,NaN,0,0,NaN
2004-07-19,82.88,82.88,82.73,82.73,0,NaN,0,0,NaN
2004-07-21,82.73,83.34,82.73,83.34,0,NaN,0,0,NaN
2004-07-23,83.34,83.4,82.49,82.49,0,NaN,0,0,0.44154252093322005
2004-07-27,82.49,84.05,82.49,84.05,0,NaN,0,0,0.1779871392847066
2004-07-29,84.05,84.56,83.64,83.64,0,NaN,0,0,0.09424812538773263
2004-08-02,83.64,83.92,83.11,83.92,0,NaN,0,0,-0.02453281214718166
2004-08-04,83.92,84.8,83.92,84.8,0,NaN,0,0,-0.15517445429669693
2004-08-06,84.8,84.8,83.96,83.96,0,NaN,0,0,-0.14572160292611572
2004-08-10,83.96,84.275,83.74,83.74,0,NaN,0,0,-0.09988021830749551
2004-08-12,83.74,84.56,83.3,84.56,0,NaN,0,0,-0.18123097836119423
2004-08-16,84.56,84.56,84.17,84.17,0,NaN,0,0,-0.3184528373531486
2004-08-18,84.17,84.31,83.85,84.31,0,NaN,0,0,-0.42133641665970967
2004-08-20,84.31,84.31,84.02,84.02,0,NaN,0,0,-0.5488649634325592
2004-08-24,84.02,84.44,83.89,84.44,0,NaN,0,0,-0.7604962306113887
2004-08-26,84.44,84.44,83.53,83.53,0,NaN,0,0,-0.7604642952567553
2004-08-30,83.53,83.53,83.16,83.16,0,NaN,0,0,-0.6882942878773686
2004-09-01,83.16,84.24,83.16,84.24,0,NaN,0,0,-0.6639619682438485
2004-09-03,84.24,84.97,84.24,84.82,0,NaN,0,0,-0.6653646828245279
2004-09-07,84.82,84.95,84.76,84.76,0,NaN,0,0,-0.6596732365649906
2004-09-09,84.76,85.11,84.76,84.92,0,NaN,0,0,-0.6578577507043425
2004-09-13,84.92,84.92,84.56,84.79,0,NaN,0,0,-0.6211914182222256
2004-09-15,84.79,84.91,84.79,84.91,0,NaN,0,0,-0.6320163465186237
2004-09-17,84.91,84.91,84.63,84.89,0,NaN,0,0,-0.6189609257436792
2004-09-21,84.89,86.28,84.89,86.28,0,NaN,0,0,-0.5969812873446599
2004-09-23,86.28,86.83,86.28,86.83,0,NaN,0,0,-0.5306685099773915
2004-09-27,86.83,87.59,86.83,87.59,0,NaN,0,0,-0.4581050404275391
2004-09-29,87.59,87.59,87.26,87.26,0,NaN,0,0,-0.41572198363613316
2004-10-01,87.26,87.63,87.26,87.27,0,NaN,0,0,-0.34997520426641143
2004-10-05,87.27,88.45,87.27,88.45,0,NaN,0,0,-0.2782894543907091
2004-10-07,88.45,88.45,87.5,87.5,0,NaN,0,0,-0.21001595674107895
2004-10-11,87.5,87.5,87.12,87.39,0,NaN,0,0,-0.12309148513719728
2004-10-13,87.39,87.39,87.25,87.25,0,NaN,0,0,-0.0044431215641385505
2004-10-15,87.25,87.25,86.92,86.92,0,NaN,0,0,0.14634500797974387
2004-10-19,86.92,86.93,86.11,86.93,0,NaN,0,0,0.23257952457379147
2004-10-21,86.93,86.93,86.42,86.93,0,NaN,0,0,0.42171483656714337
2004-10-25,86.93,87.4,86.93,87.11,0,NaN,0,0,0.8106018012556966
