time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
2004-06-01,80.84,81.3,80.72,81.3,0,NaN,0,0,NaN
2004-06-04,81.3,82.25,81.25,81.25,0,NaN,0,0,NaN
2004-06-09,81.25,81.25,80.37,80.72,0,NaN,0,0,NaN
2004-06-14,80.72,80.75,80.03,80.18,0,NaN,0,0,NaN
2004-06-17,80.18,80.18,79.78,79.78,0,NaN,0,0,NaN
2004-06-22,79.78,80.48,79.66,79.66,0,NaN,0,0,NaN
2004-06-25,79.66,80.49,79.66,80.49,0,NaN,0,0,NaN
2004-06-30,80.49,81.81,80.49,81.81,0,NaN,0,0,NaN
2004-07-05,81.81,82.44,81.81,82.28,0,NaN,0,0,NaN
2004-07-08,82.28,82.68,82.06,82.18,0,NaN,0,0,NaN
2004-07-13,82.18,82.96,82.18,82.96,0,NaN,0,0,NaN
2004-07-16,82.96,82.96,82.73,82.73,0,NaN,0,0,NaN
2004-07-21,82.73,83.4,82.73,83.4,0,NaN,0,0,NaN
2004-07-26,83.4,84.05,82.49,84.05,0,NaN,0,0,NaN
2004-07-29,84.05,84.56,83.11,83.11,0,NaN,0,0,NaN
2004-08-03,83.11,84.8,83.11,84.8,0,NaN,0,0,NaN
2004-08-06,84.8,84.8,83.96,84.275,0,NaN,0,0,NaN
2004-08-11,84.275,84.56,83.3,84.56,0,NaN,0,0,NaN
2004-08-16,84.56,84.56,83.85,83.85,0,NaN,0,0,NaN
2004-08-19,83.85,84.31,83.85,84.02,0,NaN,0,0,-0.26113439527037513
2004-08-24,84.02,84.44,83.89,83.89,0,NaN,0,0,-0.3318415792978375
2004-08-27,83.89,83.89,83.16,83.16,0,NaN,0,0,-0.32730003523746726
2004-09-01,83.16,84.97,83.16,84.97,0,NaN,0,0,-0.42807044686222073
2004-09-06,84.97,84.97,84.76,84.76,0,NaN,0,0,-0.4663191112101423
2004-09-09,84.76,85.11,84.56,84.56,0,NaN,0,0,-0.5112449799210588
2004-09-14,84.56,84.91,84.56,84.91,0,NaN,0,0,-0.6011853035136294
2004-09-17,84.91,85.18,84.63,85.18,0,NaN,0,0,-0.8026129453375942
2004-09-22,85.18,86.83,85.18,86.83,0,NaN,0,0,-0.778728176171984
2004-09-27,86.83,87.59,86.83,87.26,0,NaN,0,0,-0.7163291032477478
2004-09-30,87.26,87.63,87.26,87.27,0,NaN,0,0,-0.6215179031904561
2004-10-05,87.27,88.45,87.27,88.22,0,NaN,0,0,-0.523073347519648
2004-10-08,88.22,88.22,87.12,87.39,0,NaN,0,0,-0.4316411737659017
2004-10-13,87.39,87.39,87.25,87.25,0,NaN,0,0,-0.38619391269898745
2004-10-18,87.25,87.25,86.11,86.93,0,NaN,0,0,-0.3699898154039141
2004-10-21,86.93,87.4,86.42,87.4,0,NaN,0,0,-0.30792098058500855
2004-10-26,87.4,87.4,86.85,86.91,0,NaN,0,0,-0.2992667798892431
2004-10-29,86.91,87.08,86.73,86.73,0,NaN,0,0,-0.22975969180604783
2004-11-03,86.73,88.16,86.73,88.16,0,NaN,0,0,-0.15434928312166687
2004-11-08,88.16,89.745,88.11,89.745,0,NaN,0,0,-0.07969454263089341
2004-11-11,89.745,89.745,87.72,87.72,0,NaN,0,0,0.18943262750512843
2004-11-16,87.72,88.12,86.41,86.41,0,NaN,0,0,0.21919870141212125
2004-11-19,86.41,87.16,86.41,87.16,0,NaN,0,0,0.41990416660685354
2004-11-24,87.16,87.23,87.08,87.23,0,NaN,0,0,0.3480001945812275
2004-11-29,87.23,87.23,86.69,86.72,0,NaN,0,0,0.2229350336676734
2004-12-02,86.72,86.72,85.64,85.96,0,NaN,0,0,0.04210061932245416
2004-12-07,85.96,85.96,85.16,85.67,0,NaN,0,0,-0.18771012927166725
2004-12-10,85.67,85.83,85.4,85.43,0,NaN,0,0,-0.5159756002579878
2004-12-15,85.43,85.43,84.95,84.96,0,NaN,0,0,-0.633793929944811
2004-12-20,84.96,84.96,83.95,83.95,0,NaN,0,0,-0.7476692310933938
2004-12-23,83.95,84.525,83.95,84.525,0,NaN,0,0,-0.7873665950219497
2004-12-28,84.525,85.845,84.525,85.575,0,NaN,0,0,-0.7940155636749462
2004-12-31,85.575,85.575,85.37,85.37,0,NaN,0,0,-0.7982564414326133
2005-01-03,85.37,85.695,84.73,84.975,0,NaN,0,0,-0.8017710549639657
2005-01-06,84.975,85.65,84.61,85.305,0,NaN,0,0,-0.788447505480505
2005-01-11,85.305,85.72,84.54,85.16,0,NaN,0,0,-0.7300546335543824
2005-01-14,85.16,85.29,83.52,83.63,0,NaN,0,0,-0.629927364996169
2005-01-19,83.63,84.71,83.25,84.04,0,NaN,0,0,-0.6497031272735224
2005-01-24,84.04,84.77,83.24,83.65,0,NaN,0,0,-0.6479701157699737
2005-01-27,83.65,83.91,82.72,83.63,0,NaN,0,0,-0.5551903596740977
2005-02-01,83.63,84.3,83.45,84.21,0,NaN,0,0,-0.5798070290724369
2005-02-04,84.21,84.97,82.93,84.9,0,NaN,0,0,-0.589236544553592
2005-02-09,84.9,85.55,84.44,85.51,0,NaN,0,0,-0.46365437041426455
2005-02-14,85.51,85.51,84.59,85.21,0,NaN,0,0,-0.37718328959000524
2005-02-17,85.21,86.08,85.05,85.61,0,NaN,0,0,-0.1409494917028432
2005-02-22,85.61,85.61,83.92,85.07,0,NaN,0,0,-0.034568527204203885
2005-02-25,85.07,85.13,83.85,84.12,0,NaN,0,0,-0.01181123998724927
2005-03-02,84.12,85.15,84.02,85.09,0,NaN,0,0,0.06915420830777284
2005-03-07,85.09,86.63,84.85,86.11,0,NaN,0,0,0.10494568738892315
2005-03-10,86.11,87.12,85.88,86.85,0,NaN,0,0,0.06478300362355321
2005-03-15,86.85,87.3,86.21,87.02,0,NaN,0,0,0.05341675094884224
2005-03-18,87.02,87.61,86.6,87.38,0,NaN,0,0,0.023227612409456064
2005-03-23,87.38,87.755,86.85,87.32,0,NaN,0,0,-0.04298801837255916
2005-03-28,87.32,88.98,87.28,88.39,0,NaN,0,0,-0.15316293282472926
2005-03-31,88.39,88.87,87.89,88.62,0,NaN,0,0,-0.24858302398200408
2005-04-05,88.62,89.14,88.5,88.83,0,NaN,0,0,-0.3885184548087428
2005-04-08,88.83,88.9,86.96,87.07,0,NaN,0,0,-0.6042176214110982
2005-04-13,87.07,87.36,86.37,86.48,0,NaN,0,0,-0.7298725611755575
2005-04-18,86.48,86.62,85.72,86.04,0,NaN,0,0,-0.7933491559376349
2005-04-21,86.04,86.785,85.19,85.42,0,NaN,0,0,-0.8394470177848574
2005-04-26,85.42,85.61,84.31,84.75,0,NaN,0,0,-0.9123626132552921
2005-04-29,84.75,84.79,83.12,83.94,0,NaN,0,0,-0.9344137056495655
2005-05-04,83.94,84.65,83.33,84.56,0,NaN,0,0,-0.9190737533470932
2005-05-09,84.56,85.61,84.52,84.73,0,NaN,0,0,-0.91531634076313
2005-05-12,84.73,85.56,84.06,84.1,0,NaN,0,0,-0.8906561407064504
2005-05-17,84.1,85.51,83.95,85.49,0,NaN,0,0,-0.8834990767454509
2005-05-20,85.49,85.77,84.97,85.46,0,NaN,0,0,-0.8719655362692715
2005-05-25,85.46,86.22,85.03,86.05,0,NaN,0,0,-0.8788644533822675
2005-05-30,86.05,87.24,85.61,87.12,0,NaN,0,0,-0.8589477970994588
2005-06-02,87.12,87.17,85.715,85.92,0,NaN,0,0,-0.8540571573526218
2005-06-07,85.92,86.03,85.27,85.47,0,NaN,0,0,-0.857855416551348
2005-06-10,85.47,87.44,85.32,87.4,0,NaN,0,0,-0.8350196253389682
2005-06-15,87.4,88.45,87.17,88.32,0,NaN,0,0,-0.7888448091389648
2005-06-20,88.32,88.97,87.77,88.18,0,NaN,0,0,-0.6938903856405947
2005-06-23,88.18,89.07,87.64,88.82,0,NaN,0,0,-0.6713956960009012
2005-06-28,88.82,90.64,88.72,90.54,0,NaN,0,0,-0.7230195950439368
2005-07-01,90.54,90.58,89.43,89.84,0,NaN,0,0,-0.7829519026654498
2005-07-06,89.84,92.14,89.71,92.03,0,NaN,0,0,-0.8554804436964872
2005-07-11,92.03,93.08,91.5,92.61,0,NaN,0,0,-0.8935365149404713
2005-07-14,92.61,93.22,91.69,92.07,0,NaN,0,0,-0.9049479321790389
2005-07-19,92.07,93.07,90.43,90.62,0,NaN,63.67487901433621,46.64271641364553,-0.9028934502573541
2005-07-22,90.62,91.98,90.57,91.49,0,NaN,49.81580379699632,42.78437344478771,-0.8885048991041815
2005-07-27,91.49,91.99,90.55,91.95,0,NaN,63.730761550341086,37.95938606256361,-0.8850840060112279
2005-08-01,91.95,92.74,91.275,91.305,0,NaN,39.150320890949416,36.56613028702502,-0.8578672356840256
2005-08-04,91.305,92.45,91.25,92.345,0,NaN,40.897418221555974,65.33747285051284,-0.8533571494824586
2005-08-09,92.345,92.48,90.99,91.4,0,NaN,-15.251231000581372,25.500707009688867,-0.8534667208750099
2005-08-12,91.4,91.82,90.695,91.4,0,NaN,-25.312292737150823,60.78090655259035,-0.8432177434974674
2005-08-17,91.4,91.575,90.385,91.2,0,NaN,-27.242106664863755,2.557889253152034,-0.8219348541467526
2005-08-22,91.2,92.675,90.515,92.555,0,NaN,-15.857676906841302,-7.278727625662211,-0.8589325615651985
2005-08-25,92.555,92.92,91.585,92.345,0,NaN,0.5472601796485144,23.570111008641234,-0.8699990116364209
2005-08-30,92.345,93.825,92.205,92.79,0,NaN,22.254367450505736,53.44286000329616,-0.8644284458110895
2005-09-02,92.79,93.03,91.605,92.245,0,NaN,-10.71115880504038,34.18152702170014,-0.8503947676289969
2005-09-07,92.245,93.87,91.925,93.12,0,NaN,-15.375795787920383,53.56770523813718,-0.8083397420573278
2005-09-12,93.12,94.01,92.53,93.51,0,NaN,20.860230966051763,55.79888154305688,-0.7081587037013455
2005-09-15,93.51,95.495,92.79,95.485,0,NaN,31.87558766989735,45.62628286061487,-0.6710452834554117
2005-09-20,95.485,95.845,95.005,95.345,0,NaN,58.06943231239727,38.515517041276325,-0.7010487454955093
2005-09-23,95.345,96.575,94.825,96.205,0,NaN,69.94054919617558,45.53447115186125,-0.7664598348096701
2005-09-28,96.205,97.915,95.715,97.58,0,NaN,53.78884217820916,75.79199033648432,-0.8204551937160101
2005-10-03,97.58,98.225,96.295,96.445,0,NaN,41.71745308068779,26.511596075076163,-0.8380723286489911
2005-10-06,96.445,97.445,95.705,97.025,0,NaN,42.139790184606504,27.81564159581457,-0.8445100783864703
