time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
2004-06-01,80.84,82.25,80.72,82.25,0,NaN,0,0,NaN
2004-06-07,82.25,82.25,80.37,80.37,0,NaN,0,0,NaN
2004-06-11,80.37,80.75,80.03,80.18,0,NaN,0,0,NaN
2004-06-17,80.18,80.48,79.78,80.48,0,NaN,0,0,NaN
2004-06-23,80.48,80.48,79.66,80.04,0,NaN,0,0,NaN
2004-06-29,80.04,81.81,80.04,81.81,0,NaN,0,0,NaN
2004-07-05,81.81,82.68,81.81,82.68,0,NaN,0,0,NaN
2004-07-09,82.68,82.68,82.06,82.55,0,NaN,0,0,NaN
2004-07-15,82.55,82.96,82.55,82.73,0,NaN,0,0,NaN
2004-07-21,82.73,83.4,82.49,82.49,0,NaN,0,0,NaN
2004-07-27,82.49,84.56,82.49,83.64,0,NaN,0,0,NaN
2004-08-02,83.64,84.8,83.11,84.8,0,NaN,0,0,NaN
2004-08-06,84.8,84.8,83.74,83.74,0,NaN,0,0,NaN
2004-08-12,83.74,84.56,83.3,84.17,0,NaN,0,0,NaN
2004-08-18,84.17,84.31,83.85,84.02,0,NaN,0,0,NaN
2004-08-24,84.02,84.44,83.53,83.53,0,NaN,0,0,NaN
2004-08-30,83.53,84.24,83.16,84.24,0,NaN,0,0,NaN
2004-09-03,84.24,84.97,84.24,84.76,0,NaN,0,0,NaN
2004-09-09,84.76,85.11,84.56,84.79,0,NaN,0,0,NaN
2004-09-15,84.79,84.91,84.63,84.89,0,NaN,0,0,-0.6374100973004676
2004-09-21,84.89,86.83,84.89,86.83,0,NaN,0,0,-0.6735676170492949
2004-09-27,86.83,87.59,86.83,87.26,0,NaN,0,0,-0.6558587421936803
2004-10-01,87.26,88.45,87.26,88.45,0,NaN,0,0,-0.6546628458001212
2004-10-07,88.45,88.45,87.12,87.39,0,NaN,0,0,-0.6877691782074093
2004-10-13,87.39,87.39,86.92,86.92,0,NaN,0,0,-0.708259330550744
2004-10-19,86.92,86.93,86.11,86.93,0,NaN,0,0,-0.6989420047304086
2004-10-25,86.93,87.4,86.85,86.91,0,NaN,0,0,-0.6795394245924713
2004-10-29,86.91,87.88,86.73,87.88,0,NaN,0,0,-0.6317233148654235
2004-11-04,87.88,88.43,87.82,88.11,0,NaN,0,0,-0.5679802596381021
2004-11-10,88.11,89.745,87.72,87.72,0,NaN,0,0,-0.4005502264746339
2004-11-16,87.72,88.12,86.41,86.41,0,NaN,0,0,-0.299352889632692
2004-11-22,86.41,87.16,86.41,87.1,0,NaN,0,0,-0.23128800282952094
2004-11-26,87.1,87.23,86.69,86.72,0,NaN,0,0,-0.055485294133336305
2004-12-02,86.72,86.72,85.16,85.16,0,NaN,0,0,0.0042924494312820425
2004-12-08,85.16,85.83,85.16,85.4,0,NaN,0,0,0.08564389282758977
2004-12-14,85.4,85.43,84.95,84.96,0,NaN,0,0,0.03528986270745996
2004-12-20,84.96,84.96,83.95,84.05,0,NaN,0,0,-0.2611029048834078
2004-12-24,84.05,85.845,84.05,85.845,0,NaN,0,0,-0.45513349361650357
2004-12-30,85.845,85.845,85.37,85.37,0,NaN,0,0,-0.6245623099555707
2005-01-03,85.37,85.695,84.7,85.01,0,NaN,0,0,-0.8191849494878454
2005-01-07,85.01,85.72,84.54,85.23,0,NaN,0,0,-0.796010849768311
2005-01-13,85.23,85.51,83.52,83.63,0,NaN,0,0,-0.6831597355625747
2005-01-19,83.63,84.77,83.25,83.78,0,NaN,0,0,-0.6889258986024502
2005-01-25,83.78,84.62,82.72,83.36,0,NaN,0,0,-0.7344284773554478
2005-01-31,83.36,84.3,83.24,84.21,0,NaN,0,0,-0.7403350729990932
2005-02-04,84.21,84.97,82.93,84.65,0,NaN,0,0,-0.7124657236436913
2005-02-10,84.65,85.55,84.47,84.87,0,NaN,0,0,-0.6548837537024885
2005-02-16,84.87,86.08,84.75,85.61,0,NaN,0,0,-0.5029947120655902
2005-02-22,85.61,85.61,83.92,84.96,0,NaN,0,0,-0.37651596941310345
2005-02-28,84.96,85.03,83.85,84.64,0,NaN,0,0,-0.3351685152160055
2005-03-04,84.64,86.63,84.525,86.11,0,NaN,0,0,-0.2579320282153743
2005-03-10,86.11,87.12,85.88,86.615,0,NaN,0,0,-0.13320863937672112
2005-03-16,86.615,87.31,86.21,86.85,0,NaN,0,0,0.04433481242337549
2005-03-22,86.85,87.755,86.6,87.32,0,NaN,0,0,-0.022254234140390603
2005-03-28,87.32,88.98,87.28,88.51,0,NaN,0,0,-0.12674464376321196
2005-04-01,88.51,89.14,88.16,88.91,0,NaN,0,0,-0.228047883764192
2005-04-07,88.91,88.99,86.96,87.07,0,NaN,0,0,-0.21130596090530462
2005-04-13,87.07,87.36,85.89,86.14,0,NaN,0,0,-0.1996252042952258
2005-04-19,86.14,86.785,85.55,85.84,0,NaN,0,0,-0.20321771255471396
2005-04-25,85.84,85.84,84.31,84.75,0,NaN,0,0,-0.2563210164012964
2005-04-29,84.75,84.79,83.12,83.95,0,NaN,0,0,-0.3655953049866084
2005-05-05,83.95,85.61,83.625,85.37,0,NaN,0,0,-0.6350444534467667
2005-05-11,85.37,85.56,84.06,84.1,0,NaN,0,0,-0.7573062299931608
2005-05-17,84.1,85.77,83.95,85.43,0,NaN,0,0,-0.8052307755573216
2005-05-23,85.43,85.71,84.97,85.22,0,NaN,0,0,-0.8501979238407527
2005-05-27,85.22,87.24,85.14,87.12,0,NaN,0,0,-0.8539442620274705
2005-06-02,87.12,87.17,85.27,85.57,0,NaN,0,0,-0.8462378711738744
2005-06-08,85.57,87.31,85.32,87.28,0,NaN,0,0,-0.8505605317832836
2005-06-14,87.28,88.45,86.89,88.32,0,NaN,0,0,-0.7964510491689255
2005-06-20,88.32,88.97,87.64,88.39,0,NaN,0,0,-0.7650412754593747
2005-06-24,88.39,90.1,88.26,89.9,0,NaN,0,0,-0.7966996201202035
2005-06-30,89.9,90.64,89.43,89.84,0,NaN,0,0,-0.8321814345246747
2005-07-06,89.84,92.41,89.71,91.81,0,NaN,0,0,-0.8817260563976043
2005-07-12,91.81,93.22,91.5,91.88,0,NaN,0,0,-0.9090560494852385
2005-07-18,91.88,93.07,90.43,90.62,0,NaN,0,0,-0.9104025657941747
2005-07-22,90.62,91.98,90.55,90.97,0,NaN,0,0,-0.9034699716878789
2005-07-28,90.97,92.74,90.71,91.465,0,NaN,0,0,-0.9044929683714249
2005-08-03,91.465,92.45,91.25,92.345,0,NaN,0,0,-0.9009794602049211
2005-08-09,92.345,92.48,90.99,91.37,0,NaN,0,0,-0.9044458088383622
2005-08-15,91.37,91.79,90.385,90.685,0,NaN,0,0,-0.8971786522107512
2005-08-19,90.685,92.675,90.515,92.555,0,NaN,0,0,-0.8820940670288888
2005-08-25,92.555,93.615,91.585,93.355,0,NaN,0,0,-0.8813783982448954
2005-08-31,93.355,93.825,91.62,91.785,0,NaN,0,0,-0.8817444096702327
2005-09-06,91.785,93.87,91.605,93.12,0,NaN,0,0,-0.875095646147442
2005-09-12,93.12,94.01,92.53,93.39,0,NaN,0,0,-0.8627318449940511
2005-09-16,93.39,95.845,93.3,95.295,0,NaN,0,0,-0.8915537458419671
2005-09-22,95.295,96.575,94.825,96.205,0,NaN,0,0,-0.8943030962547087
2005-09-28,96.205,98.225,95.715,97.895,0,NaN,0,0,-0.8726440862585326
2005-10-04,97.895,98.175,95.705,96.94,0,NaN,0,0,-0.8719796331389595
2005-10-10,96.94,97.995,96.555,96.775,0,NaN,0,0,-0.8657820360341948
2005-10-14,96.775,98.515,95.995,98.215,0,NaN,0,0,-0.8755059992554464
2005-10-20,98.215,98.645,96.785,97.895,0,NaN,0,0,-0.8826349896571694
2005-10-26,97.895,99.315,97.665,98.465,0,NaN,0,0,-0.8982045496563139
2005-11-01,98.465,100.605,98.435,99.97,0,NaN,0,0,-0.9165958879080298
2005-11-07,99.97,99.97,98.235,99.255,0,NaN,0,0,-0.9186939924003433
2005-11-11,99.255,100.115,98.89,99.835,0,NaN,0,0,-0.9228358481562979
2005-11-17,99.835,101.435,99.385,101.145,0,NaN,0,0,-0.9333487680408711
2005-11-23,101.145,102.61,100.775,101.785,0,NaN,0,0,-0.9504478319539895
2005-11-29,101.785,104.235,101.635,103.8,0,NaN,0,0,-0.9365170880824205
2005-12-05,103.8,105.065,103.535,103.835,0,NaN,52.86634008569269,60.41735954781946,-0.9201361857198179
2005-12-09,103.835,104.71,101.265,101.895,0,NaN,14.931565442111033,35.995666140382696,-0.9255901345706792
2005-12-15,101.895,102.235,99.185,100.015,0,NaN,37.81833664002328,30.68268286536863,-0.921599941781403
2005-12-21,100.015,100.875,99.33,99.66,0,NaN,25.77898194909011,-9.526062823807425,-0.8536220487885094
2005-12-27,99.66,101.6,99.66,101.32,0,NaN,3.9393999702816718,0.4467318514057943,-0.8103170535811841
2006-01-02,101.32,101.61,99.475,99.745,0,NaN,-23.846131960115912,7.6834278232456885,-0.7477426989558654
2006-01-06,99.745,99.985,97.135,98.495,0,NaN,-45.096450538040585,25.52832311650604,-0.6874827980031372
2006-01-12,98.495,99.725,97.865,99.225,0,NaN,-39.13642679482903,8.842141291737995,-0.6458087344028778
2006-01-18,99.225,100.225,97.605,99.535,0,NaN,-36.99931454044608,7.162722014640217,-0.6109988648770485
2006-01-24,99.535,102.265,98.885,102.04,0,NaN,-24.42002270212607,24.193271354126452,-0.5717947862720844
2006-01-30,102.04,103.905,101.8,103.545,0,NaN,-14.697111248353607,33.72331884624077,-0.5016883268297685
2006-02-03,103.545,104.12,101.865,103.135,0,NaN,22.624477130124806,14.842590979949476,-0.5185210790251995
2006-02-09,103.135,103.865,101.185,101.825,0,NaN,-2.6977167643073665,11.719819345221453,-0.4304827608052424
2006-02-15,101.825,103.135,101.375,103.015,0,NaN,3.8762189461877625,40.57762019391554,-0.38701289830782515
