time,open,high,low,close
1083531600,87.32,87.32,87.32,87.32
1086037200,87.32,89.685,85.485,87.11
1088629200,87.11,88.925,86.785,86.875
1091394000,87.095,89.405,85.485,86.215
1093986000,86.215,88.46,86.215,88.31
1096578000,88.31,89.2,87.365,88.56
1099260000,88.655,90.76,88.155,90.295
1101852000,90.295,91.65,89.65,89.885
1104703200,90.065,90.265,86.155,87.225
1107208800,87.225,90.605,85.545,89.96
1109628000,89.96,90.83,88.265,89.555
1112306400,89.555,91.115,87.585,87.665
1114981200,87.825,88.225,86.555,86.975
1117573200,86.975,87.065,84.815,86.56
1120165200,86.56,87.895,85.525,87.235
1122843600,87.325,89.155,86.015,88.305
1125522000,88.305,89.405,86.69,87.725
1128286800,87.725,90.705,87.455,90.325
1130796000,90.325,91.495,89.205,91.095
1133388000,91.095,93.155,88.33,89.635
1136152800,89.635,91.825,88.565,91.715
1138744800,91.715,92.245,87.69,88.265
1141164000,88.265,90.825,88.105,90.315
1144011600,90.295,92.75,89.885,91.865
1146430800,91.815,92.925,90.385,92.385
1149109200,92.385,93.735,92.075,93.575
1151874000,93.395,94.355,92.495,93.115
1154379600,93.115,95.69,92.735,95.415
1157058000,95.415,95.465,93.145,94.495
1159736400,94.495,94.895,93.325,94.035
1162332000,94.035,96.715,93.645,96.685
1164924000,96.685,97.725,95.915,97.665
1167602400,97.665,98.085,95.595,97.015
1170280800,97.015,98.385,96.155,97.205
1172700000,97.205,97.545,94.275,96.935
1175461200,96.84,99.253,96.724,98.965
1177966800,98.965,99.64,98.073,99.344
1180645200,99.344,100.914,97.72,100.842
1183323600,100.853,101.867,97.55,98.739
1185915600,98.739,100.27,92.177,95.795
1188766800,95.764,98.923,94.905,98.651
1191186000,98.72,99.98,96.453,99.683
1193864400,99.683,100.696,96.797,98.272
1196632800,98.187,100.364,97.462,98.568
1199138400,98.568,99.363,95.128,98.413
1201816800,98.413,100.534,96.328,99.638
1204495200,99.615,100.776,97.345,100.379
1206997200,100.379,102.785,99.581,100.397
1209589200,100.397,101.335,98.275,101.254
1212354000,100.965,104.692,100.269,104.023
1214859600,104.023,105.085,102.84,103.056
1217538000,103.056,103.793,98.513,98.794
1220216400,98.666,98.838,92.9645,94.569
