time,open,high,low,close
1085950800,87.32,89.685,87.32,89.685
1086555600,89.595,89.595,87.375,87.375
1087160400,87.435,88.385,86.925,87.475
1087765200,87.445,87.445,86.07,86.285
1088370000,86.275,87.835,85.485,87.835
1088974800,87.975,88.925,87.975,88.475
1089579600,88.235,88.805,87.915,88.715
1090184400,88.775,88.775,86.935,86.935
1090789200,86.995,87.555,86.875,86.875
1091394000,87.095,88.345,86.51,88.345
1091998800,88.345,89.405,87.94,89.405
1092603600,89.085,89.085,87.275,87.275
1093208400,87.305,87.305,85.535,85.535
1093813200,85.485,86.915,85.485,86.905
1094418000,86.875,87.155,86.3,87.155
1095022800,87.085,87.425,86.37,86.615
1095627600,86.665,87.905,86.43,87.725
1096232400,87.695,88.475,87.695,88.475
1096837200,88.495,88.495,87.555,87.555
1097442000,87.675,88.605,87.365,88.605
1098046800,88.605,88.72,88.15,88.26
1098651600,88.705,89.2,88.225,88.56
1099260000,88.655,89.665,88.155,89.665
1099864800,89.575,90.76,89.325,90.085
1100469600,90.175,90.175,88.755,88.755
1101074400,88.845,90.065,88.755,90.065
1101679200,90.025,90.295,89.65,90.275
1102284000,90.145,90.92,90.145,90.575
1102888800,90.685,91.44,90.035,90.035
1103493600,90.015,90.705,90.015,90.705
1104098400,90.725,91.65,89.885,89.885
1104703200,90.065,90.265,88.19,88.445
1105308000,88.485,88.65,86.155,86.495
1105912800,86.405,87.235,86.165,86.645
1106517600,86.675,87.645,86.47,87.045
1107122400,87.205,87.37,85.805,85.935
1107727200,86.105,87.705,85.545,87.325
1108332000,87.185,89.475,86.965,89.305
1108936800,89.195,90.595,88.81,90.575
1109541600,90.605,90.605,89.015,89.595
1110146400,89.625,90.415,89.285,90.415
1110751200,90.275,90.83,89.495,90.015
1111356000,89.965,89.995,88.265,88.655
1111960800,88.665,89.965,88.53,89.435
1112562000,89.375,90.485,89.255,90.395
1113166800,90.405,90.57,88.86,89.835
1113771600,89.635,91.115,89.415,89.755
1114376400,89.195,89.5,87.585,87.665
1114981200,87.825,88.095,86.83,87.055
1115586000,87.105,88.225,87.035,87.705
1116190800,87.635,88.19,87.075,87.665
1116795600,87.665,87.965,87.205,87.725
1117400400,87.585,87.705,85.895,85.985
1118005200,85.945,86.115,85.345,85.635
1118610000,85.575,86.455,85.315,86.325
1119214800,86.125,86.22,84.815,85.585
1119819600,85.675,86.625,85.665,86.235
1120424400,86.055,86.875,85.525,86.335
1121029200,86.325,87.285,86.15,86.565
1121634000,86.605,87.895,85.57,85.875
1122238800,85.845,87.475,85.715,87.235
1122843600,87.325,88.77,87.205,88.695
1123448400,88.705,89.155,87.615,87.695
1124053200,87.935,87.935,86.585,86.605
1124658000,86.685,87.805,86.015,87.545
1125262800,87.615,89.405,87.175,89.275
1125867600,89.265,89.385,88.165,88.225
1126472400,87.575,88.105,86.91,87.715
1127077200,87.445,87.945,86.725,87.045
1127682000,87.005,88.075,86.69,87.725
1128286800,87.725,89.245,87.455,89.075
1128891600,88.875,89.245,88.315,88.785
1129496400,88.885,90.055,88.695,89.705
1130101200,89.585,90.705,89.355,90.355
1130709600,90.355,91.495,90.055,90.505
1131314400,90.385,90.405,89.205,90.015
1131919200,89.925,90.655,89.545,90.635
1132524000,90.695,90.925,90.025,90.725
1133128800,90.635,91.785,90.565,91.605
1133733600,91.815,92.795,91.735,92.625
1134338400,92.445,93.155,89.575,89.655
1134943200,89.705,90.4,88.33,88.585
1135548000,88.585,89.885,88.385,89.635
1136152800,89.635,91.135,89.385,90.135
1136757600,90.155,90.165,88.565,89.435
1137362400,89.545,90.385,89.345,90.335
1137967200,90.345,91.805,90.175,91.315
1138572000,91.435,92.245,91.135,91.875
1139176800,91.895,91.965,90.005,90.195
1139781600,90.105,90.465,89.475,90.135
1140386400,90.175,90.915,88.645,88.755
1140991200,88.735,89.835,87.69,89.775
1141596000,89.745,90.625,89.385,90.335
1142200800,90.305,90.825,89.665,89.905
1142805600,89.855,90.305,89.235,89.605
1143410400,89.735,90.645,88.885,90.315
1144011600,90.295,91.755,90.085,90.905
1144616400,90.815,91.485,90.71,91.405
1145221200,91.395,92.75,91.27,91.415
1145826000,90.875,91.955,89.885,91.865
1146430800,91.815,92.835,91.25,91.815
1147035600,91.425,91.995,90.48,91.885
1147640400,91.625,92.075,90.385,91.805
1148245200,91.795,92.925,91.555,91.935
1148850000,91.835,92.715,91.6,92.485
1149454800,92.555,93.295,92.295,92.585
1150059600,92.555,93.645,92.405,93.535
1150664400,93.545,93.735,92.465,93.295
1151269200,93.355,93.675,92.805,93.575
1151874000,93.395,94.09,93.145,93.205
1152478800,93.265,94.325,92.495,94.085
1153083600,94.195,94.355,93.405,93.945
1153688400,93.975,94.065,92.925,92.995
1154293200,93.105,93.705,92.645,93.545
1154898000,93.405,94.265,93.205,93.555
1155502800,93.705,94.415,93.605,93.905
1156107600,93.905,94.925,93.875,94.605
1156712400,94.625,95.69,94.405,95.165
1157317200,95.225,95.235,93.275,93.725
1157922000,93.685,94.765,93.145,93.655
1158526800,93.285,94.545,93.165,94.295
1159131600,94.295,94.635,93.605,94.495
1159736400,94.495,94.895,93.685,94.445
1160341200,94.355,94.71,93.805,93.975
1160946000,93.985,94.385,93.325,94.315
1161550800,94.425,94.695,93.915,94.185
1162159200,94.055,94.315,93.645,94.125
1162764000,94.195,95.055,93.975,94.735
1163368800,94.835,95.045,94.395,94.655
1163973600,94.755,95.865,94.68,95.825
1164578400,96.06,97.035,95.855,96.755
1165183200,96.735,96.93,95.915,96.525
1165788000,96.485,97.615,96.255,96.755
1166392800,96.565,97.655,96.355,97.385
1166997600,97.375,97.725,96.635,97.665
1167602400,97.665,98.085,95.705,95.935
1168207200,96.065,96.895,95.595,96.475
1168812000,96.515,97.445,96.215,97.095
1169416800,97.15,98.015,96.325,96.965
1170021600,96.925,97.545,96.535,97.075
1170626400,97.015,97.655,96.155,97.635
1171231200,97.535,97.915,96.335,96.695
1171836000,96.845,98.385,96.71,98.225
1172440800,98.195,98.335,95.575,96.025
1173045600,95.965,95.995,94.275,95.835
1173646800,96.065,96.975,95.115,96.685
1174251600,96.555,97.355,96.41,96.895
1174856400,96.855,97.475,95.875,96.935
1175461200,96.84,97.82,96.724,97.579
1176066000,97.595,98.412,97.082,98.173
1176670800,98.381,98.845,97.715,98.207
1177275600,98.299,99.253,97.735,99.225
1177880400,98.999,99.342,98.515,99.184
1178485200,99.219,99.288,98.073,98.602
1179090000,98.77,99.162,98.354,98.689
1179694800,98.745,99.223,98.404,99.133
1180299600,99.158,99.64,98.695,99.273
1180904400,99.254,99.812,98.32,98.556
1181509200,98.57,99.484,97.72,99.448
1182114000,99.415,100.834,99.33,100.779
