time,open,high,low,close
1085691600,87.32,87.32,87.32,87.32
1086037200,87.32,88.75,87.32,87.91
1086210000,87.91,89.685,87.91,89.685
1086555600,89.595,89.595,88.555,88.575
1086728400,88.575,88.575,87.795,87.795
1086901200,87.795,88.385,87.375,88.385
1087246800,88.385,88.385,86.925,86.925
1087419600,86.925,87.535,86.925,87.475
1087765200,87.445,87.445,87.405,87.435
1087938000,87.435,87.435,86.07,86.07
1088110800,86.07,86.405,86.07,86.405
1088456400,86.405,87.11,85.485,87.11
1088629200,87.11,87.835,86.785,87.835
1088974800,87.975,88.505,87.975,88.505
1089147600,88.505,88.925,88.505,88.925
1089320400,88.925,88.925,88.235,88.395
1089666000,88.395,88.795,87.915,88.795
1089838800,88.795,88.805,88.715,88.715
1090184400,88.775,88.775,87.35,87.35
1090357200,87.35,87.925,87.35,87.925
1090530000,87.925,87.925,86.935,86.955
1090875600,86.955,87.555,86.955,87.555
1091048400,87.555,87.555,86.875,86.875
1091394000,87.095,87.095,86.51,86.51
1091566800,86.51,87.675,86.51,87.675
1091739600,87.675,88.345,87.675,88.21
1092085200,88.21,88.21,87.94,87.94
1092258000,87.94,89.405,87.94,89.405
1092603600,89.085,89.085,88.51,88.51
1092776400,88.51,88.51,87.845,87.955
1092949200,87.955,87.955,86.505,86.505
1093294800,86.505,86.535,86.145,86.535
1093467600,86.535,86.535,85.535,85.535
1093813200,85.485,86.215,85.485,86.215
1093986000,86.215,86.915,86.215,86.79
1094158800,86.79,86.905,86.66,86.66
1094504400,86.66,86.73,86.3,86.73
1094677200,86.73,87.155,86.73,87.155
1095022800,87.085,87.425,87.085,87.105
1095195600,87.105,87.105,86.37,86.37
1095368400,86.37,86.665,86.37,86.43
1095714000,86.43,87.82,86.43,87.82
1095886800,87.82,87.905,87.725,87.725
1096232400,87.695,88.46,87.695,88.46
1096405200,88.46,88.46,88.05,88.31
1096578000,88.31,88.495,87.76,87.76
1096923600,87.76,88.07,87.76,88.05
1097096400,88.05,88.05,87.555,87.555
1097442000,87.675,87.675,87.365,87.365
1097614800,87.365,88.1,87.365,88.1
1097787600,88.1,88.72,88.1,88.72
1098133200,88.72,88.72,88.15,88.66
1098306000,88.66,88.66,88.26,88.26
1098651600,88.705,89.2,88.705,88.84
1098824400,88.84,88.84,88.225,88.56
1098997200,88.655,88.655,88.59,88.59
1099346400,88.59,89.01,88.155,89.01
1099519200,89.01,89.665,89.01,89.665
1099864800,89.575,89.575,89.325,89.325
1100037600,89.325,90.76,89.325,90.495
1100210400,90.495,90.495,89.315,89.315
1100556000,89.315,89.54,89.315,89.435
1100728800,89.435,89.435,88.755,88.755
1101074400,88.845,89.185,88.755,89.185
1101247200,89.185,89.895,89.185,89.895
1101420000,89.895,90.065,89.895,90.035
1101765600,90.035,90.295,89.94,89.94
1101938400,89.94,90.275,89.65,90.275
1102284000,90.145,90.415,90.145,90.175
1102456800,90.175,90.92,90.175,90.92
1102629600,90.92,90.92,90.575,90.88
1102975200,90.88,91.44,90.88,91.39
1103148000,91.39,91.39,90.035,90.035
1103493600,90.015,90.605,90.015,90.495
1103666400,90.495,90.565,90.425,90.565
1103839200,90.565,90.725,90.565,90.71
1104184800,90.71,91.65,90.71,91.65
1104357600,91.65,91.65,89.885,89.885
1104703200,90.065,90.265,89.14,89.56
1104876000,89.56,89.59,88.81,89.38
1105048800,89.38,89.47,88.06,88.23
1105394400,88.23,88.635,87.165,87.68
1105567200,87.68,87.99,86.155,86.495
1105912800,86.405,87.075,86.18,86.235
1106085600,86.235,87.095,86.165,86.91
1106258400,86.91,87.235,86.51,86.74
1106604000,86.74,87.575,86.47,87.05
1106776800,87.05,87.645,86.63,87.045
1107122400,87.205,87.345,86.795,87.065
1107295200,87.065,87.37,86.805,86.905
1107468000,86.905,86.985,85.565,85.625
1107813600,85.625,87.04,85.545,86.81
1107986400,86.81,87.705,86.73,87.325
1108332000,87.185,88.115,86.965,87.75
1108504800,87.75,89.285,87.73,89.135
1108677600,89.135,89.495,88.805,89.32
1109023200,89.32,90.34,88.81,90.09
1109196000,90.09,90.595,89.825,90.575
1109541600,90.605,90.605,89.455,89.59
1109714400,89.59,89.785,89.015,89.155
1109887200,89.155,89.735,89.105,89.525
1110232800,89.525,90.225,89.285,89.705
1110405600,89.705,90.415,89.645,90.415
1110751200,90.275,90.83,89.495,89.71
1110924000,89.71,90.555,89.54,90.38
1111096800,90.38,90.58,89.1,89.25
1111442400,89.25,89.44,88.265,88.545
1111615200,88.545,89.185,88.435,88.655
1111960800,88.665,89.555,88.53,89.515
1112133600,89.515,89.965,89.255,89.555
1112306400,89.555,89.905,89.145,89.525
1112648400,89.525,90.265,89.47,90.145
1112821200,90.145,90.485,89.6,90.395
1113166800,90.405,90.57,89.805,89.895
1113339600,89.895,89.92,88.86,89.1
1113512400,89.1,90.63,89.01,90.5
1113858000,90.5,90.775,90.2,90.715
1114030800,90.715,91.115,89.415,89.755
1114376400,89.195,89.46,88.745,89.32
1114549200,89.32,89.5,88.665,88.985
1114722000,88.985,89.085,87.55,87.74
1115067600,87.74,88.06,87.505,87.72
1115240400,87.72,87.78,86.83,87.055
1115586000,87.105,88.015,87.035,87.895
1115758800,87.895,88.225,87.395,87.85
1115931600,87.85,88.015,87.315,87.385
1116277200,87.385,88.065,87.075,87.865
1116450000,87.865,88.19,87.525,87.665
1116795600,87.665,87.72,87.315,87.605
1116968400,87.605,87.965,87.205,87.335
1117141200,87.335,87.765,87.075,87.205
1117486800,87.205,87.265,86.405,86.485
1117659600,86.485,86.765,85.895,85.985
1118005200,85.945,86.105,85.405,85.595
1118178000,85.595,86.115,85.345,85.635
1118350800,85.635,86.265,85.315,86.235
1118696400,86.235,86.385,85.515,85.925
1118869200,85.925,86.455,85.485,86.325
1119214800,86.125,86.22,85.255,85.465
1119387600,85.465,85.955,84.815,85.165
1119560400,85.165,86.35,84.955,86.13
1119906000,86.13,86.46,85.755,86.11
1120078800,86.11,86.625,85.925,86.235
1120424400,86.055,86.155,85.525,85.685
1120597200,85.685,86.875,85.565,86.34
1120770000,86.34,86.945,86.01,86.865
1121115600,86.865,87.285,86.615,86.735
1121288400,86.735,87.265,86.485,86.565
1121634000,86.605,86.875,86.255,86.695
1121806800,86.695,87.895,85.57,85.8
1121979600,85.8,86.57,85.695,86
1122325200,86,86.895,85.92,86.845
1122498000,86.845,87.475,86.545,87.235
1122843600,87.325,87.965,87.205,87.275
