time,open,high,low,close
1085518800,87.32,87.32,87.32,87.32
1086037200,87.32,89.685,87.32,89.685
1086555600,89.595,89.595,87.795,87.795
1086901200,87.795,88.385,86.925,86.925
1087419600,86.925,87.535,86.925,87.435
1087938000,87.435,87.435,86.07,86.405
1088456400,86.405,87.835,85.485,87.835
1088974800,87.975,88.925,87.975,88.925
1089320400,88.925,88.925,87.915,88.795
1089838800,88.795,88.805,87.35,87.35
1090357200,87.35,87.925,86.935,86.955
1090875600,86.955,87.555,86.875,86.875
1091394000,87.095,87.675,86.51,87.675
1091739600,87.675,88.345,87.675,87.94
1092258000,87.94,89.405,87.94,88.51
1092776400,88.51,88.51,86.505,86.505
1093294800,86.505,86.535,85.535,85.535
1093813200,85.485,86.915,85.485,86.79
1094158800,86.79,86.905,86.3,86.73
1094677200,86.73,87.425,86.73,87.105
1095195600,87.105,87.105,86.37,86.43
1095714000,86.43,87.905,86.43,87.725
1096232400,87.695,88.46,87.695,88.31
1096578000,88.31,88.495,87.76,88.05
1097096400,88.05,88.05,87.365,87.365
1097614800,87.365,88.72,87.365,88.72
1098133200,88.72,88.72,88.15,88.26
1098651600,88.705,89.2,88.225,88.56
1098997200,88.655,89.01,88.155,89.01
1099519200,89.01,89.665,89.01,89.325
1100037600,89.325,90.76,89.315,89.315
1100556000,89.315,89.54,88.755,88.755
1101074400,88.845,89.895,88.755,89.895
1101420000,89.895,90.295,89.895,89.94
1101938400,89.94,90.415,89.65,90.175
1102456800,90.175,90.92,90.175,90.88
1102975200,90.88,91.44,90.035,90.035
1103493600,90.015,90.605,90.015,90.565
1103839200,90.565,91.65,90.565,91.65
1104357600,91.65,91.65,89.885,89.885
1104703200,90.065,90.265,88.81,89.38
1105048800,89.38,89.47,87.165,87.68
1105567200,87.68,87.99,86.155,86.235
1106085600,86.235,87.235,86.165,86.74
1106604000,86.74,87.645,86.47,87.045
1107122400,87.205,87.37,86.795,86.905
1107468000,86.905,87.04,85.545,86.81
1107986400,86.81,88.115,86.73,87.75
1108504800,87.75,89.495,87.73,89.32
1109023200,89.32,90.595,88.81,90.575
1109541600,90.605,90.605,89.015,89.155
1109887200,89.155,90.225,89.105,89.705
1110405600,89.705,90.83,89.495,89.71
1110924000,89.71,90.58,89.1,89.25
1111442400,89.25,89.44,88.265,88.655
1111960800,88.665,89.965,88.53,89.555
1112306400,89.555,90.265,89.145,90.145
1112821200,90.145,90.57,89.6,89.895
1113339600,89.895,90.63,88.86,90.5
1113858000,90.5,91.115,89.415,89.755
1114376400,89.195,89.5,88.665,88.985
1114722000,88.985,89.085,87.505,87.72
1115240400,87.72,88.015,86.83,87.895
1115758800,87.895,88.225,87.315,87.385
1116277200,87.385,88.19,87.075,87.665
1116795600,87.665,87.965,87.205,87.335
1117141200,87.335,87.765,86.405,86.485
1117659600,86.485,86.765,85.405,85.595
1118178000,85.595,86.265,85.315,86.235
1118696400,86.235,86.455,85.485,86.325
1119214800,86.125,86.22,84.815,85.165
1119560400,85.165,86.46,84.955,86.11
1120078800,86.11,86.625,85.525,85.685
1120597200,85.685,86.945,85.565,86.865
1121115600,86.865,87.285,86.485,86.565
1121634000,86.605,87.895,85.57,85.8
1121979600,85.8,86.895,85.695,86.845
1122498000,86.845,87.965,86.545,87.275
1123016400,87.275,89.005,87.215,88.965
1123534800,88.965,89.155,87.615,87.695
1124053200,87.935,87.935,86.675,86.935
1124398800,86.935,87.175,86.015,87.165
1124917200,87.165,88.16,87.095,87.625
1125435600,87.625,89.405,87.595,88.625
1125954000,88.625,89.215,88.165,88.225
1126472400,87.575,88.105,86.91,87.295
1126818000,87.295,87.855,87.03,87.615
1127336400,87.615,87.945,86.69,87.425
1127854800,87.425,88.075,87.125,87.695
1128373200,87.695,89.245,87.555,89.075
1128891600,88.875,89.245,88.315,88.805
1129237200,88.805,89.295,88.615,89.155
1129755600,89.155,90.135,88.935,90.105
1130274000,90.105,90.705,90.005,90.325
1130796000,90.325,91.495,90.225,90.505
1131314400,90.385,90.405,89.205,89.855
1131660000,89.855,90.535,89.485,89.915
1132178400,89.915,90.855,89.545,90.565
1132696800,90.565,91.125,90.025,91.045
1133215200,91.045,91.785,90.665,91.605
1133733600,91.815,92.795,91.735,92.565
1134079200,92.565,93.155,91.075,91.575
1134597600,91.575,91.775,89.205,89.575
1135116000,89.575,89.825,88.33,88.5
1135634400,88.5,89.885,88.5,89.635
1136152800,89.635,91.135,89.385,90.875
1136498400,90.875,91.025,89.135,89.475
1137016800,89.475,90.325,88.565,90.185
1137535200,90.185,91.165,89.355,91.035
1138053600,91.035,91.805,90.645,91.315
