time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1085950800,1.7039,1.7039,1.7039,1.7039,0,NaN,0,0,NaN
1086037200,1.7039,1.7308,1.7039,1.7308,0,NaN,0,0,NaN
1086123600,1.7308,1.7549,1.7308,1.7549,0,NaN,0,0,NaN
1086210000,1.7549,1.7752,1.7549,1.7752,0,NaN,0,0,NaN
1086296400,1.7752,1.7752,1.7659,1.7659,0,NaN,0,0,NaN
1086555600,1.7651,1.7651,1.7424,1.7424,0,NaN,0,0,NaN
1086642000,1.7424,1.7507,1.7424,1.7507,0,NaN,0,0,NaN
1086728400,1.7507,1.7507,1.7459,1.7459,0,NaN,0,0,NaN
1086814800,1.7459,1.7459,1.7362,1.7362,0,NaN,0,0,NaN
1086901200,1.7362,1.7362,1.7351,1.7351,0,NaN,0,0,NaN
1087160400,1.733,1.754,1.733,1.754,0,NaN,0,0,NaN
1087246800,1.754,1.754,1.7437,1.7437,0,NaN,0,0,NaN
1087333200,1.7437,1.7437,1.7423,1.7423,0,NaN,0,0,NaN
1087419600,1.7423,1.76695,1.7423,1.76695,0,NaN,0,0,NaN
1087506000,1.76695,1.76695,1.7622,1.7622,0,NaN,0,0,NaN
1087765200,1.7609,1.7609,1.7553,1.7553,0,NaN,0,0,NaN
1087851600,1.7553,1.7606,1.7553,1.7606,0,NaN,0,0,NaN
1087938000,1.7606,1.7606,1.7578,1.7578,0,NaN,0,0,NaN
1088024400,1.7578,1.7578,1.73925,1.73925,0,NaN,0,0,NaN
1088110800,1.73925,1.73925,1.7381,1.7381,0,NaN,0,0,-0.8073385940019207
1088370000,1.7387,1.742,1.7387,1.742,0,NaN,0,0,-0.6559940792741147
1088456400,1.742,1.75055,1.742,1.75055,0,NaN,0,0,-0.5106424038381941
1088542800,1.75055,1.75055,1.7445,1.7445,0,NaN,0,0,-0.46336706764216007
1088629200,1.7445,1.7445,1.7249,1.7249,0,NaN,0,0,-0.3853955899256074
1088715600,1.7249,1.7264,1.7249,1.7264,0,NaN,0,0,-0.3974687683276481
1088974800,1.7279,1.7279,1.7268,1.7268,0,NaN,0,0,-0.405326144120822
1089061200,1.7268,1.7268,1.7225,1.7225,0,NaN,0,0,-0.47006368271748045
1089147600,1.7225,1.7225,1.71085,1.71085,0,NaN,0,0,-0.5784638347705425
1089234000,1.71085,1.72035,1.71085,1.72035,0,NaN,0,0,-0.6017534669951323
1089320400,1.72035,1.72035,1.7193,1.7193,0,NaN,0,0,-0.6364992199632477
1089579600,1.7163,1.7163,1.7057,1.7057,0,NaN,0,0,-0.7308003939923354
1089666000,1.7057,1.7057,1.70045,1.70045,0,NaN,0,0,-0.8314602908347214
1089752400,1.70045,1.7108,1.70045,1.7108,0,NaN,0,0,-0.8573697094868638
1089838800,1.7108,1.7108,1.7094,1.7094,0,NaN,0,0,-0.8652599199418857
1089925200,1.7094,1.7094,1.7005,1.7005,0,NaN,0,0,-0.8931195511432927
1090184400,1.6994,1.6998,1.6994,1.6998,0,NaN,0,0,-0.9229446845948439
1090270800,1.6998,1.6998,1.6945,1.6945,0,NaN,0,0,-0.9133566178796348
1090357200,1.6945,1.71395,1.6945,1.71395,0,NaN,0,0,-0.8996189916088848
1090443600,1.71395,1.7146,1.71395,1.7146,0,NaN,0,0,-0.8708013230464644
1090530000,1.7146,1.7146,1.7046,1.7046,0,NaN,0,0,-0.7886917128393427
1090789200,1.7068,1.7119,1.7068,1.7119,0,NaN,0,0,-0.8023028334350092
1090875600,1.7119,1.7242,1.7119,1.7242,0,NaN,0,0,-0.7204382753195894
1090962000,1.7242,1.7242,1.7227,1.7227,0,NaN,0,0,-0.6546763641798844
1091048400,1.7227,1.7227,1.722,1.722,0,NaN,0,0,-0.644184230495192
1091134800,1.722,1.722,1.7102,1.7102,0,NaN,0,0,-0.6222658635870403
1091394000,1.7135,1.7135,1.70975,1.70975,0,NaN,0,0,-0.6180659244784256
1091480400,1.70975,1.70975,1.70575,1.70575,0,NaN,0,0,-0.5747839636207156
1091566800,1.70575,1.71195,1.70575,1.71195,0,NaN,0,0,-0.5601468026803138
1091653200,1.71195,1.7133,1.71195,1.7133,0,NaN,0,0,-0.6058600168844672
1091739600,1.7133,1.7207,1.7133,1.7207,0,NaN,0,0,-0.6793388495092277
1091998800,1.7198,1.7198,1.71545,1.71545,0,NaN,0,0,-0.6682202827276247
1092085200,1.71545,1.71585,1.71545,1.71585,0,NaN,0,0,-0.6300072775206357
1092171600,1.71585,1.71585,1.70845,1.70845,0,NaN,0,0,-0.6631683432947543
1092258000,1.70845,1.71435,1.70845,1.71435,0,NaN,0,0,-0.641234196831742
1092344400,1.71435,1.7259,1.71435,1.7259,0,NaN,0,0,-0.5458509904300685
1092603600,1.7293,1.7293,1.72135,1.72135,0,NaN,0,0,-0.43770679882052294
1092690000,1.72135,1.72665,1.72135,1.72665,0,NaN,0,0,-0.20253317935461218
1092776400,1.72665,1.72665,1.72315,1.72315,0,NaN,0,0,-0.21576458102553345
1092862800,1.72315,1.72315,1.70605,1.70605,0,NaN,0,0,-0.23388587754971227
1092949200,1.70605,1.70605,1.7021,1.7021,0,NaN,0,0,-0.26110642219339464
1093208400,1.7017,1.7017,1.7017,1.7017,0,NaN,0,0,-0.16928997739488633
1093294800,1.7017,1.7145,1.7017,1.7145,0,NaN,0,0,-0.11219625248548336
1093381200,1.7145,1.7145,1.7119,1.7119,0,NaN,0,0,-0.03334086647237089
1093467600,1.7119,1.7201,1.7119,1.7201,0,NaN,0,0,-0.05156468545566262
1093554000,1.7201,1.7201,1.7098,1.7098,0,NaN,0,0,-0.006604742530593799
1093813200,1.7127,1.7215,1.7127,1.7215,0,NaN,0,0,-0.059744384006412965
1093899600,1.7215,1.7301,1.7215,1.7301,0,NaN,0,0,-0.16014808241969483
1093986000,1.7301,1.7328,1.7301,1.7328,0,NaN,0,0,-0.29132130252683947
1094072400,1.7328,1.7454,1.7328,1.7454,0,NaN,0,0,-0.5171803813394242
1094158800,1.7454,1.7454,1.7444,1.7444,0,NaN,0,0,-0.6459352308490466
1094418000,1.7432,1.7432,1.7422,1.7422,0,NaN,0,0,-0.7050916871569073
1094504400,1.7422,1.7431,1.7422,1.7431,0,NaN,0,0,-0.7478312577853639
1094590800,1.7431,1.7492,1.7431,1.7492,0,NaN,0,0,-0.766932357288544
1094677200,1.7492,1.7739,1.7492,1.7739,0,NaN,0,0,-0.8285302228121315
1094763600,1.7739,1.7739,1.7635,1.7635,0,NaN,0,0,-0.8627904556169161
1095022800,1.7617,1.7617,1.76075,1.76075,0,NaN,0,0,-0.86663553499899
1095109200,1.76075,1.76075,1.74555,1.74555,0,NaN,0,0,-0.8910953075388597
1095195600,1.74555,1.7472,1.74555,1.7472,0,NaN,0,0,-0.9061302769810811
