time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1085605200,1.7039,1.7039,1.7039,1.7039,0,NaN,0,0,NaN
1086037200,1.7039,1.7752,1.7039,1.7752,0,NaN,0,0,NaN
1086296400,1.7752,1.7752,1.7424,1.7507,0,NaN,0,0,NaN
1086728400,1.7507,1.7507,1.7351,1.7351,0,NaN,0,0,NaN
1087160400,1.733,1.754,1.733,1.7423,0,NaN,0,0,NaN
1087419600,1.7423,1.76695,1.7423,1.7553,0,NaN,0,0,NaN
1087851600,1.7553,1.7606,1.73925,1.73925,0,NaN,0,0,NaN
1088110800,1.73925,1.75055,1.7381,1.75055,0,NaN,0,0,NaN
1088542800,1.75055,1.75055,1.7249,1.7264,0,NaN,0,0,NaN
1088974800,1.7279,1.7279,1.71085,1.71085,0,NaN,0,0,NaN
1089234000,1.71085,1.72035,1.7057,1.7057,0,NaN,0,0,NaN
1089666000,1.7057,1.7108,1.70045,1.7094,0,NaN,0,0,NaN
1089925200,1.7094,1.7094,1.6945,1.6945,0,NaN,0,0,NaN
1090357200,1.6945,1.7146,1.6945,1.7046,0,NaN,0,0,NaN
1090789200,1.7068,1.7242,1.7068,1.7227,0,NaN,0,0,NaN
1091048400,1.7227,1.7227,1.70975,1.70975,0,NaN,0,0,NaN
1091480400,1.70975,1.7133,1.70575,1.7133,0,NaN,0,0,NaN
1091739600,1.7133,1.7207,1.7133,1.71585,0,NaN,0,0,NaN
1092171600,1.71585,1.7259,1.70845,1.7259,0,NaN,0,0,NaN
1092603600,1.7293,1.7293,1.72135,1.72315,0,NaN,0,0,-0.3896880165939452
1092862800,1.72315,1.72315,1.7017,1.7017,0,NaN,0,0,-0.23464205232502008
1093294800,1.7017,1.7201,1.7017,1.7201,0,NaN,0,0,-0.18656027799578992
1093554000,1.7201,1.7301,1.7098,1.7301,0,NaN,0,0,-0.2693438416513956
1093986000,1.7301,1.7454,1.7301,1.7444,0,NaN,0,0,-0.4078413350804025
1094418000,1.7432,1.7492,1.7422,1.7492,0,NaN,0,0,-0.5633738352613432
1094677200,1.7492,1.7739,1.7492,1.76075,0,NaN,0,0,-0.7300870969260136
1095109200,1.76075,1.76075,1.7428,1.7428,0,NaN,0,0,-0.7896815505661049
1095368400,1.7428,1.7536,1.73675,1.7536,0,NaN,0,0,-0.844351675890127
1095800400,1.7536,1.7536,1.7179,1.7179,0,NaN,0,0,-0.8292767786099526
1096232400,1.7183,1.7226,1.7171,1.7198,0,NaN,0,0,-0.8091377482479846
1096491600,1.7198,1.7198,1.7027,1.7027,0,NaN,0,0,-0.7509359147607226
1096923600,1.7027,1.7027,1.6872,1.6872,0,NaN,0,0,-0.6646300369667929
1097182800,1.6872,1.6902,1.6844,1.6873,0,NaN,0,0,-0.5421534762138014
1097614800,1.6873,1.7047,1.6873,1.7047,0,NaN,0,0,-0.4968799915119157
1098046800,1.7065,1.7226,1.7065,1.7132,0,NaN,0,0,-0.4985493627969885
1098306000,1.7132,1.7151,1.7109,1.7151,0,NaN,0,0,-0.4753163235463702
1098738000,1.7151,1.7151,1.70675,1.70675,0,NaN,0,0,-0.45011430855006723
1098997200,1.7112,1.7112,1.7029,1.7029,0,NaN,0,0,-0.4701255945504673
1099432800,1.7029,1.7029,1.6969,1.6998,0,NaN,0,0,-0.5657565331648697
1099864800,1.6988,1.7057,1.6941,1.6973,0,NaN,0,0,-0.6100848942428283
1100124000,1.6973,1.6973,1.6737,1.6737,0,NaN,0,0,-0.7042841328439892
1100556000,1.6737,1.6769,1.66545,1.66545,0,NaN,0,0,-0.784961083353878
1100815200,1.66545,1.6667,1.6623,1.6648,0,NaN,0,0,-0.8842596589892204
1101247200,1.6648,1.6814,1.6648,1.6814,0,NaN,0,0,-0.877037667228918
1101679200,1.6804,1.7221,1.6804,1.7149,0,NaN,0,0,-0.844990845713919
1101938400,1.7149,1.7334,1.7131,1.7334,0,NaN,0,0,-0.7129975220136736
1102370400,1.7334,1.7654,1.7334,1.7654,0,NaN,0,0,-0.5257242601025092
1102629600,1.7654,1.7654,1.75395,1.75835,0,NaN,0,0,-0.17737364481538184
1103061600,1.75835,1.75835,1.7396,1.7396,0,NaN,0,0,-0.02479453381285466
1103493600,1.7459,1.7531,1.7459,1.7531,0,NaN,0,0,0.19816982392899504
1103752800,1.7531,1.7619,1.7507,1.7507,0,NaN,0,0,0.3035789002173167
1104184800,1.7507,1.7572,1.74695,1.7494,0,NaN,0,0,0.336332950906235
1104444000,1.7494,1.7494,1.7339,1.7339,0,NaN,0,0,0.3337861062983241
1104703200,1.7359,1.74335,1.7245,1.73425,0,NaN,0,0,0.3388362812688904
1104962400,1.73425,1.74045,1.71915,1.72585,0,NaN,0,0,0.3381198907984657
1105394400,1.72585,1.73615,1.71625,1.72775,0,NaN,0,0,0.3315823567766381
1105653600,1.72775,1.7345,1.71925,1.72365,0,NaN,0,0,0.31439889910160074
1106085600,1.72365,1.72755,1.69105,1.6947,0,NaN,0,0,0.241192759526033
1106517600,1.6958,1.70155,1.68415,1.68685,0,NaN,0,0,0.06706014130206332
1106776800,1.68685,1.69005,1.67395,1.68095,0,NaN,0,0,-0.15882428840216276
1107208800,1.68095,1.69355,1.67335,1.68285,0,NaN,0,0,-0.29181188246186746
1107468000,1.68285,1.68805,1.65505,1.66515,0,NaN,0,0,-0.3899849377028735
1107900000,1.66515,1.67185,1.6359,1.6369,0,NaN,0,0,-0.613519285986084
1108332000,1.6386,1.66695,1.6361,1.661,0,NaN,0,0,-0.724584586514752
1108591200,1.661,1.66885,1.65335,1.65445,0,NaN,0,0,-0.7987309210580205
1109023200,1.65445,1.68565,1.6534,1.67775,0,NaN,0,0,-0.7984157305467265
1109282400,1.67775,1.68655,1.66775,1.67525,0,NaN,0,0,-0.7754753319978348
1109714400,1.67525,1.68935,1.66675,1.6739,0,NaN,0,0,-0.77491187403363
1110146400,1.6764,1.69215,1.66285,1.68815,0,NaN,0,0,-0.766947043567226
1110405600,1.68815,1.70465,1.68165,1.69795,0,NaN,0,0,-0.8020417926981298
1110837600,1.69795,1.69975,1.68225,1.68585,0,NaN,0,0,-0.8457204629445265
1111096800,1.68585,1.68965,1.66505,1.67165,0,NaN,0,0,-0.8413245240323772
1111528800,1.67165,1.68565,1.67095,1.6796,0,NaN,0,0,-0.8204252558336139
1111960800,1.6786,1.68125,1.66955,1.6761,0,NaN,0,0,-0.7924979787408085
1112220000,1.6761,1.68415,1.67125,1.6734,0,NaN,0,0,-0.7187216231926828
1112648400,1.6734,1.68695,1.6712,1.67805,0,NaN,0,0,-0.603900233927562
1112907600,1.67805,1.67845,1.6638,1.6663,0,NaN,0,0,-0.4561297074121492
1113339600,1.6663,1.6829,1.656,1.6814,0,NaN,0,0,-0.3992932604361899
1113771600,1.6799,1.70355,1.678,1.68735,0,NaN,0,0,-0.3661731960257316
1114030800,1.68735,1.69225,1.6616,1.6662,0,NaN,0,0,-0.38858442057887616
1114462800,1.6662,1.67435,1.65215,1.65525,0,NaN,0,0,-0.4392423604395033
1114722000,1.65525,1.66895,1.64505,1.66255,0,NaN,0,0,-0.46591972587501473
1115154000,1.66255,1.66955,1.65135,1.6535,0,NaN,0,0,-0.4314826129783843
1115586000,1.6547,1.66535,1.64815,1.65485,0,NaN,0,0,-0.42212350490644246
1115845200,1.65485,1.67395,1.65165,1.67195,0,NaN,0,0,-0.3677832955577081
1116277200,1.67195,1.67255,1.66275,1.66775,0,NaN,0,0,-0.3994769213395535
1116536400,1.66775,1.67055,1.6474,1.6493,0,NaN,0,0,-0.4396605500730174
1116968400,1.6493,1.65665,1.64485,1.6492,0,NaN,0,0,-0.45860483670114394
1117400400,1.6454,1.6476,1.62455,1.62505,0,NaN,0,0,-0.14193228159399324
1117659600,1.62505,1.63435,1.60185,1.60195,0,NaN,0,0,-0.0579216282341406
1118091600,1.60195,1.6054,1.58955,1.5927,0,NaN,0,0,-0.15665319357524685
1118350800,1.5927,1.5998,1.57205,1.57655,0,NaN,0,0,-0.11417245717115314
1118782800,1.57655,1.5801,1.56315,1.5793,0,NaN,0,0,-0.045870982780730735
1119214800,1.57265,1.5753,1.55395,1.55745,0,NaN,0,0,-0.012926445590770426
1119474000,1.55745,1.58595,1.55365,1.58155,0,NaN,0,0,0.16361826259046397
1119906000,1.58155,1.5934,1.57275,1.588,0,NaN,0,0,0.4151350560452874
1120165200,1.588,1.60925,1.5816,1.60725,0,NaN,0,0,0.4052292635031644
1120597200,1.60725,1.61875,1.60225,1.613,0,NaN,0,0,0.36460287853247736
1121029200,1.6119,1.622,1.61055,1.6128,0,NaN,0,0,0.3262442644063322
1121288400,1.6128,1.61415,1.5965,1.5988,0,NaN,39.175107184424945,-11.791899069655976,0.32112223943748114
1121720400,1.5988,1.61025,1.5866,1.59035,0,NaN,26.01410345589553,-9.923929102512723,0.2913978201578332
1121979600,1.59035,1.59295,1.57535,1.58525,0,NaN,34.073240726586576,8.673877309609445,0.24778539961188525
1122411600,1.58525,1.60395,1.5827,1.6023,0,NaN,67.12518456497739,20.659402312435837,0.20399395817612334
1122843600,1.6034,1.6084,1.59045,1.5985,0,NaN,59.46928356299627,37.85012161972998,0.12300804703490942
1123102800,1.5985,1.617,1.59575,1.6162,0,NaN,51.31751313416673,48.769306758363214,-0.004465778799404058
1123534800,1.6162,1.6294,1.6056,1.61095,0,NaN,13.836571891117007,44.771251315106454,-0.14197467044425033
1123794000,1.61095,1.61475,1.60115,1.60665,0,NaN,-24.095689797922944,45.64959318237949,-0.3528958000852131
1124226000,1.60665,1.6231,1.60215,1.6174,0,NaN,8.093321360370764,35.916744176929406,-0.6897624393535647
1124658000,1.6184,1.6246,1.612,1.6241,0,NaN,16.23240784720874,24.777708330135248,-0.7912085627308798
1124917200,1.6241,1.6329,1.6156,1.6252,0,NaN,41.84022128121764,52.3482822812068,-0.8510470337507469
1125349200,1.6252,1.6418,1.6252,1.6393,0,NaN,58.77479299129044,66.11652794442807,-0.9015839095086469
1125608400,1.6393,1.64385,1.62305,1.6238,0,NaN,31.97142596584125,62.35421197788212,-0.8920370172788766
1126040400,1.6238,1.6286,1.6005,1.6009,0,NaN,-7.942852644625571,44.950069187875336,-0.87052819392609
1126472400,1.5998,1.6024,1.5905,1.59205,0,NaN,16.342950543684136,31.324826707402888,-0.7412950747404279
1126731600,1.59205,1.6007,1.58215,1.58305,0,NaN,-1.8112783785578088,-3.1224545861401225,-0.44920752511384254
1127163600,1.58305,1.59475,1.5757,1.59375,0,NaN,28.82982953944022,-7.354556497031016,-0.2764638844524788
1127422800,1.59375,1.5996,1.58545,1.58935,0,NaN,31.279372313794873,-12.365989604641129,-0.15019415462027744
1127854800,1.58935,1.59375,1.57355,1.5784,0,NaN,-22.970665421964526,-23.33536858039721,0.03231522753776386
1128286800,1.577,1.5845,1.5595,1.583,0,NaN,-5.548365717646121,-29.723884678374823,0.11399903345577617
1128546000,1.583,1.60855,1.5816,1.58965,0,NaN,-11.153388130202949,-34.24722069166918,0.15819583444808188
1128978000,1.58965,1.6035,1.58645,1.6021,0,NaN,17.97423686538361,-32.3281900393698,0.21537719547641568
1129237200,1.6021,1.6101,1.5963,1.599,0,NaN,36.791740426354565,-28.767039773312142,0.3328326813102834
1129669200,1.599,1.6042,1.5884,1.5962,0,NaN,58.93305394005529,-34.146659480971586,0.3653498773961643
1130101200,1.5958,1.6043,1.5919,1.59895,0,NaN,53.48553805177395,-22.828225502432524,0.463780295885708
1130360400,1.59895,1.61465,1.5963,1.6027,0,NaN,61.64860534968688,4.924040308773156,0.4208543730016026
1130796000,1.6027,1.6297,1.6015,1.6155,0,NaN,71.81037178773954,8.630774076015973,0.3038131219990136
1131055200,1.6155,1.6238,1.5997,1.6036,0,NaN,61.534043159897735,0.8508433938500168,0.2810264747451013
1131487200,1.6036,1.6087,1.5934,1.601,0,NaN,86.38091119166296,7.951870920881998,0.22202844384942236
1131919200,1.6006,1.6089,1.5943,1.597,0,NaN,67.69429001657485,-5.778818197711278,0.19404047260267349
1132178400,1.597,1.6105,1.5914,1.5932,0,NaN,56.78325638781842,-11.237692228991875,0.15405137449640133
1132610400,1.5932,1.60785,1.59125,1.5955,0,NaN,33.68989447023901,-20.562038188474567,0.0069765837384911655
1132869600,1.5955,1.6023,1.5909,1.5964,0,NaN,34.12745656503204,-13.913659529868632,-0.33102679140795566
1133301600,1.5964,1.5989,1.5633,1.5666,0,NaN,-2.4776039650169217,-20.43000086589693,-0.20771609442842837
1133733600,1.5664,1.57695,1.5617,1.56805,0,NaN,8.245319841352229,-19.97227551765583,-0.0512246795573614
1133992800,1.56805,1.5874,1.56495,1.5822,0,NaN,-5.920802724445672,-20.27300754003555,0.05533697275051212
1134424800,1.5822,1.60815,1.5785,1.60065,0,NaN,-7.583006236922017,0.4645546721399114,0.012382075494525092
1134684000,1.60065,1.62555,1.60045,1.61625,0,NaN,33.333162039070984,30.323825855703003,-0.10952354730572207
1135116000,1.61625,1.63285,1.6095,1.6289,0,NaN,44.33279307894857,36.62968446176749,-0.2897607004489985
1135548000,1.6289,1.637,1.61775,1.62315,0,NaN,45.35768684262046,39.574063620622525,-0.3497456388356183
1135807200,1.62315,1.62935,1.6067,1.6167,0,NaN,42.22401428433004,41.793824816697196,-0.3819316947736651
1136152800,1.6167,1.62785,1.60975,1.6226,0,NaN,24.84658460077696,40.99581325497814,-0.4625514971203104
1136412000,1.6226,1.62495,1.60155,1.60265,0,NaN,-1.4468333309002404,48.30725722831917,-0.44909107850490265
1136844000,1.60265,1.6129,1.5975,1.6043,0,NaN,45.62392138118016,64.08560050001333,-0.4594189735226347
