time,open,high,low,close
1085950800,1.7039,1.7752,1.7039,1.7622
1087765200,1.7609,1.7609,1.71085,1.7193
1089579600,1.7163,1.7242,1.6945,1.7102
1091394000,1.7135,1.7293,1.7021,1.7021
1093208400,1.7017,1.7739,1.7017,1.7635
1095022800,1.7617,1.7617,1.70895,1.71
1096837200,1.7133,1.7226,1.6844,1.71105
1098651600,1.7109,1.7151,1.6863,1.6863
1100469600,1.6876,1.7221,1.6623,1.7215
1102284000,1.7199,1.7654,1.7199,1.7599
1104098400,1.7581,1.7581,1.7339,1.7339
1104703200,1.7359,1.74335,1.69105,1.6947
1106517600,1.6958,1.70155,1.6359,1.6369
1108332000,1.6386,1.68935,1.6361,1.6739
1110146400,1.6764,1.70465,1.66285,1.6796
1111960800,1.6786,1.68695,1.656,1.6814
1113771600,1.6799,1.70355,1.64505,1.6535
1115586000,1.6547,1.67395,1.64485,1.6492
1117400400,1.6454,1.6476,1.56315,1.5793
1119214800,1.57265,1.61875,1.55365,1.613
1121029200,1.6119,1.622,1.57535,1.6023
1122843600,1.6034,1.6294,1.59045,1.6174
1124658000,1.6184,1.64385,1.6005,1.6009
1126472400,1.5998,1.6024,1.57355,1.5784
1128286800,1.577,1.6101,1.5595,1.5962
1130101200,1.5958,1.6297,1.5919,1.601
1131919200,1.6006,1.6105,1.5633,1.5666
1133733600,1.5664,1.63285,1.5617,1.6289
1135548000,1.6289,1.637,1.6067,1.6167
1136152800,1.6167,1.62785,1.5975,1.6223
1137967200,1.6216,1.6401,1.5997,1.614
1139781600,1.6137,1.62095,1.59705,1.6161
1141596000,1.6175,1.7004,1.6138,1.698
1143410400,1.6981,1.712,1.6506,1.6636
1145221200,1.6651,1.6741,1.6374,1.6474
1147035600,1.6489,1.7124,1.6443,1.6816
1148850000,1.6835,1.7355,1.6784,1.713
1150664400,1.7127,1.7264,1.6995,1.705
1152478800,1.7048,1.7074,1.6582,1.6623
1154293200,1.6637,1.6929,1.6577,1.6889
1156107600,1.6901,1.696,1.6601,1.6808
1157922000,1.6812,1.7078,1.6775,1.6986
1159736400,1.7019,1.7144,1.65745,1.6634
1161550800,1.6631,1.67795,1.64375,1.6737
1163368800,1.6742,1.69245,1.66245,1.6908
1165183200,1.6881,1.69775,1.66915,1.6748
1166997600,1.6865,1.6865,1.6617,1.6733
1167602400,1.6733,1.67475,1.63975,1.6416
1169416800,1.6419,1.687,1.63715,1.6756
1171231200,1.6743,1.6888,1.65775,1.6865
1173045600,1.6899,1.70345,1.64765,1.6503
1174856400,1.6488,1.66155,1.62123,1.62317
1176670800,1.6263,1.65948,1.61968,1.65451
1178485200,1.65587,1.65679,1.6213,1.6434
1180299600,1.64277,1.64805,1.57761,1.58986
1182114000,1.59285,1.60915,1.57869,1.58812
1183928400,1.58917,1.60565,1.54764,1.6006
1185742800,1.6009,1.74572,1.59185,1.68958
1187557200,1.6925,1.71005,1.6404,1.66562
1189371600,1.6667,1.68573,1.60276,1.60688
1191186000,1.60705,1.61155,1.5634,1.60635
1193000400,1.61217,1.62262,1.54974,1.6101
1194818400,1.6198,1.71642,1.61295,1.6547
1196632800,1.65775,1.70021,1.64905,1.65813
1198447200,1.65595,1.6962,1.6507,1.69043
1199656800,1.6919,1.69563,1.64797,1.66912
1201471200,1.67172,1.68104,1.60024,1.615
1203285600,1.61628,1.66348,1.59245,1.65692
1205096400,1.65775,1.72682,1.64712,1.72162
1206910800,1.72445,1.74291,1.68335,1.69206
1208725200,1.69505,1.69647,1.62555,1.64095
1210539600,1.64305,1.66358,1.61852,1.6271
1212354000,1.6313,1.65285,1.60488,1.63701
1214168400,1.638,1.65865,1.62581,1.64973
1215982800,1.64504,1.67518,1.62034,1.67501
1217797200,1.67597,1.735995,1.66899,1.70732
1219611600,1.7082,1.77188,1.69978,1.72708
1221426000,1.74838,1.82601,1.72495,1.77941
1223240400,1.77142,2.11458,1.76464,2.02787
1225054800,2.03088,2.08255,1.8492,1.94367
1226872800,1.96804,2.0571,1.92817,1.96738
1228687200,1.96228,2.103,1.925385,2.04838
1230501600,2.0494,2.07075,1.94922,1.95759
1231106400,1.95403,2.00633,1.86037,1.98413
1232920800,1.9762,2.04023,1.90191,1.95849
1234735200,1.96201,1.99982,1.937235,1.97555
1236546000,1.97638,2.00603,1.91268,1.91378
1238360400,1.91829,1.94702,1.80333,1.80537
1240174800,1.80238,1.86577,1.75045,1.7737
1241989200,1.77487,1.814865,1.75422,1.76797
1243803600,1.7587,1.789315,1.71493,1.72845
1245618000,1.73281,1.79753,1.73046,1.78953
1247432400,1.79102,1.81036,1.698685,1.70568
1249246800,1.7072,1.72942,1.685185,1.71598
1251061200,1.71333,1.72648,1.67173,1.68765
1252875600,1.69322,1.70461,1.65134,1.68461
1254690000,1.6858,1.68694,1.60815,1.62699
1256504400,1.62913,1.65066,1.59625,1.59724
1258322400,1.59783,1.663005,1.59494,1.62445
1260136800,1.62696,1.632035,1.597005,1.62755
1261951200,1.6259,1.62753,1.59181,1.59392
1262556000,1.59174,1.59609,1.541885,1.5697
1264370400,1.56703,1.595425,1.52728,1.53558
1266184800,1.53382,1.53647,1.494645,1.501
1267999200,1.50073,1.50571,1.46014,1.48327
1269810000,1.48814,1.49147,1.43489,1.46109
1271624400,1.46206,1.46898,1.40575,1.43611
1273438800,1.43376,1.54621,1.39287,1.44833
1275253200,1.45121,1.47409,1.41538,1.42061
1277067600,1.41201,1.50153,1.396395,1.44043
1278882000,1.44007,1.497275,1.433195,1.4435
1280696400,1.44266,1.454455,1.418365,1.42203
1282510800,1.43299,1.444375,1.36807,1.36867
1284325200,1.36782,1.4192,1.36611,1.41757
1286139600,1.41884,1.437275,1.404825,1.41985
1287954000,1.41542,1.42702,1.36457,1.39042
1289772000,1.38589,1.393735,1.34873,1.35073
1291586400,1.3511,1.355355,1.3013,1.30601
1293400800,1.31106,1.31715,1.292795,1.308
1294005600,1.30814,1.37721,1.29325,1.37619
1295820000,1.38059,1.38795,1.33048,1.35314
1297634400,1.35298,1.3851,1.34047,1.37966
1299448800,1.37916,1.43444,1.3678,1.37304
1301259600,1.37151,1.38788,1.35922,1.36567
1303074000,1.36447,1.392905,1.33652,1.33751
1304888400,1.34018,1.345835,1.32282,1.33734
1306702800,1.33542,1.38399,1.33379,1.34682
1308517200,1.34655,1.36887,1.32292,1.32632
1310331600,1.3262,1.33198,1.292875,1.30954
1312146000,1.30383,1.42633,1.294165,1.38336
1313960400,1.38498,1.386215,1.30335,1.30435
1315774800,1.30242,1.396585,1.29911,1.38562
1317589200,1.38178,1.408795,1.336905,1.33925
1319403600,1.33951,1.34696,1.311225,1.33845
1321221600,1.33489,1.380935,1.306115,1.31111
1323036000,1.30926,1.32271,1.283735,1.28613
1324850400,1.28722,1.288925,1.263195,1.27016
1325455200,1.26606,1.270755,1.222815,1.2334
1327269600,1.22907,1.24807,1.213345,1.23652
1329084000,1.23564,1.26186,1.214925,1.22974
1330898400,1.22816,1.275675,1.22815,1.26768
1332709200,1.26828,1.28942,1.259165,1.26078
1334523600,1.25957,1.2921,1.25724,1.28514
1336338000,1.28153,1.30306,1.277285,1.28293
1338152400,1.28102,1.28776,1.252755,1.25355
1339966800,1.25501,1.25966,1.200965,1.20326
1341781200,1.20257,1.20975,1.16978,1.17509
1343595600,1.17407,1.185035,1.160585,1.18371
1345410000,1.18393,1.23915,1.177645,1.23416
1347224400,1.23516,1.2553,1.225585,1.23889
1349038800,1.23946,1.2825,1.23659,1.26068
1350853200,1.2622,1.267215,1.21962,1.22409
1352671200,1.2224,1.249295,1.21591,1.24535
1354485600,1.24535,1.270025,1.2288,1.267825
1356300000,1.267075,1.2807,1.244315,1.246965
1357509600,1.24803,1.29413,1.235735,1.29151
1359324000,1.29278,1.31909,1.28379,1.2966
1361138400,1.2966,1.30182,1.265215,1.27063
1362949200,1.27063,1.273415,1.222165,1.230195
1364763600,1.230195,1.27396,1.221965,1.27003
1366578000,1.27003,1.301885,1.260005,1.29587
1368392400,1.29587,1.359135,1.29544,1.35796
1370206800,1.35796,1.44157,1.337065,1.42329
1372021200,1.42329,1.447855,1.3864,1.444035
1373835600,1.444035,1.493965,1.416625,1.49158
1375650000,1.49158,1.499455,1.444365,1.48249
1377464400,1.48249,1.5031,1.42365,1.438145
1379278800,1.438145,1.456045,1.41937,1.43712
1381093200,1.43712,1.44669,1.412435,1.440115
1382907600,1.440115,1.453075,1.40506,1.44057
1384725600,1.44057,1.5163,1.43189,1.50605
1386540000,1.50605,1.55979,1.50173,1.55017
1388354400,1.55017,1.555785,1.511645,1.51883
1388959200,1.51883,1.58324,1.50304,1.5754
1390773600,1.5754,1.577265,1.498545,1.51565
1392588000,1.51565,1.54997,1.508545,1.53008
1394398800,1.53008,1.55376,1.477975,1.48682
1396213200,1.48682,1.496515,1.465395,1.48024
1398027600,1.48024,1.50225,1.46898,1.46993
1399842000,1.46993,1.48741,1.456485,1.464415
1401656400,1.464415,1.47525,1.435965,1.44854
1403470800,1.44854,1.46048,1.43821,1.44888
1405285200,1.44888,1.454615,1.42061,1.442145
1407099600,1.442145,1.447855,1.419895,1.421485
1408914000,1.421485,1.434735,1.37988,1.43453
1410728400,1.43453,1.458815,1.42392,1.44257
1412542800,1.44257,1.47067,1.431385,1.44044
1414357200,1.44044,1.45939,1.42228,1.43142
1416175200,1.43142,1.48321,1.423675,1.47623
1417989600,1.47623,1.533285,1.47509,1.49972
1419804000,1.49972,1.501795,1.47667,1.483725
1420408800,1.483725,1.48627,1.396615,1.41643
1422223200,1.41643,1.489515,1.41098,1.46703
1424037600,1.46703,1.472995,1.39487,1.40519
1425848400,1.40519,1.414165,1.373005,1.40523
1427662800,1.40523,1.444575,1.37055,1.38849
1429477200,1.38849,1.435555,1.36801,1.41214
1431291600,1.41214,1.438145,1.391285,1.43786
1433106000,1.43786,1.47699,1.42045,1.46025
1434920400,1.46025,1.507115,1.431825,1.49827
1436734800,1.49827,1.527735,1.464685,1.50445
1438549200,1.50445,1.55805,1.472955,1.55639
1440363600,1.55639,1.66066,1.55628,1.59918
1442178000,1.59918,1.625145,1.560255,1.59002
1443992400,1.59002,1.59349,1.519025,1.52632
1445806800,1.52632,1.55765,1.498645,1.51138
1447624800,1.51138,1.51387,1.43487,1.48285
1449439200,1.48285,1.53436,1.47917,1.5088
1451253600,1.5088,1.514235,1.48647,1.49033
1451858400,1.49033,1.607745,1.48719,1.54224
1453672800,1.54224,1.625205,1.52508,1.584
1455487200,1.584,1.584,1.474,1.47919
1457301600,1.47919,1.508815,1.44672,1.48756
1459112400,1.48756,1.520355,1.45624,1.46088
1460926800,1.46088,1.556705,1.443535,1.547995
1462741200,1.547995,1.564645,1.536815,1.54691
1464555600,1.54691,1.554235,1.513825,1.52505
1466370000,1.52505,1.529975,1.458975,1.45998
1468184400,1.45998,1.48133,1.44806,1.4704
1469998800,1.4704,1.49141,1.44206,1.48489
1471813200,1.48489,1.49017,1.45803,1.48965
1473627600,1.48965,1.509615,1.45587,1.46779
1475442000,1.46779,1.47794,1.41847,1.43071
1477256400,1.43071,1.488245,1.407465,1.43863
