time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,EMA,EMA,Correlation
1085518800,1.6596,1.6596,1.6596,1.6596,0,NaN,0,0,NaN,NaN,NaN
1086037200,1.6596,1.6759,1.65935,1.65935,0,NaN,0,0,NaN,NaN,NaN
1086555600,1.66165,1.66165,1.6383,1.6468,0,NaN,0,0,NaN,NaN,NaN
1086901200,1.6468,1.6644,1.63705,1.6492,0,NaN,0,0,NaN,NaN,NaN
1087419600,1.6492,1.65515,1.6439,1.6439,0,NaN,0,0,NaN,NaN,NaN
1087938000,1.6439,1.6448,1.637,1.6433,0,NaN,0,0,NaN,NaN,NaN
1088456400,1.6433,1.6433,1.6206,1.63065,0,NaN,0,0,NaN,NaN,NaN
1088974800,1.63115,1.6335,1.62975,1.6327,0,NaN,0,0,NaN,NaN,NaN
1089320400,1.6327,1.6372,1.6254,1.6372,0,NaN,0,0,NaN,NaN,NaN
1089838800,1.6372,1.6372,1.6199,1.6199,0,NaN,0,0,NaN,NaN,NaN
1090357200,1.6199,1.62,1.59725,1.6185,0,NaN,0,0,NaN,NaN,NaN
1090875600,1.6185,1.6185,1.59555,1.60015,0,NaN,0,0,NaN,NaN,NaN
1091394000,1.601,1.60235,1.5859,1.58945,0,NaN,0,0,NaN,NaN,NaN
1091739600,1.58945,1.61875,1.58945,1.61875,0,NaN,0,0,NaN,1.6306232643176457,NaN
1092258000,1.61875,1.63115,1.61545,1.61555,0,NaN,0,0,NaN,1.629099645814164,NaN
1092776400,1.61555,1.61555,1.5875,1.5875,0,NaN,0,0,NaN,1.624714915283247,NaN
1093294800,1.5875,1.5875,1.5766,1.57735,0,NaN,0,0,NaN,1.6179225279396394,NaN
1093813200,1.57815,1.5991,1.57815,1.5821,0,NaN,0,0,NaN,1.6138757202319576,NaN
1094158800,1.5821,1.5821,1.5585,1.5717,0,NaN,0,0,NaN,1.6068264733256128,NaN
1094677200,1.5717,1.5958,1.5717,1.5848,0,NaN,0,0,NaN,1.6035631806289226,0.7962977767810571
1095195600,1.5848,1.5848,1.5723,1.5762,0,NaN,0,0,NaN,1.5995314679272343,0.7926868572841116
1095714000,1.5762,1.5881,1.56395,1.56395,0,NaN,0,0,NaN,1.5956768464881368,0.8424137522934075
1096232400,1.56625,1.5683,1.5644,1.5683,0,NaN,0,0,NaN,1.5914260816362524,0.8384192712884122
1096578000,1.5683,1.5683,1.5468,1.5468,0,NaN,0,0,NaN,1.5863019728375771,0.8365659251156581
1097096400,1.5468,1.5549,1.5468,1.5475,0,NaN,0,0,NaN,1.5810928586772275,0.8549709305818272
1097614800,1.5475,1.5706,1.5475,1.5706,0,NaN,0,0,NaN,1.5780615021483235,0.8667415706643277
1098133200,1.5706,1.5747,1.56495,1.56495,0,NaN,0,0,NaN,1.5767099882392492,0.8650726259033028
1098651600,1.56475,1.56475,1.5582,1.5586,0,NaN,0,0,NaN,1.574403830412668,0.8517268499543758
1098997200,1.5586,1.56035,1.55,1.55,0,NaN,0,0,NaN,1.5717269622982049,0.8048071915537477
1099519200,1.55,1.554,1.5423,1.548,0,NaN,0,0,NaN,1.5683914636510659,0.7573494887938528
1100037600,1.548,1.5542,1.53965,1.5542,0,NaN,0,0,NaN,1.5651456265744548,0.6299307050113987
1100556000,1.5542,1.5633,1.5495,1.55405,0,NaN,0,0,NaN,1.5637259056341482,0.48965207104756664
1101074400,1.55575,1.55975,1.5476,1.55975,0,NaN,0,0,NaN,1.562260371218186,0.42442118837397036
1101420000,1.55975,1.5772,1.55975,1.5772,0,NaN,0,0,NaN,1.563871416112983,0.17916585188001846
1101938400,1.5772,1.622,1.5772,1.622,0,NaN,0,0,NaN,1.5700341368393254,0.20119486369331613
1102456800,1.622,1.63405,1.61895,1.63405,0,NaN,0,0,NaN,1.5782315879580635,0.30037506595371827
1102975200,1.63405,1.6436,1.63045,1.63045,0,NaN,0,0,NaN,1.586940129641711,0.4357764574581166
1103493600,1.63685,1.66495,1.63685,1.66495,0,NaN,0,0,NaN,1.5970383195412323,0.6175830835127871
1103839200,1.66495,1.66545,1.64585,1.64585,0,NaN,0,0,NaN,1.6058002993746403,0.6953772509200973
1104357600,1.64585,1.64585,1.62765,1.62765,0,NaN,0,0,NaN,1.6080719410990048,0.7534346542201579
1104703200,1.62955,1.6353,1.6161,1.6273,0,NaN,0,0,NaN,1.6107472161905438,0.7945962169117473
1105048800,1.6273,1.633,1.5861,1.5933,0,NaN,0,0,NaN,1.609071622697162,0.792015480798693
1105567200,1.5933,1.6006,1.5831,1.5919,0,NaN,0,0,NaN,1.6065986972739201,0.7870610970886539
1106085600,1.5919,1.6018,1.589,1.6001,0,NaN,0,0,NaN,1.605304686459928,0.7439457219934641
1106604000,1.6001,1.6222,1.59255,1.61515,0,NaN,0,0,NaN,1.6061658645632082,0.6788724064312569
1107122400,1.61555,1.6206,1.6063,1.6099,0,NaN,0,0,NaN,1.6071914032117962,0.6448711918568236
1107468000,1.6099,1.61765,1.5903,1.5978,0,NaN,0,0,NaN,1.606029506459123,0.559640197172527
1107986400,1.5978,1.6085,1.59015,1.6027,0,NaN,0,0,NaN,1.6048841487141414,0.46203467381725405
1108504800,1.6027,1.617,1.6,1.6115,0,NaN,0,0,NaN,1.6056763510931058,0.36663375857220154
1109023200,1.6115,1.6547,1.6107,1.64045,0,NaN,0,0,NaN,1.610255543325008,0.32821004928721353
1109541600,1.64115,1.64265,1.6256,1.6309,0,NaN,0,0,NaN,1.6134545302076835,0.31024926433458433
1109887200,1.6309,1.6351,1.6093,1.6165,0,NaN,0,0,1.6030724042334121,1.6147554506504365,0.2789009394093189
1110405600,1.6165,1.6263,1.6011,1.60635,0,NaN,0,0,1.6035487889740327,1.6148004595968526,0.19749057717084545
1110924000,1.60635,1.6185,1.5921,1.5937,0,NaN,0,0,1.6035982228756667,1.613282935404934,0.027055237480754554
1111442400,1.5937,1.5964,1.5704,1.57865,0,NaN,0,0,1.6025691791391234,1.6079611378442857,0.09034669907002889
1111960800,1.57945,1.57945,1.5625,1.5692,0,NaN,0,0,1.601257327987272,1.6022167502644602,0.22300789142629346
1112306400,1.5692,1.577,1.5637,1.5732,0,NaN,0,0,1.6000181135245708,1.5974086556838905,0.31628680199880344
1112821200,1.5732,1.6065,1.5675,1.59925,0,NaN,0,0,1.5996386513633658,1.596414350186365,0.39912460776602193
1113339600,1.59925,1.6282,1.58805,1.6253,0,NaN,0,0,1.5999135149147654,1.5979830022446793,0.5571069420135809
1113858000,1.6253,1.62745,1.6104,1.61325,0,NaN,0,0,1.6006184386826472,1.600917224192323,0.6468506707518301
1114376400,1.61115,1.62,1.6044,1.6145,0,NaN,0,0,1.6011384688451016,1.6028421556197854,0.7427656498147931
1114722000,1.6145,1.6253,1.6104,1.6128,0,NaN,0,0,1.6016510115668317,1.6045110924064334,0.7709149345392197
1115240400,1.6128,1.6182,1.5859,1.5926,0,NaN,0,0,1.6014722410213844,1.6033776119313674,0.7960769851112233
1115758800,1.5926,1.60795,1.5827,1.6047,0,NaN,0,0,1.601328507871588,1.6025682045573455,0.812058083153799
1116277200,1.6047,1.6078,1.5843,1.59005,0,NaN,0,0,1.6010142427408671,1.6011891005012846,0.8112542564720221
1116795600,1.58925,1.5955,1.5803,1.5853,0,NaN,0,0,1.6004478662302215,1.5990358744047524,0.7945381163262901
1117141200,1.5853,1.5875,1.5193,1.52045,0,NaN,0,0,1.5985566440999273,1.5920027155592853,0.8015147910112006
1117659600,1.52045,1.5387,1.51855,1.5306,0,NaN,0,0,1.5958070518993301,1.5826008981490547,0.6994882148310237
1118178000,1.5306,1.5398,1.512,1.5199,0,NaN,0,0,1.5930717385496058,1.574209494315183,0.6210402146015028
1118696400,1.5199,1.5261,1.493,1.51035,0,NaN,0,0,1.5895359606978816,1.5636697344450907,0.5058185158482644
1119214800,1.5049,1.50795,1.4815,1.4836,0,NaN,0,0,1.5858556915318853,1.553583055344371,0.42839217831750515
1119560400,1.4836,1.5076,1.4773,1.4827,0,NaN,0,0,1.5820565211399626,1.5440064647794332,0.5163626104992833
1120078800,1.4827,1.491,1.4732,1.48155,0,NaN,0,0,1.5781178133558826,1.5347713685324265,0.6166044339666508
1120597200,1.48155,1.4852,1.4534,1.47005,0,NaN,0,0,1.5738098658681894,1.5249193808708863,0.6973297810669682
1121115600,1.47005,1.4792,1.4516,1.46915,0,NaN,0,0,1.5696238504078093,1.5163588014700327,0.7610880027455358
1121634000,1.46915,1.48935,1.4599,1.48125,0,NaN,0,0,1.5658822154131942,1.5101580675390496,0.7982647856491148
1121979600,1.48125,1.4946,1.4646,1.4918,0,NaN,0,0,1.5624254984201915,1.5054012700298454,0.8383916902330778
1122498000,1.4918,1.499,1.4752,1.48555,0,NaN,0,0,1.5593656621156278,1.5022792043975222,0.842741980627664
1123016400,1.48555,1.5142,1.4773,1.50055,0,NaN,0,0,1.5571142920485346,1.5022296423402703,0.8577030002300935
1123534800,1.50055,1.50925,1.4829,1.48955,0,NaN,0,0,1.5547251926172592,1.5013177818357255,0.8544230744848148
1124053200,1.49185,1.49205,1.4747,1.4839,0,NaN,0,0,1.5519768392490156,1.4988543702758237,0.8297811805494864
1124398800,1.4839,1.4862,1.4593,1.4615,0,NaN,0,0,1.548651362552897,1.4941482812292552,0.7990679055674123
1124917200,1.4615,1.4761,1.4534,1.4563,0,NaN,0,0,1.5453982801986192,1.4899171626502585,0.7899608745567839
1125435600,1.4563,1.495,1.4519,1.4917,0,NaN,0,0,1.5429013275460675,1.488751386169217,0.77757677251742
1125954000,1.4917,1.492,1.4576,1.4618,0,NaN,0,0,1.540080914797316,1.486082220711504,0.7914737405139899
1126472400,1.4604,1.46175,1.44235,1.4483,0,NaN,0,0,1.5366134178719086,1.4809734676826156,0.8217423587244352
1126818000,1.4483,1.45675,1.41605,1.42635,0,NaN,0,0,1.5322928661648014,1.4728806562539989,0.8387425720619591
1127336400,1.42635,1.43055,1.40615,1.41475,0,NaN,0,0,1.5277231245123668,1.4644218165955025,0.83048409260604
1127854800,1.41475,1.42065,1.38535,1.38965,0,NaN,0,0,1.5228280869620276,1.4552761494346684,0.8058783900868721
1128373200,1.38965,1.44065,1.38645,1.4241,0,NaN,0,0,1.518760387331225,1.4499804002035008,0.8067833747870238
1128891600,1.4233,1.42895,1.40265,1.42325,0,NaN,0,0,1.5147011508097763,1.4448486904784563,0.8600017508798262
