time,open,high,low,close
1020200400,1.45515,1.46705,1.45085,1.4643
1023051600,1.4647,1.47805,1.4647,1.4687
1025470800,1.4687,1.4726,1.4456,1.4521
1028149200,1.4521,1.47245,1.4491,1.4707
1030914000,1.4718,1.4718,1.4565,1.4565
1033419600,1.4565,1.47075,1.4565,1.4629
1036101600,1.4629,1.4757,1.4617,1.4746
1038780000,1.47505,1.4774,1.45075,1.45315
1041372000,1.45315,1.4695,1.4517,1.4683
1044223200,1.46835,1.4714,1.4607,1.4607
1046642400,1.46125,1.47815,1.4573,1.4755
1049148000,1.4755,1.5146,1.4755,1.5146
1051736400,1.5146,1.5292,1.5041,1.5292
1054501200,1.52885,1.55475,1.52855,1.55475
1057006800,1.55475,1.55475,1.534,1.53975
1059685200,1.53975,1.54835,1.52985,1.5379
1062363600,1.5391,1.5586,1.53355,1.53785
1064955600,1.53785,1.55335,1.53785,1.5529
1067810400,1.5524,1.5731,1.54345,1.5483
1070229600,1.5488,1.56055,1.54715,1.5603
1072908000,1.5603,1.5691,1.5592,1.5685
1075672800,1.5677,1.5786,1.5675,1.5769
1078092000,1.5765,1.58245,1.5483,1.5585
1080770400,1.5585,1.5671,1.54645,1.5518
1083531600,1.5519,1.5534,1.5272,1.5285
1086037200,1.5285,1.52975,1.5076,1.52305
1088629200,1.52305,1.54205,1.5175,1.5405
1091394000,1.5378,1.54445,1.5323,1.5429
1093986000,1.5429,1.5529,1.5328,1.5497
1096578000,1.5497,1.5539,1.5296,1.5296
1099260000,1.5284,1.53285,1.50985,1.5152
1101852000,1.5152,1.5466,1.5152,1.5461
1104703200,1.5453,1.5546,1.5402,1.55015
1107208800,1.55015,1.56335,1.53515,1.53855
1109628000,1.53855,1.55775,1.5344,1.55125
1112306400,1.55125,1.5573,1.5355,1.5384
1114981200,1.5388,1.5502,1.5359,1.5359
1117573200,1.5359,1.5523,1.5295,1.5514
1120165200,1.5514,1.56595,1.5445,1.5631
1122843600,1.5628,1.56395,1.54275,1.5469
1125522000,1.5469,1.559,1.5401,1.5562
1128286800,1.5545,1.5568,1.54195,1.5451
1130796000,1.5451,1.5518,1.536,1.55025
1133388000,1.55025,1.55985,1.5359,1.5567
1136152800,1.5567,1.5567,1.5412,1.55355
1138744800,1.55355,1.5678,1.5522,1.56375
1141164000,1.56375,1.5818,1.5585,1.5803
1144011600,1.5803,1.58575,1.5636,1.5651
1146430800,1.5645,1.56595,1.5453,1.5617
1149109200,1.5617,1.5686,1.5497,1.5643
1151874000,1.5652,1.57875,1.5591,1.57195
1154379600,1.57195,1.5829,1.57115,1.57685
1157058000,1.57685,1.5967,1.57555,1.5849
1159736400,1.5863,1.5968,1.5826,1.58785
1162332000,1.58785,1.6013,1.5811,1.58645
1164924000,1.58645,1.61035,1.58615,1.6092
1167602400,1.6092,1.62615,1.6062,1.62135
1170280800,1.62135,1.6291,1.60845,1.61345
1172700000,1.61345,1.6268,1.59325,1.62345
1175461200,1.6229,1.64873,1.6209,1.64769
1177966800,1.64769,1.66131,1.64151,1.64838
1180645200,1.64838,1.66727,1.64201,1.65408
1183323600,1.6535,1.66877,1.64141,1.6437
1185915600,1.6437,1.65345,1.61781,1.64705
1188766800,1.6472,1.66185,1.6333,1.66033
1191186000,1.65973,1.6828,1.65883,1.67773
1193864400,1.67773,1.67893,1.62999,1.65655
1196632800,1.6555,1.67295,1.64532,1.65382
1199138400,1.65382,1.65573,1.58262,1.60724
1201816800,1.60724,1.62309,1.5802,1.58035
1204495200,1.58007,1.58792,1.53324,1.56776
1206997200,1.56776,1.6248,1.56651,1.61626
1209589200,1.61626,1.63771,1.60663,1.62092
1212354000,1.62127,1.6251,1.60252,1.60868
1214859600,1.60868,1.636925,1.59918,1.63372
1217538000,1.63372,1.63497,1.60961,1.61616
1220216400,1.61498,1.61663,1.56689,1.58132
1222808400,1.58132,1.58272,1.42994,1.47398
1225663200,1.47587,1.55294,1.471395,1.53979
1228082400,1.54177,1.58856,1.47575,1.49446
1230760800,1.49446,1.519985,1.46553,1.48647
1233525600,1.48486,1.5157,1.46979,1.48234
1235944800,1.4792,1.544975,1.4578,1.50984
1238533200,1.50984,1.530035,1.501225,1.50893
1241125200,1.50893,1.523455,1.500595,1.51052
1243803600,1.50905,1.538385,1.500795,1.5245
1246395600,1.5245,1.534645,1.511025,1.52318
1249246800,1.52333,1.536415,1.513475,1.51781
1251752400,1.51781,1.52392,1.50727,1.517
1254344400,1.517,1.520365,1.5084,1.51078
1257112800,1.50981,1.514555,1.501155,1.50829
