time,open,high,low,close
1020373200,1.45515,1.45515,1.45515,1.45515
1020718800,1.45515,1.45515,1.45365,1.45515
1020891600,1.45515,1.45515,1.45285,1.454
1021237200,1.4544,1.45715,1.4544,1.45715
1021410000,1.45715,1.45715,1.45545,1.45625
1021582800,1.45625,1.45625,1.45265,1.45265
1021928400,1.45265,1.45265,1.45085,1.45265
1022101200,1.45265,1.4573,1.45265,1.4573
1022446800,1.4575,1.46165,1.4571,1.46165
1022619600,1.46165,1.46705,1.46165,1.46355
1022792400,1.46355,1.46825,1.46355,1.46825
1023138000,1.46825,1.47005,1.46825,1.47005
1023310800,1.47005,1.47435,1.47005,1.4704
1023656400,1.47,1.47485,1.47,1.47485
1023829200,1.47485,1.47805,1.47455,1.47455
1024002000,1.47455,1.4758,1.47455,1.47555
1024347600,1.47555,1.47585,1.4707,1.4707
1024520400,1.4707,1.4707,1.4669,1.4669
1024866000,1.4664,1.4676,1.4664,1.4676
1025038800,1.4676,1.4704,1.4676,1.4704
1025211600,1.4704,1.4704,1.4687,1.4699
1025557200,1.4699,1.4699,1.46425,1.46425
1025730000,1.46425,1.4671,1.46425,1.4671
1026075600,1.4677,1.4726,1.4677,1.4726
1026248400,1.4726,1.4726,1.4666,1.4666
1026421200,1.4666,1.4702,1.4666,1.4669
1026766800,1.4669,1.4669,1.4654,1.4654
1026939600,1.4654,1.4654,1.4592,1.4592
1027285200,1.4577,1.4577,1.4527,1.4527
1027458000,1.4527,1.4527,1.4457,1.4457
1027630800,1.4457,1.458,1.4456,1.458
1027976400,1.458,1.458,1.4521,1.4521
1028149200,1.4521,1.4521,1.4491,1.4504
1028494800,1.4494,1.4582,1.4494,1.4582
1028667600,1.4582,1.4632,1.4582,1.4632
1028840400,1.4632,1.4632,1.4575,1.462
1029186000,1.462,1.462,1.4616,1.46195
1029358800,1.46195,1.4663,1.46195,1.4663
1029704400,1.4658,1.46855,1.4658,1.46855
1029877200,1.46855,1.47245,1.46845,1.47245
1030050000,1.47245,1.47245,1.4713,1.47155
1030395600,1.47155,1.47155,1.46735,1.4702
1030568400,1.4702,1.4714,1.4702,1.4707
1030914000,1.4718,1.4718,1.4662,1.4662
