time,open,high,low,close
1020373200,1.45515,1.45515,1.45365,1.45515
1020891600,1.45515,1.45715,1.45285,1.45715
1021410000,1.45715,1.45715,1.45265,1.45265
1021928400,1.45265,1.4573,1.45085,1.4573
1022446800,1.4575,1.46705,1.4571,1.46355
1022792400,1.46355,1.47005,1.46355,1.47005
1023310800,1.47005,1.47485,1.47,1.47485
1023829200,1.47485,1.47805,1.47455,1.47555
1024347600,1.47555,1.47585,1.4669,1.4669
1024866000,1.4664,1.4704,1.4664,1.4704
1025211600,1.4704,1.4704,1.46425,1.46425
1025730000,1.46425,1.4726,1.46425,1.4726
1026248400,1.4726,1.4726,1.4666,1.4669
1026766800,1.4669,1.4669,1.4592,1.4592
1027285200,1.4577,1.4577,1.4457,1.4457
1027630800,1.4457,1.458,1.4456,1.4521
1028149200,1.4521,1.4582,1.4491,1.4582
1028667600,1.4582,1.4632,1.4575,1.462
1029186000,1.462,1.4663,1.4616,1.4663
1029704400,1.4658,1.47245,1.4658,1.47245
1030050000,1.47245,1.47245,1.46735,1.4702
1030568400,1.4702,1.4718,1.4662,1.4662
1031086800,1.4662,1.4662,1.4573,1.45865
1031605200,1.45865,1.4689,1.45865,1.468
1032123600,1.467,1.4701,1.4621,1.4621
1032469200,1.4621,1.4648,1.4621,1.4641
1032987600,1.4641,1.4674,1.4565,1.4626
1033506000,1.4626,1.4631,1.4584,1.4631
1034024400,1.4631,1.4663,1.463,1.463
1034542800,1.4626,1.4678,1.46215,1.4678
1034888400,1.4678,1.47075,1.4678,1.4681
1035406800,1.4681,1.4681,1.4652,1.4654
1035928800,1.4654,1.4654,1.4621,1.46265
1036447200,1.46265,1.4634,1.462,1.462
1036965600,1.4622,1.4669,1.4617,1.4669
1037311200,1.4669,1.4687,1.4655,1.4687
1037829600,1.4687,1.47365,1.4687,1.4736
1038348000,1.4736,1.4757,1.4723,1.4723
1038866400,1.4723,1.4726,1.4713,1.4715
1039384800,1.4716,1.4768,1.4716,1.4768
1039730400,1.4768,1.4774,1.4631,1.4631
1040248800,1.4631,1.4631,1.45135,1.45135
1040767200,1.45135,1.45375,1.45075,1.45315
1041372000,1.45315,1.4571,1.4517,1.457
1041890400,1.457,1.4596,1.457,1.4596
1042408800,1.4596,1.46285,1.4596,1.4597
1042754400,1.4597,1.463,1.4597,1.463
1043272800,1.463,1.4695,1.463,1.4695
1043791200,1.4695,1.4695,1.4675,1.4675
1044309600,1.4675,1.4675,1.4658,1.4667
1044828000,1.46655,1.4688,1.4665,1.4681
1045173600,1.4681,1.4714,1.4681,1.47025
1045692000,1.47025,1.47025,1.4608,1.4608
1046210400,1.4608,1.4626,1.4573,1.4573
1046728800,1.4573,1.4701,1.4573,1.4701
1047247200,1.46955,1.46955,1.4652,1.4677
1047592800,1.4677,1.4719,1.46715,1.4719
1048111200,1.4719,1.4764,1.4719,1.4733
1048629600,1.4733,1.47815,1.4733,1.4755
1049148000,1.4755,1.4868,1.4755,1.4868
1049662800,1.48875,1.4968,1.4844,1.4968
1050008400,1.4968,1.5034,1.4962,1.4962
1050526800,1.4962,1.5084,1.4962,1.50435
1051045200,1.50435,1.5072,1.50145,1.5067
1051563600,1.5067,1.5146,1.5067,1.50915
1052082000,1.50995,1.51535,1.5041,1.5097
1052427600,1.5097,1.516,1.5095,1.5132
1052946000,1.5132,1.5141,1.50815,1.51225
1053464400,1.51225,1.52825,1.51225,1.52825
1053982800,1.52825,1.5292,1.52105,1.5292
1054501200,1.52885,1.53995,1.52855,1.53995
1054846800,1.53995,1.5446,1.53755,1.538
1055365200,1.538,1.54325,1.538,1.5427
1055883600,1.5427,1.5458,1.5295,1.5295
1056402000,1.5295,1.54365,1.52925,1.5434
1056920400,1.5439,1.55475,1.5439,1.55095
1057266000,1.55095,1.55405,1.54345,1.54345
1057784400,1.54345,1.5545,1.54345,1.54815
1058302800,1.54815,1.54815,1.534,1.53645
1058821200,1.53645,1.5474,1.53645,1.5474
1059339600,1.5457,1.54925,1.53975,1.53975
1059685200,1.53975,1.53975,1.52985,1.53405
1060203600,1.53405,1.54415,1.53405,1.54415
1060722000,1.54415,1.54835,1.54365,1.54835
1061240400,1.54835,1.54835,1.5416,1.5416
1061758800,1.5418,1.5418,1.53365,1.53915
1062104400,1.53915,1.53915,1.53355,1.53505
1062622800,1.53505,1.5475,1.53505,1.5475
1063141200,1.5475,1.55755,1.5475,1.55755
1063659600,1.55755,1.5586,1.55325,1.5554
1064178000,1.5559,1.5559,1.5439,1.5439
1064523600,1.5439,1.5439,1.53695,1.539
1065042000,1.539,1.54845,1.539,1.54845
1065560400,1.54845,1.55035,1.54745,1.54835
1066078800,1.54835,1.551,1.54445,1.551
1066597200,1.5522,1.55255,1.54855,1.54855
1066942800,1.54855,1.55335,1.5469,1.5523
1067464800,1.5523,1.5655,1.5506,1.5655
1067983200,1.5655,1.5731,1.5655,1.5731
1068501600,1.5731,1.5731,1.5633,1.5633
1069020000,1.5638,1.5638,1.5468,1.54785
1069365600,1.54785,1.554,1.54345,1.54345
1069884000,1.54345,1.5564,1.54345,1.5564
1070402400,1.5564,1.5587,1.54875,1.54875
1070920800,1.54875,1.5509,1.54715,1.5509
1071439200,1.55345,1.5557,1.5522,1.5526
1071784800,1.5526,1.56025,1.5526,1.5536
1072303200,1.5536,1.56055,1.5532,1.55925
1072821600,1.55925,1.5603,1.55925,1.5603
1072908000,1.5603,1.5684,1.5594,1.5684
1073426400,1.5684,1.5684,1.5654,1.5654
1073944800,1.5654,1.5687,1.5592,1.5687
1074463200,1.568,1.5691,1.5674,1.5686
1074808800,1.5686,1.5686,1.5634,1.5673
1075327200,1.5673,1.5685,1.5626,1.5677
1075845600,1.5677,1.569,1.5675,1.56895
1076364000,1.56895,1.5777,1.56895,1.5777
1076882400,1.5768,1.5768,1.575,1.575
1077228000,1.575,1.5786,1.5741,1.5741
1077746400,1.5741,1.58245,1.5741,1.58245
1078264800,1.58245,1.58245,1.5769,1.5811
1078783200,1.5811,1.5811,1.5673,1.5686
1079301600,1.5653,1.56775,1.5573,1.5573
1079647200,1.5573,1.5598,1.5483,1.5483
1080165600,1.5483,1.5613,1.5483,1.5597
1080684000,1.5597,1.5671,1.5585,1.5671
1081198800,1.5671,1.5671,1.54975,1.5504
1081717200,1.5499,1.5526,1.54875,1.5521
1082062800,1.5521,1.5564,1.5501,1.5549
1082581200,1.5549,1.5584,1.5488,1.5488
1083099600,1.5488,1.5534,1.54645,1.5534
1083618000,1.5534,1.5534,1.547,1.547
1084136400,1.5471,1.5471,1.5385,1.5389
1084482000,1.5389,1.5408,1.5338,1.534
1085000400,1.534,1.5401,1.534,1.5401
1085518800,1.5401,1.5401,1.5272,1.5285
1086037200,1.5285,1.5285,1.5224,1.5224
1086555600,1.5226,1.5242,1.5076,1.5076
1086901200,1.5076,1.52105,1.5076,1.52105
1087419600,1.52105,1.52105,1.5097,1.51305
1087938000,1.51305,1.5222,1.51305,1.5222
1088456400,1.5222,1.52975,1.51885,1.5189
1088974800,1.5175,1.5196,1.5175,1.5181
1089320400,1.5181,1.52385,1.518,1.5222
1089838800,1.5222,1.53425,1.5222,1.53425
1090357200,1.53425,1.53555,1.5303,1.53555
1090875600,1.53555,1.54205,1.53555,1.5405
1091394000,1.5378,1.54145,1.5376,1.5376
1091739600,1.5376,1.54445,1.5356,1.5413
1092258000,1.5413,1.5413,1.5323,1.53625
1092776400,1.53625,1.54175,1.5354,1.54175
1093294800,1.54175,1.54175,1.53755,1.5405
1093813200,1.5408,1.5429,1.53565,1.53565
1094158800,1.53565,1.53565,1.5328,1.53565
1094677200,1.53565,1.54325,1.53565,1.54235
1095195600,1.54235,1.54815,1.54235,1.54815
1095714000,1.54815,1.5482,1.54545,1.5482
1096232400,1.5479,1.5529,1.5479,1.5497
1096578000,1.5497,1.5539,1.5497,1.55365
1097096400,1.55365,1.55365,1.54785,1.54785
1097614800,1.54785,1.54785,1.5385,1.53865
1098133200,1.53865,1.53865,1.5357,1.5357
1098651600,1.5343,1.5343,1.5296,1.5296
1098997200,1.5284,1.53285,1.5284,1.5304
1099519200,1.5304,1.5304,1.5264,1.5267
1100037600,1.5267,1.5267,1.5203,1.52655
1100556000,1.52655,1.52655,1.5131,1.5131
1101074400,1.5131,1.5168,1.50985,1.51105
1101420000,1.51105,1.5208,1.51105,1.5208
1101938400,1.5208,1.5313,1.5208,1.5313
1102456800,1.5313,1.5358,1.53125,1.5358
1102975200,1.5358,1.5387,1.5295,1.5387
1103493600,1.5395,1.54555,1.5386,1.54555
1103839200,1.54555,1.5466,1.54235,1.54235
1104357600,1.54235,1.5461,1.54235,1.5461
1104703200,1.5453,1.5546,1.5412,1.5478
1105048800,1.5478,1.5517,1.54425,1.5488
1105567200,1.5488,1.55105,1.5425,1.54385
1106085600,1.54385,1.5503,1.5402,1.5453
1106604000,1.5453,1.5507,1.5436,1.547
1107122400,1.5478,1.5602,1.5467,1.5595
1107468000,1.5595,1.56335,1.55635,1.55805
1107986400,1.55805,1.5601,1.5486,1.54985
1108504800,1.54985,1.55065,1.5435,1.54465
1109023200,1.54465,1.54625,1.53515,1.5389
1109541600,1.5386,1.5489,1.5344,1.5483
1109887200,1.5483,1.55395,1.5461,1.55175
1110405600,1.55175,1.55265,1.5474,1.55055
1110924000,1.55055,1.5534,1.5441,1.55085
1111442400,1.55085,1.55775,1.55075,1.5548
1111960800,1.5548,1.5559,1.548,1.55125
1112306400,1.55125,1.55525,1.54925,1.55175
1112821200,1.55175,1.55325,1.54665,1.54925
1113339600,1.54925,1.5573,1.54495,1.54695
1113858000,1.54695,1.54795,1.53895,1.5431
1114376400,1.5429,1.5449,1.5379,1.5384
1114722000,1.5384,1.5441,1.5355,1.5435
1115240400,1.5435,1.5499,1.5424,1.54685
1115758800,1.54685,1.5472,1.54205,1.54415
1116277200,1.54415,1.5502,1.5415,1.5497
1116795600,1.5492,1.54995,1.5443,1.5469
1117141200,1.5469,1.5489,1.5301,1.5318
1117659600,1.5318,1.53745,1.5295,1.53015
1118178000,1.53015,1.5398,1.52985,1.5385
1118696400,1.5385,1.5467,1.5364,1.5452
1119214800,1.54365,1.54535,1.5389,1.5402
1119560400,1.5402,1.5482,1.5378,1.54785
1120078800,1.54785,1.5549,1.54615,1.5534
1120597200,1.5534,1.55735,1.5445,1.554
1121115600,1.554,1.5607,1.5534,1.5597
1121634000,1.5597,1.56595,1.5592,1.56415
1121979600,1.56415,1.5649,1.5602,1.56285
1122498000,1.56285,1.5653,1.5557,1.557
1123016400,1.557,1.56255,1.5552,1.5577
1123534800,1.5577,1.5587,1.5508,1.552
1124053200,1.5512,1.5529,1.5456,1.54795
1124398800,1.54795,1.5558,1.54685,1.55185
1124917200,1.55185,1.55215,1.54275,1.5516
1125435600,1.5516,1.5516,1.5401,1.54475
1125954000,1.54475,1.54525,1.5415,1.5428
1126472400,1.5432,1.5496,1.54245,1.5496
1126818000,1.5496,1.5548,1.5483,1.5522
1127336400,1.5522,1.5587,1.5516,1.55685
1127854800,1.55685,1.559,1.5508,1.55145
1128373200,1.55145,1.553,1.54495,1.5499
1128891600,1.5508,1.5524,1.5462,1.5504
1129237200,1.5504,1.5568,1.5473,1.5527
1129755600,1.5527,1.5534,1.54195,1.54565
1130274000,1.54565,1.5487,1.5434,1.5451
1130796000,1.5451,1.54885,1.5415,1.5444
1131314400,1.5458,1.5462,1.5362,1.5375
1131660000,1.5375,1.5481,1.536,1.5467
1132178400,1.5467,1.5499,1.5457,1.5489
1132696800,1.5489,1.5518,1.5449,1.5466
1133215200,1.5466,1.5509,1.5425,1.5425
1133733600,1.5431,1.5457,1.5363,1.53645
1134079200,1.53645,1.5462,1.5359,1.5383
1134597600,1.5383,1.555,1.5374,1.5523
1135116000,1.5523,1.55815,1.5516,1.5566
1135634400,1.5566,1.55985,1.55375,1.5567
1136152800,1.5567,1.5567,1.5441,1.5449
1136498400,1.5449,1.5478,1.5412,1.5473
1137016800,1.5473,1.5515,1.5463,1.5499
1137535200,1.5499,1.5544,1.5462,1.54655
1138053600,1.54655,1.5542,1.54645,1.5532
1138572000,1.5529,1.5566,1.5516,1.555
1138917600,1.555,1.5581,1.5522,1.5542
1139436000,1.5542,1.5589,1.553,1.5584
1139954400,1.5584,1.5644,1.5566,1.56105
1140472800,1.56105,1.56465,1.5571,1.5644
1140991200,1.5639,1.5678,1.5607,1.56265
1141336800,1.56265,1.56445,1.5585,1.55995
1141855200,1.55995,1.57225,1.55965,1.565
