time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,EMA,EMA,Correlation
1020718800,0.62375,0.62375,0.62125,0.62295,0,NaN,0,0,NaN,NaN,NaN
1020978000,0.62295,0.62575,0.62245,0.62245,0,NaN,0,0,NaN,NaN,NaN
1021410000,0.62245,0.6315,0.62245,0.6315,0,NaN,0,0,NaN,NaN,NaN
1021842000,0.631,0.63455,0.63015,0.63455,0,NaN,0,0,NaN,NaN,NaN
1022101200,0.63455,0.63455,0.6319,0.6319,0,NaN,0,0,NaN,NaN,NaN
1022533200,0.6319,0.63995,0.6319,0.63945,0,NaN,0,0,NaN,NaN,NaN
1022792400,0.63945,0.64395,0.63945,0.64395,0,NaN,0,0,NaN,NaN,NaN
1023224400,0.64395,0.64885,0.64345,0.6466,0,NaN,0,0,NaN,NaN,NaN
1023656400,0.6463,0.64675,0.64165,0.64165,0,NaN,0,0,NaN,NaN,NaN
1023915600,0.64165,0.64165,0.63835,0.63835,0,NaN,0,0,NaN,NaN,NaN
1024347600,0.63835,0.64395,0.63835,0.64395,0,NaN,0,0,NaN,NaN,NaN
1024606800,0.64395,0.64915,0.64395,0.64915,0,NaN,0,0,NaN,NaN,NaN
1025038800,0.64915,0.64915,0.64295,0.6468,0,NaN,0,0,NaN,NaN,NaN
1025470800,0.6464,0.64655,0.64205,0.64205,0,NaN,0,0,NaN,NaN,NaN
1025730000,0.64205,0.64205,0.6392,0.64135,0,NaN,0,0,NaN,NaN,NaN
1026162000,0.64135,0.64155,0.63635,0.63635,0,NaN,0,0,NaN,NaN,NaN
1026421200,0.63635,0.64215,0.63635,0.64215,0,NaN,0,0,NaN,0.6382290392156863,NaN
1026853200,0.64215,0.64295,0.64115,0.6413,0,NaN,0,0,NaN,0.6386330840678643,NaN
1027285200,0.6409,0.6409,0.63255,0.63285,0,NaN,0,0,NaN,0.6381813315203064,NaN
1027544400,0.63285,0.63415,0.6275,0.6275,0,NaN,0,0,NaN,0.6373421758752857,NaN
1027976400,0.6275,0.63055,0.62475,0.63055,0,NaN,0,0,NaN,0.6361511820457554,NaN
1028235600,0.63055,0.63055,0.62785,0.62845,0,NaN,0,0,NaN,0.6352521897045712,NaN
