time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,EMA,EMA,Correlation
1020373200,0.62375,0.62375,0.62125,0.62125,0,NaN,0,0,NaN,NaN,NaN
1020891600,0.62125,0.62575,0.62125,0.62245,0,NaN,0,0,NaN,NaN,NaN
1021410000,0.62245,0.63155,0.62245,0.63155,0,NaN,0,0,NaN,NaN,NaN
1021928400,0.63155,0.63455,0.63015,0.632,0,NaN,0,0,NaN,NaN,NaN
1022446800,0.6321,0.63995,0.6319,0.63945,0,NaN,0,0,NaN,NaN,NaN
1022792400,0.63945,0.64395,0.63945,0.64345,0,NaN,0,0,NaN,NaN,NaN
1023310800,0.64345,0.64885,0.64345,0.64445,0,NaN,0,0,NaN,NaN,NaN
1023829200,0.64445,0.64445,0.63835,0.63835,0,NaN,0,0,NaN,NaN,NaN
1024347600,0.63835,0.6486,0.63835,0.6486,0,NaN,0,0,NaN,NaN,NaN
1024866000,0.6489,0.64915,0.64295,0.64625,0,NaN,0,0,NaN,NaN,NaN
1025211600,0.64625,0.6468,0.64205,0.64205,0,NaN,0,0,NaN,NaN,NaN
1025730000,0.64205,0.64205,0.6392,0.64155,0,NaN,0,0,NaN,NaN,NaN
1026248400,0.64155,0.64155,0.63635,0.63945,0,NaN,0,0,NaN,0.638069,NaN
1026766800,0.63945,0.64295,0.63945,0.6413,0,NaN,0,0,NaN,0.6386330840678643,NaN
1027285200,0.6409,0.6409,0.63255,0.63415,0,NaN,0,0,NaN,0.6380232400881376,NaN
1027630800,0.63415,0.63415,0.62475,0.6249,0,NaN,0,0,NaN,0.6363798017210923,NaN
1028149200,0.6249,0.63055,0.6249,0.62845,0,NaN,0,0,NaN,0.6352521897045712,NaN
1028667600,0.62845,0.63905,0.62845,0.63905,0,NaN,0,0,NaN,0.6352410025010494,NaN
1029186000,0.63905,0.64,0.6375,0.64,0,NaN,0,0,NaN,0.6358243832014825,NaN
1029704400,0.6392,0.64055,0.63705,0.63705,0,NaN,0,0,NaN,0.6363241907526901,NaN
1030050000,0.63705,0.6407,0.63705,0.638,0,NaN,0,0,NaN,0.6367686315861567,NaN
1030568400,0.638,0.638,0.6334,0.6371,0,NaN,0,0,NaN,0.6365781922128415,NaN
1031086800,0.6371,0.6371,0.6293,0.6293,0,NaN,0,0,NaN,0.6361054778000059,NaN
1031605200,0.6293,0.6293,0.6263,0.6263,0,NaN,0,0,NaN,0.6351159264362342,NaN
1032123600,0.6258,0.634,0.6258,0.634,0,NaN,0,0,NaN,0.6345954820907065,NaN
1032469200,0.634,0.634,0.6269,0.6269,0,NaN,0,0,NaN,0.6338636135056426,NaN
1032987600,0.6269,0.6294,0.6268,0.6278,0,NaN,0,0,NaN,0.6330069443023114,NaN
1033506000,0.6278,0.6289,0.6254,0.6276,0,NaN,0,0,NaN,0.6322098235249639,NaN
1034024400,0.6276,0.6326,0.6276,0.632,0,NaN,0,0,NaN,0.6320816839982338,NaN
1034542800,0.6321,0.6337,0.6262,0.6262,0,NaN,0,0,NaN,0.631896922322737,NaN
1034888400,0.6262,0.6324,0.6262,0.63055,0,NaN,0,0,NaN,0.6317266369473776,NaN
1035406800,0.63055,0.6315,0.62935,0.6315,0,NaN,0,0,NaN,0.6315271053588623,NaN
1035928800,0.6315,0.6405,0.6315,0.6405,0,NaN,0,0,NaN,0.6321503309657576,NaN
1036447200,0.6405,0.6411,0.6368,0.6368,0,NaN,0,0,NaN,0.6331770243783932,NaN
1036965600,0.6367,0.63695,0.63515,0.63605,0,NaN,0,0,NaN,0.6336300976443399,NaN
