time,open,high,low,close
1020632400,116.76,117.105,116.59,116.65
1021237200,116.66,116.765,115.96,115.96
1021842000,115.88,115.88,114.205,114.87
1022446800,114.91,116.415,114.88,116.01
1023051600,115.93,117.6,115.93,117.41
1023656400,117.34,118.82,117.34,117.4
1024261200,117.43,119.17,117.43,117.88
1024866000,117.83,118.83,117.7,118.5
1025470800,118.68,118.68,117.15,117.15
1026075600,117.01,117.28,115.7,115.84
1026680400,115.84,117.9,115.84,117.23
1027285200,117.11,117.29,116.17,117.29
1027890000,117.23,118.195,117.215,117.31
1028494800,117.28,117.3,116.55,116.55
1029099600,116.53,116.54,114.95,115.98
1029704400,115.82,116.39,115.82,116.35
1030309200,116.33,116.35,116.21,116.23
1030914000,116.35,117.37,116.2,117.37
1031518800,116.39,118.28,116.39,118.28
1032123600,118.31,121.09,118.31,121.09
1032728400,121.05,121.24,119.36,120.15
1033333200,120.3,121.24,120.14,120.61
1033938000,120.67,122.44,120.67,122.44
1034542800,122.57,122.69,121.37,122.05
1035147600,121.94,122.33,121.33,121.33
1035756000,121.28,121.8,120.97,121.8
1036360800,121.75,122.28,121.37,121.37
1036965600,121.355,121.57,120.8,121.57
1037570400,121.575,122.85,121.575,122.46
1038175200,122.5,122.5,120.83,121.86
1038780000,121.92,124.94,121.92,124.75
1039384800,124.71,124.99,123.3,123.3
1039989600,123.31,124.72,123.31,123.69
1040594400,123.59,125.1,123.59,125.1
1041199200,124.93,125.06,124.35,124.72
1041804000,124.78,126.04,124.73,126.04
1042408800,126.05,126.05,124.59,125.56
1043013600,125.54,127.59,125.54,127.59
1043618400,127.78,129.04,127.78,129.04
1044223200,129.1,130.27,129.1,130.21
1044828000,130.13,130.71,129.86,129.88
1045432800,129.66,129.66,127.2,127.79
1046037600,127.56,127.56,126.22,127.55
1046642400,127.44,128.84,127.44,128.84
1047247200,128.88,129.26,127.1,127.1
1047852000,127.27,127.88,126.01,127.88
1048456800,128.27,129.09,128.01,129.09
1049061600,129.38,129.38,128.03,128.75
1049662800,128.67,129.63,128.09,129.63
1050267600,129.5,130.46,129.5,130.32
1050872400,130.31,132.62,130.31,132.62
1051477200,132.71,133.69,132.33,133.69
1052082000,133.68,134.87,132.26,134.87
1052686800,135.18,135.25,132.61,134.42
1053291600,134.84,138.3,134.84,138.3
1053896400,138.18,140.59,138.18,140.59
1054501200,140.14,140.14,138.37,138.8
1055106000,138.93,139.27,137.5,139.27
1055710800,139.44,139.44,137.35,137.35
1056315600,137.19,137.19,135.71,136.7
1056920400,136.8,138.06,135.66,135.66
1057525200,135.57,135.57,133.16,133.16
1058130000,133.03,133.56,131.89,133.56
1058734800,133.57,136.73,133.57,136.73
1059339600,136.55,137.27,135.41,135.46
1059944400,135.59,136.69,134.66,134.66
1060549200,134.62,134.92,133.98,134.23
1061154000,134.2,134.2,127.86,127.86
1061758800,128.06,128.44,127.42,128.44
1062363600,128.37,129.72,125.71,129.72
1062968400,129.7,132.43,129.31,132.43
1063573200,132.21,132.56,129.59,129.59
1064178000,128.75,128.975,128.08,128.08
1064782800,128.07,129.98,128.07,128.4
1065387600,128.34,129.95,128.145,128.2
1065992400,128.12,128.12,127.395,127.73
1066597200,127.66,129.11,127.66,128.7
1067205600,128.57,128.57,126.315,127.33
1067810400,127.35,127.35,125.735,126.07
1068415200,125.84,127.6,124.715,127.6
1069020000,127.61,129.885,127.61,129.61
1069624800,129.65,131.43,128.735,131.43
1070229600,131.42,131.42,130.745,131.02
1070834400,130.95,132.46,130.95,132.46
1071439200,131.605,133.76,131.605,133.47
1072044000,133.57,133.63,133.065,133.62
1072648800,133.56,134.7,133.56,134.66
1073253600,134.73,136.59,134.305,136.59
1073858400,136.94,136.94,132.05,132.05
1074463200,132.15,135.095,132.15,134.1
1075068000,134.09,134.09,131.505,131.95
1075672800,131.88,133.955,131.255,133.955
1076277600,133.475,135.135,133.475,134.38
1076882400,134.51,136.63,134.51,136.63
1077487200,136.35,137.215,136.095,136.15
1078092000,136.21,138.67,134.235,138.67
1078696800,138.73,138.73,135.52,135.52
1079301600,135.5,135.5,131.06,131.06
1079906400,131.2,131.715,128.48,128.48
1080511200,128.3,128.605,126.88,126.88
1081112400,126.66,128.74,126.085,128.74
1081717200,128.52,129.955,127.275,129.28
1082322000,129.45,130.395,129.09,129.09
1082926800,128.82,132.37,128.82,132.37
1083531600,132.3,133.33,131.795,133.33
1084136400,133.37,135.8,133.37,135.8
1084741200,135.75,137.495,134.56,134.56
