time,open,high,low,close
1019422800,116.76,117.105,116.59,116.65
1021237200,116.66,116.765,114.205,116.01
1023051600,115.93,119.17,115.93,117.88
1024866000,117.83,118.83,115.7,115.84
1026680400,115.84,118.195,115.84,117.31
1028494800,117.28,117.3,114.95,116.35
1030309200,116.33,118.28,116.2,118.28
1032123600,118.31,121.24,118.31,120.61
1033938000,120.67,122.69,120.67,121.33
1035756000,121.28,122.28,120.8,121.57
1037570400,121.575,124.94,120.83,124.75
1039384800,124.71,125.1,123.3,125.1
1041199200,124.93,125.06,124.35,124.72
1041804000,124.78,127.59,124.59,127.59
1043618400,127.78,130.71,127.78,129.88
1045432800,129.66,129.66,126.22,128.84
1047247200,128.88,129.26,126.01,129.09
1049061600,129.38,130.46,128.03,130.32
1050872400,130.31,134.87,130.31,134.87
1052686800,135.18,140.59,132.61,140.59
1054501200,140.14,140.14,137.35,137.35
1056315600,137.19,138.06,133.16,133.16
1058130000,133.03,137.27,131.89,135.46
1059944400,135.59,136.69,127.86,127.86
1061758800,128.06,132.43,125.71,132.43
1063573200,132.21,132.56,128.07,128.4
1065387600,128.34,129.95,127.395,128.7
1067205600,128.57,128.57,124.715,127.6
1069020000,127.61,131.43,127.61,131.02
1070834400,130.95,133.76,130.95,133.62
1072648800,133.56,134.7,133.56,134.66
1073253600,134.73,136.94,132.05,134.1
1075068000,134.09,135.135,131.255,134.38
1076882400,134.51,138.67,134.235,138.67
1078696800,138.73,138.73,128.48,128.48
1080511200,128.3,129.955,126.085,129.28
1082322000,129.45,133.33,128.82,133.33
1084136400,133.37,137.495,133.37,134.72
1085950800,135.24,136.53,132.145,132.15
1087765200,132.04,134.995,130.375,134.3
1089579600,134.04,135.645,133.22,133.85
1091394000,133.95,136.99,133.155,134.43
1093208400,134.47,134.48,131.73,134.48
1095022800,134.32,137.275,133.485,137.24
1096837200,137.26,137.26,135.215,136.04
1098651600,136.09,138.175,135.115,136.95
1100469600,137.09,137.35,134.29,137.35
1102284000,137.21,140.395,137.21,140.29
