time,open,high,low,close
1083531600,1.9279,1.9279,1.9279,1.9279
1086037200,1.9279,1.98005,1.9009,1.9172
1088629200,1.9172,1.9217,1.8767,1.88715
1091394000,1.8895,1.8895,1.83175,1.85885
1093986000,1.85885,1.8768,1.83475,1.83475
1096578000,1.83475,1.86505,1.81075,1.86505
1099260000,1.86565,1.88615,1.8353,1.8593
1101852000,1.8593,1.905,1.8537,1.8894
1104703200,1.8854,1.9033,1.8147,1.8347
1107208800,1.8347,1.8391,1.7946,1.8204
1109628000,1.8204,1.83165,1.7803,1.821
1112306400,1.821,1.83385,1.75615,1.7594
1114981200,1.7612,1.7919,1.7418,1.7455
1117573200,1.7455,1.759,1.6878,1.7368
1120165200,1.7368,1.805,1.7329,1.78105
1122843600,1.78415,1.79605,1.7435,1.7741
1125522000,1.7741,1.78345,1.7236,1.73955
1128286800,1.73625,1.7518,1.6991,1.7118
1130796000,1.7118,1.7868,1.6706,1.6776
1133388000,1.6776,1.7685,1.6341,1.73445
1136152800,1.73385,1.8163,1.72755,1.76565
1138744800,1.76565,1.8135,1.74425,1.8009
1141164000,1.8009,2.00375,1.788,1.9698
1144011600,1.9673,2.02255,1.9333,1.97905
1146430800,1.97995,2.08365,1.9591,2.0191
1149109200,2.0191,2.11795,1.9899,2.1
1151874000,2.0991,2.11845,1.9924,2.06365
1154379600,2.06365,2.08015,1.9491,1.953
1157058000,1.953,1.9991,1.8918,1.94145
1159736400,1.94285,1.9527,1.8815,1.904
1162332000,1.904,1.9644,1.89085,1.93505
1164924000,1.93505,1.94935,1.8607,1.8736
1167602400,1.8736,1.90175,1.8453,1.88555
1170280800,1.88555,1.9226,1.8504,1.8868
1172700000,1.8868,1.9495,1.8507,1.86999
1175461200,1.86839,1.8752,1.81351,1.8432
1177966800,1.8432,1.85782,1.82418,1.82587
1180645200,1.82587,1.82767,1.7401,1.75241
1183323600,1.75388,1.81009,1.7035,1.79498
1185915600,1.79498,2.01602,1.77586,1.94241
1188766800,1.94848,2.01856,1.86826,1.88269
1191186000,1.87799,1.94218,1.82124,1.87325
1193864400,1.87325,1.98748,1.85589,1.9145
1196632800,1.92005,1.94693,1.85126,1.90499
1199138400,1.90499,1.94876,1.87393,1.88643
1201816800,1.88643,1.90378,1.81972,1.90053
1204495200,1.89928,2.01825,1.8798,2.009
1206997200,2.009,2.02804,1.96126,1.99739
1209589200,1.99739,2.05685,1.95879,1.98637
1212354000,1.98803,2.09032,1.97109,2.06729
1214859600,2.06729,2.13584,2.04856,2.12473
1217538000,2.12473,2.18555,2.0555,2.09448
1220216400,2.09809,2.19531,2.0906,2.10409
1222808400,2.10409,2.3539,2.06802,2.18391
1225663200,2.17887,2.40878,2.10569,2.31147
1228082400,2.32671,2.48179,2.32047,2.41292
1230760800,2.41292,2.54928,2.249395,2.51787
1233525600,2.5113,2.58065,2.39783,2.52947
1235944800,2.52979,2.5671,2.3207,2.36855
1238533200,2.36855,2.38325,2.24357,2.3407
1241125200,2.3407,2.35413,2.20285,2.21192
1243803600,2.20525,2.26303,2.15608,2.17315
1246395600,2.17315,2.25115,2.13478,2.15442
1249246800,2.16058,2.16476,2.07555,2.09192
1251752400,2.09192,2.1239,2.01866,2.02495
1254344400,2.02495,2.05635,1.96995,2.05192
1257112800,2.05722,2.12359,1.99309,2.09548
1259618400,2.09548,2.10074,1.97028,1.98184
1262296800,1.98184,2.001795,1.93065,1.97754
1264975200,1.97933,2.00613,1.92619,1.95256
1267394400,1.94922,1.98723,1.88042,1.90098
1270069200,1.90098,1.92416,1.81382,1.82912
1272834000,1.83577,1.88722,1.73707,1.80845
1275339600,1.80845,1.818995,1.71873,1.78735
1277931600,1.78735,1.844195,1.75826,1.7976
