time,open,high,low,close
1085950800,1.9279,1.98005,1.9061,1.93665
1087765200,1.93585,1.9372,1.88415,1.88945
1089579600,1.88935,1.9217,1.8767,1.88715
1091394000,1.8895,1.8895,1.83195,1.83195
1093208400,1.83175,1.8768,1.83175,1.87275
1095022800,1.86965,1.86965,1.83475,1.83995
1096837200,1.84515,1.84515,1.81075,1.8223
1098651600,1.8204,1.88615,1.8204,1.87125
1100469600,1.87015,1.87015,1.8353,1.8657
1102284000,1.862,1.8953,1.8612,1.8859
1104098400,1.8873,1.905,1.8849,1.8894
1104703200,1.8854,1.9033,1.8231,1.8244
1106517600,1.8285,1.8391,1.7991,1.8017
1108332000,1.8041,1.837,1.7946,1.806
1110146400,1.8052,1.83165,1.7803,1.814
1111960800,1.8148,1.83385,1.7695,1.805
1113771600,1.8019,1.8222,1.7455,1.7484
1115586000,1.7505,1.7919,1.7479,1.7587
1117400400,1.7548,1.7598,1.6878,1.7133
1119214800,1.7056,1.7846,1.6878,1.77725
1121029200,1.77415,1.805,1.75525,1.78105
1122843600,1.78415,1.79605,1.7435,1.75015
1124658000,1.75275,1.78345,1.749,1.7529
1126472400,1.7498,1.77205,1.7236,1.73955
1128286800,1.73625,1.7518,1.704,1.7073
1130101200,1.7072,1.7868,1.6854,1.70725
1131919200,1.70815,1.72525,1.6395,1.6435
1133733600,1.6419,1.7685,1.6341,1.76035
1135548000,1.76035,1.7628,1.72595,1.73445
1136152800,1.73385,1.78855,1.72755,1.78575
1137967200,1.78575,1.8163,1.74425,1.75395
1139781600,1.75465,1.8135,1.74795,1.80855
1141596000,1.80945,1.9808,1.80825,1.978
1143410400,1.9717,2.02255,1.9333,1.95825
1145221200,1.9624,1.995,1.9402,1.98425
1147035600,1.98345,2.08365,1.98075,2.00975
1148850000,2.01005,2.05765,1.9899,2.0474
1150664400,2.0485,2.11845,2.01895,2.0973
1152478800,2.0988,2.0989,1.9924,2.0655
1154293200,2.06295,2.08015,1.9972,2.00535
1156107600,2.00685,2.0199,1.9491,1.98765
1157922000,1.99065,1.9991,1.8918,1.94145
1159736400,1.94285,1.9527,1.8843,1.88775
1161550800,1.88635,1.93815,1.8815,1.92805
1163368800,1.92945,1.9644,1.9095,1.93785
1165183200,1.93975,1.94935,1.8726,1.8744
1166997600,1.875,1.883,1.8607,1.8736
1167602400,1.8736,1.90175,1.8553,1.8627
1169416800,1.8641,1.9226,1.8453,1.90325
1171231200,1.90445,1.92215,1.8504,1.91715
1173045600,1.92215,1.9495,1.862,1.868
1174856400,1.8666,1.8851,1.83078,1.83387
1176670800,1.83366,1.85319,1.81351,1.84535
1178485200,1.84943,1.85782,1.83119,1.85169
1180299600,1.85312,1.85465,1.74922,1.77322
1182114000,1.78297,1.78383,1.73086,1.74175
1183928400,1.74358,1.78719,1.7035,1.78285
1185742800,1.78839,2.01602,1.77263,1.93258
1187557200,1.93749,2.00641,1.87953,1.99219
1189371600,1.99935,2.01856,1.86826,1.88269
1191186000,1.87799,1.92095,1.82124,1.91414
1193000400,1.92162,1.94218,1.85589,1.92052
1194818400,1.9295,1.98748,1.90471,1.9145
1196632800,1.92005,1.94693,1.85126,1.88431
1198447200,1.8813,1.92847,1.87536,1.92411
1199656800,1.9242,1.94876,1.87393,1.9117
1201471200,1.91263,1.91437,1.82731,1.85801
1203285600,1.85812,1.9444,1.81972,1.9345
1205096400,1.93625,1.98689,1.89657,1.98089
1206910800,1.98817,2.02804,1.96126,2.0022
1208725200,2.00193,2.02098,1.95879,2.01197
1210539600,2.01577,2.05685,1.97986,1.98637
1212354000,1.98803,2.06735,1.97109,2.05073
1214168400,2.05292,2.09743,2.04052,2.09326
1215982800,2.09503,2.14584,2.04856,2.13992
1217797200,2.13631,2.18555,2.0555,2.08706
1219611600,2.08923,2.16156,2.08111,2.12926
1221426000,2.15331,2.19531,2.06907,2.08146
1223240400,2.0733,2.3539,2.06802,2.25555
1225054800,2.25555,2.32643,2.10569,2.27604
1226872800,2.29133,2.43406,2.25488,2.385
1228687200,2.37084,2.48179,2.35657,2.43235
1230501600,2.42755,2.4674,2.35887,2.37521
1231106400,2.36405,2.49356,2.249395,2.45329
1232920800,2.44675,2.58065,2.39783,2.46043
1234735200,2.45439,2.56149,2.44739,2.51864
1236546000,2.51187,2.5671,2.32389,2.33197
1238360400,2.32739,2.38325,2.24357,2.29697
1240174800,2.29785,2.3594,2.22398,2.25822
1241989200,2.2616,2.31297,2.20285,2.21192
1243803600,2.20525,2.26303,2.15971,2.16911
1245618000,2.1687,2.23293,2.15608,2.22096
1247432400,2.22021,2.25115,2.13478,2.15442
1249246800,2.16058,2.16476,2.07555,2.09967
1251061200,2.09646,2.1239,2.05954,2.05954
1252875600,2.06973,2.09259,2.010745,2.03417
1254690000,2.03742,2.04488,1.96995,1.98907
1256504400,1.99052,2.07551,1.98412,2.00457
1258322400,2.0093,2.12359,1.99309,2.07413
1260136800,2.0759,2.086985,2.00689,2.03898
1261951200,2.03755,2.03826,1.97028,1.97867
1262556000,1.97588,1.99296,1.93065,1.99193
1264370400,1.9884,2.00613,1.94655,1.95436
1266184800,1.95802,1.98723,1.92619,1.955
1267999200,1.95856,1.96533,1.88042,1.90565
1269810000,1.90961,1.92416,1.87599,1.90562
1271624400,1.90441,1.9076,1.75234,1.78494
1273438800,1.79207,1.88722,1.73707,1.80755
1275253200,1.81,1.829765,1.749625,1.75248
1277067600,1.74487,1.83033,1.71873,1.7784
1278882000,1.77749,1.844195,1.75826,1.7976
1280696400,1.7992,1.8313,1.78069,1.79875
1282510800,1.80173,1.82451,1.73932,1.74085
1284325200,1.73873,1.86029,1.73691,1.85294
1286139600,1.85385,1.87123,1.826455,1.86866
1287954000,1.86413,1.86841,1.74776,1.77033
1289772000,1.76409,1.781835,1.741625,1.7512
1291586400,1.75185,1.80525,1.743655,1.75164
1293400800,1.75534,1.76512,1.71168,1.71506
1294005600,1.71957,1.79772,1.6936,1.79435
1295820000,1.7996,1.79978,1.75065,1.78247
