time,open,high,low,close
1020632400,0.91825,0.91825,0.90435,0.914
1021237200,0.9141,0.9209,0.90275,0.9209
1021842000,0.9201,0.92575,0.91985,0.921
1022446800,0.9211,0.93705,0.9209,0.9339
1023051600,0.9329,0.94765,0.9329,0.944
1023656400,0.9432,0.94825,0.9432,0.9456
1024261200,0.9453,0.9711,0.94445,0.9711
1024866000,0.9706,0.9919,0.97045,0.9919
1025470800,0.9915,0.9915,0.9731,0.9731
1026075600,0.9746,0.99355,0.9746,0.9915
1026680400,0.9912,1.01195,0.9912,1.0117
1027285200,1.0112,1.0112,0.9871,0.9871
1027890000,0.9867,0.9867,0.9775,0.9866
1028494800,0.9864,0.9864,0.96635,0.9704
1029099600,0.9698,0.9851,0.9698,0.9851
1029704400,0.984,0.984,0.96915,0.973
1030309200,0.973,0.98485,0.97195,0.9822
1030914000,0.9823,0.99695,0.9823,0.9916
1031518800,0.9816,0.98195,0.9717,0.9717
1032123600,0.9708,0.98665,0.9692,0.9823
1032728400,0.9811,0.9815,0.9762,0.9805
1033333200,0.981,0.9879,0.9793,0.9793
1033938000,0.9797,0.98975,0.9788,0.9873
1034542800,0.9872,0.9872,0.9709,0.9723
1035147600,0.9724,0.978,0.9724,0.9761
1035756000,0.9765,0.9967,0.9765,0.9967
1036360800,0.9971,1.013,0.9971,1.013
1036965600,1.01285,1.01285,1.0043,1.0093
1037570400,1.0093,1.0093,0.9972,0.9972
1038175200,0.9968,0.9968,0.9905,0.9944
1038780000,0.9945,1.0098,0.9945,1.0098
1039384800,1.011,1.0229,1.0083,1.0229
1039989600,1.0237,1.02845,1.0229,1.0268
1040594400,1.0276,1.0439,1.0263,1.0439
1041199200,1.0426,1.0493,1.03615,1.0415
1041804000,1.0422,1.0579,1.0418,1.0579
1042408800,1.0577,1.0669,1.0545,1.0669
1043013600,1.0656,1.083,1.0656,1.083
1043618400,1.0844,1.0856,1.0765,1.0765
1044223200,1.0789,1.0883,1.0781,1.0827
1044828000,1.0809,1.0835,1.0718,1.0794
1045432800,1.0764,1.0818,1.0691,1.0762
1046037600,1.0735,1.08,1.0735,1.08
1046642400,1.0785,1.1005,1.0785,1.1005
1047247200,1.1007,1.1058,1.0742,1.0742
1047852000,1.0764,1.0764,1.0525,1.0525
1048456800,1.0587,1.0781,1.0587,1.0781
1049061600,1.08,1.0926,1.0731,1.0731
1049662800,1.0688,1.079,1.0688,1.0757
1050267600,1.0744,1.0915,1.0744,1.08805
1050872400,1.08875,1.1036,1.087,1.1036
1051477200,1.1037,1.12375,1.0986,1.123
1052082000,1.1231,1.14985,1.1231,1.1487
1052686800,1.1525,1.1582,1.1385,1.1582
1053291600,1.1679,1.1834,1.1636,1.1834
1053896400,1.1829,1.19065,1.1763,1.1783
1054501200,1.1715,1.1837,1.1642,1.1699
1055106000,1.1704,1.1861,1.1673,1.1861
1055710800,1.1877,1.1877,1.1602,1.1602
1056315600,1.15765,1.15765,1.1425,1.1433
1056920400,1.1437,1.1562,1.1437,1.1489
1057525200,1.1482,1.1482,1.1297,1.1297
1058130000,1.1295,1.1295,1.1174,1.1275
1058734800,1.1264,1.1512,1.1264,1.1512
1059339600,1.1473,1.1495,1.1232,1.1275
1059944400,1.1283,1.1387,1.1283,1.1309
1060549200,1.1301,1.1359,1.1262,1.1266
1061154000,1.1259,1.1259,1.0877,1.0877
1061758800,1.0855,1.0984,1.0855,1.0984
1062363600,1.0995,1.1105,1.0809,1.1105
1062968400,1.1102,1.1291,1.1068,1.1291
1063573200,1.1274,1.1371,1.1177,1.1371
1064178000,1.1435,1.1496,1.1435,1.1463
1064782800,1.1459,1.1716,1.1459,1.158
1065387600,1.1563,1.1811,1.1563,1.1798
1065992400,1.181,1.181,1.1585,1.1679
1066597200,1.1705,1.1804,1.1636,1.1781
1067205600,1.1768,1.1768,1.1583,1.1583
1067810400,1.159,1.159,1.1408,1.1535
1068415200,1.1514,1.1782,1.1492,1.1782
1069020000,1.1786,1.1949,1.1753,1.1917
1069624800,1.1918,1.1993,1.1761,1.1993
1070229600,1.1984,1.2166,1.1976,1.2166
1070834400,1.2166,1.2294,1.2166,1.2294
1071439200,1.21615,1.2435,1.21615,1.2378
1072044000,1.2406,1.2453,1.2393,1.243
1072648800,1.2445,1.2593,1.2445,1.2593
1073253600,1.2585,1.2841,1.2585,1.2841
1073858400,1.2832,1.2832,1.2373,1.2373
