time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1085950800,2.5614,2.5614,2.5614,2.5614,0,NaN,0,0,NaN
1086037200,2.5614,2.5995,2.5614,2.5995,0,NaN,0,0,NaN
1086123600,2.5995,2.63585,2.5995,2.63585,0,NaN,0,0,NaN
1086210000,2.63585,2.67235,2.63585,2.67235,0,NaN,0,0,NaN
1086296400,2.67235,2.67235,2.6453,2.6453,0,NaN,0,0,NaN
1086555600,2.6423,2.6423,2.6036,2.6036,0,NaN,0,0,NaN
1086642000,2.6036,2.61975,2.6036,2.61975,0,NaN,0,0,NaN
1086728400,2.61975,2.65195,2.61975,2.65195,0,NaN,0,0,NaN
1086814800,2.65195,2.65195,2.64345,2.64345,0,NaN,0,0,NaN
1086901200,2.64345,2.64345,2.62895,2.62895,0,NaN,0,0,NaN
1087160400,2.62375,2.6346,2.62375,2.6346,0,NaN,0,0,NaN
1087246800,2.6346,2.6346,2.62665,2.62665,0,NaN,0,0,NaN
1087333200,2.62665,2.65045,2.62665,2.65045,0,NaN,0,0,NaN
1087419600,2.65045,2.6897,2.65045,2.6897,0,NaN,0,0,NaN
1087506000,2.6897,2.6897,2.66885,2.66885,0,NaN,0,0,NaN
1087765200,2.66695,2.66695,2.6536,2.6536,0,NaN,0,0,NaN
1087851600,2.6536,2.6536,2.6475,2.6475,0,NaN,0,0,NaN
1087938000,2.6475,2.6475,2.6401,2.6401,0,NaN,0,0,NaN
1088024400,2.6401,2.6401,2.6081,2.6081,0,NaN,0,0,NaN
1088110800,2.6081,2.6081,2.607,2.607,0,NaN,0,0,-0.7866031611647479
1088370000,2.6081,2.6164,2.6081,2.6164,0,NaN,0,0,-0.6401535181693683
1088456400,2.6164,2.6185,2.6164,2.6185,0,NaN,0,0,-0.38077487901796325
1088542800,2.6185,2.6185,2.6032,2.6032,0,NaN,0,0,-0.23527273541579802
1088629200,2.6032,2.6032,2.5811,2.5811,0,NaN,0,0,-0.15552481816235608
1088715600,2.5811,2.5811,2.5662,2.5662,0,NaN,0,0,-0.177499923019778
1088974800,2.5681,2.5702,2.5681,2.5702,0,NaN,0,0,-0.1426903182740911
1089061200,2.5702,2.5825,2.5702,2.5825,0,NaN,0,0,-0.1903741094837776
1089147600,2.5825,2.5825,2.56615,2.56615,0,NaN,0,0,-0.3008242180126886
1089234000,2.56615,2.5693,2.56615,2.5693,0,NaN,0,0,-0.3892296179226122
1089320400,2.5693,2.5749,2.5693,2.5749,0,NaN,0,0,-0.4378355145926904
