time,open,high,low,close
1085950800,2.5614,2.67235,2.5614,2.6453
1086555600,2.6423,2.65195,2.6036,2.62895
1087160400,2.62375,2.6897,2.62375,2.66885
1087765200,2.66695,2.66695,2.607,2.607
1088370000,2.6081,2.6185,2.5662,2.5662
1088974800,2.5681,2.5825,2.56615,2.5749
1089579600,2.5718,2.5718,2.5582,2.5582
1090184400,2.5574,2.5818,2.5466,2.5818
1090789200,2.5842,2.60755,2.5842,2.5891
1091394000,2.5894,2.5976,2.5798,2.5798
1091998800,2.5806,2.5806,2.54965,2.5709
1092603600,2.5747,2.5747,2.5142,2.5142
1093208400,2.5153,2.5534,2.5153,2.5485
1093813200,2.5537,2.56995,2.5488,2.56995
1094418000,2.56795,2.59445,2.5528,2.5838
1095022800,2.5815,2.5815,2.5549,2.5691
1095627600,2.5666,2.5666,2.5177,2.5274
1096232400,2.5266,2.5349,2.4773,2.4773
1096837200,2.4845,2.4845,2.4418,2.4418
1097442000,2.4372,2.4712,2.4372,2.467
1098046800,2.4684,2.481,2.4684,2.4696
1098651600,2.4647,2.46565,2.45065,2.4548
1099260000,2.4559,2.46165,2.4335,2.4335
1099864800,2.4289,2.45065,2.40905,2.4128
1100469600,2.4126,2.4126,2.3706,2.3706
1101074400,2.3702,2.3962,2.3702,2.3962
1101679200,2.3952,2.48675,2.3952,2.4862
1102284000,2.486,2.55445,2.486,2.5495
1102888800,2.5516,2.5516,2.53715,2.5407
1103493600,2.5468,2.5468,2.5025,2.5025
1104098400,2.4987,2.4987,2.452,2.452
1104703200,2.4589,2.47645,2.43865,2.4701
1105308000,2.47,2.48185,2.45085,2.4652
1105912800,2.4619,2.48305,2.42975,2.4398
1106517600,2.4426,2.44735,2.42155,2.4361
1107122400,2.4389,2.45075,2.42125,2.435
1107727200,2.4374,2.4437,2.37255,2.3774
1108332000,2.3787,2.42285,2.372,2.4024
1108936800,2.3998,2.44405,2.3979,2.4409
1109541600,2.4375,2.45865,2.42195,2.4315
1110146400,2.436,2.44475,2.41145,2.4282
1110751200,2.4288,2.44015,2.4134,2.4175
1111356000,2.4188,2.428,2.39685,2.4244
1111960800,2.4244,2.44925,2.4145,2.4406
1112562000,2.4417,2.46425,2.43155,2.4434
1113166800,2.443,2.4645,2.42645,2.4632
1113771600,2.4626,2.49845,2.4458,2.4503
1114376400,2.4502,2.45885,2.43885,2.4431
1114981200,2.4441,2.45075,2.42645,2.4389
1115586000,2.4406,2.4449,2.41345,2.4305
1116190800,2.43,2.44745,2.41445,2.4165
1116795600,2.4193,2.41975,2.38795,2.3906
1117400400,2.3953,2.42495,2.38995,2.4
1118005200,2.3992,2.40095,2.36825,2.3808
1118610000,2.377,2.38155,2.34475,2.3536
1119214800,2.3497,2.3763,2.33635,2.3713
1119819600,2.3715,2.38415,2.33605,2.3508
1120424400,2.3465,2.37985,2.33705,2.3428
1121029200,2.3407,2.35485,2.33325,2.3376
1121634000,2.3403,2.34205,2.26655,2.2783
1122238800,2.2809,2.32405,2.27505,2.3233
1122843600,2.3231,2.32745,2.29835,2.3157
1123448400,2.3159,2.35325,2.3084,2.3514
1124053200,2.351,2.39405,2.34285,2.3886
1124658000,2.3898,2.39175,2.36745,2.3812
1125262800,2.3841,2.41175,2.38175,2.4073
1125867600,2.4071,2.4096,2.3721,2.373
1126472400,2.374,2.38,2.3457,2.355
1127077200,2.3554,2.36305,2.33825,2.3451
1127682000,2.33965,2.35375,2.30995,2.3154
1128286800,2.3121,2.34855,2.29585,2.3269
1128891600,2.3274,2.35525,2.30625,2.3509
1129496400,2.3467,2.37175,2.33245,2.3616
1130101200,2.3608,2.37415,2.34745,2.3675
1130709600,2.3668,2.39945,2.36275,2.3865
1131314400,2.3888,2.39285,2.36265,2.3773
1131919200,2.3786,2.39085,2.33835,2.3429
1132524000,2.3446,2.34495,2.32605,2.3303
1133128800,2.3319,2.34595,2.314,2.3166
1133733600,2.3183,2.34075,2.30115,2.3379
1134338400,2.3377,2.3882,2.3328,2.3836
1134943200,2.3767,2.399,2.3676,2.3791
1135548000,2.3792,2.38985,2.33935,2.3511
1136152800,2.3489,2.36615,2.34135,2.348
1136757600,2.3487,2.35935,2.33055,2.352
1137362400,2.3548,2.36985,2.3331,2.3674
1137967200,2.3643,2.38425,2.35065,2.3581
1138572000,2.3586,2.36595,2.34315,2.3531
1139176800,2.3508,2.36915,2.34505,2.3646
1139781600,2.3648,2.3673,2.33635,2.3564
1140386400,2.3557,2.37445,2.35025,2.361
1140991200,2.361,2.36475,2.33585,2.3551
1141596000,2.3578,2.37305,2.3512,2.3585
1142200800,2.3566,2.41855,2.35165,2.4154
1142805600,2.4116,2.46175,2.4115,2.458
1143410400,2.4586,2.48485,2.42275,2.4248
1144011600,2.4248,2.4444,2.385,2.3993
1144616400,2.4015,2.41575,2.37575,2.4056
1145221200,2.409,2.41795,2.38735,2.3954
1145826000,2.3931,2.40545,2.36705,2.4036
1146430800,2.4032,2.42065,2.38275,2.4066
1147035600,2.4084,2.45475,2.3974,2.4518
1147640400,2.4469,2.48795,2.4465,2.4792
1148245200,2.4805,2.51355,2.44605,2.4546
1148850000,2.4574,2.51545,2.44695,2.5023
1149454800,2.5061,2.51735,2.4556,2.4602
1150059600,2.4612,2.50935,2.456,2.5077
1150664400,2.5069,2.5127,2.48025,2.4837
1151269200,2.4878,2.50015,2.46295,2.4879
1151874000,2.4847,2.4896,2.4541,2.4628
1152478800,2.462,2.4681,2.4274,2.4407
1153083600,2.4411,2.47365,2.42445,2.4705
1153688400,2.47025,2.47355,2.4249,2.428
1154293200,2.4282,2.49775,2.4275,2.4927
1154898000,2.4903,2.51505,2.45855,2.4665
1155502800,2.4709,2.49165,2.4628,2.4775
1156107600,2.4782,2.4995,2.46645,2.4921
1156712400,2.4943,2.5038,2.4823,2.4841
1157317200,2.4852,2.4862,2.44935,2.4738
1157922000,2.4758,2.50745,2.4733,2.4985
1158526800,2.4976,2.5355,2.48735,2.5316
1159131600,2.5331,2.53765,2.49725,2.5091
1159736400,2.5178,2.54215,2.50795,2.519
1160341200,2.5191,2.52215,2.4696,2.4712
1160946000,2.4716,2.48755,2.4657,2.4827
1161550800,2.4825,2.4831,2.45985,2.4698
1162159200,2.467,2.4773,2.45935,2.4697
1162764000,2.4707,2.4966,2.4576,2.4894
1163368800,2.4893,2.4992,2.4552,2.4636
1163973600,2.4641,2.4875,2.4597,2.4807
1164578400,2.489,2.5137,2.47835,2.511
1165183200,2.5022,2.5196,2.47925,2.4883
1165788000,2.4866,2.5131,2.486,2.4974
1166392800,2.4987,2.521,2.4913,2.4982
1166997600,2.5165,2.5165,2.4766,2.4831
1167602400,2.4831,2.4871,2.45745,2.4774
1168207200,2.4776,2.5085,2.46945,2.4995
1168812000,2.4985,2.5147,2.49255,2.4994
