time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1085605200,2.5614,2.5614,2.5614,2.5614,0,NaN,0,0,NaN
1086037200,2.5614,2.67235,2.5614,2.67235,0,NaN,0,0,NaN
1086296400,2.67235,2.67235,2.6036,2.61975,0,NaN,0,0,NaN
1086728400,2.61975,2.65195,2.61975,2.62895,0,NaN,0,0,NaN
1087160400,2.62375,2.65045,2.62375,2.65045,0,NaN,0,0,NaN
1087419600,2.65045,2.6897,2.65045,2.6536,0,NaN,0,0,NaN
1087851600,2.6536,2.6536,2.6081,2.6081,0,NaN,0,0,NaN
1088110800,2.6081,2.6185,2.607,2.6185,0,NaN,0,0,NaN
1088542800,2.6185,2.6185,2.5662,2.5662,0,NaN,0,0,NaN
1088974800,2.5681,2.5825,2.56615,2.56615,0,NaN,0,0,NaN
1089234000,2.56615,2.5749,2.5601,2.5601,0,NaN,0,0,NaN
1089666000,2.5601,2.5646,2.5601,2.564,0,NaN,0,0,NaN
1089925200,2.564,2.564,2.5466,2.5466,0,NaN,0,0,NaN
1090357200,2.5466,2.5818,2.5466,2.5818,0,NaN,0,0,NaN
1090789200,2.5842,2.60755,2.5842,2.60755,0,NaN,0,0,NaN
1091048400,2.60755,2.60755,2.5891,2.5976,0,NaN,0,0,NaN
1091480400,2.5976,2.5976,2.5831,2.59225,0,NaN,0,0,NaN
1091739600,2.59225,2.59225,2.5617,2.5617,0,NaN,0,0,NaN
1092171600,2.5617,2.5709,2.54965,2.5709,0,NaN,0,0,NaN
1092603600,2.5747,2.5747,2.5478,2.5478,0,NaN,0,0,-0.3553632929284174
1092862800,2.5478,2.5478,2.5142,2.53425,0,NaN,0,0,-0.19298325052549406
1093294800,2.53425,2.5534,2.53425,2.5534,0,NaN,0,0,-0.05002158006653488
1093554000,2.5534,2.566,2.5485,2.5596,0,NaN,0,0,-0.01852189942010628
1093986000,2.5596,2.56995,2.5488,2.56995,0,NaN,0,0,0.012473281434422919
1094418000,2.56795,2.5715,2.5528,2.5644,0,NaN,0,0,-0.012735548200642252
1094677200,2.5644,2.59445,2.5644,2.58,0,NaN,0,0,-0.12226220522654693
1095109200,2.58,2.58,2.5549,2.56475,0,NaN,0,0,-0.13916609398128607
1095368400,2.56475,2.5691,2.5475,2.5542,0,NaN,0,0,-0.07963884970752755
1095800400,2.5542,2.5542,2.5177,2.5274,0,NaN,0,0,0.027923590739249042
1096232400,2.5266,2.5349,2.5093,2.5093,0,NaN,0,0,0.12016188207960676
1096491600,2.5093,2.5093,2.4726,2.4726,0,NaN,0,0,0.16375167036552524
1096923600,2.4726,2.4726,2.44765,2.44765,0,NaN,0,0,0.16546693606247007
