time,open,high,low,close
1085950800,2.49475,2.517,2.47755,2.50545
1087765200,2.50635,2.50635,2.42385,2.45075
1089579600,2.45095,2.45635,2.4066,2.42245
1091394000,2.42145,2.43455,2.36255,2.36255
1093208400,2.36355,2.3663,2.2823,2.32015
1095022800,2.32095,2.3382,2.26845,2.26845
1096837200,2.27045,2.2726,2.2401,2.25555
1098651600,2.25415,2.25415,2.2031,2.21495
1100469600,2.21495,2.31615,2.2062,2.31615
1102284000,2.31525,2.3911,2.31525,2.36775
1104098400,2.36645,2.36645,2.30165,2.30165
1104703200,2.30165,2.3234,2.2573,2.29455
1106517600,2.29485,2.3571,2.2844,2.31015
1108332000,2.31015,2.3889,2.30785,2.36815
1110146400,2.36815,2.37225,2.2673,2.27875
1111960800,2.27875,2.3602,2.2655,2.35945
1113771600,2.35945,2.4077,2.3439,2.34925
1115586000,2.34925,2.3507,2.2829,2.28805
1117400400,2.29275,2.2991,2.2471,2.25075
1119214800,2.2479,2.2664,2.1137,2.11875
1121029200,2.11875,2.1701,2.1064,2.15045
1122843600,2.14665,2.19685,2.13985,2.17405
1124658000,2.17505,2.20135,2.12115,2.16665
1126472400,2.16595,2.16855,2.04615,2.05225
1128286800,2.04935,2.10415,2.03935,2.10105
1130101200,2.09865,2.10835,2.05755,2.07285
1131919200,2.07265,2.08705,1.99405,2.01365
1133733600,2.01325,2.07005,1.9989,2.02065
1135548000,2.02075,2.0355,1.9947,2.00255
1136152800,2.00255,2.07485,1.99695,2.04105
1137967200,2.04165,2.06895,1.98975,2.01075
1139781600,2.01205,2.02205,1.97555,1.99145
1141596000,1.99195,2.05045,1.9825,2.03375
1143410400,2.03375,2.05665,1.9916,2.01705
1145221200,2.01705,2.0636,2.00895,2.05525
1147035600,2.05905,2.1235,2.0444,2.05645
1148850000,2.05645,2.08205,2.0186,2.07815
1150664400,2.07815,2.08125,2.01625,2.06095
1152478800,2.06095,2.12285,2.05415,2.10875
1154293200,2.10565,2.1582,2.09345,2.11765
1156107600,2.11765,2.12775,2.06965,2.09015
1157922000,2.09015,2.1342,2.07795,2.09305
1159736400,2.09695,2.13715,2.0887,2.11975
1161550800,2.11935,2.17075,2.10545,2.16325
1163368800,2.16135,2.26995,2.14635,2.26795
1165183200,2.26265,2.27805,2.2375,2.26865
1166997600,2.26865,2.28665,2.26465,2.28355
1167602400,2.28355,2.32425,2.26085,2.31405
1169416800,2.31405,2.35675,2.28415,2.28545
1171231200,2.28605,2.30665,2.26025,2.28825
1173045600,2.28715,2.30155,2.25105,2.27685
1174856400,2.27685,2.29151,2.24186,2.26014
1176670800,2.26014,2.27846,2.19275,2.20679
1178485200,2.20679,2.2117,2.13269,2.14307
1180299600,2.14307,2.1527,2.08375,2.11013
1182114000,2.10855,2.14542,2.09645,2.11035
1183928400,2.11035,2.16521,2.10209,2.1543
1185742800,2.1543,2.17061,2.09875,2.09992
1187557200,2.10008,2.14706,2.09333,2.14068
1189371600,2.14068,2.14952,1.99817,2.03163
1191186000,2.03311,2.04308,1.97197,1.98374
1193000400,1.98374,1.99725,1.90191,1.97492
1194818400,1.97492,2.0686,1.96598,2.0539
1196632800,2.0539,2.09164,1.96532,1.96727
1198447200,1.96727,1.98415,1.93994,1.9797
1199656800,1.9797,2.03549,1.96603,1.9994
1201471200,1.9994,2.00548,1.93463,1.97479
1203285600,1.97479,2.00055,1.93072,1.99504
1205096400,1.99504,2.06097,1.97998,2.03968
1206910800,2.03968,2.04901,1.97132,2.00645
1208725200,2.00645,2.03045,1.95376,1.9642
1210539600,1.9642,1.97718,1.92897,1.96923
1212354000,1.96316,2.02497,1.95054,2.00893
1214168400,2.00873,2.04136,1.98914,2.00711
1215982800,2.00694,2.0443,1.99788,2.02894
1217797200,2.02722,2.05535,1.93495,1.93981
1219611600,1.9421,1.94996,1.867,1.90208
1221426000,1.91568,1.95512,1.86611,1.9178
1223240400,1.91517,2.06823,1.90461,2.02385
1225054800,2.02385,2.07383,1.79063,1.8231
1226872800,1.8231,1.92503,1.81219,1.86692
1228687200,1.87255,1.90124,1.77416,1.77856
1230501600,1.77856,1.80687,1.74605,1.75252
1231106400,1.75252,1.86003,1.69024,1.69834
1232920800,1.69834,1.84093,1.6724,1.77342
1234735200,1.77342,1.8331,1.75887,1.81419
1236546000,1.81419,1.82008,1.7549,1.77882
1238360400,1.76757,1.84268,1.76524,1.79517
1240174800,1.79517,1.8246,1.73986,1.75087
1241989200,1.75168,1.80931,1.73831,1.76721
1243803600,1.7659,1.87422,1.76076,1.87113
1245618000,1.87113,1.93042,1.86522,1.88678
1247432400,1.88678,1.88678,1.77352,1.80094
1249246800,1.80094,1.83248,1.78112,1.78497
1251061200,1.78501,1.809225,1.75734,1.79351
1252875600,1.7972,1.80727,1.70567,1.72186
1254690000,1.72088,1.75556,1.62371,1.71827
1256504400,1.71432,1.78968,1.71104,1.75316
1258322400,1.76002,1.78274,1.725475,1.74301
1260136800,1.7351,1.74234,1.66902,1.67427
1261951200,1.67427,1.70742,1.65225,1.70231
1262556000,1.70231,1.70938,1.64023,1.70456
1264370400,1.70384,1.72884,1.64031,1.64915
1266184800,1.64865,1.65081,1.53912,1.55752
1267999200,1.55613,1.5616,1.51191,1.52939
1269810000,1.53033,1.56392,1.51372,1.55597
1271624400,1.55597,1.5903,1.52052,1.54555
1273438800,1.53978,1.5525,1.48347,1.52481
1275253200,1.51763,1.55602,1.50086,1.51476
1277067600,1.51425,1.62116,1.50051,1.55728
1278882000,1.5567,1.62089,1.54237,1.61533
1280696400,1.61533,1.64536,1.59654,1.62708
1282510800,1.62708,1.64742,1.58698,1.59253
1284325200,1.58738,1.642,1.579675,1.61315
1286139600,1.61315,1.62896,1.58402,1.60867
1287954000,1.60773,1.63926,1.59702,1.63129
1289772000,1.63239,1.639545,1.56238,1.58403
1291586400,1.58172,1.6031,1.55157,1.55721
1293400800,1.5568,1.55839,1.53336,1.55785
1294005600,1.54857,1.59924,1.52906,1.58915
1295820000,1.59017,1.61224,1.56786,1.58047
1297634400,1.58198,1.6177,1.57108,1.58364
1299448800,1.58437,1.60834,1.55727,1.57257
1301259600,1.56878,1.57988,1.542815,1.56607
1303074000,1.5638,1.59544,1.55252,1.58207
1304888400,1.58143,1.61379,1.56096,1.61162
1306702800,1.61384,1.61493,1.57422,1.5861
1308517200,1.58683,1.59332,1.526615,1.54499
1310331600,1.54038,1.57472,1.525,1.5692
1312146000,1.56705,1.63873,1.55449,1.63022
1313960400,1.63166,1.63578,1.56718,1.58337
1315774800,1.57974,1.63745,1.54162,1.63676
1317589200,1.63151,1.6391,1.587795,1.60612
1319403600,1.60881,1.6355,1.58956,1.62315
1321221600,1.62226,1.6323,1.58196,1.59006
1323036000,1.58892,1.61703,1.57256,1.59105
1324850400,1.59105,1.60262,1.57006,1.58823
1325455200,1.58823,1.591245,1.55464,1.57828
1327269600,1.57816,1.58689,1.56621,1.57769
1329084000,1.57963,1.5942,1.55922,1.56647
1330898400,1.56725,1.59008,1.546475,1.58354
1332709200,1.58488,1.603205,1.569015,1.58413
1334523600,1.58421,1.60885,1.57222,1.60837
1336338000,1.60702,1.62058,1.600395,1.61246
1338152400,1.61246,1.61246,1.58498,1.6055
1339966800,1.60392,1.608305,1.57158,1.57925
1341781200,1.5801,1.588925,1.56851,1.57993
1343595600,1.57993,1.58183,1.54686,1.55304
1345410000,1.55304,1.579525,1.54955,1.56724
1347224400,1.56615,1.598905,1.55658,1.59013
1349038800,1.58902,1.59464,1.56166,1.59021
1350853200,1.59244,1.61809,1.579735,1.5923
1352671200,1.5923,1.5953,1.58383,1.59216
1354485600,1.59216,1.6116,1.58109,1.60646
1356300000,1.60646,1.6214,1.5801,1.586475
1357509600,1.58648,1.59654,1.5665,1.58916
1359324000,1.586555,1.5905,1.54952,1.56168
1361138400,1.56168,1.5691,1.52468,1.53508
1362949200,1.53508,1.56038,1.52445,1.54661
1364763600,1.54661,1.57499,1.52699,1.56365
1366578000,1.56365,1.58234,1.54892,1.55176
1368392400,1.55176,1.57685,1.54389,1.57685
1370206800,1.57685,1.61882,1.57399,1.6125
1372021200,1.6125,1.62714,1.5609,1.570735
1373835600,1.57074,1.592225,1.55759,1.58886
1375650000,1.58886,1.65124,1.58559,1.63435
1377464400,1.63435,1.64493,1.617375,1.64335
1379278800,1.64335,1.68096,1.6337,1.6483
1381093200,1.648295,1.696345,1.64456,1.68935
1382907600,1.68935,1.69267,1.657955,1.6827
1384725600,1.6827,1.754825,1.67666,1.73941
1386540000,1.73941,1.76732,1.71932,1.76469
1388354400,1.76469,1.76821,1.73832,1.74613
1388959200,1.74613,1.85578,1.73564,1.82748
1390773600,1.82748,1.8563,1.795835,1.83919
1392588000,1.83919,1.86701,1.81854,1.85323
1394398800,1.85323,1.86513,1.82804,1.84042
1396213200,1.84042,1.85375,1.81659,1.85083
1398027600,1.85083,1.85888,1.82372,1.83673
1399842000,1.83673,1.84752,1.81002,1.81764
1401656400,1.81764,1.84758,1.815635,1.830215
1403470800,1.830215,1.83912,1.8145,1.83708
1405285200,1.83708,1.85051,1.8215,1.83636
1407099600,1.83636,1.852005,1.812375,1.81371
1408914000,1.81371,1.8222,1.75368,1.80418
1410728400,1.80418,1.82022,1.781715,1.79546
1412542800,1.79546,1.82606,1.78675,1.80771
1414357200,1.80771,1.82886,1.76662,1.76897
1416175200,1.76897,1.79467,1.754115,1.78186
1417989600,1.78186,1.84001,1.77989,1.8092
1419804000,1.8092,1.81251,1.79893,1.80631
