time,open,high,low,close
1020632400,2.33145,2.34295,2.3291,2.3291
1021237200,2.3291,2.34135,2.3044,2.3044
1021842000,2.3056,2.3056,2.2894,2.2965
1022446800,2.3061,2.3061,2.2841,2.2841
1023051600,2.2858,2.2858,2.2725,2.2745
1023656400,2.2744,2.3053,2.2744,2.3053
1024261200,2.3068,2.3125,2.2618,2.2618
1024866000,2.2621,2.2831,2.2611,2.2704
1025470800,2.271,2.2951,2.271,2.2951
1026075600,2.2923,2.3053,2.2922,2.3029
1026680400,2.3056,2.3056,2.2755,2.2755
1027285200,2.2745,2.2965,2.2745,2.2936
1027890000,2.2939,2.3326,2.2939,2.308
1028494800,2.3074,2.3206,2.2913,2.2913
1029099600,2.2909,2.29335,2.2841,2.2913
1029704400,2.2931,2.31205,2.29275,2.3005
1030309200,2.2989,2.322,2.29005,2.322
1030914000,2.3227,2.3227,2.3012,2.30535
1031518800,2.3135,2.3439,2.3135,2.3439
1032123600,2.3443,2.3443,2.30615,2.3184
1032728400,2.3192,2.34095,2.3192,2.3324
1033333200,2.3312,2.3374,2.31405,2.3374
1033938000,2.3344,2.3344,2.31405,2.3153
1034542800,2.3143,2.34445,2.30745,2.3375
1035147600,2.3376,2.3376,2.32215,2.3309
1035756000,2.3254,2.3254,2.2936,2.2936
1036360800,2.2963,2.2963,2.28195,2.2956
1036965600,2.2963,2.3094,2.2947,2.2947
1037570400,2.2942,2.3334,2.2942,2.3334
1038175200,2.3331,2.3331,2.302,2.3085
1038780000,2.3097,2.31815,2.2965,2.2965
1039384800,2.2981,2.30485,2.29385,2.2955
1039989600,2.2928,2.29655,2.27875,2.2828
1040594400,2.2809,2.2809,2.2298,2.2298
1041199200,2.2317,2.2513,2.2281,2.2513
1041804000,2.2497,2.2497,2.2193,2.2193
1042408800,2.2171,2.2254,2.2079,2.2079
1043013600,2.21,2.2118,2.1994,2.2106
1043618400,2.2098,2.2465,2.2098,2.2465
1044223200,2.2428,2.2428,2.2103,2.2103
1044828000,2.2137,2.2219,2.1942,2.1991
1045432800,2.2009,2.2009,2.1564,2.1564
1046037600,2.158,2.158,2.129,2.129
1046642400,2.1324,2.1407,2.1118,2.1407
1047247200,2.1415,2.1751,2.1228,2.1636
1047852000,2.1612,2.1922,2.1612,2.1922
1048456800,2.18,2.18,2.1571,2.1571
1049061600,2.1535,2.16785,2.1363,2.1625
1049662800,2.1674,2.1874,2.15645,2.1874
1050267600,2.1883,2.1883,2.1665,2.1708
1050872400,2.1689,2.1805,2.1633,2.1674
1051477200,2.1671,2.1782,2.1565,2.1565
1052082000,2.1565,2.1565,2.1036,2.1087
1052686800,2.1069,2.1489,2.1069,2.1191
1053291600,2.1109,2.1272,2.107,2.107
1053896400,2.1081,2.1258,2.1078,2.1234
1054501200,2.1238,2.1924,2.1238,2.1924
1055106000,2.1883,2.1883,2.1655,2.1709
1055710800,2.1704,2.2195,2.1704,2.2089
1056315600,2.2118,2.2445,2.2084,2.2275
1056920400,2.2267,2.2506,2.2267,2.2478
1057525200,2.2478,2.2649,2.2247,2.2441
1058130000,2.2424,2.2424,2.1666,2.1666
1058734800,2.152,2.1796,2.152,2.1796
1059339600,2.1808,2.208,2.1808,2.1989
1059944400,2.1966,2.1966,2.1701,2.1795
1060549200,2.182,2.1968,2.182,2.1883
1061154000,2.1899,2.2323,2.1899,2.2323
1061758800,2.2349,2.2349,2.2091,2.2091
1062363600,2.2105,2.2239,2.1954,2.1954
1062968400,2.1993,2.2099,2.1927,2.2099
1063573200,2.216,2.2398,2.206,2.2388
1064178000,2.2404,2.2439,2.2294,2.2316
1064782800,2.2304,2.2304,2.1922,2.2245
1065387600,2.221,2.221,2.1823,2.1848
1065992400,2.1836,2.2345,2.1836,2.2294
1066597200,2.2246,2.2286,2.2217,2.2259
1067205600,2.2269,2.2717,2.2269,2.2717
1067810400,2.2716,2.2971,2.2716,2.2802
1068415200,2.2846,2.2878,2.2389,2.2389
1069020000,2.2394,2.2407,2.2036,2.211
1069624800,2.2125,2.2401,2.2125,2.2229
1070229600,2.2248,2.2306,2.2043,2.2043
1070834400,2.2057,2.2149,2.1953,2.2034
1071439200,2.22145,2.22145,2.2018,2.2177
1072044000,2.2136,2.2211,2.2136,2.2211
1072648800,2.2178,2.2205,2.2085,2.2205
1073253600,2.2207,2.2557,2.2207,2.2557
1073858400,2.2541,2.2774,2.2541,2.2774
1074463200,2.2783,2.2783,2.2643,2.2695
1075068000,2.2664,2.2943,2.2664,2.2943
1075672800,2.2918,2.2982,2.2791,2.2791
1076277600,2.2894,2.3345,2.2894,2.3345
1076882400,2.3313,2.3465,2.3313,2.3442
1077487200,2.346,2.3606,2.346,2.3566
1078092000,2.3586,2.3827,2.3555,2.3555
1078696800,2.3557,2.3562,2.301,2.3136
1079301600,2.3066,2.3253,2.3026,2.3253
1079906400,2.3281,2.3317,2.3133,2.3317
1080511200,2.33,2.3619,2.33,2.3619
1081112400,2.3629,2.3774,2.34925,2.3517
1081717200,2.3509,2.36415,2.32165,2.3283
1082322000,2.3212,2.34265,2.3212,2.3288
1082926800,2.3359,2.3359,2.29305,2.3033
1083531600,2.3039,2.3262,2.28505,2.3262
1084136400,2.3259,2.3259,2.27655,2.2816
1084741200,2.2821,2.2931,2.25685,2.2931
1085346000,2.2922,2.30755,2.28835,2.2952
1085950800,2.2921,2.30065,2.2812,2.2812
1086555600,2.28,2.29565,2.27265,2.2917
1087160400,2.29,2.3145,2.27575,2.2882
1087765200,2.2872,2.2872,2.27185,2.2772
1088370000,2.2781,2.2883,2.2577,2.2577
1088974800,2.2554,2.27835,2.2554,2.2734
1089579600,2.2752,2.295405,2.2752,2.2949
1090184400,2.295,2.3214,2.293,2.3214
1090789200,2.3209,2.3322,2.3209,2.3322
1091394000,2.324,2.337505,2.3025,2.3025
1091998800,2.3043,2.3089,2.2826,2.2826
1092603600,2.2826,2.282705,2.269705,2.2755
1093208400,2.277,2.2961,2.277,2.2958
1093813200,2.2964,2.2982,2.2585,2.2585
1094418000,2.2592,2.26275,2.2467,2.2607
1095022800,2.2615,2.274935,2.256405,2.2737
1095627600,2.2725,2.2776,2.252105,2.2776
1096232400,2.2764,2.282605,2.2469,2.2469
1096837200,2.2498,2.256105,2.2448,2.2448
1097442000,2.2425,2.2499,2.2262,2.2262
1098046800,2.2254,2.2254,2.21445,2.225205
1098651600,2.2099,2.2099,2.1943,2.1943
1099260000,2.1942,2.21565,2.1857,2.1857
1099864800,2.1826,2.19835,2.1706,2.17545
1100469600,2.17355,2.1802,2.1577,2.1577
1101074400,2.1565,2.163955,2.155105,2.1578
1101679200,2.1586,2.215655,2.1586,2.1975
1102284000,2.2002,2.2238,2.2002,2.2238
1102888800,2.2213,2.2473,2.217405,2.2473
1103493600,2.2455,2.2455,2.19915,2.19915
1104098400,2.19725,2.1975,2.1742,2.1861
1104703200,2.18895,2.22035,2.176155,2.2164
1105308000,2.2154,2.2234,2.19965,2.2069
1105912800,2.2073,2.2321,2.19385,2.2256
1106517600,2.2275,2.24235,2.21835,2.2402
1107122400,2.2413,2.27635,2.23375,2.2721
1107727200,2.2713,2.27717,2.2509,2.2623
1108332000,2.2607,2.26625,2.2317,2.2408
1108936800,2.2438,2.24765,2.20848,2.23021
1109541600,2.22841,2.2573,2.22781,2.2488
1110146400,2.2486,2.25351,2.2134,2.21515
1110751200,2.215,2.23745,2.2127,2.2366
1111356000,2.2362,2.24753,2.23095,2.24435
1111960800,2.2433,2.26785,2.2396,2.2635
1112562000,2.265,2.27623,2.250255,2.2577
1113166800,2.2567,2.28867,2.25195,2.2715
1113771600,2.2733,2.2756,2.24935,2.2611
1114376400,2.2619,2.2838,2.26,2.281
1114981200,2.2817,2.28525,2.2588,2.282
1115586000,2.2818,2.2832,2.25568,2.264
1116190800,2.2661,2.2698,2.2351,2.2544
1116795600,2.2545,2.25635,2.24255,2.2444
1117400400,2.2482,2.2804,2.2462,2.274
1118005200,2.2725,2.30245,2.2677,2.3001
1118610000,2.3002,2.32255,2.2889,2.3028
1119214800,2.3065,2.32965,2.30295,2.3249
1119819600,2.32395,2.331155,2.28235,2.2915
1120424400,2.29165,2.296255,2.24315,2.2585
1121029200,2.2588,2.27845,2.25278,2.2702
1121634000,2.27115,2.2755,2.2346,2.2546
1122238800,2.2549,2.2668,2.24945,2.2665
1122843600,2.2643,2.2646,2.236005,2.2456
1123448400,2.24675,2.26885,2.2426,2.2638
1124053200,2.2617,2.2905,2.2602,2.2895
1124658000,2.288,2.29305,2.262105,2.266
1125262800,2.2666,2.2777,2.25275,2.2659
1125867600,2.262,2.29115,2.2576,2.2868
1126472400,2.2889,2.3019,2.2835,2.2956
1127077200,2.2991,2.30813,2.28547,2.29455
1127682000,2.28935,2.29845,2.2738,2.2828
1128286800,2.2791,2.292905,2.2495,2.2506
1128891600,2.2528,2.2735,2.24515,2.2725
1129496400,2.27065,2.29285,2.263305,2.2853
1130101200,2.2846,2.2888,2.26458,2.2707
1130709600,2.273,2.29035,2.26556,2.2877
1131314400,2.2881,2.291605,2.276235,2.2838
1131919200,2.2864,2.29442,2.257,2.2574
1132524000,2.2578,2.2712,2.25195,2.2609
1133128800,2.2614,2.28715,2.252585,2.2816
1133733600,2.2838,2.28835,2.2643,2.2861
1134338400,2.2863,2.2942,2.26672,2.287
1134943200,2.2798,2.302125,2.27025,2.2742
1135548000,2.2742,2.28135,2.25665,2.2638
1136152800,2.2622,2.26845,2.23701,2.2488
1136757600,2.2473,2.2754,2.24368,2.2691
1137362400,2.2664,2.2677,2.25055,2.2603
1137967200,2.2589,2.2719,2.245005,2.2708
1138572000,2.2687,2.29295,2.26465,2.2817
1139176800,2.27885,2.2814,2.2575,2.2795
1139781600,2.2803,2.286155,2.2674,2.2822
1140386400,2.2823,2.2998,2.27695,2.2993
1140991200,2.2976,2.30555,2.275505,2.2765
1141596000,2.2772,2.28588,2.2696,2.2744
1142200800,2.2726,2.27818,2.26169,2.265
1142805600,2.2672,2.28931,2.26195,2.284
1143410400,2.28355,2.289805,2.262505,2.26535
1144011600,2.2657,2.2728,2.24585,2.2671
1144616400,2.2676,2.27865,2.26315,2.2736
1145221200,2.2741,2.27869,2.2587,2.2733
1145826000,2.2725,2.27677,2.25595,2.2616
1146430800,2.2599,2.28418,2.25665,2.2798
1147035600,2.2804,2.2916,2.266605,2.26867
1147640400,2.26695,2.292165,2.2648,2.28677
1148245200,2.28441,2.28631,2.267825,2.27849
1148850000,2.27859,2.28564,2.2713,2.2738
1149454800,2.27248,2.27432,2.258485,2.26586
1150059600,2.26931,2.28294,2.26726,2.27916
1150664400,2.27874,2.28845,2.26895,2.27042
1151269200,2.27072,2.27286,2.2561,2.26034
1151874000,2.26205,2.26542,2.252055,2.26376
1152478800,2.26149,2.27212,2.25849,2.26933
1153083600,2.26773,2.303175,2.26588,2.2983
1153688400,2.2981,2.31204,2.29574,2.29694
1154293200,2.29432,2.33616,2.29332,2.3341
1154898000,2.3328,2.35041,2.32437,2.34908
1155502800,2.34713,2.34998,2.31668,2.32025
1156107600,2.31906,2.34207,2.31208,2.33927
1156712400,2.33905,2.34965,2.33032,2.34433
1157317200,2.34331,2.34589,2.32338,2.32722
1157922000,2.32745,2.37122,2.31567,2.36142
1158526800,2.36134,2.37772,2.34575,2.34863
1159131600,2.34745,2.36113,2.33684,2.34133
1159736400,2.34579,2.36608,2.3357,2.35741
1160341200,2.35705,2.36875,2.34946,2.36235
1160946000,2.36285,2.3785,2.35747,2.37107
1161550800,2.3688,2.377005,2.366905,2.37006
1162159200,2.36776,2.38723,2.36776,2.38355
1162764000,2.38475,2.38599,2.3627,2.37246
1163368800,2.36826,2.37018,2.35217,2.35696
1163973600,2.3574,2.36268,2.33466,2.33684
1164578400,2.3411,2.366715,2.33335,2.36345
1165183200,2.35855,2.37006,2.34138,2.3559
1165788000,2.35539,2.38707,2.34926,2.38455
1166392800,2.38574,2.39513,2.37913,2.38937
1166997600,2.38937,2.40171,2.38547,2.3881
1167602400,2.3881,2.39999,2.38223,2.38575
1168207200,2.38437,2.445545,2.38305,2.44345
1168812000,2.44446,2.46959,2.44149,2.46459
1169416800,2.46386,2.47605,2.44878,2.45644
1170021600,2.45646,2.46693,2.43876,2.45358
1170626400,2.45433,2.4601,2.43122,2.43175
1171231200,2.43299,2.44259,2.406185,2.40762
1171836000,2.4097,2.4309,2.39783,2.42028
1172440800,2.42087,2.42193,2.36355,2.36436
1173045600,2.36489,2.387985,2.32937,2.3856
1173646800,2.38467,2.391,2.33538,2.3447
1174251600,2.34133,2.39233,2.33761,2.39102
1174856400,2.39122,2.40078,2.37541,2.39205
1175461200,2.38968,2.41462,2.38855,2.40187
1176066000,2.40191,2.41616,2.39623,2.41293
1176670800,2.4091,2.42828,2.4044,2.41976
1177275600,2.4222,2.4248,2.4006,2.4087
1177880400,2.40557,2.43077,2.40232,2.41377
1178485200,2.41351,2.43135,2.40923,2.4154
1179090000,2.41408,2.424765,2.40624,2.42363
1179694800,2.42232,2.44431,2.4194,2.43671
1180299600,2.43557,2.439445,2.418,2.43798
1180904400,2.43785,2.44016,2.4154,2.43321
1181509200,2.433,2.45904,2.42985,2.45299
1182114000,2.45415,2.475635,2.45247,2.45798
1182718800,2.45626,2.46942,2.44886,2.45357
1183323600,2.45209,2.45686,2.43242,2.44914
1183928400,2.44961,2.4557,2.43101,2.44649
1184533200,2.44445,2.476,2.44103,2.46931
1185138000,2.46955,2.49677,2.44429,2.4461
1185742800,2.4459,2.45778,2.42071,2.43017
1186347600,2.41895,2.43842,2.40589,2.42554
1186952400,2.4237,2.433405,2.3765,2.39355
1187557200,2.3905,2.428975,2.37897,2.41824
1188162000,2.4179,2.4395,2.40131,2.43767
1188766800,2.4381,2.44291,2.40427,2.41144
1189371600,2.40865,2.41885,2.38448,2.38796
1189976400,2.3855,2.3878,2.34914,2.36901
1190581200,2.36865,2.38511,2.350865,2.3825
1191186000,2.37863,2.407405,2.37738,2.40624
1191790800,2.40284,2.42094,2.39215,2.41216
1192395600,2.41151,2.41366,2.38494,2.39261
1193000400,2.38973,2.40903,2.37937,2.38906
1193605200,2.38897,2.41991,2.3865,2.41134
1194213600,2.4093,2.41085,2.344255,2.34621
1194818400,2.3413,2.34611,2.28272,2.29664
1195423200,2.2949,2.29696,2.26008,2.27368
1196028000,2.2738,2.32973,2.268635,2.32782
1196632800,2.32352,2.3363,2.276975,2.29397
1197237600,2.29043,2.33491,2.29006,2.32568
1197842400,2.32927,2.3322,2.289345,2.29086
1198447200,2.29306,2.29406,2.24336,2.24887
1199052000,2.25061,2.26279,2.179425,2.18806
1199656800,2.18638,2.21413,2.142525,2.15509
1200261600,2.1556,2.18135,2.1239,2.14789
1200866400,2.15291,2.17835,2.11854,2.17498
1201471200,2.17424,2.17863,2.12545,2.14113
1202076000,2.1399,2.17623,2.12945,2.14676
1202680800,2.14475,2.1843,2.12555,2.14428
1203285600,2.14027,2.15828,2.12525,2.13462
1203890400,2.13686,2.14653,2.06814,2.06995
1204495200,2.06792,2.0744,2.0452,2.06443
1205096400,2.06176,2.07737,2.015595,2.01624
1205701200,2.0121,2.02058,1.93725,2.00009
1206306000,1.9999,2.03308,1.980375,1.98474
1206910800,1.98373,2.02585,1.96501,2.00517
1207515600,2.00675,2.01949,1.95856,1.97128
1208120400,1.97687,2.04986,1.96111,2.03429
1208725200,2.03301,2.06297,1.99217,2.05427
1209330000,2.05495,2.096745,2.03003,2.0844
1209934800,2.08252,2.08597,2.02412,2.03419
1210539600,2.03287,2.059825,2.03104,2.05208
1211144400,2.04675,2.05768,2.018025,2.02767
1211749200,2.02853,2.07872,2.02452,2.06599
1212354000,2.05495,2.06115,2.0068,2.0077
1212958800,2.00543,2.05004,2.00155,2.03925
1213563600,2.0376,2.066105,2.02363,2.04653
1214168400,2.0428,2.057225,2.02014,2.03189
1214773200,2.03252,2.0436,2.01098,2.03242
1215378000,2.03232,2.043955,2.017885,2.02081
1215982800,2.01807,2.047945,2.0109,2.04444
1216587600,2.0436,2.07896,2.03201,2.06389
1217192400,2.0642,2.08098,2.05326,2.07331
1217797200,2.07219,2.07967,2.05315,2.07917
1218402000,2.07509,2.078715,2.02447,2.04547
1219006800,2.04518,2.05323,2.0284,2.03511
1219611600,2.03361,2.03542,1.99901,2.00576
1220216400,1.99448,1.99457,1.94968,1.97678
1220821200,1.99305,2.031455,1.980355,2.02783
1221426000,2.0161,2.036495,1.97585,2.02425
1222030800,2.0262,2.02738,1.991255,2.01171
1222635600,2.00688,2.01821,1.96108,2.00009
1223240400,2.00826,2.01584,1.88622,1.94055
1223845200,1.93521,1.99418,1.9181,1.96511
1224450000,1.96526,1.99063,1.759065,1.85631
1225054800,1.85024,1.88861,1.77137,1.86255
1225663200,1.86201,1.89775,1.82642,1.8438
1226268000,1.85583,1.86711,1.74345,1.76165
1226872800,1.75847,1.840355,1.7561,1.82483
1227477600,1.82343,1.87247,1.80517,1.86475
1228082400,1.8637,1.87054,1.7485,1.79216
1228687200,1.79695,1.81983,1.74852,1.75908
1229292000,1.76023,1.78327,1.60943,1.64831
1229896800,1.64684,1.6523,1.56059,1.56427
1230501600,1.56598,1.58031,1.51246,1.57055
1231106400,1.57055,1.69501,1.55211,1.6883
1231711200,1.684,1.68908,1.616825,1.64848
1232316000,1.6536,1.6643,1.564615,1.5931
1232920800,1.58615,1.68747,1.57138,1.68705
1233525600,1.68302,1.729325,1.63514,1.71723
1234130400,1.71568,1.74847,1.64584,1.66617
1234735200,1.6556,1.70368,1.651485,1.66883
1235340000,1.67035,1.70429,1.654755,1.67485
1235944800,1.67381,1.67735,1.62335,1.63224
1236546000,1.63199,1.67432,1.58485,1.65967
1237150800,1.66015,1.68403,1.60762,1.63076
1237755600,1.62687,1.665805,1.62178,1.63848
1238360400,1.63653,1.684035,1.62317,1.67847
1238965200,1.67649,1.70113,1.66545,1.6943
1239570000,1.69035,1.73177,1.67919,1.72409
1240174800,1.72448,1.72873,1.66249,1.67218
1240779600,1.67043,1.697235,1.66476,1.69479
1241384400,1.69369,1.72524,1.67949,1.68469
1241989200,1.68175,1.704605,1.665275,1.70231
1242594000,1.70181,1.73871,1.699125,1.72979
1243198800,1.72494,1.748185,1.715415,1.72721
1243803600,1.72835,1.7714,1.71199,1.73506
1244408400,1.73326,1.781885,1.72597,1.7745
1245013200,1.77561,1.788805,1.746945,1.78378
1245618000,1.78395,1.811505,1.74737,1.79085
1246222800,1.78934,1.80729,1.76162,1.77473
1246827600,1.77616,1.77667,1.746635,1.76143
1247432400,1.75939,1.77872,1.73912,1.75898
1248037200,1.75874,1.774615,1.74482,1.76113
1248642000,1.76245,1.802735,1.75483,1.7855
1249246800,1.78523,1.80918,1.77874,1.80428
1249851600,1.80432,1.8078,1.7676,1.77321
1250456400,1.77336,1.783675,1.741745,1.74742
1251061200,1.74573,1.75329,1.715415,1.72408
1251666000,1.7229,1.74412,1.715785,1.7386
1252270800,1.73846,1.74032,1.716655,1.72972
1252875600,1.72845,1.73033,1.671875,1.67535
1253480400,1.67103,1.684575,1.637405,1.63899
1254085200,1.64015,1.673425,1.62239,1.65081
1254690000,1.64665,1.65741,1.629135,1.63432
1255294800,1.63386,1.668885,1.611875,1.66551
1255899600,1.65978,1.67954,1.641765,1.64496
1256504400,1.64394,1.695305,1.63832,1.68917
1257112800,1.68291,1.694185,1.6666,1.69007
1257717600,1.69072,1.69741,1.66582,1.68854
1258322400,1.69044,1.711305,1.677195,1.68002
1258927200,1.68051,1.681245,1.64795,1.6597
1259532000,1.65774,1.67797,1.646845,1.67482
1260136800,1.67032,1.683795,1.661325,1.68244
1260741600,1.68081,1.7026,1.66991,1.68455
1261346400,1.67597,1.689185,1.65018,1.6506
1261951200,1.65532,1.67577,1.6433,1.67384
1262556000,1.67077,1.678165,1.637255,1.64062
1263160800,1.64277,1.67559,1.63153,1.66779
1263765600,1.67118,1.70371,1.67118,1.67816
1264370400,1.67503,1.71138,1.673385,1.69591
1264975200,1.69105,1.70136,1.67521,1.67741
1265580000,1.67572,1.695185,1.65931,1.68865
1266184800,1.68851,1.693135,1.66345,1.66434
1266789600,1.66296,1.673725,1.631385,1.63534
1267394400,1.62766,1.63137,1.59935,1.62589
1267999200,1.62436,1.62683,1.60042,1.6084
1268600400,1.60477,1.622215,1.590345,1.59358
1269205200,1.59434,1.606625,1.58287,1.58679
1269810000,1.58002,1.622195,1.57937,1.61359
1270414800,1.62264,1.65159,1.61635,1.63819
1271019600,1.62841,1.639355,1.61852,1.63061
1271624400,1.62465,1.66446,1.621,1.6489
1272229200,1.65419,1.66659,1.64236,1.64543
1272834000,1.64578,1.69166,1.609285,1.64049
1273438800,1.63788,1.669385,1.626525,1.64748
1274043600,1.64697,1.66897,1.62972,1.6624
1274648400,1.66419,1.68398,1.658765,1.67579
1275253200,1.66987,1.70774,1.66897,1.67985
1275858000,1.67818,1.69169,1.652985,1.67302
1276462800,1.6736,1.692425,1.63968,1.64319
1277067600,1.64108,1.658475,1.630065,1.64718
1277672400,1.6471,1.64791,1.594945,1.615
1278277200,1.61669,1.61861,1.588345,1.59323
1278882000,1.59469,1.6166,1.58333,1.60766
1279486800,1.60255,1.62729,1.585305,1.62678
1280091600,1.62631,1.65641,1.61815,1.63378
1280696400,1.63451,1.67599,1.6329,1.65645
1281301200,1.65662,1.670735,1.63046,1.63865
1281906000,1.64036,1.64054,1.60153,1.60623
1282510800,1.60731,1.61654,1.583055,1.59623
1283115600,1.59621,1.603015,1.551415,1.57072
1283720400,1.56835,1.58577,1.54272,1.56639
1284325200,1.56686,1.60061,1.53774,1.57844
1284930000,1.57972,1.58569,1.536845,1.55558
1285534800,1.55393,1.566085,1.535935,1.54029
1286139600,1.53848,1.546805,1.51864,1.53665
1286744400,1.53247,1.542285,1.50946,1.53341
1287349200,1.53083,1.5368,1.512915,1.53214
1287954000,1.52797,1.579705,1.52252,1.57559
