time,open,high,low,close
1020718800,2.33145,2.34295,2.33145,2.34295
1020891600,2.34295,2.34295,2.3291,2.3291
1021237200,2.3291,2.34135,2.32465,2.34135
1021410000,2.34135,2.34135,2.32625,2.32625
1021582800,2.32625,2.32625,2.3006,2.3006
1021928400,2.3006,2.3026,2.2894,2.2894
1022101200,2.2894,2.2965,2.2894,2.2965
1022446800,2.3061,2.3061,2.2964,2.2964
1022619600,2.2964,2.2964,2.2888,2.2888
1022792400,2.2888,2.2888,2.2833,2.2833
1023138000,2.2833,2.2849,2.2833,2.2849
1023310800,2.2849,2.2849,2.2725,2.2745
1023656400,2.2744,2.2889,2.2744,2.2889
1023829200,2.2889,2.3038,2.2889,2.3012
1024002000,2.3012,2.3125,2.3012,2.3125
1024347600,2.3125,2.3125,2.2906,2.2906
1024520400,2.2906,2.2906,2.2618,2.2618
1024866000,2.2621,2.2701,2.2611,2.2611
1025038800,2.2611,2.2831,2.2611,2.2752
1025211600,2.2752,2.2752,2.2704,2.2736
1025557200,2.2736,2.2838,2.2736,2.281
1025730000,2.281,2.2951,2.281,2.2951
1026075600,2.2923,2.2956,2.2922,2.2956
1026248400,2.2956,2.3053,2.2956,2.3053
1026421200,2.3053,2.3056,2.2943,2.2943
1026766800,2.2943,2.2943,2.2844,2.2861
1026939600,2.2861,2.2861,2.2755,2.2755
1027285200,2.2745,2.2965,2.2745,2.2965
1027458000,2.2965,2.2965,2.2802,2.2802
1027630800,2.2802,2.3238,2.2802,2.3238
1027976400,2.3238,2.3326,2.3233,2.3233
1028149200,2.3233,2.3233,2.2981,2.308
1028494800,2.3074,2.3206,2.3074,2.3206
1028667600,2.3206,2.3206,2.303,2.3166
1028840400,2.3166,2.3166,2.2879,2.2879
1029186000,2.2879,2.29335,2.2841,2.29335
1029358800,2.29335,2.29335,2.28845,2.2913
1029704400,2.2931,2.29635,2.29275,2.29275
1029877200,2.29275,2.31205,2.29275,2.31205
1030050000,2.31205,2.31205,2.2989,2.30425
1030395600,2.30425,2.30425,2.29005,2.30415
1030568400,2.30415,2.322,2.30415,2.322
1030914000,2.3227,2.3227,2.3012,2.3012
1031086800,2.3012,2.30725,2.3012,2.30535
1031259600,2.3135,2.31805,2.3135,2.31805
1031605200,2.31805,2.32805,2.31805,2.32805
1031778000,2.32805,2.3439,2.32805,2.3439
1032123600,2.3443,2.3443,2.32545,2.32545
1032296400,2.32545,2.32645,2.30615,2.30615
1032469200,2.30615,2.32235,2.30615,2.32235
1032814800,2.32235,2.33535,2.32235,2.33535
1032987600,2.33535,2.34095,2.3324,2.3324
1033333200,2.3312,2.3312,2.31405,2.32995
1033506000,2.32995,2.32995,2.32015,2.32175
1033678800,2.32175,2.3374,2.32175,2.3311
1034024400,2.3311,2.3311,2.31405,2.31405
1034197200,2.31405,2.32165,2.31405,2.3153
1034542800,2.3143,2.31955,2.30745,2.31955
1034715600,2.31955,2.34445,2.31955,2.34445
1034888400,2.34445,2.34445,2.33005,2.33005
1035234000,2.33005,2.33005,2.32215,2.32825
1035406800,2.32825,2.33195,2.32825,2.3309
1035756000,2.3254,2.3254,2.31985,2.31985
1035928800,2.31985,2.31985,2.31245,2.31245
1036101600,2.31245,2.31245,2.28345,2.28345
1036447200,2.28345,2.28635,2.28195,2.28195
1036620000,2.28195,2.2956,2.28195,2.2956
