time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020718800,2.33145,2.34295,2.33145,2.33265,0,NaN,0,0,NaN
1020978000,2.33265,2.34135,2.32465,2.34135,0,NaN,0,0,NaN
1021410000,2.34135,2.34135,2.3044,2.3044,0,NaN,0,0,NaN
1021842000,2.3056,2.3056,2.2894,2.2894,0,NaN,0,0,NaN
1022101200,2.2894,2.3061,2.2894,2.306,0,NaN,0,0,NaN
1022533200,2.306,2.306,2.2888,2.2888,0,NaN,0,0,NaN
1022792400,2.2888,2.2888,2.2833,2.2833,0,NaN,0,0,NaN
1023224400,2.2833,2.2849,2.2725,2.2745,0,NaN,0,0,NaN
1023656400,2.2744,2.3038,2.2744,2.3038,0,NaN,0,0,NaN
1023915600,2.3038,2.3125,2.3012,2.3125,0,NaN,0,0,NaN
1024347600,2.3125,2.3125,2.2833,2.2833,0,NaN,0,0,NaN
1024606800,2.2833,2.2833,2.2611,2.2611,0,NaN,0,0,NaN
1025038800,2.2611,2.2831,2.2611,2.2704,0,NaN,0,0,NaN
1025470800,2.271,2.2838,2.271,2.281,0,NaN,0,0,NaN
1025730000,2.281,2.2951,2.281,2.2922,0,NaN,0,0,NaN
1026162000,2.2922,2.3053,2.2922,2.3053,0,NaN,0,0,NaN
1026421200,2.3053,2.3056,2.2844,2.2844,0,NaN,0,0,NaN
1026853200,2.2844,2.2861,2.2755,2.2755,0,NaN,0,0,NaN
1027285200,2.2745,2.2965,2.2745,2.2934,0,NaN,0,0,NaN
1027544400,2.2934,2.3238,2.2802,2.3238,0,NaN,0,0,NaN
1027976400,2.3238,2.3326,2.2981,2.2981,0,NaN,0,0,NaN
1028235600,2.2981,2.3206,2.2981,2.3206,0,NaN,0,0,NaN
1028667600,2.3206,2.3206,2.2913,2.2913,0,NaN,0,0,NaN
1029099600,2.2909,2.29335,2.2841,2.29335,0,NaN,0,0,NaN
1029358800,2.29335,2.29635,2.28845,2.29635,0,NaN,0,0,NaN
1029790800,2.29635,2.31205,2.29275,2.31205,0,NaN,0,0,NaN
1030050000,2.31205,2.31205,2.29005,2.29005,0,NaN,0,0,NaN
1030482000,2.29005,2.322,2.29005,2.322,0,NaN,0,0,NaN
1030914000,2.3227,2.3227,2.3012,2.30725,0,NaN,0,0,NaN
1031173200,2.30725,2.31805,2.30535,2.31805,0,NaN,0,0,NaN
1031605200,2.31805,2.33595,2.31805,2.33595,0,NaN,0,0,NaN
1031864400,2.33595,2.3443,2.32545,2.32545,0,NaN,0,0,NaN
