time,open,high,low,close
1020373200,2.33145,2.34295,2.33145,2.34295
1020891600,2.34295,2.34295,2.32465,2.34135
1021410000,2.34135,2.34135,2.3006,2.3006
1021928400,2.3006,2.3026,2.2894,2.2965
1022446800,2.3061,2.3061,2.2888,2.2888
1022792400,2.2888,2.2888,2.2833,2.2849
1023310800,2.2849,2.2889,2.2725,2.2889
1023829200,2.2889,2.3125,2.2889,2.3125
1024347600,2.3125,2.3125,2.2618,2.2618
1024866000,2.2621,2.2831,2.2611,2.2752
1025211600,2.2752,2.2838,2.2704,2.281
1025730000,2.281,2.2956,2.281,2.2956
1026248400,2.2956,2.3056,2.2943,2.2943
1026766800,2.2943,2.2943,2.2755,2.2755
1027285200,2.2745,2.2965,2.2745,2.2802
1027630800,2.2802,2.3326,2.2802,2.3233
1028149200,2.3233,2.3233,2.2981,2.3206
1028667600,2.3206,2.3206,2.2879,2.2879
1029186000,2.2879,2.29335,2.2841,2.2913
1029704400,2.2931,2.31205,2.29275,2.31205
1030050000,2.31205,2.31205,2.29005,2.30415
1030568400,2.30415,2.3227,2.3012,2.3012
1031086800,2.3012,2.31805,2.3012,2.31805
1031605200,2.31805,2.3439,2.31805,2.3439
1032123600,2.3443,2.3443,2.30615,2.30615
1032469200,2.30615,2.33535,2.30615,2.33535
1032987600,2.33535,2.34095,2.31405,2.32995
1033506000,2.32995,2.3374,2.32015,2.3311
1034024400,2.3311,2.3311,2.31405,2.3153
1034542800,2.3143,2.34445,2.30745,2.34445
1034888400,2.34445,2.34445,2.32215,2.32825
1035406800,2.32825,2.33195,2.31985,2.31985
1035928800,2.31985,2.31985,2.28345,2.28345
1036447200,2.28345,2.2956,2.28195,2.2956
1036965600,2.2963,2.3094,2.295,2.3065
1037311200,2.3065,2.31325,2.2942,2.30595
1037829600,2.30595,2.3334,2.302,2.302
1038348000,2.302,2.3097,2.30175,2.30175
1038866400,2.30175,2.31815,2.2965,2.2965
1039384800,2.2981,2.30485,2.29385,2.29385
1039730400,2.29385,2.29655,2.27875,2.28195
1040248800,2.28195,2.2828,2.24745,2.24745
1040767200,2.24745,2.24745,2.2298,2.2344
1041372000,2.2344,2.2513,2.2281,2.2384
1041890400,2.2384,2.2458,2.2193,2.2193
1042408800,2.2171,2.2254,2.2145,2.2145
1042754400,2.2145,2.2145,2.1994,2.2079
1043272800,2.2079,2.2262,2.2079,2.2262
1043791200,2.2262,2.2465,2.2262,2.2375
1044309600,2.2375,2.2375,2.2103,2.2103
1044828000,2.2137,2.2219,2.1942,2.1942
1045173600,2.1942,2.2009,2.1845,2.1845
1045692000,2.1845,2.1845,2.1368,2.1368
1046210400,2.1368,2.1488,2.1118,2.1118
1046728800,2.1118,2.1407,2.1118,2.1407
1047247200,2.1415,2.1751,2.1228,2.1751
1047592800,2.1751,2.1807,2.1612,2.1807
1048111200,2.1807,2.1922,2.1712,2.1744
1048629600,2.1744,2.1763,2.1381,2.1381
1049148000,2.1381,2.16785,2.1363,2.1625
1049662800,2.1674,2.1817,2.15645,2.1817
1050008400,2.1817,2.1883,2.1665,2.1665
1050526800,2.1665,2.1708,2.1633,2.1633
1051045200,2.1633,2.1805,2.1633,2.1782
1051563600,2.1782,2.1782,2.1565,2.1565
1052082000,2.1565,2.1565,2.1036,2.1036
1052427600,2.1036,2.1302,2.1036,2.1302
1052946000,2.1302,2.1489,2.1109,2.1202
1053464400,2.1202,2.1272,2.107,2.1078
1053982800,2.1078,2.1258,2.1078,2.1234
1054501200,2.1238,2.1594,2.1238,2.1594
1054846800,2.1594,2.1924,2.1594,2.1806
1055365200,2.1806,2.2052,2.1704,2.2052
1055883600,2.2052,2.2195,2.2052,2.2084
1056402000,2.2084,2.2445,2.2084,2.2275
1056920400,2.2267,2.2506,2.2267,2.2506
1057266000,2.2506,2.2649,2.2285,2.2285
1057784400,2.2285,2.2441,2.2058,2.2058
1058302800,2.2058,2.2058,2.152,2.1667
1058821200,2.1667,2.1796,2.1636,2.1796
1059339600,2.1808,2.208,2.1808,2.208
1059685200,2.208,2.208,2.1701,2.1791
1060203600,2.1791,2.1927,2.1791,2.1927
1060722000,2.1927,2.2095,2.1883,2.2095
1061240400,2.2095,2.2323,2.2042,2.2323
1061758800,2.2349,2.2349,2.2154,2.2316
1062104400,2.2316,2.2316,2.2002,2.223
1062622800,2.223,2.223,2.1927,2.1927
1063141200,2.1927,2.216,2.1927,2.2097
1063659600,2.2097,2.2398,2.206,2.2388
1064178000,2.2404,2.2439,2.2294,2.2294
1064523600,2.2294,2.2316,2.1922,2.1922
1065042000,2.1922,2.2245,2.1887,2.1887
1065560400,2.1887,2.2044,2.1823,2.2044
1066078800,2.2044,2.2345,2.2026,2.2294
1066597200,2.2246,2.2286,2.2217,2.226
1066942800,2.226,2.2614,2.2259,2.2604
1067464800,2.2604,2.2876,2.2603,2.2876
1067983200,2.2876,2.2971,2.2802,2.2878
1068501600,2.2878,2.2878,2.2389,2.2389
1069020000,2.2394,2.2407,2.2036,2.2141
1069365600,2.2141,2.2401,2.211,2.2128
1069884000,2.2128,2.2306,2.2128,2.2283
1070402400,2.2283,2.2283,2.1953,2.1953
1070920800,2.1953,2.2149,2.1953,2.2034
1071439200,2.22145,2.22145,2.2018,2.2148
1071784800,2.2148,2.2201,2.2136,2.214
1072303200,2.214,2.2211,2.2085,2.2085
1072821600,2.2085,2.20895,2.2085,2.20895
1072908000,2.20895,2.2428,2.20895,2.2428
1073426400,2.2428,2.2682,2.2428,2.2682
1073944800,2.2682,2.2774,2.2548,2.2774
1074463200,2.2783,2.2783,2.2643,2.277
1074808800,2.277,2.2862,2.2664,2.2862
1075327200,2.2862,2.2982,2.2862,2.2982
1075845600,2.2982,2.2982,2.2791,2.2973
1076364000,2.2973,2.3345,2.2973,2.3345
1076882400,2.3313,2.3465,2.3313,2.3459
1077228000,2.3459,2.3558,2.3442,2.3558
1077746400,2.3558,2.3827,2.3558,2.3827
1078264800,2.3827,2.3827,2.3555,2.3562
1078783200,2.3562,2.3562,2.301,2.3136
1079301600,2.3066,2.32,2.3026,2.3051
1079647200,2.3051,2.3286,2.3051,2.3286
1080165600,2.3286,2.3413,2.3133,2.3413
1080684000,2.3413,2.37435,2.3353,2.37435
1081198800,2.37435,2.3774,2.34925,2.3517
1081717200,2.3509,2.36415,2.32165,2.32165
1082062800,2.32165,2.34265,2.3212,2.33025
1082581200,2.33025,2.3359,2.32355,2.32775
1083099600,2.32775,2.32775,2.29305,2.30525
1083618000,2.30525,2.3262,2.28505,2.3262
1084136400,2.3259,2.3259,2.27655,2.29405
1084482000,2.29405,2.29405,2.25685,2.27775
1085000400,2.27775,2.30655,2.27775,2.30655
1085518800,2.30655,2.30755,2.28895,2.2976
1086037200,2.2976,2.30065,2.2812,2.2812
1086555600,2.28,2.29565,2.27265,2.29505
1086901200,2.29505,2.3145,2.27575,2.3145
1087419600,2.3145,2.3145,2.27565,2.27565
1087938000,2.27565,2.2864,2.27185,2.2864
1088456400,2.2864,2.2883,2.2577,2.2577
1088974800,2.2554,2.27835,2.2554,2.26695
1089320400,2.26695,2.295405,2.26695,2.281705
1089838800,2.281705,2.305605,2.281705,2.305605
1090357200,2.305605,2.327905,2.301405,2.327905
1090875600,2.327905,2.3322,2.323305,2.3322
1091394000,2.324,2.337505,2.324,2.326405
1091739600,2.326405,2.326405,2.3025,2.308105
1092258000,2.308105,2.308105,2.273405,2.273405
1092776400,2.273405,2.2961,2.269705,2.2961
1093294800,2.2961,2.2961,2.281,2.2958
1093813200,2.2964,2.2982,2.2587,2.2587
1094158800,2.2587,2.26275,2.2467,2.2512
1094677200,2.2512,2.262805,2.2512,2.262805
1095195600,2.262805,2.274935,2.256405,2.2709
1095714000,2.2709,2.2776,2.252105,2.2776
1096232400,2.2764,2.282605,2.257705,2.257705
1096578000,2.257705,2.257705,2.2469,2.250005
1097096400,2.250005,2.2533,2.2425,2.2499
1097614800,2.2499,2.2499,2.21445,2.21445
1098133200,2.21445,2.225205,2.21445,2.225205
1098651600,2.2099,2.2099,2.196575,2.196575
1098997200,2.196575,2.21565,2.1942,2.20615
1099519200,2.20615,2.20615,2.1826,2.19835
1100037600,2.19835,2.19835,2.1706,2.17775
1100556000,2.17775,2.1802,2.1577,2.1577
1101074400,2.1565,2.163955,2.155105,2.155105
1101420000,2.155105,2.20555,2.155105,2.20555
1101938400,2.20555,2.219155,2.1975,2.219155
1102456800,2.219155,2.2238,2.2155,2.2215
1102975200,2.2215,2.2473,2.217405,2.2473
1103493600,2.2455,2.2455,2.2009,2.2009
1103839200,2.2009,2.2009,2.1742,2.1742
1104357600,2.1742,2.1861,2.1742,2.1861
1104703200,2.18895,2.2075,2.176155,2.20355
1105048800,2.20355,2.2234,2.19845,2.2092
1105567200,2.2092,2.21635,2.19385,2.2132
1106085600,2.2132,2.2321,2.20865,2.22533
1106604000,2.22533,2.24235,2.21925,2.2402
1107122400,2.2413,2.26529,2.23375,2.2622
1107468000,2.2622,2.27717,2.25805,2.2612
1107986400,2.2612,2.26775,2.25055,2.2571
1108504800,2.2571,2.2576,2.2317,2.2424
1109023200,2.2424,2.2449,2.20848,2.23021
1109541600,2.22841,2.25445,2.22781,2.2519
1109887200,2.2519,2.2573,2.226995,2.231005
1110405600,2.231005,2.23402,2.2127,2.22937
1110924000,2.22937,2.24095,2.21727,2.235405
1111442400,2.235405,2.24753,2.23108,2.24435
1111960800,2.2433,2.26265,2.2396,2.262
1112306400,2.262,2.27623,2.25305,2.2676
1112821200,2.2676,2.270735,2.250255,2.2683
1113339600,2.2683,2.28867,2.256955,2.2609
1113858000,2.2609,2.2723,2.24935,2.2611
1114376400,2.2619,2.27995,2.26,2.2735
1114722000,2.2735,2.2838,2.2588,2.2674
1115240400,2.2674,2.28525,2.258955,2.261005
1115758800,2.261005,2.27295,2.243355,2.245405
1116277200,2.245405,2.2558,2.2351,2.2544
1116795600,2.2545,2.25635,2.24315,2.2499
1117141200,2.2499,2.2783,2.24255,2.2755
1117659600,2.2755,2.28969,2.2677,2.28577
1118178000,2.28577,2.30425,2.27952,2.2957
1118696400,2.2957,2.32255,2.2889,2.3028
1119214800,2.3065,2.32965,2.30295,2.322275
1119560400,2.322275,2.331155,2.30795,2.3166
1120078800,2.3166,2.31895,2.2823,2.2906
1120597200,2.2906,2.29425,2.24315,2.26288
1121115600,2.26288,2.27845,2.25278,2.2702
1121634000,2.27115,2.2755,2.2346,2.25095
1121979600,2.25095,2.26625,2.2446,2.259305
1122498000,2.259305,2.2668,2.25145,2.2617
1123016400,2.2617,2.264205,2.236005,2.2506
1123534800,2.2506,2.26885,2.24275,2.2638
1124053200,2.2617,2.2846,2.2602,2.282255
1124398800,2.282255,2.29305,2.276155,2.277305
1124917200,2.277305,2.278205,2.2604,2.26805
1125435600,2.26805,2.27605,2.25275,2.2716
1125954000,2.2716,2.29115,2.270305,2.2868
1126472400,2.2889,2.3019,2.2839,2.2894
1126818000,2.2894,2.30813,2.2835,2.299725
1127336400,2.299725,2.301885,2.28547,2.289055
1127854800,2.289055,2.292605,2.2738,2.283955
1128373200,2.283955,2.292905,2.2495,2.2506
1128891600,2.2528,2.2735,2.24515,2.2649
1129237200,2.2649,2.286955,2.25902,2.285455
1129755600,2.285455,2.29285,2.274055,2.278005
1130274000,2.278005,2.28665,2.26458,2.280565
1130796000,2.280565,2.29035,2.26556,2.2877
1131314400,2.2881,2.2913,2.276235,2.2908
1131660000,2.2908,2.29442,2.271475,2.275325
1132178400,2.275325,2.28055,2.25195,2.258105
1132696800,2.258105,2.2712,2.252585,2.257505
1133215200,2.257505,2.28715,2.254105,2.2816
1133733600,2.2838,2.28585,2.2643,2.27925
1134079200,2.27925,2.2942,2.26672,2.272855
1134597600,2.272855,2.302125,2.267905,2.296905
1135116000,2.296905,2.300505,2.27025,2.2777
1135634400,2.2777,2.28135,2.25665,2.2638
1136152800,2.2622,2.26845,2.23875,2.2401
1136498400,2.2401,2.26405,2.23701,2.250905
1137016800,2.250905,2.2754,2.248205,2.263175
1137535200,2.263175,2.2677,2.245005,2.246605
1138053600,2.246605,2.2719,2.245855,2.2708
1138572000,2.2687,2.29295,2.26465,2.2903
1138917600,2.2903,2.29295,2.25755,2.2628
1139436000,2.2628,2.2816,2.2575,2.271055
1139954400,2.271055,2.286155,2.2675,2.280205
1140472800,2.280205,2.2998,2.27945,2.2993
