time,open,high,low,close
1020718800,2.33145,2.34295,2.32465,2.32465
1021323600,2.32465,2.34135,2.3006,2.3006
1021928400,2.3006,2.3061,2.2894,2.306
1022533200,2.306,2.306,2.2833,2.2833
1023138000,2.2833,2.2849,2.2725,2.2769
1023742800,2.2769,2.3125,2.2769,2.3125
1024347600,2.3125,2.3125,2.2618,2.2701
1024952400,2.2701,2.2831,2.2611,2.2736
1025557200,2.2736,2.2951,2.2736,2.2922
1026162000,2.2922,2.3056,2.2922,2.2943
1026766800,2.2943,2.2943,2.2745,2.2774
1027371600,2.2774,2.3238,2.2774,2.3238
1027976400,2.3238,2.3326,2.2981,2.315
1028581200,2.315,2.3206,2.2879,2.2879
1029186000,2.2879,2.29635,2.2841,2.29635
1029790800,2.29635,2.31205,2.29275,2.30425
1030395600,2.30425,2.3227,2.29005,2.31525
1031000400,2.31525,2.31805,2.3012,2.31805
1031605200,2.31805,2.3443,2.31805,2.33515
1032210000,2.33515,2.33515,2.30615,2.32235
1032814800,2.32235,2.34095,2.31405,2.31405
1033419600,2.31405,2.3374,2.31405,2.3311
1034024400,2.3311,2.3311,2.30745,2.30745
1034629200,2.30745,2.34445,2.30745,2.33005
1035234000,2.33005,2.33195,2.322,2.322
1035842400,2.322,2.322,2.28345,2.28345
1036447200,2.28345,2.2977,2.28195,2.2977
1037052000,2.2977,2.3094,2.2942,2.30215
1037656800,2.30215,2.3334,2.30215,2.3254
1038261600,2.3254,2.3254,2.30175,2.30175
1038866400,2.30175,2.31815,2.2965,2.30175
1039471200,2.30175,2.30485,2.2928,2.29655
1040076000,2.29655,2.29655,2.2618,2.2618
1040680800,2.2618,2.2618,2.2298,2.2344
1041372000,2.2344,2.2513,2.2281,2.2458
1041976800,2.2458,2.2458,2.217,2.2254
1042581600,2.2254,2.2254,2.1994,2.2051
1043186400,2.2051,2.2262,2.2051,2.2262
1043791200,2.2262,2.2465,2.2211,2.2211
1044396000,2.2211,2.2319,2.2103,2.2129
1045000800,2.2129,2.215,2.1888,2.1888
1045605600,2.1888,2.1888,2.1368,2.1368
1046210400,2.1368,2.1488,2.1118,2.1186
1046815200,2.1186,2.1415,2.1186,2.1359
1047420000,2.1359,2.1751,2.1359,2.1665
1048024800,2.1665,2.1922,2.1665,2.1744
1048629600,2.1744,2.1763,2.1363,2.1363
1049234400,2.1363,2.16785,2.1363,2.15645
1049835600,2.15645,2.1883,2.15645,2.1865
1050440400,2.1865,2.1865,2.1633,2.1633
1051045200,2.1633,2.1805,2.1633,2.1703
1051650000,2.1703,2.1703,2.1395,2.1395
1052254800,2.1395,2.1395,2.1036,2.1134
1052859600,2.1134,2.1489,2.1109,2.1202
1053464400,2.1202,2.1272,2.107,2.1097
1054069200,2.1097,2.1345,2.1097,2.1345
1054674000,2.1345,2.1924,2.1345,2.1761
1055278800,2.1761,2.2052,2.1704,2.2052
1055883600,2.2052,2.2195,2.2052,2.2104
1056488400,2.2104,2.2445,2.2104,2.2332
1057093200,2.2332,2.2649,2.2332,2.2384
1057698000,2.2384,2.2441,2.2058,2.2058
1058302800,2.2058,2.2058,2.152,2.1739
1058907600,2.1739,2.1956,2.1636,2.1956
1059512400,2.1956,2.208,2.1701,2.1779
1060117200,2.1779,2.1927,2.1779,2.1927
1060722000,2.1927,2.2095,2.1883,2.2042
1061326800,2.2042,2.2349,2.2042,2.2154
1061931600,2.2154,2.2316,2.2002,2.2239
1062536400,2.2239,2.2239,2.1927,2.1927
1063141200,2.1927,2.216,2.1927,2.206
1063746000,2.206,2.2439,2.206,2.2439
1064350800,2.2439,2.2439,2.1924,2.1924
1064955600,2.1924,2.2245,2.1887,2.1887
1065560400,2.1887,2.2044,2.1823,2.2026
1066165200,2.2026,2.2345,2.2026,2.2286
1066770000,2.2286,2.2614,2.2217,2.2614
1067378400,2.2614,2.2876,2.2603,2.2876
1067983200,2.2876,2.2971,2.2688,2.2688
1068588000,2.2688,2.2688,2.2036,2.2036
1069192800,2.2036,2.2401,2.2036,2.2393
1069797600,2.2393,2.2393,2.2128,2.2283
1070402400,2.2283,2.2283,2.1953,2.2051
1071007200,2.2051,2.22145,2.2018,2.2101
1071612000,2.2101,2.2201,2.2101,2.2201
1072216800,2.2201,2.2211,2.2085,2.2085
1072821600,2.2085,2.20895,2.2085,2.20895
1072908000,2.20895,2.254,2.20895,2.254
1073512800,2.254,2.2682,2.2484,2.26
1074117600,2.26,2.2783,2.26,2.2714
1074722400,2.2714,2.2862,2.2664,2.2862
1075327200,2.2862,2.2982,2.2862,2.2933
1075932000,2.2933,2.3253,2.2791,2.3253
1076536800,2.3253,2.3465,2.3253,2.3465
1077141600,2.3465,2.3558,2.3442,2.3558
1077746400,2.3558,2.3827,2.3558,2.3689
1078351200,2.3689,2.3689,2.3228,2.3228
1078956000,2.3228,2.3228,2.301,2.32
1079560800,2.32,2.3286,2.3051,2.3286
1080165600,2.3286,2.3413,2.3133,2.3353
1080770400,2.3353,2.3774,2.3353,2.34925
1081371600,2.34925,2.36415,2.32485,2.32485
1081976400,2.32485,2.34265,2.3212,2.33025
