time,open,high,low,close
1085691600,2.89815,2.89815,2.89815,2.89815
1086037200,2.89815,2.95225,2.89815,2.95225
1086210000,2.95225,2.98045,2.95225,2.95835
1086555600,2.9536,2.9536,2.90475,2.92505
1086728400,2.92505,2.96205,2.90995,2.90995
1086901200,2.90995,2.90995,2.88995,2.9015
1087246800,2.9015,2.90575,2.872,2.90575
1087419600,2.90575,2.94885,2.90575,2.93335
1087765200,2.93145,2.93145,2.89895,2.89895
1087938000,2.89895,2.90975,2.87455,2.87455
1088110800,2.87455,2.87455,2.85525,2.85525
1088456400,2.85525,2.86465,2.85525,2.86095
1088629200,2.86095,2.86095,2.82825,2.82825
1088974800,2.82725,2.8361,2.8263,2.8361
1089147600,2.8361,2.8361,2.819,2.819
1089320400,2.819,2.83045,2.8179,2.8179
1089666000,2.8179,2.8453,2.8179,2.8453
1089838800,2.8453,2.8481,2.84145,2.84145
1090184400,2.83895,2.848,2.8325,2.8325
1090357200,2.8325,2.8762,2.8325,2.8723
1090530000,2.8723,2.894,2.8723,2.894
1090875600,2.894,2.90315,2.894,2.90155
1091048400,2.90155,2.90155,2.85695,2.85695
1091394000,2.85775,2.85775,2.8235,2.8235
1091566800,2.8235,2.8329,2.8235,2.8329
1091739600,2.8329,2.8329,2.8203,2.8203
1092085200,2.8203,2.8203,2.7937,2.7937
1092258000,2.7937,2.7937,2.76605,2.76605
1092603600,2.77435,2.77435,2.7542,2.7542
1092776400,2.7542,2.7542,2.7287,2.7287
1092949200,2.7287,2.733,2.70635,2.733
1093294800,2.733,2.7665,2.733,2.7665
1093467600,2.7665,2.7665,2.74155,2.74155
1093813200,2.74175,2.7602,2.74175,2.7502
1093986000,2.7502,2.76055,2.735,2.76055
1094158800,2.76055,2.76055,2.7411,2.7411
1094504400,2.7411,2.7493,2.7387,2.7493
1094677200,2.7493,2.7493,2.737,2.74355
1095022800,2.73965,2.73965,2.7165,2.7165
1095195600,2.7165,2.7165,2.70465,2.7155
1095368400,2.7155,2.7155,2.7018,2.7018
1095714000,2.7018,2.7067,2.7018,2.7057
1095886800,2.7057,2.7057,2.6967,2.70045
1096232400,2.70195,2.7175,2.70195,2.7084
1096405200,2.7084,2.7084,2.6732,2.6732
1096578000,2.6732,2.67565,2.6648,2.6648
1096923600,2.6648,2.6648,2.6344,2.6344
1097096400,2.6344,2.6344,2.61855,2.61855
1097442000,2.62475,2.6398,2.62475,2.6398
1097614800,2.6398,2.6518,2.6398,2.6402
1097787600,2.6402,2.6402,2.62415,2.6252
1098133200,2.6252,2.6321,2.6252,2.6321
1098306000,2.6321,2.6368,2.6264,2.6264
1098651600,2.6223,2.6319,2.6223,2.6319
1098824400,2.6319,2.67805,2.6319,2.67805
1098997200,2.67805,2.68595,2.67765,2.6818
1099346400,2.6818,2.6821,2.67965,2.67965
1099519200,2.67965,2.67965,2.66995,2.6701
1099864800,2.6642,2.6934,2.6642,2.6934
1100037600,2.6934,2.70175,2.67875,2.67875
1100210400,2.67875,2.67875,2.63645,2.63645
1100556000,2.63645,2.64845,2.62605,2.62605
1100728800,2.62605,2.62605,2.6204,2.6204
1101074400,2.6169,2.62305,2.6169,2.62305
1101247200,2.62305,2.64605,2.62305,2.63925
1101420000,2.63925,2.64645,2.63925,2.64645
1101765600,2.64645,2.69275,2.64645,2.69275
1101938400,2.69275,2.694,2.68825,2.694
1102284000,2.6915,2.71215,2.6915,2.71215
1102456800,2.71215,2.71435,2.70565,2.71435
1102629600,2.71435,2.7247,2.71235,2.71235
1102975200,2.71235,2.72,2.7059,2.7059
1103148000,2.7059,2.7183,2.7059,2.7183
1103493600,2.7206,2.7206,2.71465,2.71525
1103666400,2.71525,2.71525,2.68835,2.6994
1103839200,2.6994,2.6994,2.67845,2.67845
1104184800,2.67845,2.68575,2.67435,2.68575
1104357600,2.68575,2.68575,2.6719,2.6719
1104703200,2.6703,2.68495,2.6588,2.68065
1104876000,2.68065,2.7032,2.67395,2.6884
1105048800,2.6884,2.70605,2.67045,2.70305
1105394400,2.70305,2.70775,2.66895,2.67575
1105567200,2.67575,2.68535,2.66085,2.675
1105912800,2.6734,2.69885,2.66175,2.68185
1106085600,2.68185,2.68395,2.64835,2.65115
1106258400,2.65115,2.65985,2.61905,2.63335
1106604000,2.63335,2.64075,2.61455,2.62885
1106776800,2.62885,2.6559,2.62375,2.6487
1107122400,2.6558,2.6569,2.63665,2.64625
1107295200,2.64625,2.65605,2.63575,2.64995
1107468000,2.64995,2.65865,2.63575,2.65375
1107813600,2.65375,2.66545,2.63655,2.64085
1107986400,2.64085,2.64635,2.60995,2.6167
1108332000,2.6187,2.65085,2.61755,2.64975
1108504800,2.64975,2.65625,2.62385,2.64135
1108677600,2.64135,2.64485,2.60515,2.6152
1109023200,2.6152,2.6469,2.60565,2.64425
1109196000,2.64425,2.66325,2.62955,2.6571
1109541600,2.6585,2.6603,2.63415,2.64145
1109714400,2.64145,2.65355,2.61615,2.6212
1109887200,2.6212,2.63055,2.6006,2.6043
1110232800,2.6043,2.6333,2.5969,2.6061
1110405600,2.6061,2.6214,2.5898,2.6031
1110751200,2.6045,2.6071,2.58,2.5833
1110924000,2.5833,2.6036,2.5818,2.5906
1111096800,2.5906,2.5966,2.5696,2.5768
1111442400,2.5768,2.61575,2.5643,2.60225
1111615200,2.60225,2.62645,2.59695,2.6185
1111960800,2.6185,2.65115,2.6179,2.64095
1112133600,2.64095,2.65865,2.63615,2.65565
1112306400,2.65565,2.66555,2.6426,2.65015
1112648400,2.65015,2.67185,2.63545,2.64065
1112821200,2.64065,2.64595,2.61775,2.6324
1113166800,2.6312,2.6315,2.61345,2.6228
1113339600,2.6228,2.625,2.59775,2.60795
1113512400,2.60795,2.66415,2.60515,2.6505
1113858000,2.6505,2.66595,2.6327,2.6372
1114030800,2.6372,2.64615,2.6096,2.6149
1114376400,2.6148,2.6362,2.6082,2.63275
1114549200,2.63275,2.6499,2.60935,2.6165
1114722000,2.6165,2.62765,2.59335,2.59445
1115067600,2.59445,2.61265,2.5887,2.5924
1115240400,2.5924,2.6011,2.5744,2.579
1115586000,2.5822,2.5887,2.568,2.5713
1115758800,2.5713,2.60005,2.55915,2.5949
1115931600,2.5949,2.61905,2.58755,2.60275
1116277200,2.60275,2.60365,2.57385,2.57645
1116450000,2.57645,2.59575,2.57195,2.5766
1116795600,2.5806,2.58515,2.55865,2.56175
1116968400,2.56175,2.57215,2.55645,2.5661
1117141200,2.5661,2.56825,2.5474,2.5613
1117486800,2.5613,2.60415,2.56,2.5945
1117659600,2.5945,2.60345,2.58275,2.5933
1118005200,2.5934,2.5957,2.55675,2.56855
1118178000,2.56855,2.57225,2.55075,2.5561
1118350800,2.5561,2.57225,2.55265,2.56015
1118696400,2.56015,2.56525,2.54295,2.55375
1118869200,2.55375,2.56075,2.54145,2.5532
1119214800,2.54755,2.55655,2.53695,2.5489
1119387600,2.5489,2.57685,2.5377,2.57075
1119560400,2.57075,2.59045,2.5595,2.58275
1119906000,2.58275,2.5979,2.57535,2.58155
1120078800,2.58155,2.60155,2.5665,2.58455
1120424400,2.58365,2.60485,2.57735,2.59555
1120597200,2.59555,2.61755,2.56255,2.5911
1120770000,2.5911,2.6052,2.57285,2.5913
1121115600,2.5913,2.6225,2.5802,2.6216
1121288400,2.6216,2.62565,2.5935,2.59825
1121634000,2.60485,2.60565,2.5732,2.5814
1121806800,2.5814,2.5825,2.5449,2.5528
1121979600,2.5528,2.5655,2.52725,2.5498
1122325200,2.5498,2.5686,2.54255,2.5657
1122498000,2.5657,2.58575,2.55655,2.58275
1122843600,2.58495,2.5891,2.57305,2.57765
1123016400,2.57765,2.58805,2.56455,2.57725
1123189200,2.57725,2.58135,2.56315,2.57835
1123534800,2.57835,2.5878,2.56775,2.58165
1123707600,2.58165,2.5844,2.55495,2.5655
1124053200,2.5655,2.57515,2.5526,2.57195
1124226000,2.57195,2.58865,2.56525,2.57915
1124398800,2.57915,2.59505,2.5677,2.58605
1124744400,2.58605,2.58785,2.56905,2.58185
1124917200,2.58185,2.59555,2.57385,2.5895
1125262800,2.5919,2.6028,2.5847,2.5897
1125435600,2.5897,2.6068,2.58685,2.59935
1125608400,2.59935,2.61425,2.5914,2.605
1125954000,2.605,2.61155,2.5922,2.60995
1126126800,2.60995,2.61485,2.5956,2.5983
1126472400,2.5953,2.6027,2.58185,2.59495
1126645200,2.59495,2.59815,2.55055,2.5596
1126818000,2.5596,2.58395,2.5565,2.57235
1127163600,2.57235,2.59435,2.56685,2.58785
1127336400,2.58785,2.5962,2.5702,2.58065
1127682000,2.58375,2.6062,2.57685,2.5959
1127854800,2.5959,2.605,2.5445,2.54895
1128027600,2.54895,2.56145,2.53365,2.53825
1128373200,2.53825,2.54575,2.51655,2.54015
1128546000,2.54015,2.55725,2.52105,2.5319
1128891600,2.53345,2.53415,2.49985,2.52385
1129064400,2.52385,2.54145,2.50695,2.53625
1129237200,2.53625,2.54315,2.51175,2.51885
1129582800,2.51885,2.52955,2.5041,2.52775
1129755600,2.52775,2.53675,2.51925,2.5262
1130101200,2.5259,2.53925,2.51075,2.5315
1130274000,2.5315,2.53895,2.5168,2.5233
1130446800,2.5233,2.53255,2.5168,2.52635
1130796000,2.52635,2.56735,2.52035,2.56605
1130968800,2.56605,2.57645,2.55545,2.56005
1131314400,2.56395,2.6409,2.49235,2.5527
1131487200,2.5527,2.5596,2.5298,2.5407
1131660000,2.5407,2.5604,2.52705,2.559
1132005600,2.559,2.5633,2.5002,2.507
1132178400,2.507,2.513,2.49355,2.49895
1132524000,2.50205,2.5044,2.48415,2.48925
1132696800,2.48925,2.4952,2.475,2.4781
1132869600,2.4781,2.4825,2.44825,2.45375
1133215200,2.45375,2.46775,2.43755,2.46115
1133388000,2.46115,2.46185,2.4261,2.4303
1133733600,2.4305,2.4315,2.4136,2.4262
1133906400,2.4262,2.50715,2.42585,2.49915
1134079200,2.49915,2.50305,2.484,2.4976
1134424800,2.4976,2.5143,2.4914,2.5073
1134597600,2.5073,2.57505,2.50225,2.56615
1134943200,2.56365,2.5774,2.54365,2.5774
1135116000,2.5774,2.5961,2.5592,2.5796
1135288800,2.5796,2.58825,2.5601,2.5656
1135634400,2.5656,2.5761,2.5172,2.5212
1135807200,2.5212,2.5357,2.5108,2.52245
1136152800,2.52015,2.5603,2.51755,2.5524
1136325600,2.5524,2.5668,2.5457,2.5559
1136498400,2.5559,2.57285,2.54235,2.54295
1136844000,2.54295,2.5564,2.52205,2.53005
1137016800,2.53005,2.54955,2.52645,2.5439
1137362400,2.5428,2.56405,2.52715,2.5591
1137535200,2.5591,2.6016,2.5564,2.5925
1137708000,2.5925,2.6146,2.5732,2.6111
1138053600,2.6111,2.6374,2.59095,2.59425
1138226400,2.59425,2.6333,2.58945,2.59335
1138572000,2.59875,2.6051,2.5809,2.5846
1138744800,2.5846,2.5977,2.57665,2.58045
1138917600,2.58045,2.58375,2.5598,2.5663
1139263200,2.5663,2.583,2.5531,2.5821
1139436000,2.5821,2.5859,2.5571,2.56985
1139781600,2.57195,2.5896,2.5558,2.563
1139954400,2.563,2.6,2.5579,2.5958
1140127200,2.5958,2.6208,2.5868,2.6013
1140472800,2.6013,2.6563,2.5997,2.6477
1140645600,2.6477,2.6554,2.6284,2.63385
1140991200,2.64765,2.65335,2.6296,2.6488
1141164000,2.6488,2.6515,2.6154,2.6242
1141336800,2.6242,2.667,2.6221,2.6625
1141682400,2.6625,2.6851,2.66075,2.6663
1141855200,2.6663,2.7076,2.6639,2.69135
1142200800,2.68215,2.74505,2.6817,2.7181
1142373600,2.7181,2.7591,2.6994,2.7445
1142546400,2.7445,2.81605,2.7414,2.81125
1142892000,2.81125,2.82595,2.78195,2.79365
1143064800,2.79365,2.8669,2.7676,2.8633
1143410400,2.8544,2.89925,2.8497,2.88675
1143583200,2.88675,2.90815,2.84275,2.84905
1143756000,2.84905,2.85625,2.80815,2.85495
1144098000,2.85495,2.90145,2.84615,2.84705
1144270800,2.84705,2.87175,2.83605,2.8644
1144616400,2.8641,2.87555,2.84655,2.85965
1144789200,2.85965,2.86185,2.79635,2.83185
1144962000,2.83185,2.85165,2.82345,2.83715
1145307600,2.83715,2.84135,2.8062,2.8268
1145480400,2.8268,2.84725,2.8013,2.81625
1145826000,2.81765,2.87145,2.8087,2.86335
1145998800,2.86335,2.86385,2.8122,2.848
1146171600,2.848,2.875,2.83995,2.8689
1146517200,2.8689,2.8832,2.85295,2.8675
1146690000,2.8675,2.9023,2.8669,2.89885
1147035600,2.89805,2.97275,2.895,2.96045
1147208400,2.96045,2.99265,2.95155,2.98585
1147381200,2.98585,3.06035,2.97825,3.03255
1147726800,3.03255,3.04365,3.00425,3.03035
1147899600,3.03035,3.04785,3.01195,3.03045
1148245200,3.03285,3.05445,2.9868,3.00895
1148418000,3.00895,3.01925,2.9135,2.9254
1148590800,2.9254,2.9465,2.9179,2.93285
1148936400,2.93285,2.9512,2.9232,2.9472
1149109200,2.9472,2.99595,2.9388,2.98535
1149454800,2.98645,2.9894,2.9531,2.96625
1149627600,2.96625,2.98245,2.93165,2.94675
1149800400,2.94675,2.95105,2.9011,2.9299
1150146000,2.9299,2.97095,2.92575,2.96175
1150318800,2.96175,3.00255,2.95475,2.9971
1150664400,2.9982,3.0076,2.95765,2.97405
1150837200,2.97405,3.01055,2.96445,3.00055
1151010000,3.00055,3.01895,2.987,3.01495
1151355600,3.01495,3.06805,2.99915,3.04815
1151528400,3.04815,3.06085,2.99095,3.0344
1151874000,3.0331,3.04695,3.01825,3.02365
1152046800,3.02365,3.04715,3.01495,3.03785
1152219600,3.03785,3.04515,3.00265,3.01565
1152565200,3.01565,3.01965,2.9725,2.97715
1152738000,2.97715,2.99005,2.95575,2.96445
1153083600,2.96505,2.96505,2.9046,2.92205
1153256400,2.92205,2.98285,2.91975,2.96965
1153429200,2.96965,2.98985,2.96185,2.97035
1153774800,2.97035,2.97275,2.93765,2.9653
1153947600,2.9653,3.02365,2.9646,3.0168
1154293200,3.01125,3.03185,3.00425,3.02355
1154466000,3.02355,3.05435,3.01085,3.05165
1154638800,3.05165,3.06915,3.03865,3.05375
1154984400,3.05375,3.0603,3.0212,3.0254
1155157200,3.0254,3.03205,2.974,2.98355
1155502800,2.99205,3.00865,2.9646,2.98285
1155675600,2.98285,2.98545,2.9449,2.9488
1155848400,2.9488,2.9651,2.9338,2.9601
1156194000,2.9601,2.9753,2.9499,2.9594
1156366800,2.9594,2.98225,2.9561,2.96375
1156712400,2.96695,2.978,2.9437,2.95
1156885200,2.95,2.9513,2.8971,2.9032
1157058000,2.9032,2.9373,2.89655,2.9264
1157403600,2.9264,2.9552,2.8973,2.903
1157576400,2.903,2.94,2.8875,2.92545
1157922000,2.93045,2.94045,2.9046,2.9247
1158094800,2.9247,2.9316,2.8359,2.8524
1158267600,2.8524,2.8705,2.819,2.8311
