time,open,high,low,close
1019422800,1.4688,1.4688,1.45585,1.4639
1021237200,1.4638,1.4652,1.4503,1.4568
1023051600,1.4563,1.4986,1.4563,1.4974
1024866000,1.4974,1.55475,1.4974,1.5536
1026680400,1.5536,1.58415,1.5536,1.57
1028494800,1.5703,1.5703,1.5204,1.5204
1030309200,1.5201,1.5651,1.5201,1.5514
1032123600,1.5511,1.5706,1.5409,1.5657
1033938000,1.5647,1.56675,1.5421,1.5506
1035756000,1.5475,1.5907,1.5475,1.5804
1037570400,1.5796,1.5817,1.5471,1.5758
1039384800,1.5791,1.6041,1.5708,1.6038
1041199200,1.6032,1.6105,1.59395,1.6094
1041804000,1.6098,1.6337,1.5998,1.6337
1043618400,1.6332,1.654,1.6144,1.6144
1045432800,1.6109,1.6109,1.5736,1.6026
1047247200,1.6035,1.6128,1.5628,1.5746
1049061600,1.5744,1.5834,1.5541,1.5712
1050872400,1.5716,1.61465,1.56345,1.6048
1052686800,1.608,1.6545,1.608,1.6361
1054501200,1.62735,1.68425,1.62735,1.6627
1056315600,1.66045,1.67375,1.6316,1.6316
1058130000,1.62955,1.62955,1.58065,1.6112
1059944400,1.611,1.6182,1.575,1.575
1061758800,1.5734,1.6026,1.5674,1.6026
1063573200,1.6054,1.67045,1.5874,1.6639
1065387600,1.6611,1.6953,1.6611,1.6953
1067205600,1.6937,1.69915,1.66495,1.6873
1069020000,1.6879,1.7294,1.6879,1.7294
1070834400,1.7298,1.7757,1.7298,1.7711
1072648800,1.7716,1.7933,1.7716,1.7933
1073253600,1.7917,1.8485,1.7828,1.827
1075068000,1.8241,1.8914,1.81365,1.8853
1076882400,1.8849,1.9035,1.82345,1.8459
1078696800,1.8478,1.84945,1.8027,1.8148
1080511200,1.8135,1.85725,1.79115,1.7981
1082322000,1.7981,1.80865,1.7713,1.7866
1084136400,1.7859,1.83765,1.75635,1.833
1085950800,1.835,1.843,1.8114,1.8383
1087765200,1.8383,1.8593,1.8073,1.8593
1089579600,1.8602,1.8731,1.8169,1.8196
1091394000,1.8227,1.8436,1.82,1.82
1093208400,1.8206,1.8206,1.7732,1.7965
1095022800,1.7975,1.8129,1.77695,1.7985
1096837200,1.7978,1.828,1.7794,1.828
1098651600,1.8283,1.8572,1.8282,1.8571
1100469600,1.8567,1.9432,1.8467,1.9432
1102284000,1.9438,1.9458,1.9122,1.9242
1104098400,1.923,1.93475,1.9172,1.9187
1104703200,1.9194,1.92035,1.8526,1.8772
1106517600,1.8786,1.89285,1.851,1.8686
1108332000,1.8692,1.9273,1.8678,1.9228
1110146400,1.9237,1.9326,1.8663,1.8704
1111960800,1.8704,1.898,1.8595,1.8927
1113771600,1.893,1.9219,1.8886,1.8909
1115586000,1.8907,1.8913,1.8189,1.8243
1117400400,1.8233,1.8403,1.8002,1.8309
1119214800,1.8256,1.8332,1.73125,1.7381
1121029200,1.7384,1.7789,1.7274,1.7578
1122843600,1.7565,1.8179,1.7541,1.7948
1124658000,1.7964,1.8499,1.78195,1.8393
1126472400,1.8403,1.8429,1.75685,1.7643
1128286800,1.763,1.78115,1.73915,1.7686
1130101200,1.7661,1.79045,1.73275,1.7423
1131919200,1.7423,1.74975,1.70495,1.7328
1133733600,1.732,1.78085,1.7272,1.7334
1135548000,1.7335,1.7408,1.7132,1.7231
1136152800,1.7215,1.7797,1.71885,1.7708
1137967200,1.7706,1.79345,1.73755,1.7444
1139781600,1.7443,1.75935,1.72825,1.7557
1141596000,1.7563,1.7623,1.72315,1.742
1143410400,1.7429,1.7618,1.7251,1.75125
1145221200,1.753,1.86235,1.7527,1.8593
1147035600,1.8607,1.90255,1.8515,1.85935
1148850000,1.85905,1.88795,1.831655,1.85069
1150664400,1.85108,1.85395,1.809075,1.85055
1152478800,1.8507,1.86776,1.817645,1.86348
1154293200,1.86339,1.91454,1.8618,1.88139
1156107600,1.88068,1.90913,1.86292,1.86524
1157922000,1.86555,1.90738,1.86033,1.87232
1159736400,1.8763,1.88981,1.85172,1.8834
1161550800,1.8835,1.91793,1.86734,1.91085
1163368800,1.9105,1.9847,1.88351,1.98089
1165183200,1.9765,1.98385,1.94345,1.95807
1166997600,1.95807,1.967945,1.95163,1.95863
1167602400,1.95863,1.9779,1.92626,1.97378
1169416800,1.97418,1.99167,1.94567,1.94922
1171231200,1.9482,1.96782,1.94026,1.94361
1173045600,1.94385,1.97269,1.91818,1.96146
1174856400,1.9614,1.988705,1.95473,1.98631
1176670800,1.98595,2.0133,1.9843,1.99221
1178485200,1.9943,2.00002,1.967655,1.98366
1180299600,1.98419,1.996745,1.962345,1.97615
1182114000,1.97615,2.020705,1.97535,2.01087
1183928400,2.01197,2.065415,2.009785,2.02424
1185742800,2.02335,2.046255,1.9654,1.98115
1187557200,1.9813,2.032485,1.974345,2.0287
1189371600,2.02785,2.04913,1.988065,2.04729
1191186000,2.046,2.052525,2.024605,2.0518
1193000400,2.054,2.116185,2.025925,2.0903
1194818400,2.08595,2.08705,2.035385,2.05626
1196632800,2.05466,2.067905,1.980985,1.98359
1198447200,1.98367,2.010335,1.967375,1.97407
1199656800,1.97402,1.985005,1.933725,1.98318
1201471200,1.98409,1.99597,1.938825,1.9612
1203285600,1.9573,2.021715,1.936245,2.01352
1205096400,2.01484,2.039855,1.97348,1.9945
1206910800,1.99587,2.00502,1.960025,1.998
1208725200,1.9966,2.00278,1.94593,1.95392
1210539600,1.95105,1.985135,1.936415,1.98231
1212354000,1.97327,1.980145,1.940945,1.97603
1214168400,1.97467,2.000695,1.958555,1.98871
1215982800,1.99081,2.01581,1.972665,1.97512
1217797200,1.97417,1.97622,1.850555,1.85268
1219611600,1.85071,1.85907,1.744525,1.79425
1221426000,1.80534,1.86679,1.755125,1.77125
1223240400,1.7689,1.77185,1.52649,1.59058
1225054800,1.5815,1.66724,1.455845,1.4738
1226872800,1.46465,1.55358,1.44673,1.4691
1228687200,1.4734,1.57234,1.4559,1.45599
1230501600,1.46615,1.48101,1.43533,1.4547
1231106400,1.4541,1.53747,1.350295,1.3807
