time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020373200,1.4688,1.4688,1.45585,1.45585,0,NaN,0,0,NaN
1020891600,1.45585,1.4639,1.4503,1.4503,0,NaN,0,0,NaN
1021410000,1.4503,1.4606,1.4503,1.4584,0,NaN,0,0,NaN
1021928400,1.4584,1.4599,1.4551,1.4573,0,NaN,0,0,NaN
1022446800,1.4573,1.4652,1.4571,1.4652,0,NaN,0,0,NaN
1022792400,1.4652,1.4652,1.4563,1.46,0,NaN,0,0,NaN
1023310800,1.46,1.47155,1.4595,1.47155,0,NaN,0,0,NaN
1023829200,1.47155,1.4798,1.47115,1.4798,0,NaN,0,0,NaN
1024347600,1.4798,1.4986,1.4798,1.4974,0,NaN,0,0,NaN
1024866000,1.4974,1.52965,1.4974,1.52965,0,NaN,0,0,NaN
1025211600,1.52965,1.53595,1.52775,1.52775,0,NaN,0,0,NaN
1025730000,1.52775,1.54875,1.5222,1.54875,0,NaN,0,0,NaN
1026248400,1.54875,1.5692,1.54755,1.5692,0,NaN,0,0,NaN
1026766800,1.5692,1.5776,1.5692,1.5776,0,NaN,0,0,NaN
1027285200,1.577,1.58415,1.5633,1.58415,0,NaN,0,0,NaN
1027630800,1.58415,1.58415,1.56315,1.56425,0,NaN,0,0,NaN
1028149200,1.56425,1.5703,1.53765,1.53765,0,NaN,0,0,NaN
1028667600,1.53765,1.53965,1.5241,1.53175,0,NaN,0,0,NaN
1029186000,1.53175,1.5391,1.53175,1.5391,0,NaN,0,0,NaN
1029704400,1.5391,1.5391,1.5216,1.5216,0,NaN,0,0,NaN
1030050000,1.5216,1.53445,1.5201,1.5344,0,NaN,0,0,NaN
1030568400,1.5344,1.56465,1.5344,1.56465,0,NaN,0,0,NaN
1031086800,1.56465,1.5651,1.5568,1.5568,0,NaN,0,0,NaN
1031605200,1.5568,1.5616,1.5514,1.5514,0,NaN,0,0,NaN
1032123600,1.5511,1.5562,1.5409,1.5562,0,NaN,0,0,NaN
1032469200,1.5562,1.5589,1.5513,1.5571,0,NaN,0,0,NaN
1032987600,1.5571,1.569,1.5571,1.5657,0,NaN,0,0,NaN
1033506000,1.5657,1.5706,1.5647,1.56675,0,NaN,0,0,NaN
1034024400,1.56675,1.56675,1.5533,1.5625,0,NaN,0,0,NaN
1034542800,1.5622,1.5622,1.5507,1.5507,0,NaN,0,0,NaN
1034888400,1.5507,1.5507,1.5421,1.5488,0,NaN,0,0,NaN
1035406800,1.5488,1.56,1.5475,1.5572,0,NaN,0,0,NaN
1035928800,1.5572,1.5648,1.5572,1.5575,0,NaN,0,0,NaN
1036447200,1.5575,1.5907,1.5575,1.5907,0,NaN,0,0,NaN
1036965600,1.5906,1.5906,1.5793,1.5793,0,NaN,0,0,NaN
1037311200,1.5793,1.5817,1.5724,1.5724,0,NaN,0,0,NaN
1037829600,1.5724,1.5801,1.552,1.552,0,NaN,0,0,NaN
1038348000,1.552,1.5581,1.5471,1.5581,0,NaN,0,0,NaN
1038866400,1.5581,1.5758,1.5581,1.5758,0,NaN,0,0,NaN
1039384800,1.5791,1.5818,1.5708,1.5818,0,NaN,0,0,NaN
1039730400,1.5818,1.60075,1.5818,1.60075,0,NaN,0,0,NaN
1040248800,1.60075,1.6041,1.59395,1.595,0,NaN,0,0,NaN
1040767200,1.595,1.60465,1.595,1.60465,0,NaN,0,0,NaN
1041372000,1.60465,1.6105,1.59395,1.6082,0,NaN,0,0,NaN
1041890400,1.6082,1.6123,1.6046,1.6084,0,NaN,0,0,NaN
1042408800,1.6065,1.6109,1.5998,1.6109,0,NaN,0,0,NaN
1042754400,1.6109,1.6193,1.6079,1.6193,0,NaN,0,0,NaN
1043272800,1.6193,1.63945,1.6193,1.63945,0,NaN,0,0,NaN
1043791200,1.63945,1.654,1.63945,1.6436,0,NaN,0,0,NaN
1044309600,1.6436,1.6492,1.6316,1.6316,0,NaN,0,0,NaN
1044828000,1.6316,1.6316,1.6163,1.6193,0,NaN,0,0,NaN
1045173600,1.6193,1.6193,1.5905,1.5965,0,NaN,0,0,NaN
1045692000,1.5965,1.5965,1.5745,1.5745,0,NaN,0,0,NaN
1046210400,1.5745,1.5823,1.5736,1.5787,0,NaN,0,0,NaN
1046728800,1.5787,1.6038,1.5787,1.6026,0,NaN,0,0,NaN
1047247200,1.6035,1.6128,1.6016,1.6016,0,NaN,0,0,NaN
1047592800,1.6016,1.6016,1.5643,1.5643,0,NaN,0,0,NaN
1048111200,1.5643,1.5732,1.5628,1.5726,0,NaN,0,0,NaN
1048629600,1.5726,1.5834,1.5653,1.5834,0,NaN,0,0,NaN
1049148000,1.5834,1.5834,1.5609,1.5609,0,NaN,0,0,NaN
1049662800,1.5562,1.5727,1.5541,1.5727,0,NaN,0,0,NaN
1050008400,1.5727,1.5805,1.5698,1.5805,0,NaN,0,0,NaN
1050526800,1.5805,1.5805,1.56345,1.57755,0,NaN,0,0,NaN
1051045200,1.57755,1.5933,1.57755,1.5883,0,NaN,0,0,NaN
1051563600,1.5883,1.61115,1.5883,1.6048,0,NaN,0,0,NaN
1052082000,1.6039,1.61465,1.5968,1.6022,0,NaN,0,0,NaN
1052427600,1.6022,1.6179,1.6022,1.6179,0,NaN,0,0,NaN
1052946000,1.6179,1.64145,1.6179,1.64145,0,NaN,0,0,NaN
1053464400,1.64145,1.64145,1.63345,1.6376,0,NaN,0,0,NaN
1053982800,1.6376,1.6545,1.6361,1.6361,0,NaN,0,0,NaN
1054501200,1.62735,1.66,1.62735,1.66,0,NaN,0,0,NaN
1054846800,1.66,1.66675,1.64545,1.66675,0,NaN,0,0,NaN
1055365200,1.66675,1.68425,1.66675,1.68425,0,NaN,0,0,NaN
1055883600,1.68425,1.68425,1.66045,1.66825,0,NaN,0,0,NaN
1056402000,1.66825,1.67375,1.65,1.65,0,NaN,0,0,NaN
1056920400,1.64945,1.6686,1.64945,1.6686,0,NaN,0,0,NaN
1057266000,1.6686,1.6686,1.63545,1.63835,0,NaN,0,0,NaN
