time,open,high,low,close
1085691600,69.235,69.235,69.235,69.235
1086037200,69.235,69.535,68.29,68.29
1086210000,68.29,69.135,68.29,69.135
1086555600,69.16,69.445,68.825,68.825
1086728400,68.825,69.25,68.235,69.25
1086901200,69.25,69.315,69.215,69.315
1087246800,69.315,69.88,69.24,69.24
1087419600,69.24,69.24,68.195,68.235
1087765200,68.225,68.64,68.225,68.64
1087938000,68.64,68.64,67.73,68.03
1088110800,68.03,69.195,68.03,69.195
1088456400,69.195,69.21,68.275,69.21
1088629200,69.21,70.115,69.21,70.115
1088974800,70.185,71.09,70.185,71.09
1089147600,71.09,71.51,71.09,71.51
1089320400,71.51,71.55,70.925,71.55
1089666000,71.55,71.55,71.205,71.205
1089838800,71.205,71.645,71.205,71.645
1090184400,71.785,71.785,70.98,71.1
1090357200,71.1,71.1,70.29,70.47
1090530000,70.47,70.47,69.94,69.94
1090875600,69.94,70.23,69.61,70.23
1091048400,70.23,70.965,70.23,70.915
1091394000,70.82,71.53,70.82,71.53
1091566800,71.53,71.99,71.53,71.99
1091739600,71.99,72.22,71.99,72.22
1092085200,72.22,72.66,72.22,72.66
1092258000,72.66,73.775,72.66,73.775
1092603600,73.295,73.46,73.07,73.07
1092776400,73.07,73.46,72.64,73.46
1092949200,73.46,73.46,72.67,72.67
1093294800,72.67,72.67,71.02,71.55
1093467600,71.55,71.645,71.455,71.645
1093813200,71.595,71.595,71.47,71.545
1093986000,71.545,71.81,71.015,71.015
1094158800,71.015,71.54,71.015,71.54
1094504400,71.54,71.54,70.8,71.04
1094677200,71.04,71.815,71.04,71.815
1095022800,71.855,72.57,71.855,72.57
1095195600,72.57,72.57,72.275,72.35
1095368400,72.35,72.65,72.35,72.65
1095714000,72.65,73.31,72.65,73.31
1095886800,73.31,73.975,73.31,73.975
1096232400,73.875,74.56,73.875,74.56
1096405200,74.56,74.585,74.285,74.585
1096578000,74.585,74.585,74.31,74.31
1096923600,74.31,75.21,74.31,75.21
1097096400,75.21,75.285,75.055,75.055
1097442000,74.905,74.905,74.465,74.465
1097614800,74.465,74.645,74.27,74.645
1097787600,74.645,75.155,74.645,74.83
1098133200,74.83,74.83,74.29,74.77
1098306000,74.77,74.77,74.49,74.49
1098651600,74.755,74.76,74.4,74.4
1098824400,74.4,74.4,72.635,72.635
1098997200,72.665,72.78,72.665,72.78
1099346400,72.78,73.285,72.78,73.285
1099519200,73.285,73.395,73.235,73.395
1099864800,73.37,73.37,72.91,72.91
1100037600,72.91,73.315,72.91,73.315
