time,open,high,low,close
1085605200,69.235,69.235,69.235,69.235
1086037200,69.235,69.535,68.29,68.425
1086296400,68.425,69.445,68.425,68.825
1086728400,68.825,69.25,68.235,69.215
1087160400,69.275,69.88,69.24,69.24
1087419600,69.24,69.24,68.195,68.475
1087851600,68.475,68.64,67.73,68.03
1088110800,68.03,69.195,68.03,68.275
1088542800,68.275,70.115,68.275,70.115
1088974800,70.185,71.335,70.185,71.335
1089234000,71.335,71.55,70.925,71.55
1089666000,71.55,71.55,71.205,71.435
1089925200,71.435,71.785,70.98,71.1
1090357200,71.1,71.1,70.005,70.005
1090789200,69.975,70.23,69.61,70.23
1091048400,70.23,70.965,70.23,70.86
1091480400,70.86,71.99,70.86,71.99
1091739600,71.99,72.64,71.99,72.64
1092171600,72.64,73.775,72.64,73.775
1092603600,73.295,73.46,72.64,72.64
1092862800,72.64,73.46,72.64,72.67
1093294800,72.67,72.67,71.02,71.455
1093554000,71.455,71.645,71.455,71.545
1093986000,71.545,71.81,71.015,71.375
1094418000,71.435,71.54,70.8,71.04
1094677200,71.04,72.32,71.04,72.32
1095109200,72.32,72.57,72.275,72.35
1095368400,72.35,72.78,72.35,72.78
1095800400,72.78,73.975,72.78,73.975
1096232400,73.875,74.56,73.875,74.285
1096491600,74.285,74.585,74.285,74.31
1096923600,74.31,75.285,74.31,75.285
1097182800,75.285,75.285,74.465,74.465
1097614800,74.465,75.155,74.27,75.155
1098046800,74.935,74.935,74.29,74.77
1098306000,74.77,74.77,74.49,74.76
1098738000,74.76,74.76,72.635,72.635
1098997200,72.665,72.82,72.665,72.82
1099432800,72.82,73.395,72.82,73.395
1099864800,73.37,73.37,72.91,73.255
1100124000,73.255,73.77,73.185,73.77
1100556000,73.77,73.77,73.605,73.605
1100815200,73.605,73.605,73.085,73.59
1101247200,73.59,73.59,73.085,73.545
1101679200,73.585,73.67,73.58,73.67
1101938400,73.67,74.235,73.635,74.235
1102370400,74.235,74.395,73.8,74.23
1102629600,74.23,74.84,73.935,74.84
1103061600,74.84,74.89,74.435,74.435
1103493600,74.285,74.59,74.1,74.21
1103752800,74.21,74.43,73.825,74.43
1104184800,74.43,74.43,74.08,74.08
1104444000,74.08,74.08,73.545,73.545
1104703200,73.835,73.845,72.7,72.79
1104962400,72.79,73.59,72.25,72.4
1105394400,72.4,72.765,71.555,72.145
1105653600,72.145,72.225,70.795,71.165
1106085600,71.165,73.815,71.065,73.415
1106517600,73.305,74.295,73.145,73.81
1106776800,73.81,74.165,73.335,73.69
1107208800,73.69,74.445,73.545,74.205
1107468000,74.205,74.425,73.34,74.01
1107900000,74.01,75.57,73.605,75.495
1108332000,75.275,75.405,74.605,75.225
1108591200,75.225,76.865,75.145,76.58
1109023200,76.58,76.615,75.565,76.005
1109282400,76.005,76.235,75.585,75.925
1109714400,75.925,77.125,75.595,76.805
1110146400,76.815,77.595,76.01,76.785
1110405600,76.785,77.58,76.485,77.375
1110837600,77.375,77.905,76.945,77.685
1111096800,77.685,78.065,77.07,77.255
1111528800,77.255,77.275,75.665,75.995
1111960800,75.955,76.615,75.52,76.13
1112220000,76.13,76.645,75.76,76.635
1112648400,76.635,77.685,76.265,77.315
1112907600,77.315,78.065,77.205,77.75
1113339600,77.75,78.425,77.035,77.185
1113771600,77.135,77.9,76.695,77.78
1114030800,77.78,78.205,76.91,77.02
1114462800,77.02,77.32,76.08,77.3
1114722000,77.3,77.36,76.125,76.36
1115154000,76.36,77.26,76.085,77.035
1115586000,76.975,77.455,76.785,77.18
1115845200,77.18,77.34,75.35,75.4
1116277200,75.4,76.67,75.37,76.58
1116536400,76.58,76.85,76.13,76.79
1116968400,76.79,77.295,76.41,77.235
1117400400,77.065,77.16,75.655,75.845
1117659600,75.845,75.975,75.235,75.825
1118091600,75.825,76.75,75.615,76.525
1118350800,76.525,77.685,76.315,77.445
1118782800,77.445,78.175,77.325,77.855
1119214800,77.96,78.4,77.515,78.1
1119474000,78.1,78.11,76.65,77.36
1119906000,77.36,77.625,76.65,77.33
1120165200,77.33,77.33,75.335,75.615
1120597200,75.615,76.065,75.115,75.535
