time,open,high,low,close
1032728400,0.4688,0.472,0.4688,0.4712
1033333200,0.4703,0.4791,0.4693,0.4791
1033938000,0.4788,0.48355,0.4788,0.47955
1034542800,0.4804,0.48175,0.47845,0.4814
1035147600,0.4815,0.4872,0.4815,0.4872
1035756000,0.4872,0.492,0.48305,0.492
1036360800,0.4917,0.4997,0.4917,0.4966
1036965600,0.4954,0.5001,0.4933,0.5
1037570400,0.5,0.5032,0.4972,0.5032
1038175200,0.503,0.503,0.49425,0.4984
1038780000,0.4993,0.5019,0.4984,0.5019
1039384800,0.5022,0.5142,0.5016,0.5142
1039989600,0.5135,0.51785,0.5135,0.516
1040594400,0.5168,0.5196,0.51565,0.5196
1041199200,0.5192,0.5286,0.5192,0.5286
1041804000,0.5274,0.5388,0.5274,0.5388
1042408800,0.5378,0.5518,0.5378,0.5518
1043013600,0.5525,0.55345,0.54225,0.5502
1043618400,0.549,0.54945,0.5448,0.5448
1044223200,0.5432,0.5497,0.5432,0.5497
1044828000,0.5505,0.55375,0.54905,0.5528
1045432800,0.5528,0.55845,0.54965,0.5581
1046037600,0.5583,0.5662,0.5583,0.5596
1046642400,0.5584,0.56705,0.5584,0.5625
1047247200,0.5625,0.5625,0.54735,0.5515
1047852000,0.5516,0.55315,0.54795,0.5501
1048456800,0.5518,0.5518,0.54755,0.5508
1049061600,0.5511,0.55475,0.5407,0.5407
1049662800,0.5378,0.54785,0.5378,0.5458
1050267600,0.5449,0.55745,0.5449,0.5566
1050872400,0.5566,0.5614,0.55385,0.5548
1051477200,0.556,0.5641,0.55575,0.5641
1052082000,0.5635,0.5762,0.5635,0.5762
1052686800,0.5788,0.5816,0.57135,0.5816
1053291600,0.5859,0.5867,0.58135,0.5849
1053896400,0.5843,0.58565,0.5776,0.5776
1054501200,0.5755,0.58035,0.5755,0.5768
1055106000,0.5766,0.581,0.57295,0.581
1055710800,0.5815,0.58525,0.5815,0.5838
1056315600,0.5835,0.58675,0.5789,0.582
1056920400,0.5831,0.59595,0.5831,0.59595
1057525200,0.595,0.60075,0.5887,0.5915
1058130000,0.5907,0.5907,0.5731,0.5731
1058734800,0.5714,0.5878,0.5714,0.5878
1059339600,0.5853,0.5877,0.58125,0.5845
1059944400,0.5844,0.5844,0.57895,0.5817
1060549200,0.5808,0.5904,0.5808,0.5904
1061154000,0.5904,0.5904,0.58435,0.5857
1061758800,0.5837,0.5837,0.56955,0.5783
1062363600,0.5783,0.5783,0.56545,0.5769
1062968400,0.5769,0.58495,0.57665,0.5834
1063573200,0.584,0.5923,0.584,0.5923
1064178000,0.5949,0.59595,0.5887,0.5887
1064782800,0.5887,0.59975,0.5887,0.5923
1065387600,0.59445,0.6004,0.59445,0.6004
1065992400,0.6011,0.6011,0.59455,0.5968
1066597200,0.5983,0.6094,0.59575,0.6094
1067205600,0.6081,0.6137,0.6081,0.6137
