time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020718800,1.56675,1.56675,1.56675,1.56675,0,NaN,0,0,NaN
1020805200,1.56675,1.57005,1.56675,1.57005,0,NaN,0,0,NaN
1020891600,1.57005,1.57005,1.56525,1.56525,0,NaN,0,0,NaN
1020978000,1.56525,1.56525,1.5585,1.5585,0,NaN,0,0,NaN
1021237200,1.5585,1.5585,1.55395,1.55395,0,NaN,0,0,NaN
1021323600,1.55395,1.5582,1.55395,1.5582,0,NaN,0,0,NaN
1021410000,1.5582,1.5582,1.5573,1.5573,0,NaN,0,0,NaN
1021496400,1.5573,1.5573,1.5547,1.5547,0,NaN,0,0,NaN
1021842000,1.5465,1.5465,1.5427,1.5427,0,NaN,0,0,NaN
1021928400,1.5427,1.5427,1.53725,1.53725,0,NaN,0,0,NaN
1022014800,1.53725,1.53725,1.53185,1.53185,0,NaN,0,0,NaN
1022101200,1.53185,1.536,1.53185,1.536,0,NaN,0,0,NaN
1022187600,1.536,1.536,1.533,1.533,0,NaN,0,0,NaN
1022446800,1.5329,1.5334,1.5329,1.5334,0,NaN,0,0,NaN
1022533200,1.5334,1.5334,1.5307,1.5307,0,NaN,0,0,NaN
1022619600,1.5307,1.5349,1.5307,1.5349,0,NaN,0,0,NaN
1022706000,1.5349,1.5349,1.5347,1.5347,0,NaN,0,0,NaN
1022792400,1.5347,1.5347,1.5282,1.5282,0,NaN,0,0,NaN
1023051600,1.5368,1.5368,1.52715,1.52715,0,NaN,0,0,NaN
1023138000,1.52715,1.53165,1.52715,1.53165,0,NaN,0,0,NaN
1023224400,1.53165,1.53175,1.53165,1.53175,0,NaN,0,0,NaN
1023310800,1.53175,1.53325,1.53175,1.53325,0,NaN,0,0,NaN
1023656400,1.5329,1.53945,1.5329,1.53945,0,NaN,0,0,NaN
1023742800,1.53945,1.53945,1.53595,1.53595,0,NaN,0,0,NaN
1023829200,1.53595,1.53595,1.53535,1.53535,0,NaN,0,0,NaN
1023915600,1.53535,1.53985,1.53535,1.53985,0,NaN,0,0,NaN
1024002000,1.53985,1.5467,1.53985,1.5467,0,NaN,0,0,NaN
1024261200,1.5464,1.5464,1.54635,1.54635,0,NaN,0,0,NaN
1024347600,1.54635,1.54635,1.5456,1.5456,0,NaN,0,0,NaN
1024434000,1.5456,1.5456,1.5407,1.5407,0,NaN,0,0,NaN
1024520400,1.5407,1.5407,1.5279,1.5279,0,NaN,0,0,NaN
1024606800,1.5279,1.5279,1.5204,1.5204,0,NaN,0,0,NaN
1024866000,1.5209,1.5209,1.52065,1.52065,0,NaN,0,0,NaN
1024952400,1.52065,1.52065,1.51505,1.51505,0,NaN,0,0,NaN
1025038800,1.51505,1.51885,1.51505,1.51885,0,NaN,0,0,NaN
1025125200,1.51885,1.51885,1.51065,1.51065,0,NaN,0,0,NaN
1025211600,1.51065,1.5188,1.51065,1.5188,0,NaN,0,0,NaN
1025470800,1.5188,1.5188,1.51635,1.51635,0,NaN,0,0,NaN
1025557200,1.51635,1.52665,1.51635,1.52665,0,NaN,0,0,NaN
1025643600,1.52665,1.5314,1.52665,1.5314,0,NaN,0,0,NaN
1025730000,1.5314,1.5314,1.52785,1.52785,0,NaN,0,0,NaN
1025816400,1.52785,1.52785,1.5224,1.5224,0,NaN,0,0,NaN
1026075600,1.5225,1.52355,1.5225,1.52355,0,NaN,0,0,NaN
1026162000,1.52355,1.52355,1.51195,1.51195,0,NaN,0,0,NaN
1026248400,1.51195,1.52025,1.51195,1.52025,0,NaN,0,0,NaN
1026334800,1.52025,1.52545,1.52025,1.52545,0,NaN,0,0,NaN
1026421200,1.52545,1.5335,1.52545,1.5335,0,NaN,0,0,NaN
1026680400,1.5331,1.53875,1.5331,1.53875,0,NaN,0,0,NaN
1026766800,1.53875,1.53895,1.53875,1.53895,0,NaN,0,0,NaN
1026853200,1.53895,1.53975,1.53895,1.53975,0,NaN,0,0,NaN
1026939600,1.53975,1.5449,1.53975,1.5449,0,NaN,0,0,NaN
1027026000,1.5449,1.5449,1.543,1.543,0,NaN,0,0,NaN
1027285200,1.5431,1.56495,1.5431,1.56495,0,NaN,0,0,NaN
1027371600,1.56495,1.5837,1.56495,1.5837,0,NaN,0,0,NaN
1027458000,1.5837,1.5837,1.56305,1.56305,0,NaN,0,0,NaN
1027544400,1.56305,1.5684,1.56305,1.5684,0,NaN,0,0,NaN
1027630800,1.5684,1.5865,1.5684,1.5865,0,NaN,0,0,NaN
1027890000,1.5862,1.5862,1.5724,1.5724,0,NaN,0,0,NaN
1027976400,1.5724,1.5752,1.5724,1.5752,0,NaN,0,0,NaN
1028062800,1.5752,1.584,1.5752,1.584,0,NaN,0,0,NaN
1028149200,1.584,1.59055,1.584,1.59055,0,NaN,0,0,NaN
1028235600,1.59055,1.59055,1.5847,1.5847,0,NaN,0,0,NaN
1028494800,1.5838,1.59635,1.5838,1.59635,0,NaN,0,0,NaN
1028581200,1.59635,1.59635,1.58415,1.58415,0,NaN,0,0,NaN
1028667600,1.58415,1.58415,1.57635,1.57635,0,NaN,0,0,NaN
1028754000,1.57635,1.57965,1.57635,1.57965,0,NaN,0,0,NaN
1028840400,1.57965,1.57965,1.5732,1.5732,0,NaN,0,0,NaN
1029099600,1.5733,1.57395,1.5733,1.57395,0,NaN,0,0,NaN
1029186000,1.57395,1.57395,1.56395,1.56395,0,NaN,0,0,NaN
1029272400,1.56395,1.56395,1.56385,1.56385,0,NaN,0,0,NaN
1029358800,1.56385,1.56385,1.55885,1.55885,0,NaN,0,0,NaN
1029445200,1.55885,1.559,1.55885,1.559,0,NaN,0,0,NaN
1029704400,1.559,1.5747,1.559,1.5747,0,NaN,0,0,NaN
1029790800,1.5747,1.5747,1.5679,1.5679,0,NaN,0,0,NaN
1029877200,1.5679,1.5679,1.55655,1.55655,0,NaN,0,0,NaN
1029963600,1.55655,1.55985,1.55655,1.55985,0,NaN,0,0,NaN
1030050000,1.55985,1.55985,1.5567,1.5567,0,NaN,0,0,NaN
1030309200,1.5564,1.5564,1.55535,1.55535,0,NaN,0,0,NaN
1030395600,1.55535,1.55535,1.55425,1.55425,0,NaN,0,0,NaN
1030482000,1.55425,1.55915,1.55425,1.55915,0,NaN,0,0,NaN
1030568400,1.55915,1.55915,1.55895,1.55895,0,NaN,0,0,NaN
1030654800,1.55895,1.559,1.55895,1.559,0,NaN,0,0,NaN
1030914000,1.559,1.559,1.55685,1.55685,0,NaN,0,0,NaN
1031000400,1.55685,1.55685,1.55305,1.55305,0,NaN,0,0,NaN
1031086800,1.55305,1.56645,1.55305,1.56645,0,NaN,0,0,NaN
1031173200,1.56645,1.57235,1.56645,1.57235,0,NaN,0,0,NaN
1031518800,1.5591,1.56355,1.5591,1.56355,0,NaN,0,0,NaN
1031605200,1.56355,1.57275,1.56355,1.57275,0,NaN,0,0,NaN
1031778000,1.57275,1.58705,1.57275,1.58705,0,NaN,0,0,NaN
1031864400,1.58705,1.58705,1.58,1.58,0,NaN,0,0,NaN
1032123600,1.58,1.58115,1.58,1.58115,0,NaN,0,0,NaN
1032210000,1.58115,1.58115,1.58115,1.58115,0,NaN,0,0,NaN
1032296400,1.58115,1.58115,1.57885,1.57885,0,NaN,0,0,NaN
1032382800,1.57885,1.57885,1.57395,1.57395,0,NaN,0,0,NaN
1032469200,1.57395,1.57395,1.5735,1.5735,0,NaN,0,0,NaN
1032728400,1.5736,1.58205,1.5736,1.58205,0,NaN,0,0,NaN
1032814800,1.58205,1.58715,1.58205,1.58715,0,NaN,0,0,NaN
1032901200,1.58715,1.58715,1.57945,1.57945,0,NaN,0,0,NaN
1032987600,1.57945,1.57945,1.57485,1.57485,0,NaN,0,0,NaN
1033074000,1.57485,1.5789,1.57485,1.5789,0,NaN,-9.60928512095171,-31.463399891053562,NaN
1033333200,1.5785,1.58695,1.5785,1.58695,0,NaN,-8.003218691144468,-0.7777956530310348,NaN
1033419600,1.58695,1.58695,1.58155,1.58155,0,NaN,-15.695051303350692,4.3567536186896305,NaN
1033506000,1.58155,1.58945,1.58155,1.58945,0,NaN,-5.1277107763768015,14.813959396571015,NaN
1033592400,1.58945,1.59165,1.58945,1.59165,0,NaN,-2.933772449836713,14.177235930982775,NaN
1033678800,1.59165,1.5919,1.59165,1.5919,0,NaN,-13.135395551377998,2.201735238015928,NaN
1033938000,1.5921,1.59565,1.5921,1.59565,0,NaN,-27.869409868823414,-4.9992957584216065,NaN
1034024400,1.59565,1.59795,1.59565,1.59795,0,NaN,-24.55603135044411,-0.4236417043951519,NaN
1034110800,1.59795,1.59795,1.59695,1.59695,0,NaN,-18.729731883882327,-6.657772303268789,NaN
1034197200,1.59695,1.59695,1.58985,1.58985,0,NaN,-22.53997149552794,11.764692685932474,NaN
1034283600,1.58985,1.58985,1.5869,1.5869,0,NaN,-32.73862885363543,-2.503771529953312,NaN
1034542800,1.5867,1.5867,1.58605,1.58605,0,NaN,-45.2541826376346,-17.062696571702066,NaN
1034629200,1.58605,1.58725,1.58605,1.58725,0,NaN,-34.04031231096163,-19.630655126583203,NaN
1034715600,1.58725,1.58725,1.58375,1.58375,0,NaN,-51.35357679534533,-40.43733304620558,NaN
1034802000,1.58375,1.58375,1.56975,1.56975,0,NaN,-59.34039487241556,-56.93028648521623,NaN
1034888400,1.56975,1.5736,1.56975,1.5736,0,NaN,-57.07678396755533,-67.49886507013001,NaN
1035147600,1.5741,1.5741,1.5642,1.5642,0,NaN,-71.9684380240652,-74.74337325068039,NaN
1035234000,1.5642,1.5689,1.5642,1.5689,0,NaN,-69.28133289751798,-66.450597775826,NaN
1035320400,1.5689,1.5689,1.5643,1.5643,0,NaN,-82.12372147917921,-57.945058885479035,NaN
1035406800,1.5643,1.5651,1.5643,1.5651,0,NaN,-80.69946216154199,-67.9529499003958,NaN
1035493200,1.5651,1.5674,1.5651,1.5674,0,NaN,-76.29913539102733,-54.798594824426765,NaN
1035756000,1.5674,1.5674,1.55835,1.55835,0,NaN,-91.85002548562436,-66.36590064315945,NaN
1035842400,1.55835,1.56255,1.55835,1.56255,0,NaN,-89.81633536263345,-47.47766933762237,NaN
1035928800,1.56255,1.56585,1.56255,1.56585,0,NaN,-68.19928195136842,-30.929491910341557,NaN
1036015200,1.56585,1.56585,1.55765,1.55765,0,NaN,-67.23294648389417,-25.25831339975914,NaN
1036101600,1.55765,1.5578,1.55765,1.5578,0,NaN,-76.93222970147175,-6.40396243458221,NaN
1036360800,1.5584,1.5584,1.55435,1.55435,0,NaN,-67.6494701152506,11.191958706879703,NaN
1036447200,1.55435,1.55665,1.55435,1.55665,0,NaN,-76.52770937454014,1.1469237415964955,NaN
1036533600,1.55665,1.55665,1.55395,1.55395,0,NaN,-76.07221161190557,4.232538577748681,NaN
1036620000,1.55395,1.557,1.55395,1.557,0,NaN,-77.80672185999855,13.733991861399076,NaN
1036706400,1.557,1.5646,1.557,1.5646,0,NaN,-68.38248099357969,27.75997773228145,NaN
1036965600,1.5641,1.5698,1.5641,1.5698,0,NaN,-47.2635158876842,55.45244838984742,NaN
1037052000,1.5698,1.5775,1.5698,1.5775,0,NaN,-38.87154925074883,41.87370938335012,NaN
1037138400,1.5775,1.5775,1.5747,1.5747,0,NaN,-51.62390166901639,36.65998757217703,NaN
1037224800,1.5747,1.5751,1.5747,1.5751,0,NaN,-46.51136860983516,38.031642814848716,NaN
1037311200,1.5751,1.5843,1.5751,1.5843,0,NaN,-29.596428213741838,36.04658793170829,NaN
1037570400,1.5837,1.5905,1.5837,1.5905,0,NaN,-11.155736114094676,43.075126019848184,NaN
1037656800,1.5905,1.5905,1.58445,1.58445,0,NaN,-7.682708456554195,30.882087799640544,NaN
1037743200,1.58445,1.58585,1.58445,1.58585,0,NaN,-3.9433970808345506,22.260223990493863,NaN
1037829600,1.58585,1.58585,1.5777,1.5777,0,NaN,-14.921345332210052,-0.18583433436298336,NaN
1037916000,1.5777,1.5783,1.5777,1.5783,0,NaN,-24.81027899141948,-17.165296448504836,NaN
1038175200,1.5771,1.5771,1.5738,1.5738,0,NaN,-23.30566507387745,-45.35205998074193,NaN
1038261600,1.5738,1.5758,1.5738,1.5758,0,NaN,-41.41535097225763,-56.10252819822987,NaN
1038348000,1.5758,1.5758,1.57285,1.57285,0,NaN,-33.983262764950844,-57.23334159954488,NaN
1038434400,1.57285,1.57285,1.57285,1.57285,0,NaN,-35.645309637151364,-54.64878747727554,NaN
1038520800,1.57285,1.57285,1.565,1.565,0,NaN,-50.54341827998573,-72.52559797709358,NaN
1038780000,1.5631,1.5631,1.5562,1.5562,0,NaN,-66.26612420863474,-85.66323224936977,NaN
1038866400,1.5562,1.557,1.5562,1.557,0,NaN,-68.10381515914429,-74.00851569727956,NaN
1038952800,1.557,1.5602,1.557,1.5602,0,NaN,-65.46279353585426,-63.52524934389081,NaN
1039039200,1.5602,1.5613,1.5602,1.5613,0,NaN,-52.788343074699874,-44.41453775811547,NaN
1039125600,1.5613,1.5656,1.5613,1.5656,0,NaN,-47.22710035540593,-40.63170959959221,NaN
1039384800,1.5649,1.5649,1.5627,1.5627,0,NaN,-62.708419330353266,-19.875952206079777,NaN
1039471200,1.5627,1.5627,1.56065,1.56065,0,NaN,-53.94794429266438,-14.216908083148923,NaN
1039557600,1.56065,1.56065,1.5559,1.5559,0,NaN,-67.76513862476756,-20.41135362049813,NaN
1039644000,1.5559,1.5559,1.5544,1.5544,0,NaN,-64.63258103200923,5.878329482614821,NaN
1039730400,1.5544,1.5609,1.5544,1.5609,0,NaN,-34.68003313084623,45.62768231401393,NaN
1039989600,1.5613,1.5613,1.5612,1.5612,0,NaN,-32.0951286408605,62.69752410958195,NaN
1040076000,1.5612,1.5612,1.54885,1.54885,0,NaN,-33.16725275423758,43.572584115452116,NaN
1040162400,1.54885,1.55215,1.54885,1.55215,0,NaN,-29.097578780439644,56.065268200272875,NaN
1040248800,1.55215,1.55285,1.55215,1.55285,0,NaN,-25.342033899740258,47.6868373950638,NaN
1040335200,1.55285,1.55285,1.5497,1.5497,0,NaN,-23.426741267393346,39.00135904738561,NaN
1040594400,1.5507,1.55225,1.5507,1.55225,0,NaN,-8.134819746338506,29.927391323249168,NaN
1040680800,1.55225,1.55225,1.5478,1.5478,0,NaN,-33.48699712062878,20.52352654753894,NaN
1040767200,1.5478,1.5479,1.5478,1.5479,0,NaN,6.4681744716223495,39.82460362544648,NaN
1040853600,1.5479,1.5582,1.5479,1.5582,0,NaN,51.73162189908343,56.96787234548223,NaN
1040940000,1.5582,1.5697,1.5582,1.5697,0,NaN,46.4460645135476,58.36329889313956,NaN
1041199200,1.5681,1.5694,1.5681,1.5694,0,NaN,41.35406849595248,51.9297013559968,NaN
1041372000,1.5694,1.573,1.5694,1.573,0,NaN,88.0855000842865,93.5097692525645,NaN
1041458400,1.573,1.573,1.56705,1.56705,0,NaN,48.51953824237634,64.0623273547032,NaN
1041544800,1.56705,1.56705,1.5646,1.5646,0,NaN,22.977107213193772,29.84355115365109,NaN
1041804000,1.5642,1.5642,1.55945,1.55945,0,NaN,-45.66421229823894,35.608529943331554,NaN
1041890400,1.55945,1.5627,1.55945,1.5627,0,NaN,-27.91557118734498,49.95221535391107,NaN
1041976800,1.5627,1.5627,1.5617,1.5617,0,NaN,-22.358498204896335,44.99669329967242,NaN
1042063200,1.5617,1.5617,1.5515,1.5515,0,NaN,-44.58931141548718,36.4499084227399,NaN
1042149600,1.5515,1.5515,1.5454,1.5454,0,NaN,-99.99999999999999,6.165923332194993,NaN
1042408800,1.5464,1.5464,1.54155,1.54155,0,NaN,-100,-16.685312409733896,NaN
1042495200,1.54155,1.54155,1.54055,1.54055,0,NaN,-75.70562560560462,-31.073913782126315,NaN
1042581600,1.54055,1.54055,1.53685,1.53685,0,NaN,-100.00000000000001,-55.731175550116205,NaN
1042668000,1.53685,1.53685,1.5346,1.5346,0,NaN,-89.55891084691113,-51.14408519751849,NaN
1042754400,1.5346,1.5354,1.5346,1.5354,0,NaN,-85.50615282982282,-0.757714804024407,NaN
1043013600,1.5349,1.5356,1.5349,1.5356,0,NaN,-38.173997550453834,4.443306755183439,NaN
1043100000,1.5356,1.5356,1.5325,1.5325,0,NaN,-51.87007115283599,-18.311940203612984,NaN
