time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020718800,1.56675,1.57005,1.56675,1.57005,0,NaN,0,0,NaN
1020891600,1.57005,1.57005,1.5585,1.5585,0,NaN,0,0,NaN
1021237200,1.5585,1.5585,1.55395,1.5582,0,NaN,0,0,NaN
1021410000,1.5582,1.5582,1.5547,1.5547,0,NaN,0,0,NaN
1021582800,1.5465,1.5465,1.5427,1.5427,0,NaN,0,0,NaN
1021928400,1.5427,1.5427,1.53185,1.53185,0,NaN,0,0,NaN
1022101200,1.53185,1.536,1.53185,1.533,0,NaN,0,0,NaN
1022446800,1.5329,1.5334,1.5307,1.5307,0,NaN,0,0,NaN
1022619600,1.5307,1.5349,1.5307,1.5347,0,NaN,0,0,NaN
1022792400,1.5347,1.5368,1.52715,1.52715,0,NaN,0,0,NaN
1023138000,1.52715,1.53175,1.52715,1.53175,0,NaN,0,0,NaN
1023310800,1.53175,1.53325,1.53175,1.53325,0,NaN,0,0,NaN
1023656400,1.5329,1.53945,1.5329,1.53595,0,NaN,0,0,NaN
1023829200,1.53595,1.53985,1.53535,1.53985,0,NaN,0,0,NaN
1024002000,1.53985,1.5467,1.53985,1.54635,0,NaN,0,0,NaN
1024347600,1.54635,1.54635,1.5407,1.5407,0,NaN,0,0,NaN
1024520400,1.5407,1.5407,1.5204,1.5204,0,NaN,0,0,NaN
1024866000,1.5209,1.5209,1.51505,1.51505,0,NaN,0,0,NaN
1025038800,1.51505,1.51885,1.51065,1.51065,0,NaN,0,0,NaN
1025211600,1.51065,1.5188,1.51065,1.51635,0,NaN,0,0,NaN
1025557200,1.51635,1.5314,1.51635,1.5314,0,NaN,0,0,NaN
1025730000,1.5314,1.5314,1.5224,1.5224,0,NaN,0,0,NaN
1026075600,1.5225,1.52355,1.51195,1.51195,0,NaN,0,0,NaN
1026248400,1.51195,1.52545,1.51195,1.52545,0,NaN,0,0,NaN
1026421200,1.52545,1.53875,1.52545,1.53875,0,NaN,0,0,NaN
1026766800,1.53875,1.53975,1.53875,1.53975,0,NaN,0,0,NaN
1026939600,1.53975,1.5449,1.53975,1.543,0,NaN,0,0,NaN
1027285200,1.5431,1.5837,1.5431,1.5837,0,NaN,0,0,NaN
1027458000,1.5837,1.5837,1.56305,1.5684,0,NaN,0,0,NaN
1027630800,1.5684,1.5865,1.5684,1.5724,0,NaN,0,0,NaN
1027976400,1.5724,1.584,1.5724,1.584,0,NaN,0,0,NaN
1028149200,1.584,1.59055,1.584,1.5847,0,NaN,0,0,NaN
1028494800,1.5838,1.59635,1.5838,1.58415,0,NaN,0,0,NaN
1028667600,1.58415,1.58415,1.57635,1.57965,0,NaN,0,0,NaN
1028840400,1.57965,1.57965,1.5732,1.57395,0,NaN,0,0,NaN
1029186000,1.57395,1.57395,1.56385,1.56385,0,NaN,0,0,NaN
1029358800,1.56385,1.56385,1.55885,1.559,0,NaN,0,0,NaN
1029704400,1.559,1.5747,1.559,1.5679,0,NaN,0,0,NaN
1029877200,1.5679,1.5679,1.55655,1.55985,0,NaN,0,0,NaN
1030050000,1.55985,1.55985,1.55535,1.55535,0,NaN,0,0,NaN
1030395600,1.55535,1.55915,1.55425,1.55915,0,NaN,0,0,NaN
1030568400,1.55915,1.55915,1.55895,1.559,0,NaN,0,0,NaN
1030914000,1.559,1.559,1.55305,1.55305,0,NaN,0,0,NaN
1031086800,1.55305,1.57235,1.55305,1.57235,0,NaN,0,0,NaN
1031259600,1.5591,1.56355,1.5591,1.56355,0,NaN,0,0,NaN
1031605200,1.56355,1.57275,1.56355,1.57275,0,NaN,0,0,NaN
1031778000,1.57275,1.58705,1.57275,1.58,0,NaN,0,0,NaN
1032123600,1.58,1.58115,1.58,1.58115,0,NaN,0,0,NaN
1032296400,1.58115,1.58115,1.57395,1.57395,0,NaN,0,0,NaN
1032469200,1.57395,1.58205,1.5735,1.58205,0,NaN,0,0,NaN
1032814800,1.58205,1.58715,1.57945,1.57945,0,NaN,0,0,NaN
1032987600,1.57945,1.57945,1.57485,1.5789,0,NaN,0,0,NaN
1033333200,1.5785,1.58695,1.5785,1.58155,0,NaN,0,0,NaN
1033506000,1.58155,1.59165,1.58155,1.59165,0,NaN,0,0,NaN
1033678800,1.59165,1.59565,1.59165,1.59565,0,NaN,0,0,NaN
1034024400,1.59565,1.59795,1.59565,1.59695,0,NaN,0,0,NaN
1034197200,1.59695,1.59695,1.5869,1.5869,0,NaN,0,0,NaN
1034542800,1.5867,1.58725,1.58605,1.58725,0,NaN,0,0,NaN
1034715600,1.58725,1.58725,1.56975,1.56975,0,NaN,0,0,NaN
1034888400,1.56975,1.5741,1.5642,1.5642,0,NaN,0,0,NaN
1035234000,1.5642,1.5689,1.5642,1.5643,0,NaN,0,0,NaN
1035406800,1.5643,1.5674,1.5643,1.5674,0,NaN,0,0,NaN
1035756000,1.5674,1.5674,1.55835,1.56255,0,NaN,0,0,NaN
1035928800,1.56255,1.56585,1.55765,1.55765,0,NaN,0,0,NaN
1036101600,1.55765,1.5584,1.55435,1.55435,0,NaN,0,0,NaN
1036447200,1.55435,1.55665,1.55395,1.55395,0,NaN,0,0,NaN
1036620000,1.55395,1.5646,1.55395,1.5646,0,NaN,0,0,NaN
1036965600,1.5641,1.5775,1.5641,1.5775,0,NaN,0,0,NaN
1037138400,1.5775,1.5775,1.5747,1.5751,0,NaN,0,0,NaN
1037311200,1.5751,1.5905,1.5751,1.5905,0,NaN,0,0,NaN
1037656800,1.5905,1.5905,1.58445,1.58585,0,NaN,0,0,NaN
1037829600,1.58585,1.58585,1.5777,1.5783,0,NaN,0,0,NaN
1038175200,1.5771,1.5771,1.5738,1.5758,0,NaN,0,0,NaN
1038348000,1.5758,1.5758,1.57285,1.57285,0,NaN,0,0,NaN
1038520800,1.57285,1.57285,1.5562,1.5562,0,NaN,0,0,NaN
1038866400,1.5562,1.5602,1.5562,1.5602,0,NaN,0,0,NaN
1039039200,1.5602,1.5656,1.5602,1.5656,0,NaN,0,0,NaN
1039384800,1.5649,1.5649,1.56065,1.56065,0,NaN,0,0,NaN
1039557600,1.56065,1.56065,1.5544,1.5544,0,NaN,0,0,NaN
1039730400,1.5544,1.5613,1.5544,1.5612,0,NaN,0,0,NaN
1040076000,1.5612,1.5612,1.54885,1.55215,0,NaN,0,0,NaN
1040248800,1.55215,1.55285,1.5497,1.5497,0,NaN,0,0,NaN
1040594400,1.5507,1.55225,1.5478,1.5478,0,NaN,0,0,NaN
1040767200,1.5478,1.5582,1.5478,1.5582,0,NaN,0,0,NaN
1040940000,1.5582,1.5697,1.5582,1.5694,0,NaN,0,0,NaN
1041372000,1.5694,1.573,1.56705,1.56705,0,NaN,0,0,NaN
1041544800,1.56705,1.56705,1.55945,1.55945,0,NaN,0,0,NaN
1041890400,1.55945,1.5627,1.55945,1.5617,0,NaN,0,0,NaN
1042063200,1.5617,1.5617,1.5454,1.5454,0,NaN,0,0,NaN
1042408800,1.5464,1.5464,1.54055,1.54055,0,NaN,0,0,NaN
1042581600,1.54055,1.54055,1.5346,1.5346,0,NaN,0,0,NaN
1042754400,1.5346,1.5356,1.5346,1.5356,0,NaN,0,0,NaN
1043100000,1.5356,1.5356,1.53185,1.53185,0,NaN,0,0,NaN
1043272800,1.53185,1.53185,1.5184,1.5184,0,NaN,0,0,NaN
1043618400,1.5187,1.52835,1.5187,1.52835,0,NaN,0,0,NaN
1043791200,1.52835,1.52835,1.52225,1.5282,0,NaN,0,0,NaN
1043964000,1.5282,1.5282,1.51695,1.51695,0,NaN,0,0,NaN
1044309600,1.51695,1.52125,1.51465,1.52125,0,NaN,0,0,NaN
1044482400,1.52125,1.52125,1.5174,1.5208,0,NaN,0,0,NaN
1044828000,1.5209,1.52965,1.5209,1.52925,0,NaN,-36.58683133985687,-17.15871311701012,NaN
1045000800,1.52925,1.52925,1.51775,1.51775,0,NaN,-38.54037463506167,-38.276387296162355,NaN
1045173600,1.51775,1.523,1.51775,1.52105,0,NaN,-25.066850162367224,-36.99935318696435,NaN
1045519200,1.52105,1.52105,1.51285,1.51285,0,NaN,-40.83961129769823,-56.81553568477537,NaN
1045692000,1.51285,1.51285,1.505,1.505,0,NaN,-30.15376611925947,-39.135788458343825,NaN
1046037600,1.505,1.505,1.49175,1.49405,0,NaN,-65.23310098136409,-79.20047214996472,NaN
1046210400,1.49405,1.49465,1.4937,1.4937,0,NaN,-66.25466599671483,-74.5317198339653,NaN
1046383200,1.4937,1.4937,1.4836,1.4836,0,NaN,-87.59474823380901,-74.38842552461492,NaN
1046728800,1.4836,1.4836,1.46895,1.46895,0,NaN,-91.75857854115948,-78.86948931775558,NaN
1046901600,1.46895,1.47065,1.4656,1.4656,0,NaN,-90.09812327220119,-72.70358356217747,NaN
1047247200,1.4658,1.47205,1.46525,1.47205,0,NaN,-75.25672781279982,-68.31592392574429,NaN
1047420000,1.47205,1.48405,1.47205,1.48405,0,NaN,-42.41737885834036,-35.82863419690651,NaN
1047592800,1.48405,1.48405,1.4732,1.48005,0,NaN,-41.5525921350557,-85.80538708204227,NaN
1047938400,1.48005,1.48255,1.47455,1.48255,0,NaN,-20.854730955458322,-73.44789449559748,NaN
1048111200,1.48255,1.4944,1.48125,1.4944,0,NaN,-7.757687485947075,-73.13250799933624,NaN
1048456800,1.4918,1.4918,1.47605,1.47605,0,NaN,-5.63885042046174,-76.64481714726466,NaN
1048629600,1.47605,1.47605,1.46285,1.46285,0,NaN,-25.2603448894693,-85.19181687461528,NaN
1048802400,1.46285,1.4719,1.46285,1.46775,0,NaN,-2.203352299714062,-57.12243185890212,NaN
1049148000,1.46775,1.474,1.46775,1.47005,0,NaN,14.85664839134262,-34.96135790203454,NaN
1049320800,1.47005,1.47345,1.47005,1.4719,0,NaN,16.78038163095721,-62.21938826784118,NaN
1049662800,1.4744,1.47735,1.46795,1.46795,0,NaN,-5.819153745367821,-92.92680059963013,NaN
1049835600,1.46795,1.46795,1.45375,1.45375,0,NaN,-50.520980040250755,-100,NaN
1050008400,1.45375,1.45455,1.4531,1.45455,0,NaN,-57.811743274426696,-65.34048278445553,NaN
1050354000,1.45455,1.45495,1.44975,1.45495,0,NaN,-82.06088804604558,-47.07051973631827,NaN
1050526800,1.45495,1.45495,1.4505,1.4505,0,NaN,-91.28446937357899,-52.47248937466302,NaN
1050872400,1.4505,1.4545,1.4471,1.4471,0,NaN,-85.17109808093696,-39.496014389899955,NaN
1051045200,1.4471,1.45675,1.4471,1.45675,0,NaN,-54.671609524581555,-11.508978719832797,NaN
1051218000,1.45675,1.45675,1.446,1.44765,0,NaN,-60.130173456069734,-30.554939869589848,NaN
1051563600,1.44765,1.44765,1.43315,1.43315,0,NaN,-89.65348601427519,-58.224607010807276,NaN
1051736400,1.43315,1.43315,1.4184,1.4184,0,NaN,-100,-27.082793191269516,NaN
1052082000,1.419,1.419,1.3925,1.3925,0,NaN,-100.00000000000001,-35.393189188284836,NaN
1052254800,1.3925,1.3968,1.3925,1.3931,0,NaN,-87.77958969130042,-3.9739764106849123,NaN
1052427600,1.3931,1.3934,1.38805,1.38805,0,NaN,-99.99999999999999,-3.396644139622369,NaN
1052773200,1.38805,1.38805,1.37395,1.37395,0,NaN,-92.4403760792084,-16.924637370285183,NaN
