time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020373200,1.5849,1.5849,1.5849,1.5849,0,NaN,0,0,NaN
1020718800,1.5849,1.60955,1.5849,1.60955,0,NaN,0,0,NaN
1020891600,1.60955,1.60955,1.5912,1.5912,0,NaN,0,0,NaN
1021237200,1.5912,1.6145,1.5912,1.6145,0,NaN,0,0,NaN
1021410000,1.6145,1.6145,1.595,1.5974,0,NaN,0,0,NaN
1021582800,1.5974,1.5974,1.5774,1.5774,0,NaN,0,0,NaN
1021928400,1.5774,1.5774,1.5693,1.5693,0,NaN,0,0,NaN
1022101200,1.5693,1.5782,1.5693,1.5782,0,NaN,0,0,NaN
1022446800,1.5826,1.5826,1.5739,1.5739,0,NaN,0,0,NaN
1022619600,1.5739,1.5739,1.56225,1.56225,0,NaN,0,0,NaN
1022792400,1.56225,1.5697,1.56035,1.56035,0,NaN,0,0,NaN
1023138000,1.56035,1.5652,1.56035,1.5651,0,NaN,0,0,NaN
1023310800,1.5651,1.5651,1.5558,1.5578,0,NaN,0,0,NaN
1023656400,1.5584,1.55885,1.55535,1.55535,0,NaN,0,0,NaN
1023829200,1.55535,1.56605,1.55535,1.56305,0,NaN,0,0,NaN
1024002000,1.56305,1.56305,1.5608,1.56265,0,NaN,0,0,NaN
1024347600,1.56265,1.56265,1.53615,1.53615,0,NaN,0,0,NaN
1024520400,1.53615,1.53615,1.5106,1.5106,0,NaN,0,0,NaN
1024866000,1.5108,1.51215,1.4986,1.4986,0,NaN,0,0,NaN
1025038800,1.4986,1.4986,1.48755,1.48755,0,NaN,0,0,NaN
1025211600,1.48755,1.48755,1.4807,1.4831,0,NaN,0,0,NaN
1025557200,1.4831,1.4931,1.4831,1.4931,0,NaN,0,0,NaN
1025730000,1.4931,1.5077,1.4931,1.5077,0,NaN,0,0,NaN
1026075600,1.5059,1.5059,1.4821,1.4821,0,NaN,0,0,NaN
1026248400,1.4821,1.4872,1.4821,1.48275,0,NaN,0,0,NaN
1026421200,1.48275,1.4833,1.4619,1.4619,0,NaN,0,0,NaN
1026766800,1.4619,1.4619,1.4494,1.4552,0,NaN,0,0,NaN
1026939600,1.4552,1.4552,1.4423,1.4423,0,NaN,0,0,NaN
1027285200,1.4419,1.46925,1.4417,1.46925,0,NaN,0,0,NaN
1027458000,1.46925,1.46925,1.43935,1.43935,0,NaN,0,0,NaN
1027630800,1.43935,1.4866,1.43935,1.4866,0,NaN,0,0,NaN
1027976400,1.4866,1.4866,1.4819,1.4855,0,NaN,0,0,NaN
1028149200,1.4855,1.4855,1.4702,1.4702,0,NaN,0,0,NaN
1028494800,1.4695,1.5092,1.4695,1.5092,0,NaN,0,0,NaN
1028667600,1.5092,1.5128,1.49585,1.5128,0,NaN,0,0,NaN
1028840400,1.5128,1.5128,1.49365,1.49365,0,NaN,0,0,NaN
1029186000,1.49365,1.49365,1.4857,1.4922,0,NaN,0,0,NaN
1029358800,1.4922,1.4922,1.4886,1.4886,0,NaN,0,0,NaN
1029704400,1.4898,1.50345,1.4898,1.49975,0,NaN,0,0,NaN
1029877200,1.49975,1.51945,1.4975,1.51945,0,NaN,0,0,NaN
1030050000,1.51945,1.51945,1.5124,1.51425,0,NaN,0,0,NaN
1030395600,1.51425,1.51425,1.49245,1.50165,0,NaN,0,0,NaN
1030568400,1.50165,1.50165,1.49435,1.4973,0,NaN,0,0,NaN
1030914000,1.4979,1.4979,1.47085,1.47085,0,NaN,0,0,NaN
1031086800,1.47085,1.4744,1.47085,1.4731,0,NaN,0,0,NaN
1031259600,1.4848,1.48915,1.4848,1.48915,0,NaN,0,0,NaN
1031605200,1.48915,1.49655,1.48915,1.49655,0,NaN,0,0,NaN
1031778000,1.49655,1.5109,1.496,1.5109,0,NaN,0,0,NaN
1032123600,1.5114,1.5155,1.5082,1.5082,0,NaN,0,0,NaN
1032296400,1.5082,1.5082,1.4819,1.4819,0,NaN,0,0,NaN
1032469200,1.4819,1.4972,1.4819,1.4972,0,NaN,0,0,NaN
1032814800,1.4972,1.4998,1.4908,1.4998,0,NaN,0,0,NaN
1032987600,1.4998,1.5027,1.4943,1.4943,0,NaN,0,0,NaN
1033333200,1.4932,1.4932,1.4747,1.4882,0,NaN,0,0,NaN
1033506000,1.4882,1.4882,1.4782,1.4783,0,NaN,0,0,NaN
1033678800,1.4783,1.4928,1.4783,1.48775,0,NaN,0,0,NaN
1034024400,1.48775,1.4981,1.4791,1.4791,0,NaN,0,0,NaN
1034197200,1.4791,1.4842,1.4791,1.4823,0,NaN,0,0,NaN
1034542800,1.4815,1.4943,1.48125,1.4943,0,NaN,0,0,NaN
1034715600,1.4943,1.5119,1.4943,1.5119,0,NaN,0,0,NaN
1034888400,1.5119,1.5119,1.5111,1.5111,0,NaN,0,0,NaN
1035234000,1.5111,1.5111,1.5021,1.5033,0,NaN,0,0,NaN
1035406800,1.5033,1.5033,1.5005,1.5032,0,NaN,0,0,NaN
1035756000,1.5027,1.5027,1.48855,1.48995,0,NaN,0,0,NaN
1035928800,1.48995,1.48995,1.478,1.478,0,NaN,0,0,NaN
1036101600,1.478,1.478,1.46615,1.46615,0,NaN,0,0,NaN
1036447200,1.46615,1.46615,1.45865,1.45865,0,NaN,0,0,NaN
1036620000,1.45865,1.45865,1.4432,1.4432,0,NaN,0,0,NaN
1036965600,1.4437,1.448,1.4437,1.444,0,NaN,0,0,NaN
1037138400,1.444,1.4606,1.444,1.4606,0,NaN,0,0,NaN
1037311200,1.4606,1.4606,1.4521,1.4556,0,NaN,0,0,NaN
1037656800,1.4556,1.4666,1.4556,1.4666,0,NaN,0,0,NaN
1037829600,1.4666,1.4765,1.4666,1.4765,0,NaN,0,0,NaN
1038175200,1.4771,1.4866,1.4771,1.4833,0,NaN,0,0,NaN
1038348000,1.4833,1.4893,1.4833,1.48385,0,NaN,0,0,NaN
1038520800,1.48385,1.48385,1.4774,1.4774,0,NaN,0,0,NaN
1038866400,1.4774,1.4774,1.472,1.472,0,NaN,0,0,NaN
1039039200,1.472,1.472,1.4573,1.4573,0,NaN,0,0,NaN
1039384800,1.4554,1.4612,1.4554,1.4612,0,NaN,0,0,NaN
1039557600,1.4612,1.4617,1.4503,1.4503,0,NaN,0,0,NaN
1039730400,1.4503,1.4503,1.4424,1.4424,0,NaN,0,0,NaN
1040076000,1.4424,1.4424,1.4257,1.4257,0,NaN,0,0,NaN
1040248800,1.4257,1.4257,1.4229,1.4243,0,NaN,0,0,NaN
1040594400,1.4233,1.4233,1.4092,1.4092,0,NaN,0,0,NaN
1040767200,1.4092,1.4092,1.4016,1.4016,0,NaN,0,0,NaN
1040940000,1.4016,1.4016,1.3904,1.3925,0,NaN,0,0,NaN
1041372000,1.3925,1.40235,1.3839,1.40235,0,NaN,0,0,NaN
1041544800,1.40235,1.40235,1.392,1.392,0,NaN,0,0,NaN
1041890400,1.392,1.3997,1.38865,1.38865,0,NaN,0,0,NaN
1042063200,1.38865,1.3915,1.3799,1.3799,0,NaN,0,0,NaN
1042408800,1.3801,1.3865,1.3801,1.3865,0,NaN,0,0,NaN
1042581600,1.3865,1.3865,1.3747,1.3747,0,NaN,0,0,NaN
1042754400,1.3747,1.3747,1.3679,1.3679,0,NaN,0,0,NaN
1043100000,1.3679,1.3679,1.3633,1.3637,0,NaN,0,0,NaN
1043272800,1.3637,1.3637,1.3532,1.3532,0,NaN,0,0,NaN
1043618400,1.3528,1.3578,1.3524,1.3578,0,NaN,0,0,NaN
1043791200,1.3578,1.3578,1.3565,1.3573,0,NaN,0,0,NaN
1043964000,1.3573,1.3642,1.3573,1.3613,0,NaN,0,0,NaN
1044309600,1.3613,1.3613,1.3469,1.35905,0,NaN,0,0,NaN
1044482400,1.35905,1.35905,1.354,1.3547,0,NaN,-31.052932765282506,-11.62569561896328,NaN
1044828000,1.3568,1.3674,1.3568,1.3674,0,NaN,-29.324665737930296,-9.06450858056751,NaN
1045000800,1.3674,1.3704,1.355,1.355,0,NaN,-28.039097029070966,-33.780323332858714,NaN
1045173600,1.355,1.371,1.355,1.371,0,NaN,4.435093642785294,5.473936964083141,NaN
1045519200,1.371,1.3762,1.3681,1.3681,0,NaN,-9.103107597704842,-15.275413118543138,NaN
1045692000,1.3681,1.3681,1.3573,1.3655,0,NaN,5.654910480198998,17.457502298541655,NaN
1046037600,1.3696,1.3696,1.3555,1.357,0,NaN,-29.80249646694225,-34.18935415627965,NaN
1046210400,1.357,1.3597,1.3555,1.3597,0,NaN,-28.13722433451141,-20.881617643647438,NaN
1046383200,1.3597,1.3597,1.3377,1.3377,0,NaN,-74.79335966994698,-69.33712503119463,NaN
1046728800,1.3377,1.3395,1.3312,1.3312,0,NaN,-69.04168125553525,-53.369388366957494,NaN
1046901600,1.3312,1.3358,1.3312,1.3358,0,NaN,-57.547157565082024,-23.020033456704844,NaN
1047247200,1.3355,1.3355,1.325,1.3292,0,NaN,-55.276775048796175,-48.12358115765361,NaN
1047420000,1.3292,1.3582,1.3292,1.3582,0,NaN,5.928134061316718,38.96130428938187,NaN
1047592800,1.3582,1.3794,1.3582,1.3794,0,NaN,16.54288313226256,-16.557767213167587,NaN
1047938400,1.3794,1.3938,1.3794,1.3938,0,NaN,45.64056958320809,16.539653092517007,NaN
1048111200,1.3938,1.4029,1.38715,1.4029,0,NaN,54.95922049068324,6.195163812489145,NaN
1048456800,1.3925,1.3925,1.3825,1.3825,0,NaN,53.19137649894505,-8.066077235214264,NaN
1048629600,1.3825,1.3825,1.3819,1.3819,0,NaN,38.75085287511741,-5.982806033873443,NaN
1048802400,1.3819,1.3819,1.3504,1.3504,0,NaN,44.83357295819582,-4.506710487514745,NaN
1049148000,1.3504,1.3793,1.3504,1.3793,0,NaN,80.72042906807503,67.02678457485682,NaN
1049320800,1.3793,1.3856,1.379,1.3856,0,NaN,80.09285166212663,19.331080187348157,NaN
1049662800,1.3931,1.3931,1.3875,1.3875,0,NaN,70.9443902744039,6.054639463299697,NaN
1049835600,1.3875,1.3875,1.38,1.38715,0,NaN,16.577762168194525,-19.450228803494767,NaN
1050008400,1.38715,1.3941,1.38715,1.3898,0,NaN,-10.64220012247458,-7.836480164885886,NaN
1050354000,1.3898,1.3925,1.3707,1.3707,0,NaN,-62.91325122734918,-35.77948734863304,NaN
1050526800,1.3707,1.3818,1.3707,1.38165,0,NaN,-59.14168377905207,-14.007207717919883,NaN
1050872400,1.38015,1.38775,1.3714,1.3714,0,NaN,-55.47319163764718,-0.49959711716910604,NaN
1051045200,1.3714,1.3733,1.36135,1.36135,0,NaN,-47.49303472093875,-12.344662438047987,NaN
1051218000,1.36135,1.3715,1.36055,1.3715,0,NaN,-8.004783271800893,57.142299707781135,NaN
1051563600,1.3715,1.3715,1.35555,1.35555,0,NaN,-64.56890266331126,-52.363973457756494,NaN
1051736400,1.35555,1.35555,1.34385,1.3439,0,NaN,-87.06331097263578,-18.892202313022754,NaN
1052082000,1.3445,1.3445,1.3252,1.3252,0,NaN,-100.00000000000003,-28.40715255337717,NaN
1052254800,1.3252,1.3252,1.313,1.313,0,NaN,-99.99999999999999,-35.32257015180759,NaN
1052427600,1.313,1.3141,1.3102,1.3113,0,NaN,-99.99999999999999,-36.15711517330326,NaN
