time,open,high,low,close
1020373200,127.15,127.15,127.15,127.15
1020718800,127.15,128.92,127.15,128.92
1020891600,128.92,128.92,127.63,127.63
1021237200,127.62,128.54,127.62,128.54
1021410000,128.54,128.54,127.61,128.06
1021582800,128.06,128.06,125.4,125.4
1021928400,125.4,125.4,124.17,124.22
1022101200,124.22,124.95,124.22,124.72
1022446800,124.85,124.85,124.58,124.58
1022619600,124.58,124.58,123.4,123.4
1022792400,123.4,124.25,123.4,123.61
1023138000,123.61,124.4,123.61,124.4
1023310800,124.4,124.4,124.09,124.38
1023656400,124.41,125.28,124.41,125.28
1023829200,125.28,125.7,124.89,124.89
1024002000,124.89,124.89,124.09,124.35
1024347600,124.35,124.37,123.92,123.92
1024520400,123.92,123.92,121.39,121.39
1024866000,121.39,121.875,121.35,121.35
1025038800,121.35,121.35,119.56,119.56
1025211600,119.56,119.66,119.48,119.66
1025557200,119.66,119.91,119.66,119.8
1025730000,119.8,120.39,119.8,120.39
1026075600,120.05,120.05,118.035,118.035
1026248400,118.035,118.035,116.955,116.955
1026421200,116.955,116.955,116.385,116.385
1026766800,116.385,116.385,115.945,116.325
1026939600,116.325,116.58,115.88,115.88
1027285200,115.84,117.56,115.84,117.56
1027458000,117.56,117.56,116.4,116.4
1027630800,116.4,119.7,116.4,119.7
1027976400,119.7,120.19,119.7,119.915
1028149200,119.915,119.915,118.9,118.9
1028494800,118.85,120.75,118.85,120.75
1028667600,120.75,121,120.24,121
1028840400,121,121,119.02,119.02
1029186000,119.02,119.02,117.32,117.32
1029358800,117.32,117.72,117.32,117.72
1029704400,117.7,118.86,117.7,118.86
1029877200,118.86,119.94,118.54,119.94
1030050000,119.94,119.94,119.59,119.74
1030395600,119.74,119.74,118.2,118.73
1030568400,118.73,118.73,118.16,118.33
1030914000,118.45,118.45,117.095,117.095
1031086800,117.095,118.36,117.095,118.36
1031259600,118.57,118.88,118.57,118.88
1031605200,118.88,119.91,118.88,119.91
1031778000,119.91,121.74,119.91,121.74
1032123600,121.88,122.26,121.88,121.97
1032296400,121.97,121.97,121.44,121.47
1032469200,121.47,123.95,121.47,123.95
1032814800,123.95,123.95,122.915,122.915
1032987600,122.915,122.915,122.255,122.54
1033333200,122.58,122.58,121.66,122.55
1033506000,122.55,122.87,122.55,122.68
1033678800,122.68,124.28,122.68,124.28
1034024400,124.28,124.355,123.27,123.27
1034197200,123.27,124.03,123.27,124.03
1034542800,124.14,124.665,124.14,124.665
1034715600,124.665,125.015,124.47,125.015
1034888400,125.015,125.53,124.955,124.955
1035234000,124.955,125.135,124.585,124.585
1035406800,124.585,124.585,124.31,124.31
1035756000,124.2,124.2,122.99,122.99
1035928800,122.99,122.99,122.535,122.535
1036101600,122.535,122.535,122.12,122.22
1036447200,122.22,122.22,121.79,121.815
1036620000,121.815,121.815,119.82,119.82
1036965600,119.85,119.85,119.535,119.625
1037138400,119.625,120.485,119.625,120.485
1037311200,120.485,121.045,120.45,121.045
1037656800,121.045,122.635,121.045,122.635
1037829600,122.635,122.8,122.635,122.8
1038175200,122.9,122.9,121.625,121.625
1038348000,121.625,122.345,121.625,122.205
1038520800,122.205,124.535,122.205,124.535
1038866400,124.535,124.555,124.535,124.555
1039039200,124.555,124.845,123.56,123.56
1039384800,123.35,123.795,123.345,123.795
1039557600,123.795,123.795,122.715,122.715
1039730400,122.715,122.715,120.48,121.35
1040076000,121.35,121.35,121.1,121.1
1040248800,121.1,121.1,120.46,120.48
1040594400,120.3,120.44,120.3,120.33
1040767200,120.33,120.33,119.97,119.97
1040940000,119.97,119.97,119.87,119.88
1041372000,119.88,120.03,118.73,120.03
1041544800,120.03,120.03,119.165,119.165
1041890400,119.165,120.435,119.105,119.105
1042063200,119.105,119.295,119.105,119.15
1042408800,119.18,119.18,118.085,118.085
1042581600,118.085,118.145,117.865,117.865
1042754400,117.865,117.975,117.7,117.975
1043100000,117.975,118.255,117.975,118.255
1043272800,118.255,118.255,117.83,117.83
1043618400,117.85,118.685,117.85,118.685
1043791200,118.685,119.055,118.495,119.055
1043964000,119.055,120.235,119.055,120.235
1044309600,120.235,120.235,119.715,119.955
1044482400,119.955,120.28,119.865,120.28
1044828000,120.41,121.265,120.41,121.005
1045000800,121.005,121.285,120.645,120.645
1045173600,120.645,120.645,120.145,120.145
1045519200,120.145,120.145,118.745,118.745
1045692000,118.745,118.745,118.305,118.74
1046037600,118.82,118.82,117.265,117.265
1046210400,117.265,117.555,117.085,117.555
1046383200,117.555,118.19,117.555,117.605
1046728800,117.605,117.885,117.285,117.285
1046901600,117.285,117.405,117.07,117.07
1047247200,117.08,117.125,116.825,117.125
1047420000,117.125,118.535,117.125,118.535
1047592800,118.535,118.535,118.23,118.455
1047938400,118.455,120.46,118.455,120.46
1048111200,120.46,121.5,120.205,121.5
1048456800,121.17,121.17,120.155,120.155
1048629600,120.155,120.155,119.945,119.945
1048802400,119.945,119.945,117.975,117.975
1049148000,117.975,118.915,117.975,118.915
1049320800,118.915,119.96,118.915,119.96
1049662800,120.39,120.39,119.775,119.895
1049835600,119.895,120.055,119.665,119.665
1050008400,119.665,120.54,119.665,120.305
1050354000,120.305,120.305,119.555,119.555
1050526800,119.555,119.77,119.555,119.77
1050872400,119.69,120.47,119.69,119.995
1051045200,119.995,120.305,119.985,119.985
1051218000,119.985,120.465,119.985,120.465
1051563600,120.465,120.465,119.015,119.015
1051736400,119.015,119.05,118.545,119.05
1052082000,119.03,119.03,117.525,117.525
1052254800,117.525,117.525,116.45,117.065
1052427600,117.065,117.42,117.005,117.005
1052773200,117.005,117.005,116.32,116.32
1052946000,116.32,116.485,116.06,116.06
1053291600,115.45,117.125,115.45,116.685
1053464400,116.685,117.495,116.685,117.195
1053637200,117.195,117.195,116.83,116.835
1053982800,116.835,118.605,116.835,118.605
1054155600,118.605,119.32,117.945,119.32
1054501200,119.64,119.64,118.615,119.165
1054674000,119.165,119.165,117.745,117.745
1054846800,117.745,118.75,117.745,118.235
1055192400,118.235,118.235,117.765,117.765
1055365200,117.765,117.765,117.43,117.43
1055710800,117.4,118.125,117.4,118.125
1055883600,118.125,118.315,117.855,118.315
1056056400,118.315,118.5,117.785,117.785
1056402000,117.785,117.98,117.785,117.98
1056574800,117.98,119.57,117.98,119.57
1056920400,119.62,119.755,119.415,119.415
1057093200,119.415,119.415,118.115,118.195
1057266000,118.195,118.205,118.06,118.205
1057611600,118.205,118.205,117.925,117.925
1057784400,117.925,117.925,117.68,117.87
1058130000,117.76,118.035,117.76,118.035
1058302800,118.035,118.8,118.035,118.8
1058475600,118.8,118.8,118.415,118.415
1058821200,118.415,119.155,118.415,118.785
1058994000,118.785,118.935,118.77,118.77
1059339600,119.01,119.935,119.01,119.935
1059512400,119.935,120.545,119.935,120.545
1059685200,120.545,120.545,120.14,120.325
1060030800,120.325,120.325,119.845,120.275
1060203600,120.275,120.275,118.945,119.08
1060549200,119.13,119.13,118.595,118.735
1060722000,118.735,119.165,118.735,119.145
1060894800,119.145,119.455,119.13,119.455
1061240400,119.455,119.455,118.085,118.085
1061413200,118.085,118.085,117.56,117.56
1061758800,117.66,117.66,117.325,117.355
1061931600,117.355,117.435,117.335,117.335
1062104400,117.335,117.335,116.555,116.555
1062450000,116.555,116.595,115.885,115.885
1062622800,115.885,116.82,115.885,116.82
1062968400,116.83,116.855,116.83,116.855
1063141200,116.855,117.11,116.855,117.11
1063314000,117.11,117.475,117.11,117.475
1063659600,117.475,117.475,116.025,116.025
1063832400,116.025,116.025,113.94,113.94
1064178000,112.62,112.62,112.225,112.285
1064350800,112.285,112.285,111.735,112.245
1064523600,112.245,112.245,110.775,110.775
1064869200,110.775,111.51,110.675,110.675
1065042000,110.675,110.88,110.675,110.88
1065387600,110.99,110.99,109.93,109.93
1065560400,109.93,109.93,109.085,109.085
1065733200,109.085,109.085,108.49,108.92
1066078800,108.92,109.535,108.865,109.535
1066251600,109.535,109.955,109.37,109.37
1066597200,109.08,110.385,109.08,109.495
1066770000,109.495,109.515,108.985,109.515
1066942800,109.515,109.515,108.545,108.545
1067292000,108.545,108.545,108.255,108.255
1067464800,108.255,109.93,108.255,109.93
1067810400,109.86,111.175,109.585,109.585
1067983200,109.585,110.245,109.585,110.245
1068156000,110.245,110.245,108.525,108.525
1068501600,108.525,108.795,108.525,108.795
1068674400,108.795,108.795,108.155,108.31
1069020000,108.27,108.925,108.075,108.075
1069192800,108.075,109.275,108.075,108.945
1069365600,108.945,109.435,108.77,109.435
1069711200,109.435,109.435,108.98,108.98
1069884000,108.98,109.61,108.98,109.61
1070229600,109.69,109.69,108.625,108.625
1070402400,108.625,108.625,108.195,108.305
1070575200,108.305,108.305,107.365,107.365
1070920800,107.365,108.265,107.025,108.265
1071093600,108.265,108.265,107.74,107.74
1071439200,108.305,108.305,107.505,107.505
1071612000,107.505,107.575,107.415,107.575
1071784800,107.575,107.84,107.535,107.535
1072130400,107.535,107.535,107.34,107.34
1072303200,107.34,107.48,107.28,107.48
1072648800,107.33,107.33,107.035,107.065
1072821600,107.065,107.065,106.915,106.915
1072908000,106.915,107.39,106.915,106.94
1073253600,107.06,107.06,106.215,106.215
1073426400,106.215,106.265,106.185,106.185
1073599200,106.185,106.72,106.185,106.695
1073944800,106.695,106.695,106.215,106.215
1074117600,106.215,106.72,106.215,106.72
1074463200,106.68,107.255,106.68,107.075
1074636000,107.075,107.075,106.005,106.005
1074808800,106.005,106.57,106.005,106.325
1075154400,106.325,106.325,105.635,106.025
1075327200,106.025,106.025,105.76,105.76
1075672800,105.68,105.68,105.515,105.515
1075845600,105.515,105.905,105.495,105.905
1076018400,105.905,105.905,105.455,105.625
1076364000,105.625,105.625,105.375,105.375
1076536800,105.375,105.46,105.375,105.46
1076882400,105.51,105.675,105.475,105.675
1077055200,105.675,107.185,105.675,107.185
1077228000,107.185,109.07,107.185,108.405
1077573600,108.405,109.045,108.165,109.045
1077746400,109.045,109.645,108.96,108.96
1078092000,109.07,110.105,108.955,110.105
1078264800,110.105,111.055,110.045,111.055
1078437600,111.055,112.06,111.055,111.175
1078783200,111.175,111.335,110.775,110.775
1078956000,110.775,110.935,110.775,110.88
1079301600,110.73,110.73,108.835,108.835
1079474400,108.835,108.835,106.775,106.775
1079647200,106.775,106.81,106.76,106.795
1079992800,106.795,106.795,106.245,106.245
1080165600,106.245,106.245,105.95,105.95
1080511200,105.85,105.85,105.505,105.685
1080684000,105.685,105.685,103.715,103.715
1080856800,103.715,104.915,103.715,104.915
1081198800,104.915,105.725,104.915,105.255
1081371600,105.255,106.45,105.255,106.45
1081717200,106.31,106.585,105.385,106.585
1081890000,106.585,108.655,106.585,108.275
1082062800,108.275,108.445,107.74,108.445
1082408400,108.445,109.405,108.445,109.405
1082581200,109.405,109.415,108.97,108.97
1082926800,108.96,109.415,108.595,109.415
1083099600,109.415,110.065,109.415,109.905
1083272400,109.905,110.52,109.905,110.345
1083618000,110.345,110.345,108.695,108.695
1083790800,108.695,112.22,108.695,112.22
1084136400,112.3,113.675,112.3,113.165
1084309200,113.165,114.505,112.985,114.505
1084482000,114.505,114.505,114.195,114.325
1084827600,114.325,114.325,113.115,113.115
1085000400,113.115,113.115,112.29,112.29
1085346000,112.09,112.935,111.755,111.755
1085518800,111.755,111.915,110.855,110.855
1085691600,110.855,110.855,109.525,109.525
1086037200,109.525,110.615,109.525,109.895
1086210000,109.895,111.15,109.895,111.15
1086555600,110.96,110.96,109.555,109.645
1086728400,109.645,110.435,109.335,109.335
1086901200,109.335,111.025,109.335,111.025
1087246800,111.025,111.025,109.515,110.085
1087419600,110.085,110.085,108.88,108.88
1087765200,108.8,109.285,108.8,109.285
1087938000,109.285,109.285,107.155,107.155
1088110800,107.155,107.945,107.155,107.945
1088456400,107.945,108.765,107.945,108.765
1088629200,108.765,108.765,108.32,108.32
1088974800,108.32,109.485,108.32,109.485
1089147600,109.485,109.485,108.625,108.995
1089320400,108.995,108.995,107.92,108.275
1089666000,108.275,109.165,108.275,109.165
1089838800,109.165,109.795,108.69,108.69
1090184400,108.84,108.84,108.235,108.685
1090357200,108.685,109.805,108.685,109.785
1090530000,109.785,110.18,109.785,109.965
1090875600,109.965,111.665,109.965,111.665
1091048400,111.665,112.005,111.35,111.35
1091394000,111.045,111.045,110.565,110.565
1091566800,110.565,111.825,110.565,111.825
1091739600,111.825,111.825,110.42,110.615
1092085200,110.615,111.3,110.615,110.935
1092258000,110.935,110.935,110.71,110.71
1092603600,110.34,110.485,110.065,110.065
1092776400,110.065,110.065,109.335,109.365
1092949200,109.365,109.835,109.11,109.835
1093294800,109.835,110.185,109.625,110.185
1093467600,110.185,110.185,109.68,109.68
1093813200,109.61,109.875,109.155,109.155
1093986000,109.155,109.535,109.155,109.475
1094158800,109.475,110.48,109.475,110.145
1094504400,110.145,110.145,109.345,109.345
1094677200,109.345,109.685,109.345,109.67
1095022800,109.52,110.045,109.52,109.645
1095195600,109.645,110.015,109.575,109.575
1095368400,109.575,109.885,109.575,109.885
1095714000,109.885,110.605,109.655,110.605
1095886800,110.605,110.785,110.605,110.63
1096232400,110.53,111.385,110.53,111.385
1096405200,111.385,111.385,110.055,110.055
1096578000,110.055,110.985,110.055,110.985
1096923600,110.985,111.345,110.985,111.345
1097096400,111.345,111.345,109.52,109.52
1097442000,109.49,109.695,109.355,109.695
1097614800,109.695,109.765,109.675,109.675
1097787600,109.675,109.675,109.255,109.255
1098133200,109.255,109.255,108.245,108.245
1098306000,108.245,108.245,107.475,107.475
1098651600,107.22,107.22,106.715,106.715
1098824400,106.715,106.715,106.295,106.295
1098997200,105.84,106.465,105.84,106.465
1099346400,106.465,106.465,106.165,106.245
1099519200,106.245,106.245,105.59,105.59
1099864800,105.39,105.735,105.39,105.735
1100037600,105.735,107.155,105.735,106.615
1100210400,106.615,106.615,105.315,105.315
1100556000,105.315,105.375,104.005,104.005
1100728800,104.005,104.215,103.09,103.09
1101074400,103.08,103.385,103.08,103.385
1101247200,103.385,103.385,102.555,102.555
1101420000,102.555,102.835,102.555,102.835
1101765600,102.835,102.905,102.665,102.665
1101938400,102.665,103.225,102.08,102.08
1102284000,102.04,103.225,102.04,102.865
1102456800,102.865,104.565,102.865,104.565
1102629600,104.565,105.35,104.565,104.875
1102975200,104.875,105.545,104.265,104.265
1103148000,104.265,104.755,104.26,104.26
1103493600,103.93,104.345,103.93,104.345
1103666400,104.345,104.345,103.575,103.575
1103839200,103.575,103.69,103.035,103.035
1104184800,103.035,103.895,103.035,103.895
1104357600,103.895,103.895,102.41,102.41
1104703200,102.72,104.805,102.365,104.565
1104876000,104.565,105.185,103.775,105.015
1105048800,105.015,105.13,103.865,104.35
1105394400,104.35,104.35,102.1405,102.4405
1105567200,102.4405,103.205,101.7835,102.04
1105912800,102,102.9985,101.6935,102.2605
1106085600,102.2605,103.6035,102.0305,103.4205
1106258400,103.4205,103.9185,102.5425,102.6415
1106604000,102.6415,104.3565,102.5135,103.0785
1106776800,103.0785,103.7865,102.3805,103.28
1107122400,103.58,104.0805,103.3485,103.6805
