time,open,high,low,close
1028494800,4.59,4.665,4.59,4.61
1028667600,4.61,4.7,4.61,4.63
1028840400,4.63,4.725,4.58,4.59
1029186000,4.59,4.68,4.46,4.46
1029358800,4.46,4.575,4.46,4.49
1029704400,4.49,4.54,4.4,4.44
1029877200,4.44,4.49,4.39,4.46
1030050000,4.46,4.48,4.39,4.44
1030395600,4.44,4.54,4.32,4.5
1030568400,4.5,4.57,4.45,4.45
1030914000,4.45,4.5,4.43,4.47
1031086800,4.47,4.54,4.45,4.52
1031259600,4.52,4.595,4.51,4.57
1031605200,4.57,4.58,4.51,4.55
1031778000,4.55,4.62,4.54,4.54
1032123600,4.54,4.585,4.52,4.57
1032296400,4.57,4.67,4.565,4.65
1032469200,4.65,4.66,4.59,4.62
1032814800,4.61,4.69,4.57,4.58
1032987600,4.58,4.64,4.48,4.48
1033333200,4.48,4.56,4.46,4.46
1033506000,4.46,4.51,4.46,4.47
1033678800,4.47,4.49,4.44,4.44
1034024400,4.44,4.46,4.33,4.35
1034197200,4.35,4.37,4.27,4.31
1034542800,4.31,4.37,4.25,4.31
1034715600,4.31,4.42,4.28,4.34
1034888400,4.34,4.41,4.3,4.34
1035234000,4.34,4.47,4.32,4.4
1035406800,4.4,4.45,4.31,4.4
1035756000,4.4,4.56,4.38,4.5
1035928800,4.49,4.57,4.43,4.5
1036101600,4.5,4.6,4.41,4.48
1036447200,4.48,4.56,4.43,4.49
1036620000,4.48,4.64,4.46,4.52
1036965600,4.52,4.64,4.49,4.59
1037138400,4.56,4.67,4.49,4.56
1037311200,4.55,4.62,4.5,4.53
1037656800,4.53,4.6,4.5,4.53
1037829600,4.53,4.59,4.42,4.53
1038175200,4.53,4.57,4.4,4.43
1038348000,4.43,4.5,4.38,4.42
1038520800,4.42,4.5,4.38,4.43
1038866400,4.43,4.63,4.4,4.56
1039039200,4.56,4.75,4.53,4.64
1039384800,4.64,4.68,4.52,4.6
1039557600,4.57,4.79,4.57,4.7
1039730400,4.7,4.85,4.6,4.67
1040076000,4.67,4.79,4.57,4.66
1040248800,4.66,4.79,4.57,4.6
1040594400,4.6,4.7,4.57,4.65
1040767200,4.65,4.74,4.62,4.67
1040940000,4.67,4.78,4.62,4.65
1041285600,4.65,4.82,4.61,4.77
1041372000,4.77,4.855,4.71,4.78
1041544800,4.78,4.96,4.74,4.87
1041890400,4.87,4.92,4.73,4.84
1042063200,4.84,4.9,4.78,4.83
1042408800,4.83,4.88,4.7,4.74
1042581600,4.74,4.87,4.6,4.81
1042754400,4.81,4.86,4.75,4.79
1043100000,4.79,4.88,4.72,4.82
1043272800,4.83,4.97,4.74,4.86
1043618400,4.88,4.96,4.75,4.84
1043791200,4.83,4.94,4.74,4.84
1043964000,4.84,4.92,4.79,4.82
1044309600,4.82,4.98,4.71,4.72
1044482400,4.72,4.795,4.63,4.63
1044828000,4.63,4.745,4.53,4.57
1045000800,4.57,4.595,4.48,4.52
1045173600,4.52,4.565,4.49,4.49
1045519200,4.49,4.62,4.46,4.61
1045692000,4.61,4.71,4.61,4.66
1046037600,4.66,4.76,4.62,4.63
1046210400,4.63,4.68,4.56,4.56
1046383200,4.56,4.665,4.55,4.65
1046728800,4.65,4.7,4.61,4.63
1046901600,4.63,4.69,4.6,4.66
1047247200,4.66,4.7,4.64,4.68
1047420000,4.68,4.68,4.51,4.53
1047592800,4.53,4.585,4.44,4.45
1047938400,4.45,4.55,4.41,4.41
