time,open,high,low,close
1042754400,4.81,4.86,4.72,4.79
1043186400,4.79,4.97,4.74,4.86
1043618400,4.88,4.96,4.75,4.78
1043877600,4.78,4.94,4.74,4.82
1044309600,4.82,4.98,4.66,4.66
1044568800,4.66,4.745,4.53,4.57
1045000800,4.57,4.595,4.48,4.53
1045432800,4.53,4.62,4.46,4.61
1045692000,4.61,4.725,4.61,4.71
1046124000,4.71,4.76,4.56,4.56
1046383200,4.56,4.7,4.55,4.65
1046815200,4.65,4.69,4.6,4.66
1047247200,4.66,4.7,4.63,4.63
1047506400,4.63,4.635,4.44,4.45
1047938400,4.45,4.55,4.4,4.4
1048197600,4.4,4.43,4.34,4.38
1048629600,4.38,4.45,4.37,4.43
1049061600,4.43,4.49,4.36,4.39
1049320800,4.4,4.47,4.37,4.42
1049749200,4.42,4.525,4.41,4.48
1050008400,4.49,4.545,4.46,4.51
1050440400,4.51,4.52,4.46,4.48
1050872400,4.48,4.65,4.48,4.61
1051131600,4.61,4.65,4.54,4.57
1051563600,4.57,4.765,4.55,4.74
1051822800,4.74,4.81,4.73,4.77
1052254800,4.8,4.8,4.71,4.77
1052686800,4.78,4.88,4.775,4.85
1052946000,4.86,4.86,4.75,4.82
1053378000,4.82,4.85,4.64,4.64
1053637200,4.65,4.69,4.61,4.61
1054069200,4.61,4.66,4.51,4.52
1054501200,4.52,4.56,4.48,4.49
1054760400,4.49,4.58,4.48,4.51
1055192400,4.51,4.59,4.43,4.5
1055451600,4.5,4.64,4.5,4.61
1055883600,4.62,4.62,4.52,4.52
1056315600,4.52,4.575,4.5,4.55
1056574800,4.56,4.57,4.505,4.55
1057006800,4.55,4.685,4.54,4.67
1057266000,4.67,4.755,4.65,4.73
1057698000,4.73,4.87,4.73,4.78
1058130000,4.78,4.81,4.63,4.65
1058389200,4.65,4.77,4.63,4.75
1058821200,4.73,5.155,4.72,5.07
1059080400,5.08,5.22,5.02,5.14
1059512400,5.15,5.215,5.04,5.08
1059944400,5.09,5.11,4.91,4.96
1060203600,4.97,5.075,4.92,4.97
1060635600,4.99,5.05,4.83,5.01
1060894800,5.03,5.03,4.88,4.98
1061326800,4.96,5.03,4.92,4.98
1061758800,4.99,5.14,4.94,5.1
1062018000,5.12,5.17,5.07,5.14
1062450000,5.11,5.165,4.95,5.01
1062709200,5.02,5.27,4.99,5.235
1063141200,5.24,5.33,5.16,5.18
1063573200,5.18,5.25,5.09,5.25
1063832400,5.27,5.32,5.16,5.23
1064264400,5.25,5.35,5.16,5.18
1064523600,5.19,5.28,5.04,5.11
1064955600,5.1,5.16,4.8,4.8
1065387600,4.83,4.91,4.73,4.86
1065646800,4.87,4.96,4.77,4.92
1066078800,4.96,4.965,4.86,4.89
1066338000,4.9,5.06,4.89,5.03
1066770000,5.05,5.19,5.04,5.15
1067205600,5.16,5.195,5.07,5.12
1067464800,5.12,5.2,4.9,4.9
1067896800,4.93,5.09,4.91,4.91
1068156000,4.94,5.09,4.94,5.05
1068588000,5.05,5.405,5.05,5.38
1069020000,5.36,5.45,5.13,5.26
1069279200,5.26,5.33,5.19,5.23
1069711200,5.23,5.38,5.18,5.31
1069970400,5.3,5.52,5.3,5.48
1070402400,5.49,5.49,5.36,5.45
1070834400,5.42,5.69,5.42,5.56
1071093600,5.55,5.63,5.48,5.62
1071525600,5.61,5.72,5.6,5.69
1071784800,5.72,5.74,5.66,5.7
1072216800,5.73,5.77,5.7,5.75
1072648800,5.74,6,5.72,5.93
1072908000,5.93,6.26,5.93,6.2
1073340000,6.19,6.4,6.14,6.18
1073599200,6.18,6.74,6.18,6.55
1074031200,6.56,6.62,6.17,6.3
1074463200,6.3,6.4,6.09,6.18
1074722400,6.2,6.395,6.16,6.255
1075154400,6.25,6.63,6.11,6.23
1075413600,6.23,6.29,5.95,6.09
1075845600,6.11,6.43,6.03,6.25
1076277600,6.23,6.58,6.12,6.54
1076536800,6.55,6.715,6.4,6.56
1076968800,6.55,6.86,6.54,6.65
1077228000,6.66,6.675,6.39,6.59
1077660000,6.61,6.79,6.29,6.68
1078092000,6.69,6.99,6.54,6.74
1078351200,6.75,7.03,6.7,6.95
1078783200,6.97,7.24,6.91,7.17
1079042400,7.08,7.25,6.92,7.15
1079474400,7.13,7.68,7.1,7.54
1079906400,7.53,7.74,7.43,7.6
1080165600,7.6,7.77,7.46,7.59
1080597600,7.59,8.18,7.59,8.11
1080856800,8.11,8.44,7.9,8.21
1081285200,8.23,8.26,8.03,8.06
1081717200,8.08,8.23,6.83,7.02
1081976400,7.03,7.28,6.85,7.17
1082408400,7.16,7.21,6,6.02
1082667600,6.12,6.29,6.04,6.28
1083099600,6.26,6.29,5.54,6.06
1083531600,6.06,6.15,5.85,6.1
1083790800,6.1,6.1,5.45,5.56
1084222800,5.76,5.76,5.5,5.6
1084482000,5.6,5.88,5.56,5.66
1084914000,5.65,5.93,5.59,5.84
1085346000,5.83,6.16,5.79,6.05
1085605200,6.04,6.23,6.04,6.16
1086037200,6.16,6.18,5.7,5.71
1086296400,5.72,5.92,5.65,5.74
1086728400,5.76,5.89,5.54,5.7
1087160400,5.7,5.775,5.64,5.71
1087419600,5.7,6.04,5.7,5.84
1087851600,5.85,6.18,5.79,6.14
1088110800,6.14,6.19,5.79,5.82
1088542800,5.9,6.04,5.72,5.97
1088974800,5.93,6.12,5.88,6.09
1089234000,5.96,6.57,5.96,6.5
1089666000,6.5,6.66,6.26,6.63
1089925200,6.62,6.745,6.44,6.51
1090357200,6.62,6.62,6.22,6.31
1090789200,6.31,6.35,6.1,6.19
1091048400,6.19,6.67,6.19,6.6
1091480400,6.59,6.8,6.38,6.73
1091739600,6.71,6.86,6.57,6.66
1092171600,6.69,6.7,6.45,6.59
1092603600,6.48,6.85,6.48,6.8
1092862800,6.74,6.98,6.64,6.68
1093294800,6.72,6.84,6.52,6.65
1093554000,6.66,6.805,6.55,6.74
1093986000,6.73,6.79,6.46,6.52
1094418000,6.54,6.64,6.07,6.15
1094677200,6.17,6.22,6.04,6.165
1095109200,6.17,6.39,6.13,6.25
1095368400,6.26,6.39,6.18,6.34
1095800400,6.33,6.47,6.25,6.38
1096232400,6.36,6.7,6.36,6.65
1096491600,6.63,6.94,6.58,6.71
1096923600,6.7,7.25,6.66,7.16
1097182800,7.17,7.29,6.94,7
1097614800,7.2,7.2,6.74,7.05
1098046800,7.03,7.36,6.88,7.29
1098306000,7.09,7.48,7.09,7.33
1098738000,7.38,7.4,7.04,7.1
1098997200,7.13,7.49,6.9,7
1099432800,6.98,7.48,6.97,7.46
1099864800,7.31,7.55,7.31,7.38
1100124000,7.46,7.63,7.38,7.51
1100556000,7.53,7.8,7.46,7.52
1100815200,7.53,7.64,7.49,7.51
1101247200,7.52,7.77,7.52,7.64
1101679200,7.69,8.05,7.61,7.99
1101938400,8,8.155,7.74,7.87
1102370400,7.98,7.98,6.57,6.74
1102629600,6.75,7.01,6.57,6.7
1103061600,6.67,6.91,6.63,6.74
1103493600,6.74,6.91,6.74,6.8
1103752800,6.8,7.03,6.79,6.94
1104184800,6.94,7.025,6.75,6.79
1104444000,6.81,6.82,6.77,6.79
1104703200,6.79,6.79,6.26,6.51
1104962400,6.49,6.58,6.37,6.42
1105394400,6.42,6.84,6.42,6.73
1105653600,6.73,6.73,6.54,6.61
1106085600,6.62,6.86,6.46,6.78
1106517600,6.77,6.865,6.57,6.76
1106776800,6.76,6.85,6.61,6.71
1107208800,6.72,6.79,6.59,6.65
1107468000,6.74,6.74,6.47,6.53
1107900000,6.51,7.22,6.49,7.16
1108332000,7.17,7.38,7.04,7.21
1108591200,7.21,7.43,7.18,7.38
1109023200,7.38,7.72,7.28,7.31
1109282400,7.3,7.44,7.15,7.2
1109714400,7.2,7.37,7.08,7.32
1110146400,7.32,7.62,7.22,7.55
1110405600,7.55,7.61,7.35,7.37
1110837600,7.38,7.48,7.28,7.35
1111096800,7.37,7.45,6.92,6.92
1111528800,6.92,7.04,6.89,6.92
1111960800,6.92,7.135,6.82,7.11
1112220000,7.1,7.19,6.88,7.01
1112648400,7.02,7.14,6.92,7.02
1112907600,7.02,7.28,7.01,7.16
1113339600,7.15,7.24,6.98,6.99
1113771600,6.98,7.33,6.94,7.28
1114030800,7.28,7.32,7.19,7.24
1114462800,7.23,7.3,6.88,6.92
1114722000,6.93,7.12,6.785,6.88
1115154000,6.87,7.1,6.85,6.91
1115586000,6.92,7.145,6.92,7.04
1115845200,7.03,7.05,6.85,6.93
1116277200,6.89,7.21,6.89,7.09
1116536400,7.2,7.2,6.92,6.99
1116968400,6.98,7.285,6.98,7.23
1117400400,7.27,7.58,7.13,7.44
1117659600,7.43,7.64,7.43,7.49
1118091600,7.48,7.53,7.2,7.24
1118350800,7.25,7.29,7.14,7.24
1118782800,7.25,7.44,7.25,7.31
1119214800,7.34,7.43,7.16,7.22
1119474000,7.26,7.3,7.19,7.19
1119906000,7.2,7.25,7,7.02
1120165200,7.02,7.11,6.83,6.83
1120597200,6.87,7.05,6.84,6.99
1121029200,6.93,7.13,6.93,7
1121288400,7.01,7.08,6.9,6.99
1121720400,6.97,7.175,6.93,7.11
1121979600,7.11,7.14,6.98,6.98
1122411600,6.98,7.235,6.9,7.19
1122843600,7.21,7.32,7.21,7.27
1123102800,7.26,7.29,6.98,6.99
1123534800,7,7.19,6.89,7.15
1123794000,7.16,7.22,6.93,7.01
1124226000,7.01,7.03,6.89,7
1124658000,6.97,7.09,6.87,6.93
1124917200,6.91,6.96,6.71,6.79
1125349200,6.79,6.99,6.66,6.97
1125608400,6.96,7.07,6.89,7.03
1126040400,7.03,7.11,6.93,7
1126472400,6.96,7.07,6.88,7.03
1126731600,7.05,7.45,6.95,7.29
1127163600,7.29,7.47,7.27,7.33
1127422800,7.33,7.44,7.19,7.26
1127854800,7.267,7.59,7.25,7.45
1128286800,7.415,7.45,7.32,7.39
1128546000,7.39,7.83,7.39,7.78
1128978000,7.8,7.89,7.66,7.7
1129237200,7.69,7.87,7.61,7.77
1129669200,7.76,7.78,7.495,7.64
1130101200,7.62,7.872,7.6,7.76
1130360400,7.76,7.89,7.54,7.56
1130796000,7.55,7.58,7.38,7.51
1131055200,7.57,7.67,7.43,7.6
1131487200,7.62,7.75,7.59,7.735
1131919200,7.73,8.02,7.68,8.02
1132178400,8.02,8.15,7.99,8.15
1132610400,8.15,8.21,8.03,8.14
1132869600,8.15,8.365,8.15,8.28
1133301600,8.29,8.61,8.16,8.535
1133733600,8.535,8.86,8.52,8.81
1133992800,8.8,9.235,8.65,8.72
1134424800,8.7,8.845,8.29,8.52
1134684000,8.51,8.66,8.22,8.22
1135116000,8.24,8.605,8.21,8.56
1135548000,8.56,8.935,8.56,8.9
1135807200,8.9,8.94,8.675,8.81
1136152800,8.81,9.22,8.81,9.11
1136412000,9.11,9.24,8.71,9.155
1136844000,9.15,9.22,8.8,8.94
1137103200,8.93,9.28,8.93,8.98
1137535200,9.01,9.21,8.75,8.87
1137967200,8.865,9.48,8.85,9.46
1138226400,9.48,9.83,9.405,9.8
1138658400,9.82,9.93,9.635,9.83
1138917600,9.85,9.89,9.29,9.29
1139349600,9.3,9.7,9.265,9.35
1139781600,9.37,9.45,9.06,9.19
1140040800,9.21,9.6,9.11,9.51
1140472800,9.52,9.65,9.46,9.5
1140732000,9.52,9.8,9.49,9.74
1141164000,9.74,10.31,9.7,10.19
1141596000,10.19,10.27,9.67,9.79
1141855200,9.81,10.15,9.73,10.12
1142287200,10.11,10.365,10.06,10.32
1142546400,10.31,10.58,10.15,10.48
1142978400,10.48,10.848,10.405,10.738
1143410400,10.738,11.178,10.738,11.153
1143669600,11.153,11.928,11.103,11.74
1144098000,11.74,12.14,11.565,12.115
1144357200,12.115,13.04,11.958,12.508
1144789200,12.508,12.935,12.468,12.905
1145221200,12.905,14.75,12.885,14.695
1145480400,14.695,14.745,11.615,12.005
1145912400,12.005,13.195,11.97,12.635
1146171600,12.635,14.36,12.49,14.3
1146603600,14.3,14.54,13.26,14.005
1147035600,14.005,14.61,13.485,14.575
1147294800,14.575,15.24,13.125,13.16
1147726800,13.16,14.085,12.58,12.67
1147986000,12.67,13.26,11.95,12.985
1148418000,12.985,13.22,12.34,12.75
1148850000,12.75,13.425,12.34,12.545
1149109200,12.545,12.575,11.59,12.12
1149541200,12.12,12.16,11.055,11.24
1149800400,11.24,11.54,9.565,9.574
1150232400,9.574,10.39,9.455,10.285
1150664400,10.285,10.595,9.835,10.48
1150923600,10.48,10.71,10.03,10.305
1151355600,10.305,10.75,10.12,10.74
1151614800,10.74,11.37,10.625,11.285
1152046800,11.285,11.66,11.23,11.345
1152478800,11.345,11.82,10.91,11.57
1152738000,11.57,11.77,10.89,10.93
1153170000,10.93,11.32,10.46,10.92
1153429200,10.92,11.26,10.67,10.945
1153861200,10.945,11.49,10.84,11.35
1154293200,11.35,12.235,11.22,12.155
1154552400,12.155,12.635,11.975,12.285
1154984400,12.285,12.67,12.015,12.18
1155243600,12.18,12.37,11.725,12.165
1155675600,12.165,12.43,11.86,12.055
1156107600,12.055,12.693,12.03,12.495
1156366800,12.495,12.623,11.975,12.07
1156798800,12.07,12.92,11.855,12.849
1157058000,12.849,13.275,12.665,12.97
1157490000,12.97,13.228,11.995,12.14
1157922000,12.14,12.14,10.88,11.185
1158181200,11.185,11.395,10.47,11.183
1158613200,11.183,11.22,10.29,11.165
1158872400,11.165,11.49,11.05,11.395
1159304400,11.395,11.795,11.23,11.438
1159736400,11.438,11.735,10.57,10.805
1159995600,10.805,11.48,10.705,11.298
1160427600,11.298,11.458,11.078,11.37
1160686800,11.37,11.915,11.285,11.725
1161118800,11.725,12.103,11.585,11.903
1161550800,11.903,11.928,11.28,11.91
1161810000,11.91,12.275,11.895,12.135
1162245600,12.135,12.64,11.95,12.59
1162504800,12.59,12.76,12.315,12.62
1162936800,12.62,13.2,12.41,13.025
1163368800,13.025,13.135,12.495,12.915
1163628000,12.915,13.155,12.565,12.77
1164060000,12.77,13.235,12.72,13.11
1164319200,13.11,13.79,13.11,13.76
1164751200,13.76,14.07,13.525,14.018
1165183200,14.018,14.185,13.54,13.605
1165442400,13.605,14,13.45,13.825
1165874400,13.825,13.915,13.585,13.78
1166133600,13.78,13.84,12.293,12.665
1166565600,12.665,12.79,12.35,12.58
1166997600,12.58,12.87,12.58,12.768
1167256800,12.768,12.918,12.753,12.91
1167602400,12.91,13.17,12.54,12.583
1167861600,12.583,12.825,12.048,12.315
1168293600,12.315,12.528,12.188,12.335
1168552800,12.335,12.93,12.305,12.558
1168984800,12.558,12.968,12.37,12.853
1169416800,12.863,13.283,12.77,13.235
1169676000,13.235,13.538,13.158,13.18
1170108000,13.18,13.795,13.083,13.65
1170367200,13.65,13.848,13.233,13.63
1170799200,13.63,13.938,13.475,13.873
1171231200,13.873,14.095,13.498,14.035
1171490400,14.035,14.065,13.823,14.005
1171922400,14.005,14.358,13.68,14.21
1172181600,14.21,14.728,14.068,14.208
1172613600,14.208,14.433,12.74,12.878
1173045600,12.888,13.055,12.41,12.973
1173304800,12.973,13.15,12.808,13.01
1173733200,13.01,13.098,12.615,12.99
1173992400,12.99,13.41,12.965,13.315
1174424400,13.315,13.495,13.15,13.158
1174856400,13.158,13.483,13.158,13.33
1175115600,13.33,13.44,13.013,13.265
1175547600,13.265,13.715,13.228,13.705
1175806800,13.705,14.015,13.61,13.9
1176238800,13.9,14.118,13.7,14.063
1176670800,14.063,14.12,13.813,13.98
1176930000,13.98,14.1,13.585,14.02
1177362000,14.02,14.085,13.175,13.325
1177621200,13.325,13.576,13.17,13.258
1178053200,13.258,13.59,13.051,13.445
1178485200,13.45,13.575,13.188,13.383
1178744400,13.383,13.433,12.958,13.163
1179176400,13.163,13.258,12.708,12.843
1179435600,12.843,13.131,12.788,12.95
1179867600,12.95,13.123,12.795,12.95
1180299600,12.95,13.268,12.91,13.17
1180558800,13.17,13.8,13.105,13.705
1180990800,13.705,13.82,13.408,13.465
1181250000,13.465,13.535,12.955,13.035
1181682000,13.035,13.238,12.846,13.238
1182114000,13.238,13.38,13.09,13.205
1182373200,13.205,13.245,12.835,12.873
1182805200,12.873,12.91,12.143,12.467
1183064400,12.467,12.675,12.26,12.57
1183496400,12.57,12.761,12.355,12.706
1183928400,12.706,12.989,12.656,12.9
1184187600,12.9,13.154,12.855,12.965
1184619600,12.965,13.316,12.89,13.241
1184878800,13.241,13.51,13.223,13.26
1185310800,13.26,13.305,12.612,12.713
1185742800,12.713,13.048,12.648,12.995
1186002000,12.995,13.16,12.903,13
1186434000,13,13.2,12.605,12.675
1186693200,12.675,13.025,12.588,12.71
1187125200,12.71,12.745,11.081,11.736
1187557200,11.739,11.976,11.465,11.655
1187816400,11.655,11.997,11.585,11.775
1188248400,11.775,11.93,11.673,11.8
1188507600,11.8,12.348,11.795,12.255
1188939600,12.255,12.68,12.12,12.53
1189371600,12.53,12.78,12.418,12.638
1189630800,12.638,12.823,12.405,12.79
1190062800,12.79,13.49,12.695,13.355
1190322000,13.355,13.715,13.25,13.475
1190754000,13.475,13.87,13.345,13.763
1191186000,13.763,13.865,13.085,13.31
1191445200,13.31,13.51,13.093,13.28
1191877200,13.28,13.915,13.17,13.78
1192136400,13.78,14.02,13.569,13.632
1192568400,13.632,13.92,13.304,13.522
1193000400,13.522,13.651,13.269,13.589
1193259600,13.589,14.53,13.552,14.518
1193691600,14.518,14.585,13.946,14.1
1193950800,14.1,15.603,14.08,15.585
1194386400,15.585,16.225,14.828,15.46
1194818400,15.49,15.49,14.305,14.983
1195077600,14.983,15.148,14.114,14.21
1195509600,14.21,14.84,14.105,14.538
1195768800,14.538,15.005,14.315,14.475
1196200800,14.475,14.56,13.805,13.985
