time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,EMA,EMA,Correlation
-4322772238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4291236238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4259873038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4228337038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4196801038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4165178638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4070484238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4038948238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4007498638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3975876238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3912717838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3881181838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3849645838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3818023438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3723415438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3691793038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3660343438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3628721038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3565562638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3534026638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3502490638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3471041038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3376260238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3344724238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3313188238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3281565838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3186871438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3155335438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3123885838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
