time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
854406000,770.52,771.43,764.18,765.02,0,NaN,0,-28.988018854562533,NaN
854492400,765.02,776.32,761.75,765.02,0,NaN,0,-48.707720207872484,NaN
854578800,765.02,772.7,765.02,772.5,0,NaN,0,-31.81768267043226,NaN
854665200,772.5,784.17,772.5,784.17,0,NaN,0,-17.84612611365969,NaN
855010800,786.16,787.14,783.12,786.73,0,NaN,0,-20.934688674996632,NaN
855097200,786.73,789.28,783.68,789.26,0,NaN,0,-20.647793495927345,NaN
855183600,789.26,792.71,773.43,778.28,0,NaN,0,-34.24326636664641,NaN
855270000,778.28,780.35,774.45,780.15,0,NaN,0,-42.73879430831053,NaN
855615600,789.56,793.46,784.69,785.43,0,NaN,0,-23.39509666164998,NaN
855702000,785.43,789.6,780.95,789.59,0,NaN,0,-7.678560172135938,NaN
855788400,789.59,802.77,789.59,802.77,0,NaN,0,43.50995091003261,NaN
855874800,802.77,812.93,802.77,811.82,0,NaN,0,68.32949515488684,NaN
856306800,808.48,816.29,806.34,816.29,0,NaN,0,53.52319150977126,NaN
856393200,816.29,817.68,811.2,812.49,0,NaN,0,8.415984629763434,NaN
856479600,812.49,812.49,800.35,802.8,0,NaN,0,-1.673853105429194,NaN
856825200,801.77,810.64,798.42,810.28,0,NaN,0,22.09366568746395,NaN
856911600,810.28,812.85,807.65,812.1,0,NaN,0,51.623914371028874,NaN
856998000,812.1,812.7,798.13,805.68,0,NaN,0,24.760021813303748,NaN
857084400,805.68,805.68,795.06,795.07,0,NaN,0,-6.653697621084521,NaN
857430000,790.82,795.31,785.66,795.31,0,NaN,0,-11.063140121053515,NaN
857516400,795.31,798.93,789.98,790.95,0,NaN,0,-50.967713048272316,NaN
857602800,790.95,801.99,790.95,801.99,0,NaN,0,-42.33311384775257,NaN
857689200,801.99,804.11,797.5,798.56,0,NaN,0,-52.86195962899528,NaN
858034800,804.97,813.66,803.66,813.65,0,NaN,0,-1.626362676409113,NaN
858121200,813.65,814.9,810.77,811.34,0,NaN,0,1.203368638266948,NaN
858207600,811.34,811.34,801.07,804.26,0,NaN,0,-34.939984757225346,NaN
858294000,804.26,804.26,789.44,789.56,0,NaN,0,-79.23068961301828,NaN
858639600,793.17,796.28,782.98,795.71,0,NaN,0,-36.17821383059526,NaN
858726000,795.71,797.18,785.47,789.66,0,NaN,0,-16.166702872472023,NaN
858812400,789.66,791.59,780.03,785.77,0,NaN,0,-19.5108063907994,NaN
858898800,785.77,786.29,778.04,782.65,0,NaN,0,-13.829878573124818,NaN
859244400,784.1,791.01,780.79,790.89,0,NaN,0,-14.349486388127541,NaN
859330800,790.89,798.11,788.39,789.07,0,NaN,0,-15.413168032981302,NaN
859417200,789.07,794.89,786.77,790.5,0,NaN,0,-45.470463625220056,NaN
859503600,790.5,792.58,767.32,773.88,0,NaN,0,-62.01493889513727,NaN
859849200,773.88,773.88,756.13,757.12,0,NaN,0,-87.18264231263075,NaN
859935600,757.12,761.49,751.26,759.64,0,NaN,0,-32.28499812594862,NaN
860022000,759.64,759.65,747.59,750.11,0,NaN,0,-81.13336142295233,NaN
860108400,750.11,751.04,744.4,750.32,0,NaN,0,-73.05357446041394,NaN
860450400,757.9,764.82,757.9,762.13,0,NaN,0,-68.79819708285885,NaN
860536800,762.13,766.25,758.36,766.12,0,NaN,0,-48.874572385883425,NaN
860623200,766.12,769.53,759.15,760.6,0,NaN,0,-94.65025620898996,NaN
860709600,760.6,763.73,757.65,758.34,0,NaN,0,-85.16508852789488,NaN
861055200,737.65,743.73,733.54,743.73,0,NaN,0,-99.99999999999999,NaN
861141600,743.73,754.72,743.73,754.72,0,NaN,0,-57.021831803286716,NaN
861228000,754.72,763.53,751.99,763.53,0,NaN,0,-10.706047213245991,NaN
861314400,763.53,768.55,760.49,761.77,0,NaN,0,-26.416941859041863,NaN
861660000,766.34,767.39,756.38,760.37,0,NaN,0,13.213879216767694,NaN
861746400,760.37,774.64,759.9,774.61,0,NaN,0,22.18860605080132,NaN
861832800,774.61,778.19,771.9,773.64,0,NaN,0,26.874528607786033,NaN
861919200,773.64,779.89,769.72,771.18,0,NaN,0,16.742994145509474,NaN
862264800,765.37,773.89,763.3,772.96,0,NaN,0,27.076200078265053,NaN
862351200,772.96,794.44,772.96,794.05,0,NaN,0,71.7437913812741,NaN
862437600,794.05,804.13,791.21,801.34,0,NaN,0,100,NaN
862524000,801.34,802.95,793.21,798.53,0,NaN,0,76.94458523648409,NaN
862869600,812.97,830.29,811.8,830.24,0,NaN,0,100,NaN
862956000,830.24,832.29,824.7,827.76,0,NaN,0,100,NaN
863042400,827.76,827.76,814.7,815.62,0,NaN,0,71.64663370775465,NaN
863128800,815.62,829.09,811.84,820.26,0,NaN,0,71.27162221599473,NaN
