time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
876780000,966.98,973.46,961.87,970.28,0,NaN,0,-2.956251324893522,NaN
876952800,970.28,973.38,950.77,955.25,0,NaN,0,-17.512827274137095,NaN
877298400,944.16,955.72,941.43,955.61,0,NaN,0,-31.707448857971173,NaN
877471200,955.61,972.61,955.61,968.49,0,NaN,0,-5.919636045133611,NaN
877644000,968.49,968.49,944.16,950.69,0,NaN,0,-25.69190534359842,NaN
877993200,941.64,941.64,855.27,921.85,0,NaN,0,-61.095643569666734,NaN
878166000,921.85,935.24,903.68,903.68,0,NaN,0,-77.96239617684759,NaN
878511600,914.62,939.02,914.62,938.99,0,NaN,0,-55.675232731914406,NaN
878684400,938.99,949.62,932.66,942.76,0,NaN,0,-51.945944329633534,NaN
878857200,942.76,942.85,934.16,938.03,0,NaN,0,-60.64682681302151,NaN
879202800,927.51,935.9,919.63,923.78,0,NaN,0,-68.77170646251645,NaN
879375600,923.78,923.88,900.61,916.66,0,NaN,0,-66.41230561952041,NaN
879721200,928.35,949.66,928.35,946.2,0,NaN,0,-30.712345586664203,NaN
879894000,946.2,947.65,934.83,944.59,0,NaN,0,-41.11126894931331,NaN
880066800,944.59,961.83,944.59,958.98,0,NaN,0,-18.769065925808317,NaN
880412400,963.09,963.09,944.71,950.82,0,NaN,0,0.8498477895761454,NaN
880585200,950.82,956.47,950.82,951.64,0,NaN,0,-0.4935178749282656,NaN
880930800,955.4,974.77,955.4,974.77,0,NaN,0,-19.276878574885448,NaN
881103600,974.78,980.81,966.16,976.77,0,NaN,0,-28.34031465064722,NaN
881276400,976.77,983.36,971.37,973.1,0,NaN,0,-25.82829138152332,NaN
881622000,983.79,985.67,973.81,975.78,0,NaN,0,-21.133230209363724,NaN
881794800,975.78,975.78,951.89,954.94,0,NaN,0,-27.127236518086935,NaN
882140400,953.39,965.96,953.39,963.39,0,NaN,0,-45.295564262518866,NaN
882313200,963.39,974.3,963.39,965.54,0,NaN,0,-43.67931377129147,NaN
882486000,965.54,965.54,950.55,955.3,0,NaN,0,-58.63891463691208,NaN
882831600,946.78,956.73,938.91,939.13,0,NaN,0,-71.84719561012224,NaN
883004400,939.13,942.88,932.7,932.7,0,NaN,0,-65.85184267182217,NaN
883350000,936.46,953.95,936.46,953.36,0,NaN,0,-66.39067736927383,NaN
883522800,953.35,970.84,953.35,970.84,0,NaN,0,-52.24987929521008,NaN
883609200,970.84,975.02,967.41,970.43,0,NaN,0,-52.38282194663621,NaN
883954800,975.04,982.63,969,977.07,0,NaN,0,-43.35020390510281,NaN
884127600,977.07,977.07,952.67,964,0,NaN,0,-51.33468735792086,NaN
884300400,964,964,955.04,956.05,0,NaN,0,-67.94881657316714,NaN
884646000,927.69,952.14,912.83,952.12,0,NaN,0,-73.62558993830834,NaN
884818800,952.12,958.12,948,950.73,0,NaN,0,-68.33787801057741,NaN
885337200,961.51,978.6,961.48,970.81,0,NaN,0,-32.25914741821973,NaN
885510000,970.81,970.81,959.49,963.04,0,NaN,0,-21.111016002158447,NaN
885855600,957.59,973.23,954.24,969.02,0,NaN,0,-32.17623542658547,NaN
886028400,969.02,992.65,969.02,985.49,0,NaN,0,-32.37177738209139,NaN
886374000,980.28,1002.48,980.28,1001.27,0,NaN,0,-20.558948916816174,NaN
886546800,1001.27,1009.52,996.9,1006.9,0,NaN,0,-6.647264773394198,NaN
886719600,1006.9,1013.51,1000.27,1003.54,0,NaN,0,33.35439228792457,NaN
887065200,1012.46,1022.15,1006.28,1019.01,0,NaN,0,41.66642502038749,NaN
887238000,1019.01,1026.3,1008.55,1024.14,0,NaN,0,52.493705109337625,NaN
887756400,1020.09,1032.08,1020.09,1032.08,0,NaN,0,54.049372265141955,NaN
887929200,1032.08,1032.93,1026.62,1028.28,0,NaN,0,35.490208254134785,NaN
888274800,1034.21,1038.73,1028.89,1030.56,0,NaN,0,48.0897540682504,NaN
888447600,1030.56,1048.68,1030.56,1048.67,0,NaN,0,43.48149527196638,NaN
888793200,1049.34,1053.98,1044.7,1047.7,0,NaN,0,45.76732529190819,NaN
888966000,1047.7,1052.02,1042.74,1047.33,0,NaN,0,43.414928007902176,NaN
889138800,1047.33,1047.33,1030.87,1035.05,0,NaN,0,0.12949933707863082,NaN
889484400,1055.69,1064.59,1050.02,1064.25,0,NaN,0,33.382253186830795,NaN
889657200,1064.25,1071.87,1063.54,1069.92,0,NaN,0,36.304196349548356,NaN
890002800,1068.61,1079.46,1068.61,1079.27,0,NaN,0,50.75896046916279,NaN
890175600,1079.27,1085.52,1073.29,1085.52,0,NaN,0,54.8130714434957,NaN
890348400,1085.52,1089.74,1084.3,1089.74,0,NaN,0,48.663654942365056,NaN
890694000,1099.16,1106.75,1094.25,1105.65,0,NaN,0,63.61876233273372,NaN
890866800,1105.65,1113.07,1092.84,1100.8,0,NaN,0,46.85217109270164,NaN
891212400,1095.44,1099.16,1090.02,1093.55,0,NaN,0,29.701190200166707,NaN
891385200,1093.55,1110.13,1093.55,1108.15,0,NaN,0,29.16979264500865,NaN
891558000,1108.15,1121.01,1107.89,1120.01,0,NaN,0,77.35469457323666,NaN
891900000,1122.7,1131.99,1102.44,1109.55,0,NaN,0,19.739754138371808,NaN
892072800,1109.55,1111.6,1098.21,1110.67,0,NaN,0,35.44844468749441,NaN
892418400,1110.67,1110.75,1100.6,1109.69,0,NaN,0,7.498639189151817,NaN
892591200,1109.69,1119.9,1109.48,1119.32,0,NaN,0,26.373524935518624,NaN
892764000,1119.32,1119.32,1105.27,1108.17,0,NaN,0,11.888388049059529,NaN
893109600,1122.72,1129.65,1118.47,1126.67,0,NaN,0,9.95316062510608,NaN
893282400,1126.67,1132.98,1117.49,1119.58,0,NaN,0,11.605760327376018,NaN
893628000,1107.9,1107.9,1076.7,1086.54,0,NaN,0,-21.941524744001942,NaN
893800800,1086.54,1098.24,1081.49,1094.63,0,NaN,0,-16.97606854802762,NaN
893973600,1094.63,1116.97,1094.63,1111.75,0,NaN,0,-6.618794552446243,NaN
894319200,1121,1130.52,1111.16,1115.5,0,NaN,0,13.595248748063995,NaN
894492000,1115.5,1118.39,1094.59,1095.14,0,NaN,0,-27.474839718507557,NaN
894837600,1108.14,1119.13,1103.72,1106.64,0,NaN,0,-11.402567340661227,NaN
895010400,1106.64,1122.22,1102.78,1118.86,0,NaN,0,-24.905838403289927,NaN
895183200,1118.86,1124.03,1112.43,1117.37,0,NaN,0,-11.115850076800198,NaN
895528800,1108.73,1113.5,1097.99,1109.52,0,NaN,0,-54.072637979699735,NaN
895701600,1109.52,1124.45,1107.51,1114.64,0,NaN,0,-36.42393955197517,NaN
896220000,1110.47,1116.79,1074.39,1092.23,0,NaN,0,-34.35712659409134,NaN
896392800,1092.23,1099.73,1089.06,1097.6,0,NaN,0,-42.664574733870666,NaN
896738400,1090.82,1098.71,1084.22,1093.22,0,NaN,0,-70.54023721831939,NaN
896911200,1093.22,1097.43,1078.1,1094.83,0,NaN,0,-74.73832052515115,NaN
897256800,1113.86,1119.7,1113.31,1115.72,0,NaN,0,-28.875156399345514,NaN
897429600,1115.72,1126,1110.27,1112.28,0,NaN,0,-50.18502510312701,NaN
897602400,1112.28,1114.2,1094.28,1094.58,0,NaN,0,-99.99999999999997,NaN
897948000,1098.84,1098.84,1074.67,1087.59,0,NaN,0,-99.99999999999999,NaN
898120800,1087.59,1112.87,1087.58,1106.37,0,NaN,0,-26.78847792421828,NaN
898466400,1100.65,1109.01,1099.42,1103.24,0,NaN,0,-47.086778031342575,NaN
898639200,1103.21,1134.4,1103.21,1132.88,0,NaN,0,11.972544975187802,NaN
898812000,1132.88,1142.04,1127.6,1129.28,0,NaN,0,4.026967963230902,NaN
899157600,1133.2,1145.15,1131.98,1133.84,0,NaN,0,7.5716457184310215,NaN
899330400,1133.84,1148.56,1133.84,1146.42,0,NaN,0,18.64120337502564,NaN
899676000,1146.42,1157.32,1145.03,1157.31,0,NaN,0,7.731724293552148,NaN
899848800,1157.33,1166.89,1152.85,1166.37,0,NaN,0,26.288156633355783,NaN
900021600,1166.38,1166.38,1156.03,1158.56,0,NaN,0,51.06856841929405,NaN
900367200,1164.33,1179.76,1160.21,1177.58,0,NaN,0,100,NaN
900540000,1177.58,1184.02,1170.4,1183.99,0,NaN,0,53.831323348158904,NaN
900885600,1186.75,1190.58,1179.19,1184.1,0,NaN,0,70.38053885253288,NaN
901058400,1184.1,1187.37,1155.2,1164.08,0,NaN,0,11.862500924984332,NaN
901231200,1164.08,1164.35,1139.75,1139.75,0,NaN,0,-10.636974829822982,NaN
901576800,1140.8,1147.27,1119.44,1130.24,0,NaN,0,-21.58473978767436,NaN
901749600,1130.24,1143.07,1121.98,1142.95,0,NaN,0,-17.503704369405504,NaN
902095200,1120.67,1121.79,1110.39,1112.44,0,NaN,0,-74.51643792828156,NaN
902268000,1112.44,1119.73,1057.35,1081.43,0,NaN,0,-99.99999999999999,NaN
902440800,1081.43,1090.95,1074.94,1089.63,0,NaN,0,-72.94697388169692,NaN
902786400,1089.45,1092.82,1054,1068.98,0,NaN,0,-99.99999999999999,NaN
902959200,1068.98,1091.5,1068.98,1074.91,0,NaN,0,-99.99999999999999,NaN
903304800,1062.75,1083.67,1055.08,1083.67,0,NaN,0,-99.99999999999997,NaN
903477600,1083.67,1106.32,1083.67,1098.06,0,NaN,0,-66.90949608696208,NaN
903650400,1098.06,1098.79,1089.55,1091.6,0,NaN,0,-47.498125581997506,NaN
903996000,1081.24,1106.64,1081.24,1092.86,0,NaN,0,-37.7811278551189,NaN
904168800,1092.85,1092.85,1037.61,1042.59,0,NaN,0,-100,NaN
904514400,1027.14,1033.47,957.28,957.28,0,NaN,0,-99.99999999999999,NaN
904687200,957.28,1013.19,939.98,990.47,0,NaN,0,-41.51706829554404,NaN
904860000,990.47,990.47,969.32,982.26,0,NaN,0,-47.64756585268738,NaN
905205600,973.89,1023.46,973.89,1023.46,0,NaN,0,13.443885531425344,NaN
905378400,1023.46,1027.72,968.64,980.19,0,NaN,0,-30.83603258797435,NaN
905724000,1009.06,1038.38,1009.06,1029.72,0,NaN,0,25.16368050916634,NaN
905896800,1029.72,1046.07,1021.42,1045.48,0,NaN,0,26.643110720127368,NaN
906069600,1045.48,1045.48,1016.05,1018.87,0,NaN,0,6.489816664783115,NaN
906415200,1020.09,1033.89,993.82,1029.63,0,NaN,0,12.072772865223861,NaN
