time,open,high,low,close
996613200,4.23,4.25,4.23,4.23
996699600,4.23,4.25,4.23,4.25
996786000,4.25,4.27,4.23,4.23
997045200,4.24,4.25,4.2,4.2
997131600,4.2,4.25,4.13,4.18
997218000,4.18,4.18,4.15,4.16
997304400,4.16,4.24,4.16,4.21
997390800,4.21,4.25,4.13,4.15
997650000,4.14,4.25,4.14,4.16
997736400,4.16,4.24,4.16,4.21
997822800,4.21,4.25,4.15,4.16
997909200,4.16,4.23,4.16,4.21
997995600,4.21,4.29,4.2,4.27
998254800,4.27,4.28,4.16,4.16
998341200,4.16,4.24,4.16,4.19
998427600,4.19,4.23,4.19,4.19
998514000,4.21,4.24,4.2,4.22
998600400,4.23,4.25,4.18,4.18
998859600,4.19,4.21,4.19,4.2
998946000,4.2,4.23,4.19,4.19
999032400,4.19,4.25,4.19,4.19
999118800,4.19,4.21,4.17,4.17
999205200,4.185,4.2,4.18,4.18
999550800,4.19,4.215,4.17,4.17
999637200,4.17,4.19,4.17,4.17
999723600,4.17,4.205,4.17,4.17
999810000,4.17,4.2,4.16,4.17
1000069200,4.17,4.2,4.14,4.17
1000155600,4.17,4.35,4.17,4.25
1000242000,4.25,4.26,4.19,4.22
1000328400,4.22,4.24,4.2,4.21
1000414800,4.21,4.31,4.21,4.31
1000674000,4.28,4.4,4.28,4.37
1000760400,4.37,4.45,4.28,4.44
1000846800,4.44,4.74,4.43,4.67
1000933200,4.67,4.67,4.46,4.5
1001019600,4.5,4.63,4.49,4.59
1001278800,4.59,4.595,4.49,4.56
1001365200,4.56,4.56,4.51,4.51
1001451600,4.51,4.61,4.49,4.57
1001538000,4.58,4.63,4.53,4.58
1001624400,4.58,4.655,4.57,4.63
1001883600,4.63,4.66,4.59,4.65
1001970000,4.64,4.68,4.6,4.6
1002056400,4.6,4.65,4.59,4.59
1002142800,4.59,4.69,4.59,4.61
1002229200,4.61,4.67,4.61,4.65
1002488400,4.65,4.685,4.63,4.63
1002574800,4.63,4.66,4.51,4.51
1002661200,4.51,4.6,4.4,4.41
1002747600,4.42,4.47,4.38,4.4
1002834000,4.4,4.46,4.4,4.45
1003093200,4.44,4.45,4.36,4.38
1003179600,4.38,4.43,4.32,4.34
1003266000,4.34,4.38,4.33,4.35
1003352400,4.35,4.38,4.24,4.25
1003438800,4.25,4.36,4.24,4.25
1003698000,4.26,4.275,4.21,4.22
1003784400,4.24,4.26,4.22,4.22
1003870800,4.22,4.25,4.21,4.21
1003957200,4.21,4.23,4.19,4.2
1004043600,4.2,4.24,4.2,4.2
1004306400,4.22,4.26,4.22,4.23
1004392800,4.23,4.29,4.23,4.25
1004479200,4.25,4.28,4.2,4.21
1004565600,4.23,4.28,4.21,4.21
1004652000,4.22,4.23,4.125,4.13
1004911200,4.13,4.22,4.11,4.11
1004997600,4.11,4.22,4.11,4.14
1005084000,4.14,4.165,4.13,4.15
1005170400,4.16,4.16,4.09,4.09
1005256800,4.1,4.14,4.08,4.09
1005516000,4.09,4.23,4.09,4.14
1005602400,4.14,4.175,4.1,4.15
1005688800,4.15,4.195,4.15,4.16
1005775200,4.16,4.16,4.09,4.13
1005861600,4.14,4.15,4.11,4.11
1006120800,4.11,4.13,4.07,4.07
1006207200,4.07,4.12,4.07,4.07
1006293600,4.08,4.09,4.05,4.05
1006466400,4.05,4.1,4.05,4.09
1006725600,4.09,4.12,4.05,4.05
1006812000,4.05,4.11,4.05,4.06
1006898400,4.07,4.165,4.07,4.14
1006984800,4.13,4.19,4.1,4.1
1007071200,4.1,4.195,4.1,4.16
1007330400,4.16,4.255,4.14,4.23
1007416800,4.24,4.24,4.16,4.16
1007503200,4.18,4.23,4.15,4.21
1007589600,4.22,4.29,4.18,4.23
1007676000,4.24,4.305,4.24,4.28
1007935200,4.28,4.29,4.24,4.25
1008021600,4.25,4.31,4.25,4.29
1008108000,4.3,4.32,4.27,4.27
1008194400,4.28,4.31,4.27,4.3
1008280800,4.31,4.44,4.3,4.41
1008540000,4.41,4.42,4.32,4.4
1008626400,4.4,4.48,4.39,4.44
1008712800,4.45,4.5,4.36,4.36
1008799200,4.37,4.475,4.34,4.45
1008885600,4.45,4.57,4.36,4.51
1009144800,4.51,4.55,4.51,4.53
1009317600,4.53,4.63,4.53,4.55
1009404000,4.6,4.62,4.52,4.52
1009490400,4.52,4.543,4.455,4.53
1009749600,4.54,4.67,4.52,4.61
1009922400,4.61,4.62,4.57,4.57
1010008800,4.57,4.67,4.57,4.64
1010095200,4.65,4.72,4.56,4.69
1010354400,4.66,4.75,4.66,4.74
1010440800,4.74,4.77,4.67,4.72
1010527200,4.72,4.82,4.72,4.8
1010613600,4.79,4.87,4.76,4.76
1010700000,4.75,4.8,4.72,4.75
1010959200,4.75,4.75,4.55,4.55
1011045600,4.56,4.64,4.51,4.61
1011132000,4.62,4.67,4.56,4.61
1011218400,4.63,4.64,4.49,4.49
1011304800,4.49,4.54,4.36,4.36
1011650400,4.35,4.38,4.29,4.29
1011736800,4.29,4.32,4.26,4.26
1011823200,4.26,4.31,4.26,4.27
1011909600,4.27,4.35,4.27,4.31
1012168800,4.31,4.32,4.26,4.27
1012255200,4.26,4.32,4.24,4.3
1012341600,4.3,4.31,4.27,4.29
1012428000,4.29,4.305,4.23,4.23
1012514400,4.24,4.33,4.24,4.31
1012773600,4.3,4.32,4.28,4.29
1012860000,4.29,4.41,4.29,4.4
1012946400,4.39,4.48,4.37,4.38
1013032800,4.36,4.41,4.35,4.37
1013119200,4.37,4.495,4.36,4.45
1013378400,4.45,4.45,4.38,4.42
1013464800,4.42,4.505,4.38,4.47
1013551200,4.47,4.52,4.43,4.51
1013637600,4.5,4.58,4.45,4.55
1013724000,4.55,4.615,4.55,4.55
1013983200,4.55,4.59,4.52,4.52
1014069600,4.53,4.565,4.48,4.48
1014156000,4.48,4.51,4.4,4.41
1014242400,4.41,4.44,4.395,4.43
1014328800,4.42,4.44,4.4,4.4
1014588000,4.4,4.42,4.28,4.38
1014674400,4.38,4.44,4.38,4.43
1014760800,4.43,4.48,4.43,4.45
1014847200,4.45,4.51,4.43,4.5
1014933600,4.5,4.6,4.48,4.56
1015192800,4.56,4.64,4.56,4.6
1015279200,4.6,4.63,4.55,4.55
1015365600,4.56,4.62,4.5,4.52
1015452000,4.52,4.55,4.46,4.46
1015538400,4.46,4.57,4.46,4.5
1015797600,4.5,4.55,4.48,4.48
1015884000,4.48,4.54,4.48,4.48
1015970400,4.49,4.53,4.49,4.52
1016056800,4.52,4.55,4.49,4.5
1016143200,4.51,4.54,4.46,4.48
1016402400,4.48,4.52,4.45,4.48
1016488800,4.49,4.57,4.49,4.52
1016575200,4.52,4.54,4.5,4.52
1016661600,4.51,4.54,4.5,4.51
1016748000,4.5,4.56,4.5,4.53
1017007200,4.53,4.59,4.52,4.58
1017093600,4.57,4.59,4.56,4.59
1017180000,4.61,4.68,4.59,4.67
1017266400,4.66,4.695,4.63,4.63
1017352800,4.63,4.63,4.63,4.63
1017612000,4.63,4.695,4.63,4.67
1017698400,4.67,4.74,4.66,4.73
1017784800,4.73,4.74,4.6,4.66
1017871200,4.65,4.67,4.6,4.62
1017957600,4.62,4.635,4.51,4.57
1018213200,4.57,4.6,4.56,4.56
1018299600,4.56,4.575,4.53,4.53
1018386000,4.55,4.64,4.53,4.62
1018472400,4.62,4.625,4.57,4.57
1018558800,4.58,4.61,4.57,4.58
1018818000,4.58,4.62,4.46,4.46
1018904400,4.46,4.53,4.41,4.41
1018990800,4.41,4.48,4.41,4.45
1019077200,4.45,4.55,4.45,4.5
1019163600,4.5,4.52,4.49,4.49
1019422800,4.5,4.57,4.5,4.55
1019509200,4.55,4.59,4.52,4.57
1019595600,4.58,4.6,4.56,4.56
1019682000,4.56,4.65,4.555,4.61
1019768400,4.61,4.675,4.6,4.64
1020027600,4.65,4.65,4.62,4.62
1020114000,4.63,4.64,4.52,4.53
1020200400,4.53,4.56,4.52,4.53
1020286800,4.53,4.56,4.52,4.54
1020373200,4.54,4.615,4.54,4.6
1020632400,4.6,4.615,4.59,4.61
1020718800,4.61,4.64,4.61,4.62
1020805200,4.62,4.66,4.57,4.58
1020891600,4.58,4.63,4.555,4.62
1020978000,4.62,4.68,4.62,4.66
1021237200,4.66,4.71,4.6,4.61
1021323600,4.61,4.63,4.59,4.6
1021410000,4.6,4.645,4.6,4.63
1021496400,4.63,4.655,4.63,4.63
1021582800,4.64,4.68,4.63,4.66
1021842000,4.66,4.79,4.65,4.77
1021928400,4.77,4.85,4.68,4.81
1022014800,4.82,4.845,4.78,4.82
1022101200,4.82,4.9,4.77,4.88
1022187600,4.88,4.89,4.79,4.86
1022446800,4.86,4.89,4.78,4.79
1022533200,4.79,4.89,4.79,4.86
1022619600,4.87,4.96,4.85,4.92
1022706000,4.92,4.975,4.9,4.95
1022792400,4.96,5.06,4.9,5
1023051600,5,5.085,5,5.07
1023138000,5.08,5.135,5.06,5.06
1023224400,5.07,5.13,4.92,4.93
1023310800,4.94,5.005,4.92,4.98
1023397200,4.98,5.045,4.95,4.95
1023656400,4.96,4.98,4.9,4.91
1023742800,4.91,4.92,4.8,4.88
1023829200,4.88,4.94,4.875,4.89
1023915600,4.89,4.91,4.83,4.83
1024002000,4.83,4.89,4.83,4.85
1024261200,4.85,4.85,4.81,4.81
1024347600,4.82,4.86,4.66,4.85
1024434000,4.86,4.91,4.84,4.86
1024520400,4.87,4.875,4.86,4.87
1024606800,4.87,4.91,4.83,4.84
1024866000,4.84,4.91,4.84,4.85
1024952400,4.85,4.87,4.79,4.83
1025038800,4.83,4.89,4.83,4.83
1025125200,4.83,4.885,4.81,4.85
1025211600,4.86,4.89,4.82,4.82
1025470800,4.82,4.87,4.81,4.86
1025557200,4.86,4.99,4.85,4.93
1025643600,4.93,4.95,4.91,4.93
1025730000,4.93,4.93,4.9,4.9
1025816400,4.89,4.92,4.89,4.92
1026075600,4.92,4.98,4.915,4.96
1026162000,4.96,5.05,4.93,5.04
