time,open,high,low,close
1034024400,4.44,4.46,4.27,4.31
1034542800,4.31,4.42,4.25,4.34
1034888400,4.34,4.47,4.3,4.4
1035406800,4.4,4.56,4.31,4.5
1035928800,4.49,4.6,4.41,4.48
1036447200,4.48,4.64,4.43,4.52
1036965600,4.52,4.67,4.49,4.56
1037311200,4.55,4.62,4.5,4.53
1037829600,4.53,4.59,4.4,4.43
1038348000,4.43,4.5,4.38,4.43
1038866400,4.43,4.75,4.4,4.64
1039384800,4.64,4.79,4.52,4.7
1039730400,4.7,4.85,4.57,4.66
1040248800,4.66,4.79,4.57,4.65
1040767200,4.65,4.78,4.62,4.65
1041285600,4.65,4.82,4.61,4.77
1041372000,4.77,4.96,4.71,4.87
1041890400,4.87,4.92,4.73,4.83
1042408800,4.83,4.88,4.6,4.81
1042754400,4.81,4.88,4.72,4.82
1043272800,4.83,4.97,4.74,4.84
1043791200,4.83,4.94,4.74,4.82
1044309600,4.82,4.98,4.63,4.63
1044828000,4.63,4.745,4.48,4.52
1045173600,4.52,4.62,4.46,4.61
1045692000,4.61,4.76,4.61,4.63
1046210400,4.63,4.68,4.55,4.65
1046728800,4.65,4.7,4.6,4.66
1047247200,4.66,4.7,4.51,4.53
1047592800,4.53,4.585,4.41,4.41
1048111200,4.41,4.44,4.34,4.38
1048629600,4.38,4.49,4.37,4.45
1049148000,4.45,4.47,4.36,4.41
1049662800,4.42,4.525,4.38,4.48
1050008400,4.49,4.545,4.46,4.48
1050526800,4.48,4.6,4.46,4.55
1051045200,4.58,4.65,4.54,4.57
1051563600,4.57,4.805,4.55,4.77
1052082000,4.78,4.81,4.71,4.77
1052427600,4.79,4.88,4.76,4.85
1052946000,4.86,4.86,4.75,4.75
1053464400,4.77,4.79,4.63,4.66
1053982800,4.67,4.69,4.51,4.52
1054501200,4.52,4.56,4.48,4.49
1054846800,4.49,4.59,4.43,4.49
1055365200,4.49,4.64,4.48,4.61
1055883600,4.62,4.62,4.52,4.55
1056402000,4.56,4.575,4.5,4.56
1056920400,4.51,4.685,4.505,4.67
1057266000,4.67,4.815,4.65,4.8
1057784400,4.81,4.87,4.63,4.63
1058302800,4.65,4.77,4.63,4.75
1058821200,4.73,5.155,4.72,5.06
1059339600,5.07,5.22,5.03,5.13
1059685200,5.13,5.17,4.91,4.96
1060203600,4.97,5.075,4.83,4.86
1060722000,4.87,5.05,4.84,4.92
1061240400,4.93,5.03,4.91,4.98
1061758800,4.99,5.14,4.94,5.1
1062104400,5.11,5.17,4.95,5.04
1062622800,5.05,5.27,4.99,5.235
1063141200,5.24,5.33,5.09,5.15
1063659600,5.17,5.32,5.15,5.22
1064178000,5.25,5.35,5.16,5.18
1064523600,5.19,5.28,5.04,5.08
1065042000,5.08,5.12,4.73,4.85
1065560400,4.84,4.96,4.77,4.92
1066078800,4.96,4.965,4.86,4.92
1066597200,4.93,5.165,4.92,5.13
1066942800,5.15,5.195,5.07,5.12
1067464800,5.12,5.2,4.9,5.01
1067983200,5.03,5.09,4.91,5.07
1068501600,5.05,5.405,5.04,5.38
1069020000,5.36,5.45,5.13,5.25
1069365600,5.25,5.38,5.18,5.34
1069884000,5.32,5.52,5.3,5.48
1070402400,5.49,5.54,5.36,5.54
1070920800,5.53,5.69,5.49,5.6
1071439200,5.54,5.72,5.48,5.69
1071784800,5.72,5.76,5.66,5.75
1072303200,5.77,5.96,5.72,5.95
1072821600,5.97,6,5.92,5.93
1072908000,5.93,6.4,5.93,6.28
1073426400,6.29,6.74,6.14,6.55
1073944800,6.57,6.64,6.17,6.3
1074463200,6.3,6.4,6.09,6.33
1074808800,6.32,6.62,6.22,6.5
1075327200,6.23,6.63,5.95,6.09
1075845600,6.11,6.43,6.03,6.37
1076364000,6.41,6.715,6.29,6.55
1076882400,6.53,6.86,6.53,6.65
1077228000,6.66,6.79,6.39,6.51
1077746400,6.52,6.99,6.29,6.7
1078264800,6.7,7.03,6.54,6.95
1078783200,6.97,7.25,6.91,7.02
1079301600,7.03,7.44,7.03,7.43
1079647200,7.43,7.74,7.22,7.6
1080165600,7.6,7.77,7.46,7.74
1080684000,7.75,8.44,7.61,8.11
1081198800,8.09,8.26,8.03,8.06
1081717200,8.08,8.23,6.83,7.06
1082062800,7.07,7.28,6.14,6.26
1082581200,6.19,6.5,6,6.28
1083099600,6.26,6.29,5.54,6.04
1083618000,6.03,6.15,5.57,5.57
1084136400,5.56,5.77,5.45,5.6
1084482000,5.6,5.92,5.56,5.88
1085000400,5.68,6.09,5.68,6.04
1085518800,6.03,6.23,5.96,6.16
1086037200,6.16,6.18,5.65,5.78
1086555600,5.72,5.92,5.54,5.72
1086901200,5.73,5.775,5.61,5.71
1087419600,5.7,6.04,5.7,5.85
1087938000,5.85,6.19,5.81,5.94
1088456400,5.94,6.14,5.72,5.97
1088974800,5.93,6.44,5.88,6.37
1089320400,6.4,6.59,6.26,6.55
1089838800,6.59,6.745,6.44,6.51
1090357200,6.62,6.62,6.15,6.25
1090875600,6.31,6.613,6.1,6.52
1091394000,6.55,6.8,6.38,6.73
1091739600,6.71,6.86,6.45,6.49
1092258000,6.5,6.755,6.47,6.73
1092776400,6.72,6.98,6.62,6.68
1093294800,6.72,6.84,6.52,6.55
1093813200,6.67,6.805,6.57,6.74
1094158800,6.78,6.78,6.07,6.15
1094677200,6.17,6.33,6.04,6.185
1095195600,6.185,6.39,6.13,6.23
1095714000,6.24,6.47,6.24,6.38
1096232400,6.36,6.92,6.36,6.88
1096578000,6.9,7.23,6.66,7.17
1097096400,7.16,7.29,6.94,7
1097614800,7.2,7.2,6.74,6.94
1098133200,7.01,7.37,6.88,7.29
1098651600,7.27,7.48,7.04,7.1
1098997200,7.13,7.49,6.9,7.14
1099519200,7.11,7.55,7.04,7.44
1100037600,7.48,7.63,7.34,7.51
1100556000,7.53,7.8,7.46,7.57
1101074400,7.52,7.72,7.49,7.64
1101420000,7.58,8.05,7.58,7.99
1101938400,8,8.155,7.74,7.82
1102456800,7.76,7.82,6.57,6.79
1102975200,6.79,6.91,6.63,6.74
1103493600,6.74,6.92,6.74,6.86
1103839200,6.79,7.03,6.77,6.8
1104357600,6.98,6.98,6.75,6.79
1104703200,6.79,6.79,6.26,6.41
1105048800,6.39,6.715,6.37,6.7
1105567200,6.7,6.84,6.54,6.61
1106085600,6.62,6.865,6.46,6.81
1106604000,6.82,6.85,6.67,6.76
1107122400,6.76,6.81,6.59,6.65
1107468000,6.74,6.74,6.47,6.58
1107986400,6.53,7.38,6.53,7.29
1108504800,7.29,7.43,7.09,7.38
1109023200,7.38,7.72,7.15,7.29
1109541600,7.3,7.44,7.08,7.19
1109887200,7.2,7.62,7.16,7.55
1110405600,7.55,7.61,7.28,7.36
1110924000,7.36,7.45,7.06,7.07
1111442400,7.08,7.125,6.89,6.92
1111960800,6.92,7.19,6.82,7.1
1112306400,7.11,7.16,6.88,7.08
1112821200,7.07,7.28,7.01,7.16
1113339600,7.15,7.24,6.94,6.99
1113858000,7.01,7.33,6.96,7.25
1114376400,7.26,7.3,6.88,6.92
1114722000,6.93,7.12,6.785,7.02
1115240400,7.02,7.145,6.9,7.07
1115758800,7.08,7.1,6.85,6.93
1116277200,6.89,7.21,6.89,6.92
1116795600,7.2,7.26,6.92,7.11
1117141200,7.1,7.58,7.1,7.44
1117659600,7.43,7.64,7.39,7.39
1118178000,7.39,7.48,7.14,7.25
1118696400,7.23,7.44,7.17,7.31
1119214800,7.34,7.43,7.16,7.23
1119560400,7.22,7.3,7.02,7.03
1120078800,7.06,7.25,6.83,6.83
1120597200,6.87,7.11,6.84,7.07
1121115600,7.07,7.13,6.9,6.95
1121634000,6.96,7.175,6.93,7.11
1121979600,7.11,7.14,6.9,7.04
1122498000,7.02,7.293,7,7.22
1123016400,7.21,7.32,6.98,6.99
1123534800,7,7.22,6.89,7.07
1124053200,7.06,7.17,6.89,6.99
1124398800,6.98,7.09,6.87,6.93
1124917200,6.91,6.96,6.66,6.78
1125435600,6.72,7.07,6.71,7.05
1125954000,7.01,7.11,6.93,7
1126472400,6.96,7.09,6.88,7.07
1126818000,7.07,7.45,7.03,7.41
1127336400,7.42,7.47,7.19,7.26
1127854800,7.267,7.59,7.25,7.38
1128373200,7.38,7.72,7.32,7.7
1128891600,7.71,7.89,7.66,7.7
1129237200,7.69,7.87,7.57,7.59
1129755600,7.6,7.82,7.495,7.78
1130274000,7.78,7.89,7.54,7.56
1130796000,7.55,7.67,7.38,7.54
1131314400,7.52,7.75,7.43,7.67
1131660000,7.68,8.02,7.67,8.02
1132178400,8.02,8.21,7.99,8.18
1132696800,8.17,8.365,8.03,8.34
1133215200,8.33,8.61,8.16,8.535
1133733600,8.535,8.94,8.52,8.94
1134079200,8.92,9.235,8.35,8.38
1134597600,8.38,8.66,8.22,8.22
1135116000,8.24,8.605,8.21,8.56
1135634400,8.56,8.94,8.56,8.81
1136152800,8.81,9.22,8.71,8.72
1136498400,8.72,9.24,8.72,9
1137016800,8.99,9.28,8.88,8.98
1137535200,9.01,9.21,8.75,9.01
1138053600,9.02,9.77,8.9,9.55
1138572000,9.54,9.93,9.54,9.83
1138917600,9.85,9.89,9.265,9.41
1139436000,9.43,9.7,9.06,9.3
1139954400,9.29,9.6,9.085,9.51
1140472800,9.52,9.77,9.46,9.71
1140991200,9.77,10.23,9.58,10.21
1141336800,10.19,10.31,9.67,9.79
1141855200,9.81,10.23,9.73,10.21
1142373600,10.2,10.435,10.12,10.325
1142892000,10.325,10.848,10.15,10.738
1143410400,10.738,11.72,10.738,11.705
1143756000,11.705,11.928,11.39,11.708
1144270800,11.708,13.04,11.7,12.508
1144789200,12.508,13.713,12.468,13.613
1145307600,13.613,14.75,11.615,13.08
1145826000,13.08,13.295,11.79,12.635
1146171600,12.635,14.54,12.49,13.81
1146690000,13.81,14.57,13.485,14.48
1147208400,14.48,15.24,13.125,13.16
1147726800,13.16,14.085,12.15,12.57
1148245200,12.57,13.26,11.95,12.72
1148590800,12.72,13.425,12.34,12.545
1149109200,12.545,12.575,11.59,11.88
1149627600,11.88,12.005,10.965,10.97
1150146000,10.97,11.035,9.455,10.285
1150664400,10.285,10.71,9.835,10.25
1151010000,10.25,10.71,10.03,10.23
1151528400,10.23,11.37,10.23,11.285
1152046800,11.285,11.66,10.91,11.08
1152565200,11.08,11.82,11.015,11.48
1153083600,11.48,11.77,10.46,10.92
1153429200,10.92,11.26,10.67,11.12
