time,open,high,low,close
986763600,4.3,4.41,4.3,4.37
987368400,4.37,4.52,4.34,4.44
987973200,4.45,4.52,4.36,4.36
988578000,4.36,4.42,4.32,4.33
989182800,4.35,4.41,4.195,4.35
989787600,4.33,4.61,4.31,4.57
990392400,4.57,4.69,4.46,4.55
990997200,4.55,4.56,4.38,4.41
991602000,4.41,4.48,4.32,4.37
992206800,4.37,4.53,4.33,4.4
992811600,4.4,4.48,4.3,4.3
993416400,4.3,4.43,4.29,4.31
994021200,4.3,4.39,4.22,4.25
994626000,4.23,4.31,4.23,4.31
995230800,4.3,4.32,4.2,4.23
995835600,4.24,4.295,4.22,4.22
996440400,4.22,4.28,4.21,4.23
997045200,4.24,4.25,4.13,4.15
997650000,4.14,4.29,4.14,4.27
998254800,4.27,4.28,4.16,4.18
998859600,4.19,4.25,4.17,4.18
999464400,4.19,4.215,4.16,4.17
1000069200,4.17,4.35,4.14,4.31
1000674000,4.28,4.74,4.28,4.59
1001278800,4.59,4.655,4.49,4.63
1001883600,4.63,4.69,4.59,4.65
1002488400,4.65,4.685,4.38,4.45
1003093200,4.44,4.45,4.24,4.25
1003698000,4.26,4.275,4.19,4.2
1004306400,4.22,4.29,4.125,4.13
1004911200,4.13,4.22,4.08,4.09
1005516000,4.09,4.23,4.09,4.11
1006120800,4.11,4.13,4.05,4.09
1006725600,4.09,4.195,4.05,4.16
1007330400,4.16,4.305,4.14,4.28
1007935200,4.28,4.44,4.24,4.41
1008540000,4.41,4.57,4.32,4.51
1009144800,4.51,4.63,4.455,4.53
1009749600,4.54,4.67,4.52,4.61
1009836000,4.61,4.75,4.56,4.74
1010440800,4.74,4.87,4.55,4.55
1011045600,4.56,4.67,4.36,4.36
1011650400,4.35,4.38,4.26,4.27
1012255200,4.26,4.33,4.23,4.29
1012860000,4.29,4.495,4.29,4.42
1013464800,4.42,4.615,4.38,4.52
1014069600,4.53,4.565,4.28,4.38
1014674400,4.38,4.64,4.38,4.6
1015279200,4.6,4.63,4.46,4.48
1015884000,4.48,4.55,4.45,4.48
1016488800,4.49,4.59,4.49,4.58
1017093600,4.57,4.695,4.56,4.67
1017698400,4.67,4.74,4.51,4.56
1018299600,4.56,4.64,4.46,4.46
1018904400,4.46,4.57,4.41,4.55
1019509200,4.55,4.675,4.52,4.62
1020114000,4.63,4.64,4.52,4.61
1020718800,4.61,4.71,4.555,4.61
1021323600,4.61,4.79,4.59,4.77
1021928400,4.77,4.9,4.68,4.79
1022533200,4.79,5.085,4.79,5.07
1023138000,5.08,5.135,4.9,4.91
1023742800,4.91,4.94,4.8,4.81
1024347600,4.82,4.91,4.66,4.85
1024952400,4.85,4.89,4.79,4.86
1025557200,4.86,4.99,4.85,4.96
1026162000,4.96,5.15,4.91,5.06
1026766800,5.06,5.1,4.95,5.01
1027371600,5.01,5.03,4.59,4.62
1027976400,4.62,4.68,4.55,4.62
1028581200,4.62,4.725,4.58,4.59
1029186000,4.59,4.68,4.4,4.4
1029790800,4.4,4.49,4.39,4.44
1030395600,4.44,4.57,4.32,4.47
1031000400,4.47,4.595,4.43,4.57
1031605200,4.57,4.62,4.51,4.55
1032210000,4.55,4.67,4.52,4.62
1032814800,4.61,4.69,4.48,4.52
1033419600,4.52,4.54,4.44,4.44
1034024400,4.44,4.46,4.27,4.3
1034629200,4.25,4.42,4.25,4.34
1035234000,4.34,4.47,4.31,4.4
1035842400,4.39,4.6,4.39,4.48
1036447200,4.48,4.64,4.43,4.56
1037052000,4.56,4.67,4.49,4.53
1037656800,4.53,4.6,4.42,4.47
1038261600,4.47,4.52,4.38,4.43
1038866400,4.43,4.75,4.4,4.6
1039471200,4.61,4.85,4.55,4.67
1040076000,4.67,4.79,4.57,4.65
1040680800,4.65,4.78,4.59,4.65
1041285600,4.65,4.82,4.61,4.77
1041372000,4.77,4.96,4.71,4.77
1041976800,4.77,4.9,4.7,4.74
1042581600,4.74,4.87,4.6,4.79
1043186400,4.79,4.97,4.74,4.84
1043791200,4.83,4.95,4.74,4.91
1044396000,4.91,4.98,4.53,4.57
1045000800,4.57,4.595,4.46,4.55
1045605600,4.55,4.76,4.55,4.63
1046210400,4.63,4.7,4.55,4.65
1046815200,4.65,4.7,4.6,4.68
1047420000,4.68,4.68,4.44,4.46
1048024800,4.46,4.5,4.34,4.38
1048629600,4.38,4.49,4.37,4.42
1049234400,4.43,4.525,4.36,4.47
1049835600,4.47,4.545,4.44,4.51
1050440400,4.51,4.6,4.46,4.55
1051045200,4.58,4.65,4.54,4.55
1051650000,4.55,4.81,4.55,4.77
1052254800,4.8,4.88,4.71,4.81
1052859600,4.81,4.87,4.75,4.75
1053464400,4.77,4.79,4.61,4.61
1054069200,4.61,4.66,4.49,4.5
1054674000,4.5,4.59,4.47,4.47
1055278800,4.47,4.64,4.43,4.61
1055883600,4.62,4.62,4.5,4.51
