time,open,high,low,close
703717200,338.6,343,336.7,337.5
704322000,337.5,339.4,334.9,339.3
704926800,338.3,338.5,335.3,336.3
705531600,337.3,340.8,335.1,339.1
706136400,339.3,341.7,336.8,338.1
706741200,337.7,339.4,336.1,336.4
707346000,338.7,342.9,338.2,340.7
707950800,340.8,345.8,339.5,344.7
708555600,344.7,346.9,341.8,342.4
709160400,344,346.6,343.5,343.9
709765200,343.4,349.7,342.7,347.6
710370000,347.7,351.2,345.8,349
710974800,349,360.1,349,358
711579600,359.3,361.2,356.8,359.5
712184400,358,362,355.5,361.4
712789200,360.5,360.6,351.4,353.9
713394000,354.3,354.4,335,337.8
713998800,339.2,341.3,337.6,340
714603600,344.2,345.3,340.5,342.4
715208400,342.8,346.7,340.3,343.8
715813200,344.1,346.1,341.5,342.9
716418000,346.4,354.5,345.9,353
717022800,350.6,352.9,348,351.1
717627600,350.9,351.3,348.3,349.6
718232400,350.7,353.4,350.3,351.4
718837200,346.9,347.8,341.6,343.2
719442000,343.2,345.4,342.8,344.2
720050400,341.7,342.4,336.9,340.1
720655200,339.9,340.8,333.7,336.2
721260000,335.7,337.5,328.9,335.4
721864800,335.9,337,333.5,335.3
722469600,334.2,335,332.8,334
723074400,335.4,337.7,334.9,336.6
723679200,336.3,337.2,333.9,336
724284000,336.3,340.1,335.3,337.7
724888800,337.1,337.2,332,333.4
725493600,334.2,334.8,332.3,333.1
726098400,329.1,330.4,326.5,329.5
726703200,328.8,330.7,326.3,327
727308000,327,330.4,326.9,328.6
727912800,328.5,332.7,328.2,330.2
728517600,330.2,331.2,328.5,328.9
729122400,328.3,334.6,328.3,330
729727200,330.9,334.4,329.8,331
730332000,330.1,332.2,327.8,329.1
730936800,329.5,331.3,328.3,330.4
731541600,329.3,329.5,325.8,328.5
732146400,328.8,332.9,328.5,332.3
732751200,333.3,333.9,331,332.5
733356000,331.4,343.7,331.2,342.3
733957200,340.6,341.5,337.3,338.9
734562000,338.4,342.2,336,340.2
735166800,341.9,348,338.9,347.5
735771600,352.3,358.5,350.1,357.2
736376400,358.8,360.6,354.3,357.4
736981200,357.4,373,356,368.3
737586000,369.2,383.5,367,377.9
738190800,380.2,384.5,372,378.3
738795600,379.7,380.2,367.5,378.5
739400400,375.4,378.3,364.5,367.5
740005200,368,374,361.7,372.5
740610000,370.7,379,367.5,378.1
741214800,379.2,393.6,375,386.7
741819600,393.3,398.1,390.8,392.3
742424400,394.2,396.8,388.5,392.9
743029200,393.5,396.5,387.6,390
743634000,390.6,411.7,390.2,411.3
744238800,410.4,414,374.5,379.9
744843600,384.8,387.2,368.5,372.6
745448400,375.8,377.7,373.7,376.4
746053200,375.3,377.3,367,372.1
746658000,372.4,375.9,364,367.1
747262800,365.7,366,350,352.4
747867600,348.2,357.5,343,352.8
748472400,356,365.5,353,359.4
749077200,359.1,359.4,352.2,356.9
749682000,357.2,362.2,350,361.5
750286800,362.3,370.5,360.6,366.2
750891600,365.9,376.7,365.4,371.3
751496400,372.4,373.7,367.6,369.6
752104800,368.6,381.2,360.7,377.8
