time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,EMA,EMA,Correlation
-4323031438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4291322638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4260218638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4228682638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4196714638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4165265038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4070829838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4039121038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-4007412238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3975962638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3913063438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3881527438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3849818638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3818109838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3723761038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3691965838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3660257038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3628807438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3565908238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3534372238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3502663438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3470954638,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3376605838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3345069838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3313101838,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3281652238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3187217038,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3155508238,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3123799438,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-3092349838,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-3029450638,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2997914638,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2966205838,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2934497038,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2840148238,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2808353038,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2776644238,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2745194638,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2682295200,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2650759200,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-2619050400,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-2587341600,20.65,20.65,20.65,20.65,0,NaN,0,0,NaN,NaN,NaN
-2492992800,20.68,20.68,20.68,20.68,0,NaN,0,0,NaN,NaN,NaN
-2461456800,20.68,20.68,20.68,20.68,0,NaN,0,0,NaN,NaN,NaN
-2429488800,20.68,20.68,20.68,20.68,0,NaN,0,0,NaN,NaN,NaN
-2398039200,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2303604000,20.71,20.71,20.71,20.71,0,NaN,0,0,NaN,NaN,NaN
-2271895200,20.71,20.71,20.71,20.71,0,NaN,0,0,NaN,NaN,NaN
-2240186400,20.66,20.66,20.66,20.66,0,NaN,0,0,NaN,NaN,NaN
-2208736800,20.68,20.68,20.68,20.68,0,NaN,0,0,NaN,20.6572,NaN
-2114388000,20.67,20.67,20.67,20.67,0,NaN,0,0,NaN,20.657701960784312,NaN
-2082852000,20.68,20.68,20.68,20.68,0,NaN,0,0,NaN,20.65857639369473,NaN
-2050884000,20.54,20.54,20.54,20.54,0,NaN,0,0,NaN,20.653926339040034,NaN
-2019434400,20.62,20.62,20.62,20.62,0,NaN,0,0,NaN,20.652595894371796,NaN
-1924999200,20.68,20.68,20.68,20.68,0,NaN,0,0,NaN,20.653670565180747,NaN
